,This is a citation overview for a set of 546 documents.,,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 47 (Of the 546 documents considered for the h-Index, 47 have been cited at least 47 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,7713,930,763,1693,623,10029
2009,Diagnosis and therapy of male hormonal changes related to aging | Miehen ikääntymiseen liittyvien hormonimuutosten diagnostiikka ja hoito.,"Huhtaniemi I., Perheentupa A.",127183,Duodecim; lääketieteellinen aikakauskirja,125,10,0,0,0,0,0,0
2009,PDK1 signaling in oocytes controls reproductive aging and lifespan by manipulating the survival of primordial follicles,"Reddy P., Huhtaniemi I., Liu K., Adhikari D., Zheng W., Liang S., Hamalainen T., Tohonen V., Ogawa W., Noda T., Volarevic S.",9646906,Human Molecular Genetics,18,15,0,0,0,0,1,1
2009,Role of androgen and gonadotrophins in the development and function of the Sertoli cells and Leydig cells: Data from mutant and genetically modified mice,"O'Shaughnessy P.J., Morris I.D., Huhtaniemi I., Baker P.J., Abel M.H.",3037207,Molecular and Cellular Endocrinology,306, 1-2,0,0,0,0,0,0
2009,15th European Workshop on Molecular and Cellular Endocrinology of the Testis. Introduction.,Huhtaniemi I.,18728057,Molecular and cellular endocrinology,306, 1-2,0,0,0,0,0,0
2009,Introduction,Huhtaniemi I.,3037207,Molecular and Cellular Endocrinology,306, 1-2,0,0,0,0,0,0
2009,"Mechanisms of protein kinase C signaling in the modulation of 3?,5?-cyclic adenosine monophosphate-mediated steroidogenesis in mouse gonadal cells","Manna P.R., Huhtaniemi I.T., Stocco D.M.",137227,Endocrinology,150,7,0,0,0,0,0,0
2009,Association between 25-hydroxyvitamin D levels and cognitive performance in middle-aged and older European men,"Lee D.M., Tajar A., Ulubaev A., Pendleton N., O'Neill T.W., O'Connor D.B., Bartfai G., Boonen S., Bouillon R., Casanueva F.F., Finn J.D., Forti G., Giwercman A., Han T.S., Huhtaniemi I.T., Kula K., Lean M.E., Punab M., Silman A.J., Vanderschueren D., Wu F.C.",223050,"Journal of Neurology, Neurosurgery and Psychiatry",80,7,0,0,0,0,0,0
2009,Estrogen enhances recovery from radiation-induced spermatogonial arrest in rat testes,"Porter K.L., Shetty G., Shuttlesworth G.A., Weng C.C.Y., Huhtaniemi I., Pakarinen P., Meistrich M.L.",1963635,Journal of Andrology,30,4,0,0,0,0,0,0
2009,Hecate-CG? conjugate and gonadotropin suppression shows two distinct mechanisms of action in the treatment of adrenocortical tumors in transgenic mice expressing Simian Virus 40 T antigen under inhibin-? promoter,"Vuorenoja S., Mohanty B.P., Arola J., Huhtaniemi I., Toppari J., Rahman N.A.",13510088,Endocrine-Related Cancer,16,2,0,0,0,0,0,0
2009,Investigating the determinants of international differences in the prevalence of chronic widespread pain: Evidence from the European Male Ageing Study,"Macfarlane G.J., Pye S.R., Finn J.D., Wu F.C., Silman A.J., Bartfai G., Boonen S., Casanueva F., Forti G., Giwercman A., Han T.S., Huhtaniemi I.T., Kula K., Lean M.E., O'Neill T.W., Pendleton N., Punab M., Vanderschueren D.",34967,Annals of the Rheumatic Diseases,68,5,0,0,0,0,0,0
2009,Adrenal hyperplasia and tumours in mice in connection with aberrant pituitary-gonadal function,"Bernichtein S., Peltoketo H., Huhtaniemi I.",3037207,Molecular and Cellular Endocrinology,300, 1-2,0,0,0,0,0,0
2009,Aging of the human ovary and testis,"Perheentupa A., Huhtaniemi I.",3037207,Molecular and Cellular Endocrinology,299,1,0,0,0,0,0,0
2009,Genetic variation in sex hormone genes influences heel ultrasound parameters in middle-aged and elderly men: Results from the European Male Aging Study (EMAS),"Limer K.L., Pye S.R., Thomson W., Boonen S., Borghs H., Vanderschueren D., Huhtaniemi I.T., Adams J.E., Ward K.A., Platt H., Payne D., John S.L., Bartfai G., Casanueva F., Finn J.D., Forti G., Giwercman A., Han T.S., Kula K., Lean M.E., Pendleton N., Punab M., Silman A.J., Wu F.C., O'Neill T.W.",8840431,Journal of Bone and Mineral Research,24,2,0,0,0,0,0,0
2009,"The european male ageing study (EMAS): Design, methods and recruitment","Lee D.M., Forti G., Giwercman A., Huhtaniemi I.T., Kula K., Punab M., Boonen S., Vanderschueren D., Wu F.C.W., O'neill T.W., Pye S.R., Silman A.J., Finn J.D., Pendleton N., Tajar A., Bartfai G., Casanueva F.",1056263,International Journal of Andrology,32,1,0,0,0,0,1,1
2009,Increased plasma membrane expression of human follicle-stimulating hormone receptor by a small molecule thienopyr(im)idine,"Janovick J.A., Maya-Nunez G., Ulloa-Aguirre A., Huhtaniemi I.T., Dias J.A., Verbost P., Conn P.M.",3037207,Molecular and Cellular Endocrinology,298, 1-2,0,0,0,0,2,2
2009,Will GnRH antagonists improve prostate cancer treatment?,"Huhtaniemi I., White R., McArdle C.A., Persson B.-E.",10432760,Trends in Endocrinology and Metabolism,20,1,0,0,0,0,3,3
2009,Increased estrogen rather than decreased androgen action is associated with longer androgen receptor CAG repeats,"Huhtaniemi I.T., Boonen S., Borghs H., Vanderschueren D., Adams J.E., Ward K.A., Bartfai G., Casanueva F., Finn J.D., Forti G., Giwercman A., Pye S.R., Han T.S., Kula K., Lean M.E.J., Pendleton N., Punab M., Silman A.J., Wu F.C.W., Petrone L., Cilotti A., Slowikowska-Hilczer J., Limer K.L., Walczak-Jedrzejowska R., Wu F., Steer P., Tajar A., Lee D., Thomson W., Ocampo M., Lage M., Foldesi I., Fejes I., Korrovitz P., O'Neill T.W., Platt H., Payne D., John S.L., Jiang M.",0021972X,Journal of Clinical Endocrinology and Metabolism,94,1,0,0,0,0,2,2
2008,Smoking and low serum testosterone associates with high concentration of oxidized LDL,"Linna M.S., Ahotupa M., Irjala K., Pollanen P., Huhtaniemi I., Makinen J., Perheentupa A., Vasankari T.J.",7853890,Annals of Medicine,40,8,0,0,0,0,1,1
2008,GATA-4 regulates Bcl-2 expression in ovarian granulosa cell tumors,"Kyronlahti A., Heikinheimo M., Anttonen M., Ramo M., Tamminen M., Unkila-Kallio L., Butzow R., Leminen A., Nemer M., Rahman N., Huhtaniemi I.",137227,Endocrinology,149,11,0,0,0,0,2,2
2008,Is the adrenal cortex a target for gonadotropins?,"Bernichtein S., Alevizaki M., Huhtaniemi I.",10432760,Trends in Endocrinology and Metabolism,19,7,0,0,0,0,1,1
2008,Serum testosterone but not leptin predicts mortality in elderly men,"Lehtonen A., Huupponen R., Tuomilehto J., Lavonius S., Arve S., Isoaho H., Huhtaniemi I., Tilvis R.",20729,Age and Ageing,37,4,0,0,1,1,1,2
2008,"Male hormonal contraception: A double-blind, placebo-controlled study","Mommers E., Gerbershagen H.-P., Gronlund L., Heger-Mahn D., Huhtaniemi I., Koldewijn E.L., Lange C., Lindenberg S., Meriggiola M.C., Meuleman E., Mulders P.F.A., Kersemaekers W.M., Nieschlag E., Perheentupa A., Solomon A., Vaisala L., Wu F.C., Zitzmann M., Elliesen J., Kepers M., Apter D., Behre H.M., Beynon J., Bouloux P.M., Costantino A.",0021972X,Journal of Clinical Endocrinology and Metabolism,93,7,0,0,1,1,4,5
2008,Hypothalamic-pituitary-testicular axis disruptions in older men are differentially linked to age and modifiable risk factors: The European male aging study,"Wu F.C.W., Giwercman A., Huhtaniemi I.T., Kula K., Punab M., Boonen S., Vanderschueren D., Petrone L., Cilotti A., Borghs H., Slowikowska-Hilczer J., Tajar A., Walczak-Jedrzejowska R., Steer P., Lee D., Ocampo M., Lage M., Pye S.R., Bartfai G., Foldesi I., Fejes I., Korrovitz P., Jiang M., Silman A.J., Finn J.D., O'Neill T.W., Bartfai G., Casanueva F., Forti G.",0021972X,Journal of Clinical Endocrinology and Metabolism,93,7,0,0,1,1,17,18
2008,Assessment of sexual health in aging men in Europe: Development and validation of the European male ageing study sexual function questionnaire,"O'Connor D.B., Giwercman A., Huhtaniemi I.T., Kula K., O'Neill T.W., Pendleton N., Punab M., Silman A.J., Vanderschueren D., Wu F.C.W., Corona G., Petrone L., Cilotti A., Lean M., Han T., Borghs H., Slowikowska-Hilczer J., Walczak-Jedrzejowska R., Steer P., Ocampo M., Lage M., Forti G., Bartfai G., Foldesi I., Fejes I., Korrovitz P., Jiang M., Tajar A., Pye S., Finn J.D., Bartfai G., Boonen S., Casanueva F.F.",17436095,Journal of Sexual Medicine,5,6,0,0,0,0,3,3
