,"Author: Itoh, Dr Yoshifumi; Itoh Yoshifumi ",,,,,,,,,,,
,,,,,,,,,,,,
,This is a citation overview for a set of 160 documents.,,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 31 (Of the 160 documents considered for the h-Index, 31 have been cited at least 31 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,3008,427,418,845,283,4136
2009,Invasive Potential of Human Rheumatoid Tenosynovial Cells Is in Part MT1-MMP Dependent,"Jain A., Miller M.-C., Troeberg L., Itoh Y., Brennan F., Nanchahal J.",3635023,Journal of Hand Surgery,34,7,0,0,0,0,0,0
2009,Expression of the pgsB Encoding the poly-gamma-DL-glutamate synthetase of bacillus subtilis (natto),"Kimura K., Phan Tran L.-S., Do T.H., Itoh Y.",9168451,"Bioscience, Biotechnology and Biochemistry",73,5,0,0,0,0,0,0
2009,Characterization of the interface between normal and transformed epithelial cells,"Hogan C., Itoh Y., Hosoya H., Pichaud F., Fujita Y., Dupre-Crochet S., Norman M., Kajita M., Zimmermann C., Pelling A.E., Piddini E., Baena-Lopez L.A., Vincent J.-P.",14657392,Nature Cell Biology,11,4,0,0,0,0,0,0
2009,Membrane type 1 matrix metalloproteinase is a crucial promoter of synovial invasion in human rheumatoid arthritis,"Miller M.-C., Nagase H., Itoh Y., Manning H.B., Jain A., Troeberg L., Dudhia J., Essex D., Sandison A., Seiki M., Nanchahal J.",43591,Arthritis and Rheumatism,60,3,0,0,0,0,1,1
2009,The membrane lipoprotein LppX of Paenibxacillus sp. strain W-61 serves as a molecular chaperone for xylanase of glycoside hydrolase family 11 during secretion across the cytoplasmic membrane,"Fukuda M., Watanabe S., Kaneko J., Itoh Y., Kamio Y.",219193,Journal of Bacteriology,191,5,0,0,0,0,0,0
2009,Toll-like receptor 4-dependent activation of myeloid dendritic cells by leukocidin of Staphylococcus aureus,"Inden K., Kunishima H., Hirakata Y., Itoh Y., Kaku M., Kawakami K., Kaneko J., Miyazato A., Yamamoto N., Mouri S., Shibuya Y., Nakamura K., Aoyagi T., Hatta M.",12864579,Microbes and Infection,11,2,0,0,0,0,0,0
2008,"A compact, multidimensional spectrofluorometer exploiting supercontinuum generation.","Manning H.B., Kennedy G.T., Owen D.M., Grant D.M., Magee A.I., Neil M.A., Itoh Y., Dunsby C., French P.M.",18640648,Journal of biophotonics,1,6,0,0,0,0,0,0
2008,"Binding sequences for RdgB, a DNA damage-responsive transcriptional activator, and temperature-dependent expression of bacteriocin and pectin lyase genes in Pectobacterium carotovorum subsp. carotovorum","Yamada K., Kaneko J., Kamio Y., Itoh Y.",992240,Applied and Environmental Microbiology,74,19,0,0,0,0,0,0
2008,"The second dimer interface of MT1-MMP, the transmembrane domain, is essential for ProMMP-2 activation on the cell surface","Itoh Y., Ito N., Nagase H., Seiki M.",219258,Journal of Biological Chemistry,283,19,0,0,1,1,2,3
2007,Analyses of MT1-MMP activity in cells.,"Evans R.D., Itoh Y.",15431894,Methods in molecular medicine,135, ,0,0,0,0,0,0
2007,Determination and characterization of IS4Bsu1-insertion loci and identification of a new insertion sequence element of the IS256 family in a natto starter,"Kimura K., Itoh Y.",9168451,"Bioscience, Biotechnology and Biochemistry",71,10,0,0,1,1,0,1
2007,Poly-?-glutamate capsule-degrading enzyme treatment enhances phagocytosis and killing of encapsulated Bacillus anthracis,"Scorpio A., Chabot D.J., Day W.A., O'Brien D.K., Vietri N.J., Itoh Y., Mohamadzadeh M., Friedlander A.M.",664804,Antimicrobial Agents and Chemotherapy,51,1,0,3,4,7,8,15
2006,Rice chitinases: Sugar recognition specificities of the individual subsites,"Sasaki C., Varum K.M., Itoh Y., Tamoi M., Fukamizo T.",9596658,Glycobiology,16,12,0,0,1,1,2,3
2006,Cell surface collagenolysis requires homodimerization of the membrane-bound collagenase MT1-MMP,"Itoh Y., Ito N., Nagase H., Evans R.D., Bird S.A., Seiki M.",10591524,Molecular Biology of the Cell,17,12,0,3,7,10,5,15
2006,MT1-MMP: A key regulator of cell migration in tissue,Itoh Y.,15216543,IUBMB Life,58,10,0,3,5,8,8,16
2006,Characterization of dip-coated ITO films derived from nanoparticles synthesized by low-pressure spray pyrolysis,"Ogi T., Iskandar F., Itoh Y., Okuyama K.",13880764,Journal of Nanoparticle Research,8, 3-4,0,1,2,3,2,5
2006,Characterization and a role of Pseudomonas aeruginosa spermidine dehydrogenase in polyamine catabolism,"Dasu V.V., Nakada Y., Ohnishi-Kameyama M., Kimura K., Itoh Y.",13500872,Microbiology,152,8,0,1,0,1,0,1
2006,"Paenidase, a novel D-aspartyl endopeptidase from Paenibacillus sp. B38: Purification and substrate specificity","Takahashi S., Ogasawara H., Hiwatashi K., Hori K., Hata K., Tachibana T., Itoh Y., Sugiyama T.",0021924X,Journal of Biochemistry,139,2,0,0,0,0,0,0
2006,MT1-MMP: A potent modifier of pericellular microenvironment,"Itoh Y., Seiki M.",219541,Journal of Cellular Physiology,206,1,20,33,32,65,31,116
2005,Pseudomonas aeruginosa PAO1 genes for 3-guanidinopropionate and 4-guanidinobutyrate utilization may be derived from a common ancestor,"Nakada Y., Itoh Y.",13500872,Microbiology,151,12,0,0,0,0,0,0
2005,Photodegradative surfactants: Photolyses of p-alkylbenzyltrimethylammonium and alkylbenzyldimethylammonium halides in aqueous solution,"Itoh Y., Horiuchi S., Yamamoto K.",1474905X,Photochemical and Photobiological Sciences,4,10,0,0,0,0,1,1
2005,Fabrication and photoluminescence of highly crystalline GaN and GaN:Mg nanoparticles,"Ogi T., Itoh Y., Abdullah M., Iskandar F., Azuma Y., Okuyama K.",220248,Journal of Crystal Growth,281, 2-4,1,1,7,8,1,10
2005,Palmitoylation at Cys574 is essential for MT1-MMP to promote cell migration,"Anilkumar N., Uekita T., Couchman J.R., Nagase H., Seiki M., Itoh Y.",8926638,FASEB Journal,19,10,5,4,5,9,1,15
2005,Competitive disruption of the tumor-promoting function of membrane type 1 matrix metalloproteinase/matrix metalloproteinase-14 in vivo,"Nonaka T., Nishibashi K., Itoh Y., Yana I., Seiki M.",15357163,Molecular Cancer Therapeutics,4,8,4,3,4,7,1,12
2005,Photodegradative surfactants: p-dodecylbenzyltrimethylammonium bromide as a photodegradative emulsifier for microemulsion polymerization,"Itoh Y., Horiuchi S., Yamamoto K.",3667022,Chemistry Letters,34,6,1,0,1,1,0,2
2005,"Matrix metalloproteinase expression and function during fin regeneration in zebrafish: Analysis of MT1-MMP, MMP2 and TIMP2","Bai S., Sarras Jr. M.P., Thummel R., Godwin A.R., Nagase H., Itoh Y., Evans R., McDermott J., Seiki M.",0945053X,Matrix Biology,24,4,9,8,4,12,2,23
2005,"Effect of additives on photodegradation of 1,3,5-trichlorobenzene in aqueous surfactant solutions","Itoh Y., Tabata K., Kaneko T., Akahane E.",10934529,Journal of Environmental Science and Health - Part A Toxic/Hazardous Substances and Environmental Engineering,40,5,0,0,0,0,0,0
2005,"Photodegradation of 1,3,5-trichlorobenzene in aqueous surfactant solutions","Itoh Y., Kaneko T., Akahane E., Shirai H., Kojima M.",74861,Bulletin of Environmental Contamination and Toxicology,74,2,1,0,2,2,0,3
2005,CD44 binding through the hemopexin-like domain is critical for its shedding by membrane-type 1 matrix metalloproteinase,"Suenaga N., Mori H., Itoh Y., Seiki M.",9509232,Oncogene,24,5,11,12,1,13,4,28
2004,Characterization of Bacillus subtilis ?-glutamyltransferase and its involvement in the degradation of capsule poly-?-glutamate,"Kimura K., Tran L.-S.P., Uchida I., Itoh Y.",13500872,Microbiology,150,12,9,3,2,5,5,19
2004,Nanoparticles of a doped oxide phosphor prepared by direct-spray pyrolysis,"Lenggoro I.W., Itoh Y., Okuyama K., Kim T.O.",8842914,Journal of Materials Research,19,12,7,4,4,8,1,16
2004,"Roles and regulation of the glutamate racemase isogenes, racE and yrpC, in Bacillus subtilis","Kimura K., Tran L.-S.P., Itoh Y.",13500872,Microbiology,150,9,5,2,2,4,2,11
2004,Nickel and nickel oxide nanoparticles prepared from nickel nitrate hexahydrate by a low pressure spray pyrolysis,"Wang W.-N., Itoh Y., Lenggoro I.W., Okuyama K.",9215107,Materials Science and Engineering B: Solid-State Materials for Advanced Technology,111,1,10,5,5,10,7,27
2004,MT1-MMP: An enzyme with multidimensional regulation,"Itoh Y., Seiki M.",9680004,Trends in Biochemical Sciences,29,6,13,5,10,15,1,29
2004,Erratum: Altered proteolytic activities of ADAMTS-4 expressed by C-terminal processing (Journal of Biological Chemistry (2004) 279 (10109-10119)),"Kashiwagi M., Enghild J.J., Gendron C., Hughes C., Caterson B., Itoh Y., Nagase H.",219258,Journal of Biological Chemistry,279,21,1,0,0,0,0,1
2004,Direct preparation of nonagglomerated indium tin oxide nanoparticles using various spray pyrolysis methods,"Itoh Y., Abdullah M., Okuyama K.",8842914,Journal of Materials Research,19,4,4,2,3,5,1,10
2004,Membrane-type 1 matrix metalloproteinase cytoplasmic tail-binding protein-1 is a new member of the cupin superfamily: A possible multifunctional protein acting as an invasion suppressor down-regulated in tumors,"Uekita T., Gotoh I., Kinoshita T., Itoh Y., Sato H., Shiomi T., Okada Y., Seiki M.",219258,Journal of Biological Chemistry,279,13,12,5,2,7,3,22
2004,Altered Proteolytic Activities of ADAMTS-4 Expressed by C-terminal Processing,"Kashiwagi M., Enghild J.J., Gendron C., Hughes C., Caterson B., Itoh Y., Nagase H.",219258,Journal of Biological Chemistry,279,11,42,11,21,32,9,83
2004,One-step preparation of BaTiO3 nanoparticles by liquid source chemical vapor deposition,"Itoh Y., Kim T.O., Shimada M., Okuyama K., Matsui I.",219592,Journal of Chemical Engineering of Japan,37,3,0,0,0,0,0,0
2003,Ageladine A: An Antiangiogenic Matrixmetalloproteinase Inhibitor from the Marine Sponge Agelas nakamurai,"Fujita M., Nakao Y., Matsunaga S., Seiki M., Itoh Y., Yamashita J., Van Soest R.W.M., Fusetani N.",27863,Journal of the American Chemical Society,125,51,14,11,6,17,4,35
2003,Membrane-type I matrix metalloproteinase and cell migration,"Seiki M., Mori H., Kajita M., Uekita T., Itoh Y.",678694,Biochemical Society Symposium,,70,22,2,1,3,2,27
2003,Control of size and morphology in NiO particles prepared by a low-pressure spray pyrolysis,"Lenggoro I.W., Itoh Y., Iida N., Okuyama K.",255408,Materials Research Bulletin,38,14,15,2,6,8,6,29
2003,"Preparation of agglomerate-free and highly crystalline (Ba0.5, Sr0.5)TiO3 nanoparticles by salt-assisted spray pyrolysis","Itoh Y., Okuyama K.",9145400,Nippon Seramikkusu Kyokai Gakujutsu Ronbunshi/Journal of the Ceramic Society of Japan,111,1299,3,0,0,0,0,3
2003,Relationship between Molecular Skeleton and Stimulated-emission Threshold in Dilute Thin Films of Linear-chain-structured Fluorescent Dyes,"Sakai K.-I., Taniguchi Y., Tsuzuki T., Motoyoshiya J., Inoue M., Itoh Y., Ichikawa M., Fujimoto T., Yamamoto I., Koyama T.",3667022,Chemistry Letters,32,10,3,0,1,1,0,4
2003,"Clusterin, an abundant serum factor, is a possible negative regulator of MT6-MMP/MMP-25 produced by neutrophils","Matsuda A., Itoh Y., Koshikawa N., Akizawa T., Yana I., Seiki M.",219258,Journal of Biological Chemistry,278,38,13,5,3,8,3,24
2003,Size tunable synthesis of highly crystalline BaTiO3 nanoparticles using salt-assisted spray pyrolysis,"Itoh Y., Wuled Lenggoro I., Okuyama K., Madler L., Pratsinis S.E.",13880764,Journal of Nanoparticle Research,5, 3-4,8,2,2,4,1,13
2003,"Structure, heterologous expression, and properties of rice (Oryza sativa L.) family 19 chitinases","Truong N.-H., Park S.-M., Nishizawa Y., Watanabe T., Sasaki T., Itoh Y.",9168451,"Bioscience, Biotechnology and Biochemistry",67,5,4,2,1,3,0,7
2003,Characterization of poly-?-glutamate hydrolase encoded by a bacteriophage genome: Possible role in phage infection of bacillus subtilis encapsulated with poly-?-glutamate,"Kimura K., Itoh Y.",992240,Applied and Environmental Microbiology,69,5,9,3,1,4,5,18
2003,Family 19 chitinase from rice (Oryza sativa L.): Substrate-binding subsites demonstrated by kinetic and molecular modeling studies,"Sasaki C., Itoh Y., Takehara H., Kuhara S., Fukamizo T.",1674412,Plant Molecular Biology,52,1,5,2,3,5,1,11
2003,"Callysponginol sulfate A, an MT1-MMP inhibitor isolated from the marine sponge Callyspongia truncata","Fujita M., Nakao Y., Matsunaga S., Van Soest R.W.M., Itoh Y., Seiki M., Fusetani N.",1633864,Journal of Natural Products,66,4,7,3,2,5,2,14
2003,Identification of the putrescine biosynthetic genes in Pseudomonas aeruginosa and characterization of agmatine deiminase and N-carbamoylputrescine amidohydrolase of the arginine decarboxylase pathway,"Nakada Y., Itoh Y.",13500872,Microbiology,149,3,12,6,6,12,3,27
2003,Photodegradative surfactants: Photolysis of p-dodecylbenzyltrimethylammonium bromide in aqueous solution,"Itoh Y., Yamamoto K., Shirai H.",3667022,Chemistry Letters,32,1,2,0,0,0,1,3
2002,Agglomerate-free BaTiO3 particles by salt-assisted spray pyrolysis,"Itoh Y., Lenggoro I.W., Pratsinis S.E., Okuyama K.",8842914,Journal of Materials Research,17,12,5,1,0,1,0,6
2002,Matrix metalloproteinases in cancer,"Itoh Y., Nagase H.",711365,Essays in Biochemistry,38, ,34,2,10,12,8,54
2002,Streptomycin-resistant (rpsL) or rifampicin-resistant (rpoB) mutation in Pseudomonas putida KH146-2 confers enhanced tolerance to organic chemicals,"Hosokawa K., Park N.-H., Inaoka T., Itoh Y., Ochi K.",14622912,Environmental Microbiology,4,11,6,1,1,2,1,9
2002,"Divergent structure and regulatory mechanism of proline catabolic systems: Characterization of the putAP proline catabolic operon of Pseudomonas aeruginosa PAO1 and its regulation by PruR, an AraC/XylS family protein","Nakada Y., Nishijyo T., Itoh Y.",219193,Journal of Bacteriology,184,20,4,0,2,2,0,6
2002,Frequency of the insertion sequence IS4Bsu1 among Bacillus subtilis strains isolated from fermented soybean foods in Southeast Asia,"Kimura K., Inatsu Y., Itoh Y.",9168451,"Bioscience, Biotechnology and Biochemistry",66,9,1,2,1,3,2,6
2002,CD44 directs membrane-type 1 matrix metalloproteinase to lamellipodia by associating with its hemopexin-like domain,"Mori H., Tomari T., Koshikawa N., Kajita M., Itoh Y., Sato H., Tojo H., Yana I., Seiki M.",2614189,EMBO Journal,21,15,85,15,14,29,12,126
