,This is a citation overview for a set of 35 documents.,,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 11 (Of the 35 documents considered for the h-Index, 11 have been cited at least 11 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,146,75,100,175,70,391
2009,Single-incision laparoscopic surgery for cholecystectomy: an evolving technique,"Chow A., Purkayastha S., Aziz O., Paraskeva P.",9302794,Surgical Endoscopy,, ,0,0,0,0,0,0
2009,"The morbidity surrounding reversal of defunctioning ileostomies: A systematic review of 48 studies including 6,107 cases","Chow A., Tilney H.S., Paraskeva P., Jeyarajah S., Zacharakis E., Purkayastha S.",1791958,International Journal of Colorectal Disease,24,6,0,0,0,0,0,0
2009,Surgical training and certification in the United Kingdom,"Smith A.J., Aggarwal R., Warren O.J., Paraskeva P.",3642313,World Journal of Surgery,33,2,0,0,0,0,0,0
2008,Anatomy teaching in the 21st century - Dead cool or cold dead?,"Gogalniceanu P., Madani H., Paraskeva P.A., Darzi A.",19359772,Anatomical Sciences Education,1,3,0,0,0,0,1,1
2008,Does the presence of circulating tumor cells in the venous drainage of curative colorectal cancer resections determine prognosis? A meta-analysis,"Katsuno H., Zacharakis E., Aziz O., Rao C., Deeba S., Paraskeva P., Ziprin P., Athanasiou T., Darzi A.",10689265,Annals of Surgical Oncology,15,11,0,0,0,0,0,0
2008,A minimally invasive approach to undergraduate anatomy teaching,"Gogalniceanu P., Madani H., Paraskeva P.A., Darzi A.",19359772,Anatomical Sciences Education,1,1,0,0,3,3,1,4
2008,Safety and diagnostic yield of laparoscopically assisted full-thickness bowel biospy,"Knowles C.H., Veress B., Tornblom H., Wallace S., Paraskeva P., Darzi A., Martin J.E., Nyberg B., Lindberg G.",13501925,Neurogastroenterology and Motility,20,7,0,0,0,0,7,7
2007,Transanal endoscopic microsurgery for rectal tumors: the St. Mary's experience,"Zacharakis E., Freilich S., Rekhraj S., Athanasiou T., Paraskeva P., Ziprin P., Darzi A.",29610,American Journal of Surgery,194,5,0,0,3,3,1,4
2007,Diagnostic precision of fecal calprotectin for inflammatory bowel disease and colorectal malignancy,"Von Roon A.C., Karamountzos L., Purkayastha S., Reese G.E., Darzi A.W., Teare J.P., Paraskeva P., Tekkis P.P.",29270,American Journal of Gastroenterology,102,4,0,3,13,16,5,21
2007,"The surgical care practitioner: A feasible alternative. Results of a prospective 4-year audit at St. Mary's Hospital Trust, London","Martin S., Purkayastha S., Massey R., Paraskeva P., Tekkis P., Kneebone R., Darzi A.",358843,Annals of the Royal College of Surgeons of England,89,1,0,0,0,0,0,0
2006,Emergency laparoscopy - Current best practice,"Warren O., Kinross J., Paraskeva P., Darzi A.",17497922,World Journal of Emergency Surgery,1,1,0,2,1,3,1,4
2006,A surgically induced hypoxic environment causes changes in the metastatic behaviour of tumours in vitro,"Paraskeva P.A., Ridgway P.F., Olsen S., Isacke C., Peck D.H., Darzi A.W.",2620898,Clinical and Experimental Metastasis,23,2,0,1,0,1,1,2
2006,Laparoscopic versus open surgery for rectal cancer: A meta-analysis,"Aziz O., Constantinides V., Tekkis P.P., Athanasiou T., Purkayastha S., Paraskeva P., Darzi A.W., Heriot A.G.",10689265,Annals of Surgical Oncology,13,3,3,21,24,45,19,67
2006,Meta-analysis of colonic reservoirs versus straight coloanal anastomosis after anterior resection,"Heriot A.G., Tekkis P.P., Constantinides V., Paraskeva P.A., Nicholls R.J., Darzi A., Fazio V.W.",71323,British Journal of Surgery,93,1,1,11,9,20,4,25
2006,Laparoscopic versus open appendectomy in children: A meta-analysis,"Aziz O., Athanasiou T., Tekkis P.P., Purkayastha S., Haddow J., Malinovski V., Paraskeva P., Darzi A.",34932,Annals of Surgery,243,1,5,6,14,20,11,36
2005,"Treatment of a secondary municipal effluent by ozone, UV and microfiltration: Microbial reduction and effect on effluent quality","Paraskeva P., Graham N.J.D.",119164,Desalination,186, 1-3,0,0,2,2,1,3
2005,Laparoscopic surgery for colon cancer,"Paraskeva P.A., Aziz O., Darzi A.",396109,Surgical Clinics of North America,85,1,4,1,1,2,2,8
2005,Do technical parameters affect the diagnostic accuracy of virtual bronchoscopy in patients with suspected airways stenosis?,"Jones C.M., Darzi A., Athanasiou T., Nair S., Aziz O., Purkayastha S., Konstantinos V., Paraskeva P., Casula R., Glenville B.",0720048X,European Journal of Radiology,55,3,0,1,0,1,1,2
2005,Handheld computers and the 21st century surgical team: A pilot study,"Aziz O., Panesar S.S., Netuveli G., Paraskeva P., Sheikh A., Darzi A.",14726947,BMC Medical Informatics and Decision Making,5, ,1,1,2,3,1,5
2005,Hypoxia augments gelatinase activity in a variety of adenocarcinomas in vitro,"Ridgway P.F., Ziprin P., Alkhamesi N., Paraskeva P.A., Peck D.H., Darzi A.W.",224804,Journal of Surgical Research,124,2,3,3,0,3,2,8
2005,Laparoscopic environmental changes during surgery enhance the invasive potential of tumours,"Paraskeva P.A., Ridgway P.F., Jones T., Smith A., Peck D.H., Darzi A.W.",10104283,Tumor Biology,26,2,2,1,3,4,1,7
2004,An unusual surgical presentation of Munchausen's syndrome,"Paraskeva P.A., Ridgway M.",17439191,International Journal of Surgery,2,2,0,0,0,0,0,0
2004,Improving hospital communication: Do mobile phone networks hold the key?,"Aziz O., Panesar S., Paraskeva P., Darzi A., Sheikh A.",17439191,International Journal of Surgery,2,2,0,0,0,0,0,0
2004,Laparoscopy for malignancy: Current status,"Paraskeva P.A., Purkayastha S., Darzi A.",10715517,Seminars in Laparoscopic Surgery,11,1,7,0,2,2,1,10
2003,Use of mobile phones in hospital: Time to lift the ban? [13],"Aziz O., Sheikh A., Paraskeva P., Darzi A.",1406736,Lancet,361,9359,11,6,2,8,0,19
