,This is a citation overview for a set of 176 documents.,,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 26 (Of the 176 documents considered for the h-Index, 26 have been cited at least 26 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,500,463,678,1141,528,2169
2009,Accuracy of liver-specific magnetic resonance imaging as a predictor of chemotherapy-associated hepatic cellular injury prior to liver resection,"O'Rourke T.R., Welsh F.K.S., Tekkis P.P., Lyle N., Mustajab A., John T.G., Peppercorn D., Rees M.",7487983,European Journal of Surgical Oncology,35,10,0,0,0,0,0,0
2009,Hypoxia-inducible factor-1? and-2? are expressed in most rectal cancers but only hypoxia-inducible factor-1? is associated with prognosis (British Journal of Cancer (2009) 101 (742)),"Rasheed S., Guenther T., Harris A.L., Tekkis P.P., Turley H., Silver A., McDonald P.J., Talbot I.C., Glynne-Jones R., Northover J.M.A.",70920,British Journal of Cancer,101,4,0,0,0,0,0,0
2009,"Simulator training improves practical skills in therapeutic GI endoscopy: results from a randomized, blinded, controlled study","Haycock A.V., Youd P., Bassett P., Saunders B.P., Tekkis P., Thomas-Gibson S.",165107,Gastrointestinal Endoscopy,, ,0,0,0,0,0,0
2009,The national bowel cancer project: Social deprivation is an independent predictor of nonrestorative rectal cancer surgery,"Tilney H., Lovegrove R.E., Smith J.J., Thompson M.R., Tekkis P.P.",123706,Diseases of the Colon and Rectum,52,6,0,0,0,0,0,0
2009,Redo Ileal Pouch Surgery-Indications and Outcomes,"Tekkis P.P., Nicholls R.J.",10431489,Seminars in Colon and Rectal Surgery,20,2,0,0,0,0,0,0
2009,Hypoxia-inducible factor-1? and -2? are expressed in most rectal cancers but only hypoxia-inducible factor-1? is associated with prognosis,"Rasheed S., Guenther T., Harris A.L., Tekkis P.P., Turley H., Silver A., McDonald P.J., Talbot I.C., Glynne-Jones R., Northover J.M.A.",70920,British Journal of Cancer,100,10,0,0,0,0,0,0
2009,Fast-track vs standard care in colorectal surgery: A meta-analysis update,"Gouvas N., Tan E., Windsor A., Xynos E., Tekkis P.P.",1791958,International Journal of Colorectal Disease,24,10,0,0,0,0,0,0
2009,Fecal Coliform Testing to Identify Effective Antibiotic Therapies for Patients With Antibiotic-Resistant Pouchitis,"McLaughlin S.D., Clark S.K., Shafi S., Petrovksa L., Tekkis P.P., Ciclitira P.J., Nicholls R.J.",15423565,Clinical Gastroenterology and Hepatology,7,5,0,0,0,0,0,0
2009,Incidence and short-term implications of prepouch ileitis following restorative proctocolectomy with ileal pouch-anal anastomosis for ulcerative colitis,"McLaughlin S.D., Clark S.K., Bell A.J., Tekkis P.P., Ciclitira P.J., Nicholls R.J.",123706,Diseases of the Colon and Rectum,52,5,0,0,0,0,0,0
2009,Are bowel purgatives and prokinetics useful for small-bowel capsule endoscopy? A prospective randomized controlled study,"Postgate A., Tekkis P., Patterson N., Fitzpatrick A., Bassett P., Fraser C.",165107,Gastrointestinal Endoscopy,69,6,0,0,0,0,0,0
2009,Outcomes of Crohn's disease presenting with abdominopelvic abscess,"Da Luz Moreira A., Stocchi L., Tan E., Tekkis P.P., Fazio V.W.",123706,Diseases of the Colon and Rectum,52,5,0,0,0,0,0,0
2009,A meta-analysis of mini-open versus standard open and laparoscopic living donor nephrectomy,"Antcliffe D., Nanidis T.G., Darzi A.W., Tekkis P.P., Papalois V.E.",9340874,Transplant International,22,4,0,0,0,0,0,0
2009,Predictive models in colorectal liver metastases - Can we personalize treatment and outcome?,"Welsh F.K.S., Tekkis P.P., John T.G., Rees M.",2534886,Digestive Surgery,25,6,0,0,0,0,0,0
2009,Assessment of microvessel density and carbonic anhydrase-9 (CA-9) expression in rectal cancer,"Rasheed S., Guenther T., Harris A.L., Tekkis P.P., Turley H., Silver A., McDonald P.J., Talbot I.C., Glynne-Jones R., Northover J.M.A.",3440338,Pathology Research and Practice,205,1,0,0,0,0,1,1
2009,An open study of antibiotics for the treatment of pre-pouch ileitis following restorative proctocolectomy with ileal pouch-anal anastomosis,"Mclaughlin S.D., Clark S.K., Bell A.J., Tekkis P.P., Ciclitira P.J., Nicholls R.J.",2692813,Alimentary Pharmacology and Therapeutics,29,1,0,0,0,0,0,0
2009,Measuring sexual and urinary outcomes in women after rectal cancer excision,"Tekkis P.P., Cornish J.A., Remzi F.H., Tilney H.S., Strong S.A., Church J.M., Lavery I.C., Fazio V.W.",123706,Diseases of the Colon and Rectum,52,1,0,0,0,0,0,0
2009,A comparison of pancreaticoduodenectomy with extended pancreaticoduodenectomy: A meta-analysis of 1909 patients,"Iqbal N., Lovegrove R.E., Tilney H.S., Abraham A.T., Bhattacharya S., Tekkis P.P., Kocher H.M.",7487983,European Journal of Surgical Oncology,35,1,0,0,0,0,0,0
2008,Using terahertz pulsed imaging (TPI) to identify colonic pathology,"Reese G., Reid C., Goldin R., Tran-Dang M.-A., Fitzgerald A., Tekkis P., Wallace V.P.",,"33rd International Conference on Infrared and Millimeter Waves and the 16th International Conference on Terahertz Electronics, 2008, IRMMW-THz 2008",, ,0,0,0,0,0,0
2008,Reply,"Tilney H.S., Purkayastha S., Darzi A.W., Tekkis P.P.",34932,Annals of Surgery,248,6,0,0,0,0,0,0
2008,Surgical management of Gynaecomastia: Outcomes from our experience,"Lanitis S., Starren E., Read J., Heymann T., Tekkis P., Hadjiminas D.J., Al Mufti R.",9609776,Breast,17,6,0,0,0,0,1,1
2008,A selective approach to restorative proctocolectomy without ileostomy: A single centre experience,"Lovegrove R.E., Symeonides P., Tekkis P.P., Goodfellow P.B., Shorthouse A.J.",14628910,Colorectal Disease,10,9,0,0,3,3,0,3
2008,A comparison of pancreaticoduodenectomy with pylorus preserving pancreaticoduodenectomy: A meta-analysis of 2822 patients,"Iqbal N., Lovegrove R.E., Tilney H.S., Abraham A.T., Bhattacharya S., Tekkis P.P., Kocher H.M.",7487983,European Journal of Surgical Oncology,34,11,0,0,3,3,2,5
2008,Laparoscopic assisted distal gastrectomy for early gastric cancer: Is it an alternative to the open approach?,"Yakoub D., Athanasiou T., Tekkis P., Hanna G.B.",9607404,Surgical Oncology,, ,0,0,0,0,0,0
2008,Narrow band imaging with magnification for the characterization of small and diminutive colonic polyps: Pit pattern and vascular pattern intensity,"East J.E., Suzuki N., Stavrinidis M., Thomas H.J.W., Guenther T., Tekkis P.P., Saunders B.P.",0013726X,Endoscopy,40,10,0,0,0,0,2,2
2008,The authors reply,"Purkayastha S., Tekkis P.P., Athanasiou T., Lord Darzi Of Denham, Heriot A.G.",123706,Diseases of the Colon and Rectum,51,10,0,0,0,0,0,0
2008,Meta-analysis: The use of adhesion prevention membranes in abdominal surgery (Alimentary Pharmacology and Therapeutics (2008) DOI: 10.1111/j.1365-2036.2008.03740.x)),"Tilney H.S., Purkayastha S., Constantinides V.A., Morris R., Darzi A.W., Tekkis P.P.",2692813,Alimentary Pharmacology and Therapeutics,28,7,0,0,0,0,0,0
2008,"Meta-analysis: Narrow band imaging for lesion characterization in the colon, oesophagus, duodenal ampulla and lung","East J.E., Tan E.K., Bergman J.J., Saunders B.P., Tekkis P.P.",2692813,Alimentary Pharmacology and Therapeutics,28,7,0,0,1,1,6,7
2008,The effect of smoking after surgery for Crohn's disease: A meta-analysis of observational studies,"Reese G.E., Nanidis T., Borysiewicz C., Yamamoto T., Orchard T., Tekkis P.P.",1791958,International Journal of Colorectal Disease,23,12,0,0,0,0,0,0
2008,The role of intersphincteric resection and the 'Anterior Perineal Plane for ultra-low Anterior Resection' for rectal cancer,"Tilney H.S., Tekkis P.P.",14628910,Colorectal Disease,10,7,0,0,0,0,0,0
2008,A cost-effectiveness analysis of delayed sphincteroplasty for anal sphincter injury,"Tan E.K., Jacovides M., Khullar V., Teoh T.-G., Fernando R.J., Tekkis P.P.",14628910,Colorectal Disease,10,7,0,0,0,0,1,1
2008,Ileal Pouch Dysfunction: Diagnosis and Management,"Tekkis P.P., Nicholls R.J.",8898553,Gastroenterology Clinics of North America,37,3,0,0,0,0,0,0
2008,Is rectal washout effective for preventing localized recurrence after anterior resection for rectal cancer?,"Constantinides V.A., Cheetham D., Nicholls R.J., Tekkis P.P.",123706,Diseases of the Colon and Rectum,51,9,0,0,0,0,1,1
2008,A comparative study of standard vs. high definition colonoscopy for adenoma and hyperplastic polyp detection with optimized withdrawal technique,"East J.E., Stavrindis M., Thomas-Gibson S., Guenther T., Tekkis P.P., Saunders B.P.",2692813,Alimentary Pharmacology and Therapeutics,28,6,0,0,0,0,1,1
2008,The risk of oral contraceptives in the etiology of inflammatory bowel disease: A meta-analysis,"Cornish J.A., Tan E., Simillis C., Clark S.K., Teare J., Tekkis P.P.",29270,American Journal of Gastroenterology,103,9,0,0,0,0,3,3
2008,Meta-analysis of randomized studies evaluating chewing gum to enhance postoperative recovery following colectomy,"Purkayastha S., Tilney H.S., Darzi A.W., Tekkis P.P.",40010,Archives of Surgery,143,8,0,0,0,0,5,5
2008,Multidisciplinary Treatment of Cancer of the Rectum: A European Approach,"Nicholls R.J., Tekkis P.P.",10553207,Surgical Oncology Clinics of North America,17,3,0,0,0,0,1,1
2008,"Surgical strategies for faecal incontinence - A decision analysis between dynamic graciloplasty, artificial bowel sphincter and end stoma","Tan E.K., Vaizey C., Cornish J., Darzi A., Tekkis P.P.",14628910,Colorectal Disease,10,6,0,0,0,0,1,1
2008,Quantification of risk of a positive (R1) resection margin following hepatic resection for metastatic colorectal cancer: An aid to clinical decision-making,"Welsh F.K.S., Tekkis P.P., O'Rourke T., John T.G., Rees M.",9607404,Surgical Oncology,17,1,0,0,2,2,0,2
2008,The impact of experience on polyp detection and sizing accuracy at capsule endoscopy: Implications for training from an animal model study,"Postgate A., Tekkis P., Fitzpatrick A., Bassett P., Fraser C.",0013726X,Endoscopy,40,6,0,0,1,1,1,2
2008,Diagnostic precision of endoanal MRI in the detection of anal sphincter pathology - A meta-analysis,"Tan E., Anstee A., Koh D.-M., Gedroyc W., Tekkis P.P.",1791958,International Journal of Colorectal Disease,23,6,0,0,0,0,0,0
2008,Early or late surgery for patients with ileocecal Crohn's disease?: Commentary,"Tekkis P.P., Nicholls R.J.",17434378,Nature Clinical Practice Gastroenterology and Hepatology,5,6,0,0,0,0,1,1
2008,Assessment of the mucosa of the indefinitely diverted ileo-anal pouch,"Das P., Smith J.J., Lyons A.P., Tekkis P.P., Clark S.K., Nicholls R.J.",14628910,Colorectal Disease,10,5,0,0,0,0,0,0
2008,Is theatre utilization a valid performance indicator for NHS operating theatres?,"Faiz O., Tekkis P., Mcguire A., Papagrigoriadis S., Rennie J., Leather A.",14726963,BMC Health Services Research,8, ,0,0,1,1,1,2
2008,The authors' reply,"George S., Dhadwal K., Al-Ruzzeh S., Athanasiou T., Choudhury M., Tekkis P., Vuddamalay P., Lyster H., Amrani M.",13556037,Heart,94,5,0,0,0,0,0,0
2008,"Review article: Restorative proctocolectomy, indications, management of complications and follow-up - A guide for gastroenterologists","McLaughlin S.D., Clark S.K., Tekkis P.P., Ciclitira P.J., Nicholls R.J.",2692813,Alimentary Pharmacology and Therapeutics,27,10,0,0,1,1,2,3
2008,Comparison of outcomes after restorative proctocolectomy with or without defunctioning ileostomy,"Weston-Petrides G.K., Lovegrove R.E., Tilney H.S., Heriot A.G., Nicholls R.J., Mortensen N.J.M., Fazio V.W., Tekkis P.P.",40010,Archives of Surgery,143,4,0,0,5,5,2,7
2008,Comparison of outcomes of ileal pouch-anal anastomosis for familial adenomatous polyposis with and without previous ileorectal anastomosis,"Von Roon A.C., Tekkis P.P., Lovegrove R.E., Neale K.F., Phillips R.K.S., Clark S.K.",71323,British Journal of Surgery,95,4,0,0,0,0,0,0
2008,Can depth of tumour invasion predict lymph node positivity in patients undergoing resection for early rectal cancer? A comparative study between T1 and T2 cancers,"Rasheed S., Northover J.M.A., Bowley D.M., Aziz O., Tekkis P.P., Sadat A.E., Boello M.L., Mcdonald P.J., Talbot I.C.",14628910,Colorectal Disease,10,3,0,0,1,1,3,4
2008,The authors reply,"Heriot A.G., Tekkis P.P.",123706,Diseases of the Colon and Rectum,51,3,0,0,0,0,0,0
2008,Artificial neural networks: Useful aid in diagnosing acute appendicitis,"Prabhudesai S.G., Gould S., Rekhraj S., Tekkis P.P., Glazer G., Ziprin P.",3642313,World Journal of Surgery,32,2,0,0,1,1,0,1
2008,Comparison of administrative data with the Association of Coloproctology of Great Britain and Ireland (ACPGBI) colorectal cancer database,"Garout M., Tilney H.S., Tekkis P.P., Aylin P.",1791958,International Journal of Colorectal Disease,23,2,0,0,0,0,2,2
2008,A national perspective on the decline of abdominoperineal resection for rectal cancer,"Tilney H.S., Heriot A.G., Purkayastha S., Antoniou A., Aylin P., Darzi A.W., Tekkis P.P.",34932,Annals of Surgery,247,1,0,0,5,5,3,8
2008,Extending the horizons of restorative rectal surgery: Intersphincteric resection for low rectal cancer,"Tilney H.S., Tekkis P.P.",14628910,Colorectal Disease,10,1,0,0,5,5,1,6
2008,"Long-term results of liver resection for non-colorectal, non-neuroendocrine metastases","O'Rourke T.R., Rees M., Tekkis P., Yeung S., Fawcett J., Lynch S., Strong R., Wall D., John T.G., Welsh F.",10689265,Annals of Surgical Oncology,15,1,0,0,1,1,1,2
