,"This is a citation overview for a set of 7 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 3 (Of the 7 documents considered for the h-Index, 3 have been cited at least 3 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,106,64,72,136,26,268
2008,"Inflammatory rheumatic conditions and cardiovascular disease","Tull T., Abraham S.",14702118,"Clinical Medicine, Journal of the Royal College of Physicians of London",8, 6,0,0,0,0,0,0
2006,"Anti-tuberculous therapy-induced crystal arthropathy [4]","Abraham S., Mitchell A., Cope A.",14620324,"Rheumatology",45, 9,0,0,0,0,0,0
2006,"Antiinflammatory effects of dexamethasone are partly dependent on induction of dual specificity phosphatase 1","Abraham S.M., Lawrence T., Kleiman A., Warden P., Medghalchi M., Tuckermann J., Saklatvala J., Clark A.R.",00221007,"Journal of Experimental Medicine",203, 8,2,20,25,45,12,59
2004,"Hepatic manifestations of autoimmune rheumatic diseases [4] (multiple letters)","Sandhu V., Jawad A.S.M., Abraham S., Isenberg D.",00034967,"Annals of the Rheumatic Diseases",63, 8,1,0,0,0,0,1
2004,"An unusual case of ankle arthropathy [3]","Abraham S., Cope A.",00034967,"Annals of the Rheumatic Diseases",63, 4,2,0,0,0,0,2
2004,"Hepatic manifestations of autoimmune rheumatic diseases","Abraham S., Begum S., Isenberg D.",00034967,"Annals of the Rheumatic Diseases",63, 2,14,13,15,28,2,44
2002,"Dexamethasone causes sustained expression of mitogen-activated protein kinase (MAPK) phosphatase 1 and phosphatase-mediated inhibition of MAPK p38","Lasa M., Abraham S.M., Boucheron C., Saklatvala J., Clark A.R.",02707306,"Molecular and Cellular Biology",22, 22,87,31,32,63,12,162
