,"Author: Adcock, Ian M.",,,,,,,,,,,

,"h index = 50 (Of the 213 documents considered for the h-Index, 50 have been cited at least 50 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,

,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,6801,1185,1142,2327,845,9973
2009,MUC5AC expression is increased in bronchial submucosal glands of stable COPD patients,"Caramori G., Adcock I.M., Cavallesco G., Chung K.F., Papi A., Casolari P., Di Gregorio C., Saetta M., Baraldo S., Boschetto P., Ito K., Fabbri L.M., Barnes P.J.",3090167,Histopathology,55,3,0,0,0,0,0,0
2009,Inhaled corticosteroids as combination therapy with ?-adrenergic agonists in airways disease: Present and future,"Chung K.F., Caramori G., Adcock I.M.",316970,European Journal of Clinical Pharmacology,65,9,0,0,0,0,0,0
2009,PHF11 and DPP10: A Tale of Two Genes in Asthma,"Adcock I.M., Kirkham P.A.",257931,Respiration,, ,0,0,0,0,0,0
2009,T helper type 17-related cytokine expression is increased in the bronchial mucosa of stable chronic obstructive pulmonary disease patients,"Di Stefano A., Brun P., Casolari P., Chung K.F., Barnes P.J., Papi A., Adcock I., Balbi B., Caramori G., Gnemmi I., Contoli M., Vicari C., Capelli A., Magno F., D'Anna S.E., Zanini A.",99104,Clinical and Experimental Immunology,157,2,0,0,0,0,0,0
2009,Nitration of distinct tyrosine residues causes inactivation of histone deacetylase 2,"Osoata G.O., Yamamura S., Ito M., Vuppusetty C., Adcock I.M., Barnes P.J., Ito K.",0006291X,Biochemical and Biophysical Research Communications,384,3,0,0,0,0,0,0
2009,Bronchodilatory effect of the PPAR-? agonist rosiglitazone in smokers with asthma,"Spears M., Bareille P., Sweeney L., Adcock I.M., Barnes P.J., Wood S., Thomson N.C., Donnelly I., Jolly L., Brannigan M., Ito K., McSharry C., Lafferty J., Chaudhuri R., Braganza G.",99236,Clinical Pharmacology and Therapeutics,86,1,0,0,0,0,0,0
2009,Neutrophil elastase represses IL-8/CXCL8 synthesis in human airway smooth muscle cells through induction of NF-kappa B repressing factor.,"Ho S.C., Kuo H.P., Lee K.Y., Chan Y.F., Kuo L.W., Ito K., Adcock I.M., Chen B.C., Sheu J.R., Lin C.H.",15506606,"Journal of immunology (Baltimore, Md. : 1950)",183,1,0,0,0,0,0,0
2009,MicroRNA expression profiling in mild asthmatic human airways and effect of corticosteroid therapy,"Williams A.E., Larner-Svensson H., Perry M.M., Campbell G.A., Herrick S.E., Adcock I.M., Erjefalt J.S., Chung K.F., Lindsay M.A.",19326203,PLoS ONE,4,6,0,0,0,0,0,0
2009,Rescue treatment in asthma,"Papi A., Caramori G., Adcock I.M., Barnes P.J.",123692,Chest,135,6,0,0,0,0,0,0
2009,Glucocorticoid resistance in inflammatory diseases,"Barnes P.J., Adcock I.M.",1406736,The Lancet,373,9678,0,0,0,0,2,2
