,"Author: Aggarwal, R.; Aggarwal, Rajesh K.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 19 (Of the 106 documents considered for the h-Index, 19 have been cited at least 19 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,679,186,329,515,219,1413
2009,Virtual reality training for surgical trainees in laparoscopic surgery,"Gurusamy K.S., Aggarwal R., Palanivelu L., Davidson B.R.",1469493X,Cochrane Database of Systematic Reviews,,1,0,0,0,0,2,2
2009,Development of a virtual reality training curriculum for laparoscopic cholecystectomy,"Aggarwal R., Crochet P., Dias A., Ziprin P., Darzi A.",71323,British Journal of Surgery,96,9,0,0,0,0,0,0
2009,Development and validation of mental practice as a training strategy for laparoscopic surgery,"Arora S., Aggarwal R., Sevdalis N., Moran A., Sirimanna P., Kneebone R., Darzi A.",9302794,Surgical Endoscopy,, ,0,0,0,0,0,0
2009,Validation of Video-based Skill Assessment in Carotid Artery Stenting,"Van Herzeele I., Aggarwal R., Malik I., Gaines P., Hamady M., Darzi A., Cheshire N., Vermassen F.",10785884,European Journal of Vascular and Endovascular Surgery,38,1,0,0,0,0,0,0
2009,Surgical training using simulation.,"Kneebone R., Aggarwal R.",14685833,BMJ (Clinical research ed.),338, ,0,0,0,0,0,0
2009,"Re: Sleep deprivation, fatigue, medical error and patient safety","Sugden C., Aggarwal R., Darzi A.",29610,American Journal of Surgery,, ,0,0,0,0,0,0
2009,Surgical training using simulation,"Kneebone R., Aggarwal R.",9598146,BMJ,338,7705,0,0,0,0,0,0
2009,Use of simulators in vascular training,"Van Herzeele I., Aggarwal R., Malik I.",13556037,Heart,95,8,0,0,0,0,0,0
2009,Virtual reality training for surgical trainees in laparoscopic surgery.,"Gurusamy K.S., Aggarwal R., Palanivelu L., Davidson B.R.",1469493X,Cochrane database of systematic reviews (Online),,1,0,0,0,0,0,0
2009,Evaluating training for a simulated team in complex whole procedure simulations in the endovascular suite,"Nestel D., Ahluwalia G., Darzi A., Van Herzeele I., Aggarwal R., Odonoghue K., Choong A., Clough R., Eades C., Lau J., Neequaye S.",0142159X,Medical Teacher,31,1,0,0,0,0,0,0
2009,Improving informed consent of surgical patients using a multimedia-based program?: Results of a prospective randomized multicenter study of patients before cholecystectomy,"Patel V., Aggarwal R., Kinross J., Taylor D., Davies R., Darzi A.",34932,Annals of Surgery,249,3,0,0,0,0,0,0
2009,Surgical training and certification in the United Kingdom,"Smith A.J., Aggarwal R., Warren O.J., Paraskeva P.",3642313,World Journal of Surgery,33,2,0,0,0,0,0,0
2009,Authors' reply: Systematic review of randomized controlled trials on the effectiveness of virtual reality training for laparoscopic surgery,"Gurusamy K., Aggarwal R., Davidson B.R.",71323,British Journal of Surgery,96,2,0,0,0,0,0,0
2009,Use of collagen wrap from bovine origin for the management of colic perforation. Preliminary study in a pig model,"Nocca D., Fabre J.M., Aggarwal R., Deneve E., Picot M.C., Sanders G., Pourquier D., Taillade H., Millat B., Gagner M.",10926429,Journal of Laparoendoscopic and Advanced Surgical Techniques,19,1,0,0,0,0,0,0
2009,From scalpel to simulator: A surgical journey,"Aggarwal R., Darzi A.",396060,Surgery,145,1,0,0,0,0,0,0
2008,Cognitive training improves clinically relevant outcomes during simulated endovascular procedures,"Van Herzeele I., Aggarwal R., Neequaye S., Darzi A., Vermassen F., Cheshire N.J.",7415214,Journal of Vascular Surgery,48,5,0,0,1,1,2,3
2008,Assessment of Laparoscopic Suturing Skills of Urology Residents: A Pan-European Study,"Kroeze S.G.C., Mayer E.K., Chopra S., Aggarwal R., Darzi A., Patel A.",3022838,European Urology,, ,0,0,0,0,0,0
2008,A systematic review of skills transfer after surgical simulation training,"Aggarwal R., Darzi A., Grantcharov T.P.",34932,Annals of Surgery,248,4,0,0,0,0,1,1
2008,Prospective assessment of patient selection for antireflux surgery by combined multichannel intraluminal impedance pH monitoring,"Del Genio G., Tolone S., Del Genio F., Aggarwal R., D'Alessandro A., Allaria A., Rossetti G., Brusciano L., Del Genio A.",1091255X,Journal of Gastrointestinal Surgery,12,9,0,0,0,0,1,1
2008,Endoscopic cervical bariatric surgery: Follow-up study in a porcine model,"Del Genio G., Aggarwal R., Del Genio A., Gagner M., Nocca D., Cuenca-Abente F., Biertho L., Waage A., Faife B., Del Genio F., Boza C.",9608923,Obesity Surgery,18,9,0,0,1,1,0,1
2008,Virtual reality simulation: Prepared for training and assessment of endovascular skills?,"Van Herzeele I., Aggarwal R.",18244777,Italian Journal of Vascular and Endovascular Surgery,15,3,0,0,0,0,0,0
