,"This is a citation overview for a set of 39 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 16 (Of the 39 documents considered for the h-Index, 16 have been cited at least 16 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1190,238,218,456,162,1808
2009,"The development of a selective cyclin-dependent kinase inhibitor that shows antitumor activity","Ali S., Periyasamy M., Tolhurst R.S., Kanneganti S.K., Snyder J.P., Liotta D.C., Aboagye E.O., Barrett A.G.M., Coombes R.C., Heathcote D.A., Kroll S.H.B., Jogalekar A.S., Scheiper B., Patel H., Brackow J., Siwicka A., Fuchter M.J.",00085472,"Cancer Research",69, 15,0,0,0,0,0,0
2009,"Regulation of ERBB2 by oestrogen receptor-PAX2 determines response to tamoxifen (Nature (2008) 456, (663-666))","Hurtado A., Carroll J.S., Holmes K.A., Geistlinger T.R., Hutcheson I.R., Nicholson R.I., Brown M., Jiang J., Howat W.J., Ali S.",00280836,"Nature",457, 7233,0,0,0,0,0,0
2008,"Regulation of ERBB2 by oestrogen receptor-PAX2 determines response to tamoxifen","Hurtado A., Carroll J.S., Holmes K.A., Geistlinger T.R., Hutcheson I.R., Nicholson R.I., Brown M., Jiang J., Howat W.J., Ali S.",00280836,"Nature",456, 7222,0,0,0,0,14,14
2008,"The DEAD box RNA helicases p68 (Ddx5) and p72 (Ddx17): Novel transcriptional co-regulators","Fuller-Pace F.V., Ali S.",03005127,"Biochemical Society Transactions",36, 4,0,0,0,0,2,2
2008,"Phosphorylation at serines 104 and 106 by Erk1/2 MAPK is important for estrogen receptor-? activity","Thomas R.S., Sarwar N., Phoenix F., Coombes R.C., Ali S.",09525041,"Journal of Molecular Endocrinology",40, 3-4,0,0,1,1,5,6
2007,"Phosphorylation of estrogen receptor-? at Ser167 is indicative of longer disease-free and overall survival in breast cancer patients","Jiang J., Sarwar N., Peston D., Kulinskaya E., Shousha S., Coombes R.C., Ali S.",10780432,"Clinical Cancer Research",13, 19,0,0,3,3,1,4
2006,"ZNF366 is an estrogen receptor corepressor that acts through CtBP and histone deacetylases","Lopez-Garcia J., Buluwela L., Kamalati T., Ali S., Periyasamy M., Thomas R.S., Christian M., Leao M., Jat P., Kindle K.B., Heery D.M., Parker M.G.",03051048,"Nucleic Acids Research",34, 21,0,0,3,3,3,6
2006,"Phosphorylation of ER? at serine 118 in primary breast cancer and in tamoxifen-resistant tumours is indicative of a complex role for ER? phosphorylation in breast cancer progression","Sarwar N., Shousha S., Coombes R.C., Ali S., Kim J.-S., Jiang J., Peston D., Sinnett H.D., Madden P., Gee J.M., Nicholson R.I., Lykkesfeldt A.E.",13510088,"Endocrine-Related Cancer",13, 3,1,4,5,9,4,14
2005,"T:G mismatch-specific thymine-DNA glycosylase (TDG) as a coregulator of transcription interacts with SRC1 family members through a novel tyrosine repeat motif","Lucey M.J., Losson R., Chambon P., Parker M.G., Schar P., Heery D.M., Buluwela L., Ali S., Chen D., Lopez-Garcia J., Hart S.M., Phoenix F., Al-Jehani R., Alao J.P., White R., Kindle K.B.",03051048,"Nucleic Acids Research",33, 19,2,3,6,9,2,13
2005,"Elevated ERK1/ERK2/estrogen receptor cross-talk enhances estrogen-mediated signaling during long-term estrogen deprivation","Martin L.-A., Farmer I., Johnston S.R.D., Ali S., Dowsett M.",13510088,"Endocrine-Related Cancer",12, 1,3,1,4,5,5,13
2005,"Preoperative gefitinib versus gefitinib and anastrozole in postmenopausal patients with oestrogen-receptor positive and epidermal-growth-factor-receptor-positive primary breast cancer: A double-blind placebo-controlled phase II randomised trial","Polychronis A., Barrett N., Vigushin D., Morrison K., Beresford E., Ali S., Slade M.J., Coombes R.C., Sinnett H.D., Hadjiminas D., Singhal H., Mansi J.L., Shivapatham D., Shousha S., Jiang J., Peston D.",14702045,"Lancet Oncology",6, 6,20,23,16,39,5,64
2005,"Erratum: Inhibiting estrogen responses in breast cancer cells using a fusion protein encoding estrogen receptor-? and the transcriptional repressor PLZF (Gene Therapy) (2005) vol. 12 (452-460) 10.1038/sj.gt.3302421)","Buluwela L., Heathcote D.A., Schwickerath O., Phoenix F., Hill R., Aboagye E., Shousha S., Waxman J., Lemoine N.R., Zelent A., Coombes R.C., Pike J., Ali S., Mazhar D., Kamalati T., Hart S.M., Al-Jehani R., Yahaya H., Patel N., Sarwarl N.",09697128,"Gene Therapy",12, 10,0,0,0,0,0,0
2005,"Inhibiting estrogen responses in breast cancer cells using a fusion protein encoding estrogen receptor-? and the transcriptional repressor PLZF","Buluwela L., Heathcote D.A., Schwickerath O., Phoenix F., Hill R., Aboagye E., Shousha S., Waxman J., Lemoine N.R., Zelent A., Coombes R.C., Pike J., Ali S., Mazhar D., Kamalati T., Hart S.M., Al-Jehani R., Yahaya H., Patel N., Sarwarl N.",09697128,"Gene Therapy",12, 5,2,1,0,1,0,3
2005,"Erratum: Inhibiting estrogen responses in breast cancer cells using a fusion protein encoding estrogen receptor-? and the transcriptional repressor PLZF (Gene Therapy (2005) vol. 12 (452-460) 10.1038/sj.gt.3302421)","Buluwela L., Heathcote D.A., Schwickerath O., Phoenix F., Hill R., Aboagye E., Shousha S., Waxman J., Lemoine N.R., Zelent A., Coombes R.C., Pike J., Ali S., Mazhar D., Kamalati T., Hart S.M., Al-Jehani R., Yahaya H., Patel N., Sarwarl N.",09697128,"Gene Therapy",12, 6,0,0,0,0,0,0
2005,"ICI182,780 induces p21Waf1 gene transcription through releasing histone deacetylase 1 and betrogen receptor ? from Sp1 sites to induce cell cycle arrest in MCF-7 breast cancer cell line","Varshochi R., Lam E.W.-F., Halim F., Sunters A., Alao J.P., Madureira P.A., Hart S.M., Ali S., Vigushin D.M., Coombes R.C.",00219258,"Journal of Biological Chemistry",280, 5,11,6,7,13,5,29
2004,"The cooked food derived carcinogen 2-amino-1-methyl-6-phenylimidazo[4,5-b] pyridine is a potent oestrogen: A mechanistic basis for its tissue-specific carcinogenicity","Lauber S.N., Ali S., Gooderham N.J.",01433334,"Carcinogenesis",25, 12,10,10,5,15,2,27
2004,"Histone deacetylase inhibitor trichostatin A represses estrogen receptor ?-dependent transcription and promotes proteasomal degradation of cyclin D1 in human breast carcinoma cell lines","Alao J.P., Vigushin D.M., Lam E.W.-F., Ali S., Buluwela L., Bordogna W., Lockey P., Varshochi R., Stavropoulou A.V., Coombes R.C.",10780432,"Clinical Cancer Research",10, 23,13,13,3,16,6,35
2004,"Silencing of androgen-regulated genes using a fusion of AR with the PLZF transcriptional repressor","Pike J., Zelent A., Lemoine N.R., Ali S., Buluwela L., Holmes D., Kamalati T., Davies D., Tolhurst R., Mazhar D., Fishpool S., Al-Jehani R., Waxman J.",09509232,"Oncogene",23, 45,3,0,0,0,1,4
2004,"Estrogen receptors and anti-estrogen therapies.","Buluwela L., Constantinidou D., Pike J., Ali S.",09273042,"Cancer treatment and research",119, ,1,0,0,0,0,1
2004,"Tumour necrosis factor and PI3-kinase control oestrogen receptor alpha protein level and its transrepression function","Bhat-Nakshatri P., Campbell R.A., Patel N.M., Newton T.R., King A.J., Marshall M.S., Ali S., Nakshatri H.",00070920,"British Journal of Cancer",90, 4,9,1,1,2,1,12
2003,"Reporter gene assay demonstrates functional differences in estrogen receptor activity in purified breast cancer cells: A pilot study","Singh A., Ali S., Kothari M.S., De Bella M.T., Smith C., Timms E., Slade M.J., Foxwell B.M., Coombes R.C.",00207136,"International Journal of Cancer",107, 5,3,0,1,1,0,4
2003,"T:G mismatch-specific thymine-DNA glycosylase potentiates transcription of estrogen-regulated genes through direct interaction with estrogen receptor ?","Chen D., Schar P., Ali S., Lucey M.J., Phoenix F., Lopez-Garcia J., Hart S.M., Losson R., Buluwela L., Coombes R.C., Chambon P.",00219258,"Journal of Biological Chemistry",278, 40,9,6,7,13,4,26
2003,"Enhanced estrogen receptor (ER) ?, ERBB2, and MAPK signal transduction pathways operate during the adaptation of MCF-7 cells to long term estrogen deprivation","Martin L.-A., Farmer I., Johnston S.R.D., Ali S., Marshall C., Dowsett M.",00219258,"Journal of Biological Chemistry",278, 33,57,22,16,38,10,105
2003,"Purified malignant mammary epithelial cells maintain hormone responsiveness in culture","Kothari M.S., Coombes R.C., Slade M.J., Ali S., Buluwela L., Livni N., Shousha S., Sinnett H.D., Yashisht R., Thorpe P., Van Noorden S.",00070920,"British Journal of Cancer",88, 7,9,1,0,1,1,11
2002,"Molecular changes associated with the acquisition of oestrogen hypersensitivity in MCF-7 breast cancer cells on long-term oestrogen deprivation","Chan C.M.W, Martin L.-A., Johnston S.R.D, Ali S., Dowsett M.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",81, 4-5,35,5,4,9,6,50
2002,"Phosphorylation of human estrogen receptor ? at serine 118 by two distinct signal transduction pathways revealed by phosphorylation-specific antisera","Chen D., Egly J.-M., Coombes R.C., Ali S., Washbrook E., Sarwar N., Bates G.J., Pace P.E., Thirunuvakkarasu V., Taylor J., Epstein R.J., Fuller-Pace F.V.",09509232,"Oncogene",21, 32,42,11,9,20,13,75
2002,"Endocrine-responsive breast cancer and strategies for combating resistance","Ali S., Coombes R.C.",1474175X,"Nature Reviews Cancer",2, 2,123,35,46,81,27,231
2001,"Phosphatidylinositol 3-kinase/AKT-mediated activation of estrogen receptor ?: A new model for anti-estrogen resistance","Campbell R.A., Bhat-Nakshatri P., Patel N.M., Constantinidou D., Ali S., Nakshatri H.",00219258,"Journal of Biological Chemistry",276, 13,220,43,48,91,20,331
2001,"Retroviral infection of the FGF2 gene into MCF-7 cells induces branching morphogenesis, retards cell growth and suppresses tumorigenicity in nude mice","Liu D., Buluwela L., Ali S., Thomson S., Gomm J.J., Coombes R.C.",09598049,"European Journal of Cancer",37, 2,5,1,1,2,1,8
2001,"Analysis of estrogen-responsive finger protein expression in benign and malignant human breast","Thomson S.D., Ali S., Pickles L., Taylor J., Pace P.E., Lymboura M., Shousha S., Coombes R.C.",00207136,"International Journal of Cancer",91, 2,5,1,0,1,0,6
2000,"Activation of estrogen receptor ? by S118 phosphorylation involves a ligand-dependent interaction with TFIIH and participation of CDK7","Chen D., Riedl T., Washbrook E., Pace P.E., Coombes R.C., Egly J.-M., Ali S.",10972765,"Molecular Cell",6, 1,98,18,9,27,6,131
1999,"Phosphorylation of human estrogen receptor ? by protein kinase A regulates dimerization","Chen D., Pace P.E., Coombes R.C., Ali S.",02707306,"Molecular and Cellular Biology",19, 2,102,9,8,17,6,125
1998,"Localization and expression of the human estrogen receptor beta gene in uterine leiomyomata","Pedeutour F., Quade B.J., Weremowicz S., Dal Cin P., Ali S., Morton C.C.",10452257,"Genes Chromosomes and Cancer",23, 4,23,3,1,4,0,27
1998,"An important role for BRCA1 in breast cancer progression is indicated by its loss in a large proportion of non-familial breast cancers","Taylor J., Tymboura M., Pace P.E., A'Hern R.P., Desai A.J., Shousha S., Coombes R.C., Ali S.",00207136,"International Journal of Cancer",79, 4,46,6,5,11,4,61
1997,"Human estrogen receptor ? binds DNA in a manner similar to and dimerizes with estrogen receptor ?","Pace P., Taylor J., Suntharalingam S., Coombes R.C., Ali S.",00219258,"Journal of Biological Chemistry",272, 41,179,8,6,14,4,197
1995,"Characterization of the amino-terminal transcriptional activation function of the human estrogen receptor in animal and yeast cells","Metzger D., Ali S., Bornert J.-M., Chambon P.",00219258,"Journal of Biological Chemistry",270, 16,138,5,3,8,4,150
1990,"Characterisation of the alleles encoding ovine ?-lactoglobulins A and B","Ali S., McClenaghan M., Simons J.P., Clark A.J.",03781119,"Gene",91, 2,8,1,0,1,0,9
1990,"Gene expression in the mammary gland","Harris S., McClenaghan M., Simons J.P., Ali S., Clark A.J.",00224251,"Journal of Reproduction and Fertility",88, 2,6,1,0,1,0,7
1989,"The molecular manipulation of milk composition","Clark A.J., Whitelaw C.B.A., Wil mut I., Ali S., Archibald A.L., Bessos H., Brown P., Harri s S., McClenaghan M., Prowe C., Simons J.P.",08312796,"Genome",31, 2,7,0,0,0,0,7
