,"Authors: Allen-Mersh, Timothy G.;Allen Mersh, Timothy G.",,,,,,,,,,,
,,,,,,,,,,,,
,This is a citation overview for a set of 127 documents.,,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 26 (Of the 127 documents considered for the h-Index, 26 have been cited at least 26 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1896,191,200,391,91,2378
2007,Authors' reply: Role of circulating tumour cells in predicting recurrence after excision of primary colorectal carcinoma (Br J Surg 2007; 94: 96-105) [6],Allen-Mersh T.G.,71323,British Journal of Surgery,94,5,0,0,0,0,0,0
2007,Role of circulating tumour cells in predicting recurrence after excision of primary colorectal carcinoma,"Allen-Mersh T.G., McCullough T.K., Patel H., Wharton R.Q., Glover C., Jonas S.K.",71323,British Journal of Surgery,94,1,0,1,7,8,4,12
2006,"A ""field change"" of inhibited apoptosis occurs in colorectal mucosa adjacent to colorectal adenocarcinoma","Badvie S., Hanna-Morris A., Andreyev H.J.N., Cohen P., Saini S., Allen-Mersh T.G.",219746,Journal of Clinical Pathology,59,9,0,0,3,3,3,6
2005,"Immune responses in advanced colorectal cancer following repeated intradermal vaccination with the anti-CEA murine monoclonal antibody, PR1A3: Results of a phase I study","Zbar A.P., Epenetos A.A., Snary D., Bodmer W.F., Thomas H., Wilkinson R.W., Wadhwa M., Syrigos K.N., Ross E.L., Dilger P., Allen-Mersh T.G., Kmiot W.A.",1791958,International Journal of Colorectal Disease,20,5,1,2,2,4,1,6
2005,The value of anal cytology and human papillomavirus typing in the detection of anal intraepithelial neoplasia: A review of cases from an anoscopy clinic,"Fox P.A., Seet J.E., Stebbing J., Francis N., Barton S.E., Strauss S., Allen-Mersh T.G., Gazzard B.G., Bower M.",13684973,Sexually Transmitted Infections,81,2,11,3,14,17,6,34
2004,Epidural analgesia in gastrointestinal surgery,"Fotiadis R.J., Badvie S., Weston M.D., Allen-Mersh T.G.",71323,British Journal of Surgery,91,7,16,8,8,16,6,38
2004,Relaparotomy for Suspected Intraperitoneal Sepsis after Abdominal Surgery,"Hutchins R.R., Gunning M.P., Lucas D.N., Allen-Mersh T.G., Soni N.C.",3642313,World Journal of Surgery,28,2,13,5,5,10,1,24
