,"This is a citation overview for a set of 158 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 35 (Of the 158 documents considered for the h-Index, 35 have been cited at least 35 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2402,601,628,1229,449,4080
2009,"Targeting CB2 receptors and the endocannabinoid system for the treatment of pain","Anand P., Whiteside G., Fowler C.J., Hohmann A.G.",01650173,"Brain Research Reviews",60, 1,0,0,0,0,0,0
2008,"Contact heat evoked potentials using simultaneous EEG and fMRI and their correlation with evoked pain","Roberts K., Papadaki A., Goncalves C., Tighe M., Atherton D., Shenoy R., McRobbie D., Anand P.",14712253,"BMC Anesthesiology",8, ,0,0,0,0,1,1
2008,"Noncontact measurement of the local mechanical properties of living cells using pressure applied via a pipette","Sanchez D., Frolenkov G.I., Benham C., Lab M., Ostanin V.P., Schaffer T.E., Klenerman D., Korchev Y.E., Johnson N., Li C., Novak P., Rheinlaender J., Zhang Y., Anand U., Anand P., Gorelik J.",00063495,"Biophysical Journal",95, 6,0,0,0,0,3,3
2008,"Cannabinoid receptor CB2 localisation and agonist-mediated inhibition of capsaicin responses in human sensory neurons","Anand U., Chessell I.P., Anand P., Otto W.R., Sanchez-Herrera D., Facer P., Yiangou Y., Korchev Y., Birch R., Benham C., Bountra C.",03043959,"Pain",138, 3,0,0,1,1,7,8
2008,"Cytosine arabinoside affects the heat and capsaicin receptor TRPV1 localisation and sensitivity in human sensory neurons","Anand U., Otto W.R., Bountra C., Chessell I., Sinisi M., Birch R., Anand P.",0167594X,"Journal of Neuro-Oncology",89, 1,0,0,0,0,0,0
2008,"Increased capsaicin receptor TRPV1-expressing sensory fibres in irritable bowel syndrome and their correlation with abdominal pain","Akbar A., Yiangou Y., Facer P., Walters J.R.F., Anand P., Ghosh S.",00175749,"Gut",57, 7,0,0,7,7,17,24
2008,"TRPA1 receptor localisation in the human peripheral nervous system and functional studies in cultured human and rat sensory neurons","Anand U., Anand P., Otto W.R., Facer P., Zebda N., Selmer I., Gunthorpe M.J., Chessell I.P., Sinisi M., Birch R.",03043940,"Neuroscience Letters",438, 2,0,0,0,0,3,3
2008,"Relocation of painful neuromas in zone III of the hand and forearm","Atherton D.D., Fabre J., Anand P., Elliot D.",17531934,"Journal of Hand Surgery: European Volume",33, 2,0,0,0,0,0,0
2008,"Increased nerve fiber expression of sensory sodium channels Nav1.7, Nav1.8, and Nav1.9 in rhinitis","Keh S.M., Facer P., Simpson K.D., Sandhu G., Saleh H.A., Anand P.",0023852X,"Laryngoscope",118, 4,0,0,2,2,3,5
2008,"Normalization of substance P levels in rectal mucosa of patients with faecal incontinence treated successfully by sacral nerve stimulation","Gooneratne M.L., Facer P., Knowles C.H., Chan C.L., Lunniss P.J., Scott S.M., Anand P., Williams N.S.",00071323,"British Journal of Surgery",95, 4,0,0,2,2,2,4
