,"Author: Ariff, Ben B.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 12 (Of the 28 documents considered for the h-Index, 12 have been cited at least 12 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,297,71,78,149,55,501
2009,"Imaging of liver cancer","Ariff B., Lloyd C.R., Khan S., Shariff M., Thillainayagan A.V., Bansi D.S., Khan S.A., Taylor-Robinson S.D., Lim A.K.P.",10079327,"World Journal of Gastroenterology",15, 11,0,0,0,0,1,1
2008,"A rare combination of cardiopulmonary anomalies demonstrated, on ventilation-perfusion scan","Khan S., Dunn J., Ariff B., Juli C., Karunanithy N., Strickland N., Al-Nahhas A.",15069680,"Nuclear Medicine Review",11, 1,0,0,0,0,0,0
2008,"Pulmonary emboli and extramedullary haematopoiesis in ?-thalassaemia intermedia","Dunn J., Khan S., Ariff B., Strickland N., Al-Nahhas A.",15069680,"Nuclear Medicine Review",11, 1,0,0,0,0,0,0
2007,"Analysis of complex flow and the relationship between blood pressure, wall shear stress, and intima-media thickness in the human carotid artery","Augst A.D., Ariff B., Thom S.A.G.McG., Xu X.Y., Hughes A.D.",03636135,"American Journal of Physiology - Heart and Circulatory Physiology",293, 2,0,0,1,1,4,5
2006,"Candesartan- and atenolol-based treatments induce different patterns of carotid artery and left ventricular remodeling in hypertension","Ariff B., Zambanini A., Vamadeva S., Barratt D., Xu Y., Sever P., Stanton A., Hughes A., Thom S.",00392499,"Stroke",37, 9,1,2,6,8,5,14
2005,"Correlation between haemodynamic wall parameters and intima-media thickness in the carotid arteries","Augst A.D., Xu X.Y., Ariff B., Thom S.A.McG., Hughes A.D.",,"Proceedings of the 2005 Summer Bioengineering Conference",2005, ,0,0,0,0,0,0
2005,"Operator dependence of 3-D ultrasound-based computational fluid dynamics for the carotid bifurcation","Glor F.P., Ariff B., Hughes A.D., Verdonck P.R., Thom S.A.M., Barratt D.C., Xu X.Y.",02780062,"IEEE Transactions on Medical Imaging",24, 4,2,2,3,5,1,8
2005,"Comparison between three-dimensional volume-selective turbo spin-echo imaging and two-dimensional ultrasound for assessing carotid artery structure and function","Crowe L.A., Ariff B., Keegan J., Mohiaddin R.H., Guang Z.Y., Hughes A.D., Thom S.A.McG., Firmin D.N.",10531807,"Journal of Magnetic Resonance Imaging",21, 3,1,3,4,7,4,12
2004,"The integration of medical imaging and computational fluid dynamics for measuring wall shear stress in carotid arteries","Glor F.P., Ariff B., Hughes A.D., Crowe L.A., Verdonck P.R., Barratt D.C., Thom S.A.McG., Firmin D.N., Xu X.Y.",05891019,"Annual International Conference of the IEEE Engineering in Medicine and Biology - Proceedings",26, ,0,0,0,0,0,0
2004,"Image-based carotid flow reconstruction: A comparison between MRI and ultrasound","Glor F.P., Ariff B., Hughes A.D., Crowe L.A., Verdonck P.R., Barratt D.C., Thom S.A.Mc.G., Firmin D.N., Xu X.Y.",09673334,"Physiological Measurement",25, 6,1,3,3,6,1,8
2004,"Influence of head position on carotid hemodynamics in young adults","Glor F.P., Ariff B., Hughes A.D., Verdonck P.R., Barratt D.C., Augst A.D., Thom S.A.M., Yun Xu X.",03636135,"American Journal of Physiology - Heart and Circulatory Physiology",287, 4,1,0,0,0,1,2
2004,"Reconstruction and quantification of the carotid artery bifurcation from 3-D ultrasound images","Barratt D.C., Ariff B.B., Humphries K.N., McG Thom S.A., Hughes A.D.",02780062,"IEEE Transactions on Medical Imaging",23, 5,8,3,4,7,1,16
2003,"Carotid geometry reconstruction: A comparison between MRI and ultrasound","Glor F.P., Xu X.Y., Ariff B., Crowe L.A., Hughes A.D., Cheong P.L., Thom S.A.McG., Verdonck P.R., Firmin D.N., Barratt D.C.",00942405,"Medical Physics",30, 12,5,4,2,6,1,12
2003,"Hemodynamic impact of head rotation on carotids","Glor F., Ariff B., Xu X.Y., Augst A.D., Hughes A.D., McG Thom S.A., Byrd S., Barratt D.C., Verdonck P.",13813455,"Archives of Physiology and Biochemistry",111, ,0,0,0,0,0,0
2003,"Reproducibility study of 3D geometrical reconstruction of the human carotid bifurcation from magnetic resonance images","Long Q., Ariff B., Zhao S.Z., Thom S.A., Hughes A.D., Xu X.Y.",07403194,"Magnetic Resonance in Medicine",49, 4,9,1,0,1,2,12
2003,"Reproducibility study of magnetic resonance image-based computational fluid dynamics prediction of carotid bifurcation flow","Glor F.P., Long Q., Hughes A.D., Augst A.D., Ariff B., Mcg Thom S.A., Verdonck P.R., Xu X.Y.",00906964,"Annals of Biomedical Engineering",31, 2,15,3,2,5,2,22
2002,"Midwall myocardial shortening in athletic left ventricular hypertrophy","Mayet J., Ariff B., Wasan B., Chapman N., Shahi M., Senior R., Foale R.A., Thom S.A.McG",01675273,"International Journal of Cardiology",86, 2-3,2,2,0,2,0,4
2002,"Inter-individual variations in wall shear stress and mechanical stress distributions at the carotid artery bifurcation of healthy humans","Zhao S.Z., Ariff B., Long Q., Hughes A.D, Thom S.A., Stanton A.V., Xu X.Y.",00219290,"Journal of Biomechanics",35, 10,22,10,6,16,5,43
2002,"Comparison of the effects of antihypertensive treatment with angiotensin II blockade and beta-blockade on carotid wall structure and haemodynamics: Protocol and baseline demographics","Ariff B., Thom S.A.McG., Stanton A., Barratt D., Augst A., Glor F., Poulter N., Sever P., Xu Y., Hughes A.",14703203,"JRAAS - Journal of the Renin-Angiotensin-Aldosterone System",3, 2,3,1,0,1,0,4
2002,"Mechanisms of coronary microcirculatory dysfunction in patients with aortic stenosis and angiographically normal coronary arteries","Rajappan K., Rimoldi O.E., Dutka D.P., Ariff B., Pennell D.J., Sheridan D.J., Camici P.G.",00097322,"Circulation",105, 4,35,13,8,21,10,66
2001,"CFD and FE stress analysis of the carotid bifurcation based on individual anatomical and flow data acquired using MRI and ultrasound","Xu X.Y., Zhao S.Z., Ariff B., Long Q., Hughes A.D., Thom S.A.",10716947,"American Society of Mechanical Engineers, Bioengineering Division (Publication) BED",50, ,1,0,0,0,0,1
2000,"Improvement in midwall myocardial shortening with regression of left ventricular hypertrophy","Mayet J., Ariff B., Wasan B., Chapman N., Shahi M., Poulter N.R., Sever P.S., Foale R.A., Thom S.A.McG.",0194911X,"Hypertension",36, 5,15,3,1,4,1,20
2000,"Effects of 7 years of growth hormone replacement therapy in hypopituitary adults","Chrisoulidou A., Murphy M., Thomas E., Robinson S., Foale R., Johnston D.G., Beshyah S.A., Rutherford O., Spinks T.J., Mayet J., Kyd P., Anyaoku V., Haida A., Ariff B.",0021972X,"Journal of Clinical Endocrinology and Metabolism",85, 10,46,6,12,18,1,65
2000,"Blood flow and vessel mechanics in a physiologically realistic model of a human carotid arterial bifurcation","Zhao S.Z., Xu X.Y., Hughes A.D., Thom S.A., Stanton A.V., Ariff B., Long Q.",00219290,"Journal of Biomechanics",33, 8,73,9,16,25,6,104
