,"Author: Ashton-Rickardt, Philip G.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 12 (Of the 22 documents considered for the h-Index, 12 have been cited at least 12 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2468,121,121,242,53,2763
2008,"CD95 signaling deficient mice with a wild-type hematopoietic system are prone to hepatic neoplasia","Park S.-M., Rajapaksha T.W., Zhang M., Sattar H.A., Fichera A., Ashton-Rickardt P.G., Peter M.E.",13608185,"Apoptosis",13, 1,0,0,2,2,1,3
2007,"Serine protease inhibitor 6-deficient mice have increased neutrophil immunity to Pseudomonas aeruginosa","Zhang M., Belaaouaj A., Ashton-Rickardt P.G., Liu N., Park S.-M., Wang Y., Byrne S., Murmann A.E., Bahr S., Peter M.E., Olson S.T.",00221767,"Journal of Immunology",179, 7,0,0,1,1,0,1
2007,"Studying T-cell repertoire selection using fetal thymus organ culture","Ashton-Rickardt P.G.",10643745,"Methods in Molecular Biology",380, ,0,0,0,0,0,0
2007,"Differential survival of cytotoxic T cells and memory cell precursors","Zhang M., Byrne S., Liu N., Wang Y., Oxenius A., Ashton-Rickardt P.G.",00221767,"Journal of Immunology",178, 6,0,1,3,4,4,8
2006,"Serine Protease Inhibitor 6 Protects Cytotoxic T Cells from Self-Inflicted Injury by Ensuring the Integrity of Cytotoxic Granules","Zhang M., Park S.-M., Wang Y., Shah R., Liu N., Murmann A.E., Wang C.-R., Peter M.E., Ashton-Rickardt P.G.",10747613,"Immunity",24, 4,3,13,7,20,3,26
2005,"The granule pathway of programmed cell death","Ashton-Rickardt P.G.",10408401,"Critical Reviews in Immunology",25, 3,4,9,1,10,2,16
2004,"A license to remember","Ashton-Rickardt P.G.",15292908,"Nature Immunology",5, 11,1,3,1,4,2,7
2004,"A role for the granzyme B inhibitor serine protease inhibitor 6 in CD8 + memory cell homeostasis","Phillips T., Opferman J.T., Shah R., Liu N., Froelich C.J., Ashton-Rickardt P.G.",00221767,"Journal of Immunology",173, 6,14,6,6,12,0,26
2004,"Serine protease inhibitor 2A is a protective factor for memory T cell development","Liu N., Phillips T., Zhang M., Wang Y., Opferman J.T., Shah R., Ashton-Rickardt P.G.",15292908,"Nature Immunology",5, 9,19,5,5,10,2,31
2004,"Serine protease inhibitor 2A inhibits caspase-independent cell death","Liu N., Wang Y., Ashton-Rickardt P.G.",00145793,"FEBS Letters",569, 1-3,6,2,4,6,4,16
2003,"NF-?B protects from the lysosomal pathway of cell death","Liu N., Lee J.C., Peter M.E., Froelich C.J., Franzoso G., Ashton-Rickardt P.G., Raja S.M., Zazzeroni F., Metkar S.S., Shah R., Zhang M., Wang Y., Bromme D., Russin W.A.",02614189,"EMBO Journal",22, 19,33,6,7,13,5,51
2003,"A critical role for NF-?B transcription factors in the development of CD8+ memory-phenotype T cells","Hettmann T., Opferman J.T., Leiden J.M., Ashton-Rickardt P.G.",01652478,"Immunology Letters",85, 3,5,0,0,0,1,6
2003,"The intracellular granzyme B inhibitor, proteinase inhibitor 9, is up-regulated during accessory cell maturation and effector cell degranulation, and its overexpression enhances CTL potency","Hirst C.E., Buzza M.S., Bird C.H., Warren H.S., Cameron P.U., Zhang M., Ashton-Rickardt P.G., Bird P.I.",00221767,"Journal of Immunology",170, 2,39,9,5,14,2,55
2001,"Suicide induced by cytolytic activity controls the differentiation of memory CD8+ T lymphocytes","Opferman J.T., Ober B.T., Narayanan R., Ashton-Rickardt P.G.",09538178,"International Immunology",13, 4,13,1,1,2,1,16
2000,"Affinity of thymic self-peptides for the TCR determines the selection of CD8+ T lymphocytes in the thymus","Ober B.T., Hu Q., Opferman J.T., Hagevik S., Chiu N., Wang C.-R., Ashton-Rickardt P.G.",09538178,"International Immunology",12, 9,12,0,0,0,0,12
1999,"What keeps a resting T cell alive?","Thompson C.B., Schumacker P.T., Vander Heiden M.G., Rathmell J.C., Frauwirth K.A., Lindsten T., Rudin C.M., Opferman J.T., Ashton-Rickardt P.G., Harris M.H., Chandel N.S.",00917451,"Cold Spring Harbor Symposia on Quantitative Biology",64, ,2,0,0,0,0,2
1999,"Memory T lymphocytes","Ashton-Rickardt P.G., Opferman J.T.",1420682X,"Cellular and Molecular Life Sciences",56, 1-2,4,0,0,0,0,4
1999,"Erratum: Linear differentiation of cytotoxic effectors into memory T lymphocytes (Science (March 12, 1999) (1745))","Opferman J.T., Ashton-Rickardt P.G.",00368075,"Science",283, 5410,0,0,0,0,0,0
1999,"Linear differentiation of cytotoxic effectors into memory T lymphocytes","Opferman J.T., Ober B.T., Ashton-Rickardt P.G.",00368075,"Science",283, 5408,199,12,15,27,6,232
1998,"Long-term T cell memory requires the surface expression of self-peptide/major histocompatibility complex molecules","Markiewicz M.A., Girao C., Opferman J.T., Sun J., Hu Q., Agulnik A.A., Bishop C.E., Thompson C.B., Ashton-Rickardt P.G.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",95, 6,125,5,3,8,2,135
1997,"Limits to the Differential Avidity Model of T Cell Selection in the Thymus","Girao C., Hu Q., Sun J., Ashton-Rickardt P.G.",00221767,"Journal of Immunology",159, 9,37,0,0,0,0,37
1997,"Specific recognition of thymic self-peptides induces the positive selection of cytotoxic T lymphocytes","Hu Q., Bazemore Walker C.R., Girao C., Opferman J.T., Sun J., Shabanowitz J., Hunt D.F., Ashton-Rickardt P.G.",10747613,"Immunity",7, 2,70,1,1,2,1,73
1995,"Presentation of endogenous viral proteins in association with major histocompatibility complex class II: On the role of intracellular compartmentalization, invariant chain and the TAP transporter system","Oxenius A., Bachmann M.F., Ashton-Rickardt P.G., Tonegawa S., Zinkernagel R.M., Hengartner H.",00142980,"European Journal of Immunology",25, 12,52,6,4,10,1,63
1995,"Increase in positive selection of CD8+ T cells in TAP1-mutant mice by human ?2-microglobulin transgene","Van Santen H.M., Woolsey A., Ashton Rickardt P.G., Van Kaer L., Baas E.J., Berns A., Tonegawa S., Ploegh H.L.",00221007,"Journal of Experimental Medicine",181, 2,23,0,1,1,0,24
1995,"Differential reactivity of residual CD8+ T lymphocytes in TAP1 and ?2-microglobulin mutant mice","Ljunggren H.-G., Van Kaer L., Ashton-Rickardt P.G., Tonegawa S., Ploegh H.L.",00142980,"European Journal of Immunology",25, 1,32,0,0,0,0,32
1994,"Altered peptidase and viral-specific T cell response in LMP2 mutant mice","Van Kaer L., Ashton-Rickardt P.G., Eichelberger M., Gaczynska M., Nagashima K., Rock K.L., Goldberg A.L., Doherty P.C., Tonegawa S.",10747613,"Immunity",1, 7,209,8,6,14,8,231
