,"Author: Asquith, Rebecca Emma; Asquith, Becca",,,,,,,,,,,
,,,,,,,,,,,,
,This is a citation overview for a set of 39 documents.,,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 15 (Of the 39 documents considered for the h-Index, 15 have been cited at least 15 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,260,89,105,194,83,537
2009,The avidity and lytic efficiency of the CTL response to HTLV-1.,"Kattan T., MacNamara A., Rowan A.G., Nose H., Mosley A.J., Tanaka Y., Taylor G.P., Asquith B., Bangham C.R.",15506606,"Journal of immunology (Baltimore, Md. : 1950)",182,9,0,0,0,0,1,1
2009,The immune control of HTLV-1 infection: selection forces and dynamics.,"Bangham C.R., Meekings K., Toulza F., Nejmeddine M., Majorovits E., Asquith B., Taylor G.P.",10934715,Frontiers in bioscience : a journal and virtual library,14, ,0,0,0,0,0,0
2009,Lymphocyte kinetics in health and disease,"Asquith B., Borghans J.A.M., Ganusov V.V., Macallan D.C.",14714906,Trends in Immunology,30,4,0,0,0,0,0,0
2009,T-cell epitope prediction: Rescaling can mask biological variation between MHC molecules,"MacNamara A., Kadolsky U., Bangham C.R.M., Asquith B.",1553734X,PLoS Computational Biology,5,3,0,0,0,0,0,0
2008,The evolutionary selective advantage of HIV-1 escape variants and the contribution of escape to the HLA-associated risk of AIDS progression,Asquith B.,19326203,PLoS ONE,3,10,0,0,0,0,2,2
2008,Reduction of B cell turnover in chronic lymphocytic leukaemia,"Defoiche J., Debacq C., Asquith B., Zhang Y., Burny A., Bron D., Lagneaux L., Macallan D., Willems L.",71048,British Journal of Haematology,143,2,0,0,0,0,4,4
2008,How does HTLV-I persist despite a strong cell-mediated immune response?,"Asquith B., Bangham C.R.M.",14714906,Trends in Immunology,29,1,0,0,2,2,4,6
2007,Histone deacetylase-mediated transcriptional activation reduces proviral loads in HTLV-1-associated myelopathy/tropical spastic paraparesis patients,"Lezin A., Asquith B., Burny A., Smadja D., Cesaire R., Willems L., Gillet N., Olindo S., Signate A., Grandvaux N., Verlaeten O., Belrose G., Bittencourt M.D.C., Hiscott J.",64971,Blood,110,10,0,1,4,5,4,9
