,"This is a citation overview for a set of 184 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 21 (Of the 184 documents considered for the h-Index, 21 have been cited at least 21 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,315,295,365,660,266,1241
2009,"Should Incidental Asymptomatic Angiographic Stenoses and Occlusions Be Treated in Patients with Peripheral Arterial Disease?","Keeling A.N., Naughton P.A., Khalidi K., Ayyoub A.S., Kelly C.K., Leahy A.L., Bouchier-Hayes D.J., Athanasiou T., Lee M.J.",10510443,"Journal of Vascular and Interventional Radiology",20, 9,0,0,0,0,0,0
2009,"Patient-reported outcome measures: The importance of patient satisfaction in surgery","Chow A., Mayer E.K., Darzi A.W., Athanasiou T.",00396060,"Surgery",146, 3,0,0,0,0,0,0
2009,"Assessment of specialists in cardiovascular practice","Ahmed K., Ashrafian H., Hanna G.B., Darzi A., Athanasiou T.",17595002,"Nature Reviews Cardiology",, ,0,0,0,0,0,0
2009,"Urethral diverticular carcinoma: an overview of current trends in diagnosis and management","Ahmed K., Dasgupta R., Vats A., Nagpal K., Ashrafian H., Kaj B., Athanasiou T., Dasgupta P., Khan M.S.",03011623,"International Urology and Nephrology",, ,0,0,0,0,0,0
2009,"Appraising the quality of care in surgery","Mayer E.K., Chow A., Vale J.A., Athanasiou T.",03642313,"World Journal of Surgery",33, 8,0,0,0,0,0,0
2009,"Subintimal Angioplasty: Predictors of Long-term Success","Keeling A.N., Khalidi K., Leong S., Given M.F., McGrath F.P., Athanasiou T., Lee M.J.",10510443,"Journal of Vascular and Interventional Radiology",20, 8,0,0,0,0,0,0
2009,"Diagnostic accuracy meta-analysis: A review of the basic principles of interpretation and application","Jones C.M., Ashrafian H., Skapinakis P., Arora S., Darzi A., Dimopoulos K., Athanasiou T.",01675273,"International Journal of Cardiology",, ,0,0,0,0,0,0
2009,"Meta-analysis: A practical decision making tool for surgeons","Panesar S.S., Bhandari M., Darzi A., Athanasiou T.",17439191,"International Journal of Surgery",7, 4,0,0,0,0,0,0
2009,"Economic analysis of esophageal stenting for management of malignant dysphagia","Rao C., Haycock A., Zacharakis E., Krasopoulos G., Yakoub D., Protopapas A., Darzi A., Hanna G.B., Athanasiou T.",11208694,"Diseases of the Esophagus",22, 4,0,0,0,0,0,0
2009,"The Inflammatory Response to Cardiopulmonary Bypass: Part 2-Anti-Inflammatory Therapeutic Strategies","Warren O.J., Watret A.L., de Wit K.L., Alexiou C., Vincent C., Darzi A.W., Athanasiou T.",10530770,"Journal of Cardiothoracic and Vascular Anesthesia",23, 3,0,0,0,0,0,0
2009,"Diagnostic accuracy meta-analysis: Review of an important tool in radiological research and decision making","Jones C.M., Athanasiou T.",00071285,"British Journal of Radiology",82, 978,0,0,0,0,0,0
2009,"Natural orifice translumenal thoracoscopic surgery: Does the slow progress and the associated risks affect feasibility and potential clinical applications?","Clark J., Sodergren M., Correia-Pinto J., Zacharakis E., Teare J., Yang G.-Z., Darzi A., Athanasiou T.",15533506,"Surgical Innovation",16, 1,0,0,0,0,1,1
2009,"Natural orifice translumenal endoscopic surgery: Critical appraisal of applications in clinical practice","Sodergren M.H., Clark J., Athanasiou T., Teare J., Yang G.-Z., Darzi A.",09302794,"Surgical Endoscopy and Other Interventional Techniques",23, 4,0,0,0,0,3,3
2009,"The Inflammatory Response to Cardiopulmonary Bypass: Part 1-Mechanisms of Pathogenesis","Warren O.J., Smith A.J., Alexiou C., Rogers P.L.B., Jawad N., Vincent C., Darzi A.W., Athanasiou T.",10530770,"Journal of Cardiothoracic and Vascular Anesthesia",23, 2,0,0,0,0,0,0
2009,"Funnel plots and their emerging application in surgery","Mayer E.K., Bottle A., Rao C., Darzi A.W., Athanasiou T.",00034932,"Annals of Surgery",249, 3,0,0,0,0,0,0
2009,"Surgeons produce innovative ideas which are frequently lost in the labyrinth of patents","Vecht J.A., Athanasiou T., Ashrafian H., Mayer E., Darzi A., von Segesser L.K.",10107940,"European Journal of Cardio-thoracic Surgery",35, 3,0,0,0,0,0,0
2009,"The Neurocognitive Enhancement of Surgeons: An Ethical Perspective","Warren O.J., Leff D.R., Athanasiou T., Kennard C., Darzi A.",00224804,"Journal of Surgical Research",152, 1,0,0,0,0,0,0
2009,"Entire Stent Grafting of the Thoracoabdominal Aorta in a Renal Transplant Recipient Subsequent to Extra-Anatomical Bypasses of the Main Abdominal Vessels","Kokotsakis J., Kaskarelis I., Koukoulaki M., Athanasiou T., Skouteli E., Vougas V., Lioulias A., Drakopoulos S.",00034975,"Annals of Thoracic Surgery",87, 2,0,0,0,0,0,0
2009,"Assessing the quality of the volume-outcome relationship in uro-oncology","Mayer E.K., Purkayastha S., Athanasiou T., Darzi A., Vale J.A.",14644096,"BJU International",103, 3,0,0,0,0,0,0
2009,"Propensity analysis of survival after subcoronary or root replacement techniques for homograft aortic valve replacement","Ali A., Abu-Omar Y., Patel A., Sheikh A.Y., Ali Z., Saeed A., Akhtar A., Athanasiou T., Pepper J.",00225223,"Journal of Thoracic and Cardiovascular Surgery",137, 2,0,0,0,0,0,0
2009,"Surgeons produce innovative ideas which are frequently lost in the labyrinth of patents","Vecht J.A., Athanasiou T., Ashrafian H., Mayer E., Darzi A., von Segesser L.K.",10107940,"European Journal of Cardio-thoracic Surgery",, ,0,0,0,0,0,0
2009,"Pulsatile anorectal varices and pulsatile hepatosplenomegaly secondary to traumatic tricuspid regurgitation","Ashrafian H., Salih C., Darzi A., Athanasiou T.",00223859,"Journal of Postgraduate Medicine",55, 1,0,0,0,0,0,0
2008,"Does minimal-access aortic valve replacement reduce the incidence of postoperative atrial fibrillation?","Murtuza B., Pepper J.R., Stanbridge R.D., Darzi A., Athanasiou T.",07302347,"Texas Heart Institute Journal",35, 4,0,0,0,0,0,0
2008,"Contegra conduit for reconstruction of the right ventricular outflow tract: A review of published early and mid-time results","Protopapas A.D., Athanasiou T.",17498090,"Journal of Cardiothoracic Surgery",3, 1,0,0,0,0,0,0
2008,"Effects of bariatric surgery on cardiovascular function","Ashrafian H., Le Roux C.W., Darzi A., Athanasiou T.",00097322,"Circulation",118, 20,0,0,0,0,4,4
2008,"Repair of a torn thoracic aorta, associated with an aberrant left vertebral artery.","Kokotsakis J., Misthos P., Filias V., Athanasiou T., Skouteli E., Kaskarelis I., Lioulias A.",15298809,"The Journal of trauma",65, 5,0,0,0,0,0,0
2008,"Repair of a torn thoracic aorta, associated with an aberrant left vertebral artery","Kokotsakis J., Misthos P., Filias V., Athanasiou T., Skouteli E., Kaskarelis I., Lioulias A.",00225282,"Journal of Trauma - Injury, Infection and Critical Care",65, 5,0,0,0,0,0,0
2008,"The hybrid stent-graft technique: A solution to complex aortic problems and lessons learned","Kokotsakis J., Misthos P., Athanasiou T., Sakellaridis T., Neofotistos K., Skouteli E., Lioulias A.",08860440,"Journal of Cardiac Surgery",23, 6,0,0,0,0,0,0
2008,"Functional prefrontal reorganization accompanies learning-associated refinements in surgery: A manifold embedding approach","Leff D.R., Orihuela-Espina F., Atallah L., Athanasiou T., Leong J.J.H., Darzi A.W., Yang G.-Z.",10929088,"Computer Aided Surgery",13, 6,0,0,0,0,0,0
