,"Author: Aylin, Paul",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 13 (Of the 70 documents considered for the h-Index, 13 have been cited at least 13 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,210,89,117,206,67,483
2009,"Use of anti-infective serial prevalence studies to identify and monitor hospital-acquired infection","Brown C., Richards M., Galletly T., Coello R., Lawson W., Aylin P., Holmes A.",01956701,"Journal of Hospital Infection",73, 1,0,0,0,0,0,0
2009,"Application of AHRQ patient safety indicators to English hospital data","Bottle A., Aylin P.",14753898,"Quality and Safety in Health Care",18, 4,0,0,0,0,0,0
2009,"Standardised mortality ratios. Monitoring mortality.","Aylin P., Bottle A., Jarman B.",14685833,"BMJ (Clinical research ed.)",338, ,0,0,0,0,1,1
2009,"Standardised mortality ratios: Monitoring mortality","Aylin P., Bottle A., Jarman B.",09598146,"BMJ",338, 7702,0,0,0,0,0,0
2009,"Is laparoscopic appendectomy associated with better outcomes?","Faiz O.D., Bottle A., Aylin P.",00034932,"Annals of Surgery",249, 5,0,0,0,0,0,0
2008,"Is health care getting safer?","Vincent C., Aylin P., Franklin B.D., Holmes A., Iskander S., Jacklin A., Moorthy K.",14685833,"BMJ (Clinical research ed.)",337, ,0,0,0,0,0,0
2008,"Descriptive study of selected healthcare-associated infections using national Hospital Episode Statistics data 1996-2006 and comparison with mandatory reporting systems","Jen M.H., Holmes A.H., Bottle A., Aylin P.",01956701,"Journal of Hospital Infection",70, 4,0,0,0,0,1,1
2008,"Is health care getting safer?","Vincent C., Aylin P., Franklin B.D., Holmes A., Iskander S., Jacklin A., Moorthy K.",09598146,"BMJ",337, 7680,0,0,0,0,4,4
2008,"Laparoscopic and conventional appendicectomy in children: Outcomes in English hospitals between 1996 and 2006","Faiz O., Blackburn S.C., Clark J., Bottle A., Curry J.I., Farrands P., Aylin P.",01790358,"Pediatric Surgery International",24, 11,0,0,0,0,0,0
2008,"Traditional and laparoscopic appendectomy in adults: Outcomes in English NHS hospitals between 1996 and 2006","Faiz O., Clark J., Brown T., Bottle A., Antoniou A., Farrands P., Darzi A., Aylin P.",00034932,"Annals of Surgery",248, 5,0,0,0,0,1,1
2008,"Trends in hospital admissions for pulmonary embolism in England: 1996/7 to 2005/6","Aylin P., Bottle A., Kirkwood G., Bell D.",14702118,"Clinical Medicine, Journal of the Royal College of Physicians of London",8, 4,0,0,1,1,1,2
2008,"Changing trends in surgery for acute appendicitis (Br J Surg 2008; 95: 363-368)","Faiz O., Aylin P., Bottle A.",00071323,"British Journal of Surgery",95, 6,0,0,0,0,3,3
2008,"Demonstrating safety through in-hospital mortality analysis following elective abdominal aortic aneurysm repair in England (Br J Surg 2008; 95: 64-71)","Aylin P., Bottle A., Faiz O.",00071323,"British Journal of Surgery",95, 4,0,0,0,0,0,0
2008,"Intelligent information: A national system for monitoring clinical performance","Bottle A., Aylin P.",00179124,"Health Services Research",43, 1,0,0,1,1,4,5
2008,"Comparison of administrative data with the Association of Coloproctology of Great Britain and Ireland (ACPGBI) colorectal cancer database","Garout M., Tilney H.S., Tekkis P.P., Aylin P.",01791958,"International Journal of Colorectal Disease",23, 2,0,0,0,0,2,2
