,"This is a citation overview for a set of 16 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 11 (Of the 16 documents considered for the h-Index, 11 have been cited at least 11 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,291,121,149,270,105,666
2007,"Replication timing profile reflects the distinct functional and genomic features of the MHC class II region","Takousis P., Jones T., Vatcheva R., Beck S., Sheer D., Johonnett P., Williamson J., Sasieni P., Warnes G., Forshew T., Azuara V., Fisher A., Wu P.-J.",15384101,"Cell Cycle",6, 19,0,0,0,0,0,0
2007,"The impact of chromatin modifiers on the timing of locus replication in mouse embryonic stem cells","Jorgensen H.F., Fisher A.G., Azuara V., Amoils S., Spivakov M., Terry A., Nesterova T., Cobb B.S., Ramsahoye B., Merkenschlager M.",14747596,"Genome Biology",8, 8,0,0,2,2,7,9
2007,"Role of DNA methylation in stable gene repression","Lande-Diner L., Cedar H., Zhang J., Ben-Porath I., Amariglio N., Keshet I., Hecht M., Azuara V., Fisher A.G., Rechavi G.",00219258,"Journal of Biological Chemistry",282, 16,0,2,9,11,7,18
2006,"Profiling of DNA replication timing in unsynchronized cell populations","Azuara V.",17542189,"Nature Protocols",1, 4,0,0,0,0,3,3
2006,"Chromatin signatures of pluripotent cell lines.","Azuara V., Merkenschlager M., Fisher A.G., Perry P., Sauer S., Spivakov M., Jorgensen H.F., John R.M., Gouti M., Casanova M., Warnes G.",14657392,"Nature cell biology.",8, 5,15,63,75,138,48,201
2006,"Neural induction promotes large-scale chromatin reorganisation of the Mash1 locus","Williams R.R.E., Merkenschlager M., Fisher A.G., Azuara V., Perry P., Sauer S., Dvorkina M., Jorgensen H., Roix J., McQueen P., Misteli T.",00219533,"Journal of Cell Science",119, 1,9,13,32,45,15,69
2004,"A dynamic switch in the replication timing of key regulator genes in embryonic stem cells upon neural induction","Perry P., Azuara V., Sauer S., Billon N., Richardson W.D., Spivakov M., Warnes G., Livesey F.J., Merkenschlager M., Fisher A.G.",15384101,"Cell Cycle",3, 12,19,11,6,17,9,45
2003,"Maintaining transcriptional states through DNA replication.","Azuara V., Fisher A.G.",15384101,"Cell cycle (Georgetown, Tex.)",2, 6,3,0,0,0,0,3
2003,"Heritable gene silencing in lymphocytes delays chromatid resolution without affecting the timing of DNA replication","Azuara V., Brown K.E., Williams R.R.E., Webb N., Dillon N., Festenstein R., Buckle V., Merkenschlager M., Fisher A.G.",14657392,"Nature Cell Biology",5, 7,42,12,6,18,1,61
2001,"Nonequivalent nuclear location of immunoglobulin alleles in B lymphocytes","Skok J.A., Merkenschlager M., Fisher A.G., Brown K.E., Azuara V., Caparros M.-L., Baxter J., Takacs K., Dillon N., Gray D., Perry R.P.",15292908,"Nature Immunology",2, 9,71,11,15,26,4,101
2001,"M cell pockets of human Peyer's patches are specialized extensions of germinal centers","Azuara V., Grigoriadou K., Lembezat M.-P., Nagler-Anderson C., Pereira P.",00142980,"European Journal of Immunology",31, 1,24,1,2,3,1,28
2000,"Developmentally regulated and lineage-specific rearrangement of T cell receptor V?/? gene segments","Pereira P., Hermitte V., Lembezat M.-P., Boucontet L., Azuara V., Grigoriadou K.",00142980,"European Journal of Immunology",30, 7,15,2,1,3,4,22
2000,"Genetic mapping of two murine loci that influence the development of IL- 4-producing Thy-1(dull) ?? thymocytes","Azuara V., Pereira P.",00221767,"Journal of Immunology",165, 1,8,0,0,0,0,8
1999,"IL-4-producing ?? T cells that express a very restricted TCR repertoire are preferentially localized in liver and spleen","Gerber D.J., Azuara V., Levraud J.-P., Huang S.Y., Lembezat M.-P., Pereira P.",00221767,"Journal of Immunology",163, 6,27,1,1,2,2,31
1998,"The homogeneity of the TCR? repertoire expressed by the Thy-1(dull) ?? T cell population is due to cellular selection","Azuara V., Lembezat M.-P., Pereira P.",00142980,"European Journal of Immunology",28, 11,15,1,0,1,1,17
1997,"A novel subset of adult ?? thymocytes that secretes a distinct pattern of cytokines and expresses a very restricted T cell receptor repertoire","Azuara V., Levraud J.-P., Lembezat M.-P., Pereira P.",00142980,"European Journal of Immunology",27, 2,43,4,0,4,3,50
