,"Author: Balding, David J.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 24 (Of the 65 documents considered for the h-Index, 24 have been cited at least 24 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1310,427,695,1122,472,2904
2009,"Limit theorems for sequences of random trees","Balding D., Ferrari P.A., Fraiman R., Sued M.",11330686,"Test",18, 2,0,0,0,0,0,0
2009,"Reply","Vignal C., Bansal A.T., Balding D.J., Binks M.H., Dickson M.C., Montgomery D.S., Wilson A.G.",00043591,"Arthritis and Rheumatism",60, 7,0,0,0,0,0,0
2009,"Apolipoprotein E, CI and B gene polymorphisms in a sample of patients with coronary heart disease in the kuwaiti population","Al-Bustan S.A., Alkhalaf M., Al-Rashdan I., Al-Otaibi S., Al-Baker E., Balding D., Alnaqeeb M.A.",10117571,"Medical Principles and Practice",18, 4,0,0,0,0,0,0
2009,"Interpreting low template DNA profiles","Balding D.J., Buckleton J.",18724973,"Forensic Science International: Genetics",, ,0,0,0,0,0,0
2009,"Genome-wide association study for early-onset and morbid adult obesity identifies three new risk loci in European populations","Meyre D., Proenca C., Gaget S., Korner A., Kovacs P., Kiess W., Tichet J., Marre M., Hartikainen A.-L., Horber F., Potoczna N., Delplanque J., Hercberg S., Levy-Marchal C., Pattou F., Heude B., Tauber M., McCarthy M.I., Blakemore A.I.F., Montpetit A., Polychronakos C., Weill J., Chevre J.-C., Coin L.J.M., Asher J., Elliott P., Jarvelin M.-R., Visvikis-Siest S., Balkau B., Sladek R., Balding D., Walley A., Dina C., Lecoeur C., Froguel P., Lobbens S., Gallina S., Durand E., Vatin V., Degraeve F.",10614036,"Nature Genetics",41, 2,0,0,0,0,15,15
2009,"Genetic association of the major histocompatibility complex with rheumatoid arthritis implicates two non-DRB1 loci","Vignal C., Bansal A.T., Balding D.J., Binks M.H., Dickson M.C., Montgomery D.S., Wilson A.G.",00043591,"Arthritis and Rheumatism",60, 1,0,0,0,0,1,1
2008,"Inferring population history with DIY ABC: A user-friendly approach to approximate Bayesian computation","Cornuet J.-M., Santos F., Beaumont M.A., Robert C.P., Marin J.-M., Balding D.J., Guillemaud T., Estoup A.",13674803,"Bioinformatics",24, 23,0,0,0,0,2,2
2008,"Inference of haplotypic phase and missing genotypes in polyploid organisms and variable copy number genomic regions","Su S.-Y., White J., Balding D.J., Coin L.J.M.",14712105,"BMC Bioinformatics",9, ,0,0,0,0,0,0
2008,"Fregene: Simulation of realistic sequence-level data in populations and ascertained samples","Chadeau-Hyam M., Hoggart C.J., O'Reilly P.F., Whittaker J.C., De Iorio M., Balding D.J.",14712105,"BMC Bioinformatics",9, ,0,0,0,0,1,1
2008,"Confounding between recombination and selection, and the Ped/Pop method for detecting selection","O'Reilly P.F., Birney E., Balding D.J.",10889051,"Genome Research",18, 8,0,0,0,0,2,2
2008,"Simultaneous analysis of all SNPs in genome-wide and re-sequencing association studies","Hoggart C.J., Whittaker J.C., De Iorio M., Balding D.J.",15537390,"PLoS Genetics",4, 7,0,0,0,0,2,2
2008,"Common genetic variation near MC4R is associated with waist circumference and insulin resistance","Chambers J.C., Elliott P., Zabaneh D., Zhang W., Li Y., Froguel P., Balding D., Scott J., Kooner J.S.",10614036,"Nature Genetics",40, 6,0,0,8,8,27,35
2008,"Population structure and inbreeding from pedigree analysis of purebred dogs","Calboli F.C.F., Sampson J., Fretwell N., Balding D.J.",00166731,"Genetics",179, 1,0,0,1,1,3,4
2008,"A method for quantifying differentiation between populations at multi-allelic loci and its implications for investigating identity and paternity (Genetica (1995) 96 (3-12) DOI: 10.1007/BF01441146)","Balding D.J., Nichols R.A.",00166707,"Genetica",133, 1,0,0,0,0,0,0
2008,"Disease association tests by inferring ancestral haplotypes using a hidden markov model","Su S.-Y., Balding D.J., Coin L.J.M.",13674803,"Bioinformatics",24, 7,0,0,1,1,2,3
2008,"Assessment of cumulative evidence on genetic associations: Interim guidelines","Ioannidis J.P.A., Flanders W.D., Higgins J.P.T., Mccarthy M.I., McDermott D.H., Page G.P., Rebbeck T.R., Seminara D., Khoury M.J., Boffetta P., Little J., O'Brien T.R., Uitterlinden A.G., Vineis P., Balding D.J., Chokkalingam A., Dolan S.M.",03005771,"International Journal of Epidemiology",37, 1,0,0,18,18,20,38
2008,"Genome-wide significance for dense SNP and resequencing data","Hoggart C.J., Clark T.G., De Iorio M., Whittaker J.C., Balding D.J.",07410395,"Genetic Epidemiology",32, 2,0,0,7,7,10,17
2007,"The association between polymorphisms in RLIP76 and drug response in epilepsy","Leschziner G.D., Bentley D.R., Chadwick D., Johnson M.R., Pirmohamed M., Jorgensen A.L., Andrew T., Williamson P.R., Marson A.G., Coffey A.J., Middleditch C., Balding D.J., Rogers J.",14622416,"Pharmacogenomics",8, 12,0,0,1,1,2,3
2007,"Reply: On the value of haplotype-based genotype-phenotype analysis and on data transformation in pharmacogenetics and -genomics [2]","Balding D.J.",14710056,"Nature Reviews Genetics",8, 12,0,0,0,0,0,0
2007,"Variation in estimated recombination rates across human populations","Graffelman J., Balding D.J., Gonzalez-Neira A., Bertranpetit J.",03406717,"Human Genetics",122, 3-4,0,0,4,4,2,6
2007,"Sequence-level population simulations over large genomic regions","Hoggart C.J., Chadeau-Hyam M., Clark T.G., Lampariello R., Whittaker J.C., De Iorio M., Balding D.J.",00166731,"Genetics",177, 3,0,0,10,10,6,16
2007,"Functional constraint and small insertions and deletions in the ENCODE regions of the human genome","Clark T.G., Andrew T., Cooper G.M., Margulies E.H., Mullikin J.C., Balding D.J.",14747596,"Genome Biology",8, 9,0,0,1,1,2,3
2007,"Common ABCB1 polymorphisms are not associated with multidrug resistance in epilepsy using a gene-wide tagging approach","Leschziner G.D., Andrew T., Leach J.P., Chadwick D., Coffey A.J., Balding D.J., Bentley D.R., Pirmohamed M., Johnson M.R.",17446872,"Pharmacogenetics and Genomics",17, 3,0,1,4,5,6,11
2007,"A genome-wide association study identifies novel risk loci for type 2 diabetes","Sladek R., Hadjadj S., Balkau B., Heude B., Charpentier G., Hudson T.J., Montpetit A., Pshezhetsky A.V., Prentki M., Posner B.I., Balding D.J., Rocheleau G., Meyre D., Polychronakos C., Froguel P., Rung J., Dina C., Shen L., Serre D., Boutin P., Vincent D., Belisle A.",00280836,"Nature",445, 7130,0,140,305,445,141,586
