,"Author: Bangham, Charles R M",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 29 (Of the 93 documents considered for the h-Index, 29 have been cited at least 29 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,3804,409,459,868,259,4931
2009,"CTL quality and the control of human retroviral infections","Bangham C.R.M.",00142980,"European Journal of Immunology",39, 7,0,0,0,0,1,1
2009,"The avidity and lytic efficiency of the CTL response to HTLV-1.","Kattan T., MacNamara A., Rowan A.G., Nose H., Mosley A.J., Tanaka Y., Taylor G.P., Asquith B., Bangham C.R.",15506606,"Journal of immunology (Baltimore, Md. : 1950)",182, 9,0,0,0,0,1,1
2009,"The immune control of HTLV-1 infection: selection forces and dynamics.","Bangham C.R., Meekings K., Toulza F., Nejmeddine M., Majorovits E., Asquith B., Taylor G.P.",10934715,"Frontiers in bioscience : a journal and virtual library",14, ,0,0,0,0,0,0
2009,"A new hypothesis for the pathogenesis of Human T-lymphotropic virus type 1 associated myelopathy/tropical spastic paraparesis","Mosley A.J., Bangham C.R.M.",17562392,"Bioscience Hypotheses",2, 3,0,0,0,0,0,0
2009,"T-cell epitope prediction: Rescaling can mask biological variation between MHC molecules","MacNamara A., Kadolsky U., Bangham C.R.M., Asquith B.",1553734X,"PLoS Computational Biology",5, 3,0,0,0,0,0,0
2008,"HTLV-1 infection: Role of CTL efficiency","Bangham C.R.M.",00064971,"Blood",112, 6,0,0,0,0,0,0
2008,"Human T-Lymphotropic Virus-1 visualized at the virological synapse by electron tomography","Majorovits E., Nejmeddine M., Tanaka Y., Taylor G.P., Fuller S.D., Bangham C.R.M.",19326203,"PLoS ONE",3, 5,0,0,1,1,3,4
2008,"High frequency of CD4+FoxP3+ cells in HTLV-1 infection: Inverse correlation with HTLV-l-specific CTL response","Toulza F., Heaps A., Tanaka Y., Taylor G.P., Bangham C.R.M.",00064971,"Blood",111, 10,0,0,3,3,7,10
2008,"Strong induction of 4-1BB, a growth and survival promoting costimulatory receptor, in HTLV-1-infected cultured and patients' T cells by the viral Tax oncoprotein","Pichler K., Kattan T., Gentzsch J., Kress A.K., Taylor G.P., Bangham C.R.M., Grassmann R.",00064971,"Blood",111, 9,0,0,3,3,0,3
2008,"HTLV-1 integration into transcriptionally active genomic regions is associated with proviral expression and with HAM/TSP","Meekings K.N., Leipzig J., Bushman F.D., Taylor G.P., Bangham C.R.M.",15537366,"PLoS Pathogens",4, 3,0,0,2,2,1,3
2008,"How does HTLV-I persist despite a strong cell-mediated immune response?","Asquith B., Bangham C.R.M.",14714906,"Trends in Immunology",29, 1,0,0,2,2,4,6
