,"This is a citation overview for a set of 5 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 2 (Of the 5 documents considered for the h-Index, 2 have been cited at least 2 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,33,12,18,30,11,74
2005,"Neuroendocrine tumors gut hormones","Barakat M.T., Meeran K.",10683097,"Current Opinion in Endocrinology and Diabetes",12, 1,0,0,0,0,0,0
2004,"Severe hypercalcaemia from secretion of parathyroid hormone-related peptide","Barakat M.T., Ashrafian H., Todd J.F., Meeran K., Williams G.R.",14702045,"Lancet Oncology",5, 10,0,1,0,1,1,2
2004,"Renal magnesium loss causing hypomagnesaemia and autonomous hyperparathyroidism","Barakat M.T., Ashrafian H., Todd J.F., Boyle J.J., Lynn J.A., Williams G.R.",09310509,"Nephrology Dialysis Transplantation",19, 4,0,0,0,0,0,0
2004,"Neuroendocrine tumours","Barakat M.T., Meeran K., Bloom S.R.",13510088,"Endocrine-Related Cancer",11, 1,27,11,18,29,10,66
1996,"Persistent fever in pulmonary tuberculosis: Drug malabsorption should be considered","Barakat M.T., Scott J., Hughes J.M.B., Walport M., Calam J., Friedland J.S., Ind P.W., McKenna C.",09598146,"British Medical Journal",313, 7071,6,0,0,0,0,6
