,"This is a citation overview for a set of 1430 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 118 (Of the 1430 documents considered for the h-Index, 118 have been cited at least 118 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,47990,4996,5518,10514,3252,61756
2009,"Chronic obstructive pulmonary disease in non-smokers","Salvi S.S., Barnes P.J.",01406736,"The Lancet",374, 9691,0,0,0,0,0,0
2009,"New drugs for exacerbations of chronic obstructive pulmonary disease","Hansel T.T., Barnes P.J.",01406736,"The Lancet",374, 9691,0,0,0,0,0,0
2009,"MUC5AC expression is increased in bronchial submucosal glands of stable COPD patients","Caramori G., Adcock I.M., Cavallesco G., Chung K.F., Papi A., Casolari P., Di Gregorio C., Saetta M., Baraldo S., Boschetto P., Ito K., Fabbri L.M., Barnes P.J.",03090167,"Histopathology",55, 3,0,0,0,0,0,0
2009,"Alternative mechanisms for tiotropium","Bateman E.D., Rabe K.F., Rubin B.K., Welte T., Wessler I., Rennard S., Barnes P.J., Dicpinigaitis P.V., Gosens R., Gross N.J., Nadel J.A., Pfeifer M., Racke K.",10945539,"Pulmonary Pharmacology and Therapeutics",, ,0,0,0,0,0,0
2009,"Intrinsic asthma: Not so different from allergic asthma but driven by superantigens?","Barnes P.J.",09547894,"Clinical and Experimental Allergy",39, 8,0,0,0,0,0,0
2009,"T helper type 17-related cytokine expression is increased in the bronchial mucosa of stable chronic obstructive pulmonary disease patients","Di Stefano A., Brun P., Casolari P., Chung K.F., Barnes P.J., Papi A., Adcock I., Balbi B., Caramori G., Gnemmi I., Contoli M., Vicari C., Capelli A., Magno F., D'Anna S.E., Zanini A.",00099104,"Clinical and Experimental Immunology",157, 2,0,0,0,0,0,0
2009,"Nitration of distinct tyrosine residues causes inactivation of histone deacetylase 2","Osoata G.O., Yamamura S., Ito M., Vuppusetty C., Adcock I.M., Barnes P.J., Ito K.",0006291X,"Biochemical and Biophysical Research Communications",384, 3,0,0,0,0,0,0
2009,"Inhaled corticosteroids in COPD: The case against","Suissa S., Barnes P.J.",09031936,"European Respiratory Journal",34, 1,0,0,0,0,0,0
2009,"Bronchodilatory effect of the PPAR-? agonist rosiglitazone in smokers with asthma","Spears M., Bareille P., Sweeney L., Adcock I.M., Barnes P.J., Wood S., Thomson N.C., Donnelly I., Jolly L., Brannigan M., Ito K., McSharry C., Lafferty J., Chaudhuri R., Braganza G.",00099236,"Clinical Pharmacology and Therapeutics",86, 1,0,0,0,0,0,0
2009,"Peroxynitrite elevation in exhaled breath condensate of COPD and its inhibition by fudosteine","Osoata G.O., Hanazawa T., Brindicci C., Ito M., Barnes P.J., Kharitonov S., Ito K.",00123692,"Chest",135, 6,0,0,0,0,0,0
2009,"Rescue treatment in asthma","Papi A., Caramori G., Adcock I.M., Barnes P.J.",00123692,"Chest",135, 6,0,0,0,0,0,0
2009,"Front line dispatch: Enhancing interprofessional education in end-of-life care: An interdisciplinary exploration of death and dying in literature","Brajtman S., Hall P., Barnes P.",08258597,"Journal of Palliative Care",25, 2,0,0,0,0,0,0
2009,"Glucocorticoid resistance in inflammatory diseases","Barnes P.J., Adcock I.M.",01406736,"The Lancet",373, 9678,0,0,0,0,2,2
2009,"The airway vasculature: Recent advances and clinical implications","Paredi P., Barnes P.J.",00406376,"Thorax",64, 5,0,0,0,0,0,0
2009,"Systemic manifestations and comorbidities of COPD","Barnes P.J., Celli B.R.",09031936,"European Respiratory Journal",33, 5,0,0,0,0,2,2
2009,"Low-dose theophylline enhances the anti-inflammatory effects of steroids during exacerbations of COPD","Cosio B.G., Iglesias A., Rios A., Noguera A., Sala E., Ito K., Barnes P.J., Agusti A.",00406376,"Thorax",64, 5,0,0,0,0,2,2
2009,"Effect of low-dose theophylline plus beclometasone on lung function in smokers with asthma: A pilot study","Spears M., Adcock I.M., Barnes P.J., Wood S., Thomson N.C., Donnelly I., Jolly L., Brannigan M., Ito K., McSharry C., Lafferty J., Chaudhuri R., Braganza G.",09031936,"European Respiratory Journal",33, 5,0,0,0,0,3,3
2009,"Suppression of GATA-3 nuclear import and phosphorylation: A novel mechanism of corticosteroid action in allergic disease","Maneechotesuwan K., Yao X., Ito K., Jazrawi E., Usmani O.S., Adcock I.M., Barnes P.J.",15491277,"PLoS Medicine",6, 5,0,0,0,0,0,0
2009,"Leukotriene B4 release by human lung macrophages via receptor- not voltage- operated Ca2+ channels","Finney-Hayward T.K., Barnes P.J., Donnelly L.E., Bahra P., Li S., Poll C.T., Nicholson A.G., Russell R.E.K., Ford P.A., Westwick J., Fenwick P.S.",09031936,"European Respiratory Journal",33, 5,0,0,0,0,0,0
2009,"Inhibition of PI3K? restores glucocorticoid function in smoking-induced airway inflammation in mice","Marwick J.A., Papi A., Caramori G., Stevenson C.S., Casolari P., Jazrawi E., Barnes P.J., Ito K., Adcock I.M., Kirkham P.A.",1073449X,"American Journal of Respiratory and Critical Care Medicine",179, 7,0,0,0,0,2,2
2009,"A randomized, double-blind, placebo-controlled study of tumor necrosis factor-? blockade in severe persistent asthma","Wenzel S.E., Antczak A., Baker J., Horvath I., Mark Z., Bernstein D., Kerwin E., Schlenker-Herceg R., Lo K.H., Watt R., Barnathan E.S., Barnes P.J., Chanez P., Bleecker E.R., Bousquet J., Busse W., Dahlen S.-E., Holgate S.T., Meyers D.A., Rabe K.F.",1073449X,"American Journal of Respiratory and Critical Care Medicine",179, 7,0,0,0,0,10,10
2009,"Role of HDAC2 in the pathophysiology of COPD","Barnes P.J.",00664278,"Annual Review of Physiology",71, ,0,0,0,0,3,3
2009,"Activation of NF-?B transcription factor in asthma death","Caramori G., Oates T., Nicholson A.G., Casolari P., Ito K., Barnes P.J., Papi A., Adcock I.M., Chung K.F.",03090167,"Histopathology",54, 4,0,0,0,0,0,0
2009,"The acute effect of swimming on airway inflammation in adolescent elite swimmers","Pedersen L., Lund T.K., Molgaard E., Kharitonov S.A., Barnes P.J., Backer V.",00916749,"Journal of Allergy and Clinical Immunology",123, 2,0,0,0,0,0,0
2009,"Response","Adcock I.M., Barnes P.J.",00123692,"Chest",135, 2,0,0,0,0,0,0
2009,"Effects of aminoguanidine, an inhibitor of inducible nitric oxide synthase, on nitric oxide production and its metabolites in healthy control subjects, healthy smokers, and COPD patients","Brindicci C., Ito K., Torre O., Barnes P.J., Kharitonov S.A.",00123692,"Chest",135, 2,0,0,0,0,0,0
2009,"COPD as a disease of accelerated lung aging","Ito K., Barnes P.J.",00123692,"Chest",135, 1,0,0,0,0,6,6
2009,"Der p 1 suppresses indoleamine 2, 3-dioxygenase in dendritic cells from house dust mite-sensitive patients with asthma","Maneechotesuwan K., Wamanuttajinda V., Kasetsinsombat K., Huabprasert S., Yaikwawong M., Barnes P.J., Wongkajornsilp A.",00916749,"Journal of Allergy and Clinical Immunology",123, 1,0,0,0,0,2,2
2008,"Oxidative stress modulates theophylline effects on steroid responsiveness","Marwick J.A., Ito K., Adcock I.M., Kirkham P.A., Wallis G., Meja K., Kuster B., Bouwmeester T., Chakravarty P., Fletcher D., Whittaker P.A., Barnes P.J.",0006291X,"Biochemical and Biophysical Research Communications",377, 3,0,0,0,0,1,1
2008,"Increasing doses of inhaled corticosteroids compared to adding long-acting inhaled ?2-agonists in achieving asthma control","O'Byrne P.M., Naya I.P., Kallen A., Postma D.S., Barnes P.J.",00123692,"Chest",134, 6,0,0,0,0,1,1
2008,"Future treatments for chronic obstructive pulmonary disease and its comorbidities","Barnes P.J.",15463222,"Proceedings of the American Thoracic Society",5, 8,0,0,0,0,3,3
2008,"Emerging pharmacotherapies for COPD","Barnes P.J.",00123692,"Chest",134, 6,0,0,0,0,5,5
2008,"Therapeutic advances that can change the clinical evolution of COPD | Avancées thérapeutiques pouvant modifier l'évolution clinique de la BPCO","Barnes P.J.",07618425,"Revue des Maladies Respiratoires",25, ,0,0,0,0,0,0
2008,"Advances in asthma and COPD treatment (inhaled steroids work in asthma not in COPD; theophyllines enhance anti-inflammatory properties of steroids) | Progressi nella conoscenza del trattamento di asma e BPCO (gli steroidi funzionano nell'asma, non nella BPCO; i teofillinici esaltano l'attività antiinfiammatoria degli steroidi)","Barnes P.J., Allegra L., Della Patrona S.",11270810,"GIMT - Giornale Italiano delle Malattie del Torace",62, 1,0,0,0,0,0,0
2008,"The cytokine network in asthma and chronic obstructive pulmonary disease","Barnes P.J.",00219738,"Journal of Clinical Investigation",118, 11,0,0,2,2,9,11
2008,"Steroid-resistant neutrophilic inflammation in a mouse model of an acute exacerbation of asthma","Ito K., Herbert C., Siegle J.S., Vuppusetty C., Hansbro N., Thomas P.S., Foster P.S., Barnes P.J., Kumar R.K.",10441549,"American Journal of Respiratory Cell and Molecular Biology",39, 5,0,0,1,1,4,5
2008,"Benchmarking of a motion sensing system for medical imaging and radiotherapy.","Barnes P.J., Baldock C., Meikle S.R., Fulton R.R.",00319155,"Physics in medicine and biology",53, 20,0,0,0,0,0,0
2008,"Failure to thrive","Tuohy S., Barnes P., Allen S.J.",17517222,"Paediatrics and Child Health",18, 10,0,0,0,0,0,0
2008,"Feasibility and interpretation of FENO measurements in asthma patients in general practice","Torre O., Olivieri D., Barnes P.J., Kharitonov S.A.",09546111,"Respiratory Medicine",102, 10,0,0,0,0,1,1
2008,"Rapid effect of inhaled ciclesonide in asthma: A randomized, placebo-controlled study","Erin E.M., Hansel T.T., Zacharasiewicz A.S., Nicholson G.C., Tan A.J., Neighbour H., Engelstatter R., Hellwig M., Kon O.M., Barnes P.J.",00123692,"Chest",134, 4,0,0,0,0,1,1
2008,"Exhaled 8-isoprostane and prostaglandin E2 in patients with stable and unstable cystic fibrosis{star, open}","Lucidi V., Ciabattoni G., Bella S., Barnes P.J., Montuschi P.",08915849,"Free Radical Biology and Medicine",45, 6,0,0,0,0,0,0
2008,"Defective antioxidant gene regulation in COPD: A case for broccoli","Barnes P.J.",1073449X,"American Journal of Respiratory and Critical Care Medicine",178, 6,0,0,0,0,1,1
2008,"Effect of ?2-adrenoceptor agonists and other cAMP-elevating agents on inflammatory gene expression in human ASM cells: A role for protein kinase A","Kaur M., Holden N.S., Wilson S.M., Sukkar M.B., Chung K.F., Barnes P.J., Newton R., Giembycz M.A.",10400605,"American Journal of Physiology - Lung Cellular and Molecular Physiology",295, 3,0,0,0,0,1,1
2008,"Relative corticosteroid insensitivity of alveolar macrophages in severe asthma compared with non-severe asthma","Bhavsar P., Hew M., Khorasani N., Torrego A., Barnes P.J., Adcock I., Chung K.F.",00406376,"Thorax",63, 9,0,0,1,1,7,8
2008,"ATCA and Spitzer observations of the binary protostellar systems CG 30 and BHR 71","Chen X., Launhardt R., Bourke T.L., Henning T., Barnes P.J.",0004637X,"Astrophysical Journal",683, 2,0,0,1,1,3,4
2008,"Role of GATA-3 in allergic diseases","Barnes P.J.",15665240,"Current Molecular Medicine",8, 5,0,0,2,2,3,5
2008,"Airway responsiveness and inflammation in adolescent elite swimmers","Pedersen L., Lund T.K., Barnes P.J., Kharitonov S.A., Backer V.",00916749,"Journal of Allergy and Clinical Immunology",122, 2,0,0,0,0,4,4
2008,"Molecular mechanisms of corticosteroid resistance","Adcock I.M., Barnes P.J.",00123692,"Chest",134, 2,0,0,3,3,7,10
2008,"Small airways: an important but neglected target in the treatment of obstructive airway diseases","Sturton G., Persson C., Barnes P.J.",01656147,"Trends in Pharmacological Sciences",29, 7,0,0,1,1,1,2
2008,"Future therapies for chronic obstructive pulmonary disease","Barnes P.J.",17471060,"Journal of Organ Dysfunction",4, 2,0,0,0,0,1,1
2008,"Frontrunners in novel pharmacotherapy of COPD","Barnes P.J.",14714892,"Current Opinion in Pharmacology",8, 3,0,0,0,0,4,4
2008,"?2-agonists potentiate corticosteroid-induced neutrophil survival","Perttunen H., Moilanen E., Zhang X., Barnes P.J., Kankaanranta H.",15412555,"COPD: Journal of Chronic Obstructive Pulmonary Disease",5, 3,0,0,0,0,2,2
2008,"Overcoming steroid insensitivity in smoking asthmatics","Ahmad T., Barnes P.J., Adcock I.M.",14724472,"Current Opinion in Investigational Drugs",9, 5,0,0,1,1,4,5
2008,"Safety of regadenoson, an adenosine A2A receptor agonist for myocardial perfusion imaging, in mild asthma and moderate asthma patients: A randomized, double-blind, placebo-controlled trial","Leaker B.R., O'Connor B., Hansel T.T., Barnes P.J., Meng L., Mathur V.S., Lieu H.D.",10713581,"Journal of Nuclear Cardiology",15, 3,0,0,0,0,4,4
2008,"A blood test for lung fibrosis.","Barnes P.J.",15491676,"PLoS medicine",5, 4,0,0,0,0,0,0
2008,"A blood test for lung fibrosis?","Barnes P.J.",15491277,"PLoS Medicine",5, 4,0,0,0,0,0,0
2008,"Effect of incorrect use of dry powder inhalers on management of patients with asthma and COPD","Lavorini F., Barnes P., Corrigan C., Levy M., Crompton G.K., Magnan A., Christophe Dubus J., Voshaar T., Corbetta L., Broeders M., Dekhuijzen R., Sanchis J., Viejo J.L.",09546111,"Respiratory Medicine",102, 4,0,0,1,1,2,3
2008,"Drugs for airway disease","Barnes P.J.",13573039,"Medicine",36, 4,0,0,1,1,0,1
2008,"Immunology of asthma and chronic obstructive pulmonary disease","Barnes P.J.",14741733,"Nature Reviews Immunology",8, 3,0,0,20,20,43,63
2008,"Creating an earth atmospheric trust [1]","Barnes P., Costanza R., Hawken P., Orr D., Ostrom E., Umana A., Young O.",00368075,"Science",319, 5864,0,0,2,2,0,2
2008,"Outcomes for COPD pharmacological trials: From lung function to biomarkers","Cazzola M., Celli B.R., Jones P.W., Mahler D.A., Make B., Miravitlles M., Page C.P., Palange P., Parr D., Pistolesi M., Rennard S.I., MacNee W., Rutten-van Molken M.P., Stockley R., Sullivan S.D., Wedzicha J.A., Wouters E.F., Martinez F.J., Rabe K.F., Franciosi L.G., Barnes P.J., Brusasco V., Burge P.S., Calverley P.M.A.",09031936,"European Respiratory Journal",31, 2,0,0,25,25,25,50
2008,"Optimized dialysis and protease inhibition of sputum dithiothreitol supernatants","Erin E.M., Bush A., Jose P.J., Barnes P.J., Hansel T.T., Jenkins G.R., Kon O.M., Zacharasiewicz A.S., Nicholson G.C., Neighbour H., Tennant R.C., Tan A.J., Leaker B.R.",1073449X,"American Journal of Respiratory and Critical Care Medicine",177, 2,0,0,2,2,1,3
2008,"Importance of inhaler devices in the management of airway disease","Virchow J.C., Crompton G.K., Dal Negro R., Pedersen S., Magnan A., Seidenberg J., Barnes P.J.",09546111,"Respiratory Medicine",102, 1,0,0,7,7,2,9
2008,"Sputum indoleamine-2, 3-dioxygenase activity is increased in asthmatic airways by using inhaled corticosteroids","Maneechotesuwan K., Supawita S., Kasetsinsombat K., Wongkajornsilp A., Barnes P.J.",00916749,"Journal of Allergy and Clinical Immunology",121, 1,0,0,1,1,1,2
2008,"Different mitogen-activated protein kinase-dependent cytokine responses in cells of the monocyte lineage","Tudhope S.J., Finney-Hayward T.K., Nicholson A.G., Mayer R.J., Barnette M.S., Barnes P.J., Donnelly L.E.",00223565,"Journal of Pharmacology and Experimental Therapeutics",324, 1,0,0,5,5,6,11
2008,"Pharmacological characterization of indacaterol, a novel once daily inhaled ?2 adrenoceptor agonist, on small airways in human and rat precision-cut lung slices","Sturton R.G., Trifilieff A., Nicholson A.G., Barnes P.J.",00223565,"Journal of Pharmacology and Experimental Therapeutics",324, 1,0,0,4,4,2,6
