,"Author: Barton, Paul J R",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 19 (Of the 57 documents considered for the h-Index, 19 have been cited at least 19 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1655,175,202,377,113,2145
2009,"Effect of Adenosine Monophosphate Deaminase-1 C34T Allele on the Requirement for Donor Inotropic Support and on the Incidence of Early Graft Dysfunction After Cardiac Transplantation","Taegtmeyer A.B., Breen J.B., Rogers P., Johnson P.H., Smith J., Smolenski R.T., Banner N.R., Yacoub M.H., Barton P.J.",00029149,"American Journal of Cardiology",103, 10,0,0,0,0,0,0
2008,"Expression of follistatin-related genes is altered in heart failure","Lara-Pezzi E., Barton P.J.R., Felkin L.E., Birks E.J., Sarathchandra P., Panse K.D., George R., Hall J.L., Yacoub M.H., Rosenthal N.",00137227,"Endocrinology",149, 11,0,0,0,0,0,0
2008,"Role and possible mechanisms of clenbuterol in enhancing reverse remodelling during mechanical unloading in murine heart failure (Cardiovascular Research (2008) 77, 4, (695-706))","Soppa G.K.R., Lee J., Stagg M.A., Felkin L.E., Barton P.J.R., Siedlecka U., Youssef S., Yacoub M.H., Terracciano C.M.N.",00086363,"Cardiovascular Research",80, 1,0,0,0,0,0,0
2008,"Choice of cell-delivery route for skeletal myoblast transplantation for treating post-infarction chronic heart failure in rat","Fukushima S., Coppen S.R., Lee J., Yamahara K., Felkin L.E., Terracciano C.M.N., Barton P.J.R., Yacoub M.H., Suzuki K.",19326203,"PLoS ONE",3, 8,0,0,0,0,3,3
2008,"Elevated p53 expression is associated with dysregulation of the ubiquitin-proteasome system in dilated cardiomyopathy","Birks E.J., Barton P.J.R., Yacoub M.H., Evans P.C., Latif N., Enesa K., Folkvang T., Luong L.A., Sarathchandra P., Khan M., Ovaa H., Terracciano C.M.",00086363,"Cardiovascular Research",79, 3,0,0,2,2,3,5
2008,"Heterogeneic nature of adult cardiac side population cells","Yamahara K., Fukushima S., Coppen S.R., Felkin L.E., Varela-Carver A., Barton P.J.R., Yacoub M.H., Suzuki K.",0006291X,"Biochemical and Biophysical Research Communications",371, 4,0,0,0,0,2,2
2008,"Left ventricular assist device-induced molecular changes in the failing myocardium","Soppa G.K.R., Barton P.J.R., Terracciano C.M.N., Yacoub M.H.",02684705,"Current Opinion in Cardiology",23, 3,0,0,1,1,1,2
2008,"The Effects of Pre- and Post-transplant Anemia on 1-Year Survival After Cardiac Transplantation","Taegtmeyer A.B., Rogers P., Breen J.B., Barton P.J., Banner N.R., Yacoub M.H.",10532498,"Journal of Heart and Lung Transplantation",27, 4,0,0,0,0,1,1
2008,"Role and possible mechanisms of clenbuterol in enhancing reverse remodelling during mechanical unloading in murine heart failure","Soppa G.K.R., Lee J., Stagg M.A., Felkin L.E., Barton P.J.R., Siedlecka U., Youssef S., Yacoub M.H., Terracciano C.M.N.",00086363,"Cardiovascular Research",77, 4,0,0,8,8,2,10
2007,"Response to letter regarding article, ""Direct intramyocardial but not intracoronary injection of bone marrow cells induces ventricular arrhythmias in a rat chronic ischemic heart failure model"" [2]","Suzuki K., Yacoub M.H., Fukushima S., Varela-Carver A., Coppen S.R., Yamahara K., Felkin L.E., Lee J., Barton P.J.R., Terracciano C.M.N.",00097322,"Circulation",116, 23,0,0,0,0,1,1
2007,"Direct intramyocardial but not intracoronary injection of bone marrow cells induces ventricular arrhythmias in a rat chronic ischemic heart failure model","Fukushima S., Suzuki K., Varela-Carver A., Coppen S.R., Yamahara K., Felkin L.E., Lee J., Barton P.J.R., Terracciano C.M.N., Yacoub M.H.",00097322,"Circulation",115, 17,0,5,17,22,10,32
2007,"Changes in Sarcomeric and Non-sarcomeric Cytoskeletal Proteins and Focal Adhesion Molecules During Clinical Myocardial Recovery After Left Ventricular Assist Device Support","Latif N., Yacoub M.H., George R., Barton P.J.R., Birks E.J.",10532498,"Journal of Heart and Lung Transplantation",26, 3,0,0,3,3,0,3
2007,"Molecular signature of recovery following combination left ventricular assist device (LVAD) support and pharmacologic therapy","Hall J.L., Adhikari N., Charles N.J., Felkin L.E., Polster S., George R.S., Miller L.W., Yacoub M.H., Birks E.J., Grindle S., Cullen M.E., Barton P.J., Rider J.E., Lee S., Harwalker S., Mariash A.",0195668X,"European Heart Journal",28, 5,0,4,7,11,4,15
