,"Author: Basáñez, Maria Gloria; Basanez, Maria Gloria",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 13 (Of the 56 documents considered for the h-Index, 13 have been cited at least 13 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,286,68,124,192,88,566
2009,"The epidemiology and control of urinary schistosomiasis and soil-transmitted helminthiasis in schoolchildren on Unguja Island, Zanzibar","Stothard J.R., French M.D., Khamis I.S., Basanez M.-G., Rollinson D.",359203,Transactions of the Royal Society of Tropical Medicine and Hygiene,103,10,0,0,0,0,0,0
2009,"The development of an age-structured model for trachoma transmission dynamics, pathogenesis and control","Gambhir M., Mabey D.C., Grassly N.C., Basanez M.-G., Burton M.J., Solomon A.W., Bailey R.L., Holland M.J., Blake I.M., Donnelly C.A., Jabr I.",,PLoS Neglected Tropical Diseases,3,6,0,0,0,0,0,0
2009,Estimating household and community transmission of ocular Chlamydia trachomatis,"Blake I.M., Basanez M.-G., Grassly N.C., Burton M.J., Bailey R.L., Solomon A.W., West S., Munoz B., Holland M.J., Mabey D.C.W., Gambhir M.",,PLoS Neglected Tropical Diseases,3,3,0,0,0,0,0,0
2009,"Parasite genetic differentiation by habitat type and host species: Molecular epidemiology of Schistosoma japonicum in hilly and marshland areas of Anhui Province, China","Rudge J.W., Lu D.-B., Fang G.-R., Wang T.-P., Basanez M.-G., Webster J.P.",9621083,Molecular Ecology,18,10,0,0,0,0,0,0
2009,The temporal dynamics of Plasmodium density through the sporogonic cycle within Anopheles mosquitoes,"Dawes E.J., Zhuang S., Sinden R.E., Basanez M.-G.",359203,Transactions of the Royal Society of Tropical Medicine and Hygiene,, ,0,0,0,0,0,0
2009,Chapter 11 Onchocerca-Simulium Interactions and the Population and Evolutionary Biology of Onchocerca volvulus,"Basanez M., Churcher T.S., Grillet M.",0065308X,Advances in Parasitology,68, ,0,0,0,0,0,0
2009,Sampling strategies to detect anthelmintic resistance: the perspective of human onchocerciasis,"Churcher T.S., Basanez M.-G.",14714922,Trends in Parasitology,25,1,0,0,0,0,1,1
2008,Population genetics of Schistosoma japonicum within the Philippines suggest high levels of transmission between humans and dogs,"Carabin H., Balolong Jr. E., Basanez M.-G.",,PLoS Neglected Tropical Diseases,2,11,0,0,0,0,1,1
2008,"A parasitological survey, in rural Zanzibar, of pre-school children and their mothers for urinary schistosomiasis, soil-transmitted helminthiases and malaria, with observations on the prevalence of anaemia","Sousa-Figueiredo J.C., Basanez M.-G., Mgeni A.F., Khamis I.S., Rollinson D., Stothard J.R.",34983,Annals of Tropical Medicine and Parasitology,102,8,0,0,1,1,2,3
2008,"Hispanic Latin America, Spain and the Spanish-speaking Caribbean: A rich source of reference material for public health, epidemiology and tropical medicine","Williams J.R., Borquez A., Basanez M.-G.",17427622,Emerging Themes in Epidemiology,5, ,0,0,2,2,0,2
2008,Mathematical modelling of parasitic infections: From data and parameter estimation to evolutionary implications,"Basanez M.-G., Chappell L.H.",311820,Parasitology,135,13,0,0,0,0,0,0
2008,Rates of microfilarial production by Onchocerca volvulus are not cumulatively reduced by multiple ivermectin treatments,"Bottomley C., Isham V., Collins R.C., Basanez M.-G.",311820,Parasitology,135,13,0,0,0,0,1,1
2008,"Vector competence of Simulium oyapockense s.l. and S. incrustatum for Onchocerca volvulus: Implications for ivermectin-based control in the Amazonian focus of human onchocerciasis, a multi-vector-host system","Grillet M.-E., Villamizar N.J., Frontado H.L., Cortez J., Escalona M., Botto C., Basanez M.-G.",0001706X,Acta Tropica,107,2,0,0,0,0,1,1
2008,Effect of single-dose ivermectin on Onchocerca volvulus: a systematic review and meta-analysis,"Basanez M.-G., Pion S.D., Boakes E., Filipe J.A., Churcher T.S., Boussinesq M.",14733099,The Lancet Infectious Diseases,8,5,0,0,1,1,4,5
2008,An analysis of genetic diversity and inbreeding in Wuchereria bancrofti: Implications for the spread and detection of drug resistance,"Churcher T.S., Schwab A.E., Prichard R.K., Basanez M.-G.",,PLoS Neglected Tropical Diseases,2,4,0,0,0,0,1,1
2008,Density dependence and the spread of anthelmintic resistance,"Churcher T.S., Basanez M.-G.",143820,Evolution,62,3,0,0,1,1,5,6
2008,Micro-epidemiology of urinary schistosomiasis in Zanzibar: Local risk factors associated with distribution of infections among schoolchildren and relevance for control,"Rudge J.W., Stothard J.R., Basanez M.-G., Mgeni A.F., Khamis I.S., Khamis A.N., Rollinson D.",0001706X,Acta Tropica,105,1,0,0,2,2,4,6
2007,Progression of Plasmodium berghei through Anopheles stephensi is density-dependent.,"Sinden R.E., Gilbert S.C., Basanez M.G., Dawes E.J., Alavi Y., Waldock J., Finney O., Mendoza J., Butcher G.A., Andrews L., Hill A.V.",15537374,PLoS pathogens,3,12,0,0,4,4,6,10
2007,Contribution of migrant coffee labourers infected with Onchocerca volvulus to the maintenance of the microfilarial reservoir in an ivermectin-treated area of Mexico,"Rodriguez-Perez M.A., Cabrera A.S., Ortega C.L., Basanez M.-G., Davies J.B.",14752883,Filaria Journal,6, ,0,0,0,0,1,1
2007,Progression of Plasmodium berghei through Anopheles stephensi is density-dependent,"Sinden R.E., Gilbert S.C., Basanez M.-G., Dawes E.J., Alavi Y., Waldock J., Finney O., Mendoza J., Butcher G.A., Andrews L., Hill A.V.",15537366,PLoS Pathogens,3,12,0,0,0,0,0,0
2007,"School-based control of urinary schistosomiasis on Zanzibar, Tanzania: Monitoring micro-haematuria with reagent strips as a rapid urological assessment","French M.D., Rollinson D., Basanez M.-G., Mgeni A.F., Khamis I.S., Stothard J.R.",14775131,Journal of Pediatric Urology,3,5,0,0,3,3,6,9
2007,An analysis of the population genetics of potential multi-drug resistance in Wuchereria bancrofti due to combination chemotherapy,"Schwab A.E., Churcher T.S., Schwab A.J., Basanez M.-G., Prichard R.K.",311820,Parasitology,134,7,0,3,5,8,3,11
2007,Vector competence for Onchocerca volvulus in the Simulium (Notolepria) exiguum complex: Cytoforms or density-dependence?,"Wetten S., Collins R.C., Vieira J.C., Marshall C., Shelley A.J., Basanez M.-G.",0001706X,Acta Tropica,103,1,0,0,1,1,1,2
2007,"Trachoma: transmission, infection, and control","Gambhir M., Basanez M.-G., Turner F., Kumaresan J., Grassly N.C.",14733099,Lancet Infectious Diseases,7,6,0,0,5,5,3,8
2007,Density-dependent host choice by disease vectors: epidemiological implications of the ideal free distribution,"Basanez M.-G., Razali K., Renz A., Kelly D.",359203,Transactions of the Royal Society of Tropical Medicine and Hygiene,101,3,0,1,4,5,2,7
2007,Population biology of multispecies helminth infection: Competition and coexistence,"Bottomley C., Isham V., Basanez M.-G.",225193,Journal of Theoretical Biology,244,1,0,0,1,1,0,1
2006,Population genetics of concurrent selection with albendazole and ivermectin or diethylcarbamazine on the possible spread of albendazole resistance in Wuchereria bancrofti,"Schwab A.E., Churcher T.S., Schwab A.J., Basanez M.-G., Prichard R.K.",311820,Parasitology,133,5,1,5,3,8,1,10
2006,Density dependence and the control of helminth parasites,"Churcher T.S., Filipe J.A.N., Basanez M.-G.",218790,Journal of Animal Ecology,75,6,0,1,6,7,2,9
2006,River blindness: A success story under threat?,"Basanez M.-G., Pion S.D.S., Churcher T.S., Breitling L.P., Little M.P., Boussinesq M.",15491277,PLoS Medicine,3,9,0,6,4,10,0,10
2006,River blindness: a success story under threat?,"Basanez M.G., Pion S.D., Churcher T.S., Breitling L.P., Little M.P., Boussinesq M.",15491676,PLoS medicine,3,9,0,2,11,13,4,17
2006,Microfilarial distribution of Loa loa in the human host: Population dynamics and epidemiological implications,"Pion S.D.S., Filipe J.A.N., Kamgno J., Gardon J., Basanez M.-G., Boussinesq M.",311820,Parasitology,133,1,0,0,2,2,0,2
2006,Co-infection with Onchocerca volvulus and Loa loa microfilariae in central Cameroon: Are these two species interacting?,"Pion S.D.S., Clarke P., Filipe J.A.N., Kamgno J., Gardon J., Basanez M.-G., Boussinesq M.",311820,Parasitology,132,6,1,1,1,2,2,5
2005,Human infection patterns and heterogeneous exposure in river blindness,"Filipe J.A.N., Boussinesq M., Renz A., Collins R.C., Vivas-Martinez S., Grillet M.-E., Little M.P., Basanez M.-G.",278424,Proceedings of the National Academy of Sciences of the United States of America,102,42,7,4,2,6,3,16
2005,Population biology of multispecies helminth infection: Interspecific interactions and parasite distribution,"Bottomley C., Isham V., Basanez M.-G.",311820,Parasitology,131,3,2,3,3,6,2,10
