,"This is a citation overview for a set of 27 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 13 (Of the 27 documents considered for the h-Index, 13 have been cited at least 13 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,679,103,131,234,64,977
2009,"The skeletal phenotypes of TR? and TB? mutant mice","Bassett J.H.D., Williams G.R.",09525041,"Journal of Molecular Endocrinology",42, 4,0,0,0,0,0,0
2008,"Critical role of the hypothalamic-pituitary-thyroid axis in bone","Bassett J.H.D., Williams G.R.",87563282,"Bone",43, 3,0,0,0,0,5,5
2008,"Intrauterine transplantation of human fetal mesenchymal stem cells from first-trimester blood repairs bone and reduces fractures in osteogenesis imperfecta mice","Guillot P.V., Fisk N.M., Abass O., Bassett J.H.D., Shefelbine S.J., Bou-Gharios G., Chan J., Kurata H., Williams G.R., Polak J.",00064971,"Blood",111, 3,0,0,8,8,8,16
2008,"A lack of thyroid hormones rather than excess thyrotropin causes abnormal skeletal development in hypothyroidism","Bassett J.H.D., Costagliola S., Vassart G., Weiss R.E., Refetoff S., Williams G.R., Williams A.J., Murphy E., Boyde A., Howell P.G.T., Swinhoe R., Archanco M., Flamant F., Samarut J.",08888809,"Molecular Endocrinology",22, 2,0,0,5,5,3,8
2007,"Thyroid status during skeletal development determines adult bone structure and mineralization","Bassett J.H.D., Nordstrom K., Boyde A., Howell P.G.T., Kelly S., Vennstrom B., Williams G.R.",08888809,"Molecular Endocrinology",21, 8,0,1,9,10,3,13
2007,"Thyroid hormone excess rather than thyrotropin deficiency induces osteoporosis in hyperthyroidism","Bassett J.H.D., Clement-Lacroix P., Samarut J., Chassande O., Williams G.R., O'Shea P.J., Sriskantharajah S., Rabier B., Boyde A., Howell P.G.T., Weiss R.E., Roux J.-P., Malaval L.",08888809,"Molecular Endocrinology",21, 5,0,7,14,21,4,25
2007,"The rat thyroid hormone receptor (TR) ??3 displays cell-, TR isoform-, and thyroid hormone response element-specific actions","Harvey C.B., Bassett J.H.D., Maruvada P., Yen P.M., Williams G.R.",00137227,"Endocrinology",148, 4,0,1,4,5,0,5
2006,"Disorders of calcium","Murphy E., Bassett J.H.D., Williams G.R.",00326518,"Practitioner",250, 1686,0,0,0,0,0,0
2006,"Thyroid hormone regulates heparan sulfate proteoglycan expression in the growth plate","Bassett J.H.D., Swinhoe R., Chassande O., Samarut J., Williams G.R.",00137227,"Endocrinology",147, 1,1,1,1,2,1,4
2005,"Effects of thyroid status on bone metabolism: a primary role for thyroid stimulating hormone or thyroid hormone?","Galliford T.M., Murphy E., Williams A.J., Bassett J.H., Williams G.R.",03911977,"Minerva endocrinologica.",30, 4,0,2,4,6,0,6
2005,"Contrasting skeletal phenotypes in mice with an identical mutation targeted to thyroid hormone receptor ?1 or ?","O'Shea P.J., Bassett J.H.D., Sriskantharajah S., Ying H., Cheng S.-Y., Williams G.R.",08888809,"Molecular Endocrinology",19, 12,4,8,7,15,4,23
