,"This is a citation overview for a set of 153 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 42 (Of the 153 documents considered for the h-Index, 42 have been cited at least 42 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,4089,355,444,799,260,5148
2009,"Cough sensors. III. Opioid and cannabinoid receptors on vagal sensory nerves.","Belvisi M.G., Hele D.J.",01712004,"Handbook of experimental pharmacology",, 187,0,0,0,0,1,1
2009,"Targeting the NF-?B pathway in asthma and chronic obstructive pulmonary disease","Edwards M.R., Bartlett N.W., Clarke D., Birrell M., Belvisi M., Johnston S.L.",01637258,"Pharmacology and Therapeutics",121, 1,0,0,0,0,4,4
2008,"Preclinical animal models of asthma and chronic obstructive pulmonary disease","Stevenson C.S., Belvisi M.G.",17476348,"Expert Review of Respiratory Medicine",2, 5,0,0,0,0,0,0
2008,"Inhibitory activity of the novel CB2 receptor agonist, GW833972A, on guinea-pig and human sensory nerve function in the airways","Belvisi M.G., Patel H.J., Freund-Michel V., Hele D.J., Crispino N., Birrell M.A.",00071188,"British Journal of Pharmacology",155, 4,0,0,0,0,2,2
2008,"Liver X receptor agonists increase airway reactivity in a model of asthma via increasing airway smooth muscle growth.","Birrell M.A., Collins J.L., Belvisi M.G., De Alba J., Catley M.C., Hardaker E., Wong S., Collins M., Clarke D.L., Farrow S.N., Willson T.M.",15506606,"Journal of immunology (Baltimore, Md. : 1950)",181, 6,0,0,0,0,2,2
2008,"Modulation of cholinergic contractions of airway smooth muscle by cathinone: Potential beneficial effects in airway diseases","Freund-Michel V.C., Birrell M.A., Patel H.J., Murray-Lyon I.M., Belvisi M.G.",09031936,"European Respiratory Journal",32, 3,0,0,0,0,0,0
2008,"Peroxisome proliferator-activated receptors as novel targets in lung disease","Belvisi M.G., Hele D.J.",00123692,"Chest",134, 1,0,0,0,0,2,2
2008,"Estrogen receptor ?: Expression profile and possible anti-inflammatory role in disease","Catley M.C., Birrell M.A., Hardaker E.L., De Alba J., Farrow S., Haj-Yahia S., Belvisi M.G.",00223565,"Journal of Pharmacology and Experimental Therapeutics",326, 1,0,0,0,0,1,1
2008,"Preclinical assessment of novel therapeutics on the cough reflex: Cannabinoid agonists as potential antitussives","Belvisi M.G.",03412040,"Lung",186, 1,0,0,1,1,2,3
2008,"Impact of tobacco-smoke on key signaling pathways in the innate immune response in lung macrophages","Birrell M.A., Wong S., Catley M.C., Belvisi M.G.",00219541,"Journal of Cellular Physiology",214, 1,0,0,6,6,8,14
2007,"Novel role for the liver X nuclear receptor in the suppression of lung inflammatory responses","Birrell M.A., Haj-Yahia S., Belvisi M.G., Catley M.C., Hardaker E., Wong S., Willson T.M., McCluskie K., Leonard T., Farrow S.N., Collins J.L.",00219258,"Journal of Biological Chemistry",282, 44,0,0,2,2,3,5
2007,"Expression profiling in vivo demonstrates rapid changes in lung microRNA levels following lipopolysaccharide-induced inflammation but not in the anti-inflammatory action of glucocorticoids","Moschos S.A., Williams A.E., Perry M.M., Birrell M.A., Belvisi M.G., Lindsay M.A.",14712164,"BMC Genomics",8, ,0,0,14,14,11,25
2007,"ERS guidelines on the assessment of cough","Morice A.H., Tatar M., Widdicombe J., Fontana G.A., Belvisi M.G., Birring S.S., Chung K.F., Dicpinigaitis P.V., Kastelik J.A., McGarvey L.P., Smith J.A.",09031936,"European Respiratory Journal",29, 6,0,2,22,24,13,37
2006,"Utility of exhaled nitric oxide as a noninvasive biomarker of lung inflammation in a disease model","Birrell M.A., McCluskie K., Hardaker E., Knowles R., Belvisi M.G.",09031936,"European Respiratory Journal",28, 6,0,1,3,4,2,6
2006,"Cough: Citric acid and nerves","Belvisi M.G., Hele D.J.",17406757,"Drug Discovery Today: Disease Models",3, 3,0,0,1,1,0,1
