,"This is a citation overview for a set of 141 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 27 (Of the 141 documents considered for the h-Index, 27 have been cited at least 27 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1992,310,268,578,135,2705
2009,"A randomized controlled trial of cervical scanning vs history to determine cerclage in women at high risk of preterm birth (CIRCLE trial)","Simcox R., Seed P.T., Bennett P., Teoh T.G., Poston L., Shennan A.H.",00029378,"American Journal of Obstetrics and Gynecology",200, 6,0,0,0,0,0,0
2009,"The cyclopentenone 15-deoxy-?12,14-prostaglandin J 2 delays lipopolysaccharide-induced preterm delivery and reduces mortality in the newborn mouse","Pirianov G., Waddington S.N., Lindstrom T.M., Terzidou V., Mehmet H., Bennett P.R.",00137227,"Endocrinology",150, 2,0,0,0,0,0,0
2008,"Abnormalities in the myeloid progenitor compartment in Down syndrome fetal liver precede acquisition of GATA1 mutations","Tunstall-Pedoe O., Roy A., Karadimitris A., De La Fuente J., Fisk N.M., Bennett P., Norton A., Vyas P., Roberts I.",00064971,"Blood",112, 12,0,0,0,0,5,5
2008,"Influence of extracellular matrix on cytokine stimulated pro-labour gene expression in human uterine myocytes","Engineer N., Sooranna S.R., Liang Z., Bennett P.R., Johnson M.R.",19337191,"Reproductive Sciences",15, 9,0,0,0,0,0,0
2008,"Histone deacetylase inhibitors exert time-dependent effects on nuclear factor-?B but consistently suppress the expression of proinflammatory genes in human myometrial cells","Lindstrom T.M., Mohan A.R., Johnson M.R., Bennett P.R.",0026895X,"Molecular Pharmacology",74, 1,0,0,0,0,0,0
2008,"Prostaglandin F2-alpha receptor regulation in human uterine myocytes","Liang Z., Sooranna S.R., Engineer N., Tattersall M., Khanjani S., Bennett P.R., Myatt L., Johnson M.R.",13609947,"Molecular Human Reproduction",14, 4,0,0,1,1,0,1
2007,"Preface","Bennett P., Thornton S.",15216934,"Best Practice and Research: Clinical Obstetrics and Gynaecology",21, 5,0,0,0,0,0,0
2007,"Stretch and interleukin 1 beta: Pro-labour factors with similar mitogen-activated protein kinase effects but differential patterns of transcription factor activation and gene expression","Sooranna S.R., Engineer N., Liang Z., Bennett P.R., Johnson M.R.",00219541,"Journal of Cellular Physiology",212, 1,0,0,2,2,0,2
2007,"The effect of mechanical stretch on cyclooxygenase type 2 expression and activator protein-1 and nuclear factor-?B activity in human amnion cells","Mohan A.R., Sooranna S.R., Lindstrom T.M., Johnson M.R., Bennett P.R.",00137227,"Endocrinology",148, 4,0,1,5,6,0,6
2007,"Role of atypical protein kinase C isozymes and NF-?B in IL-1?-induced expression of cyclooxygenase-2 in human myometrial smooth muscle cells","Duggan S.V., Lindstrom T., Iglesias T., Bennett P.R., Mann G.E., Bartlett S.R.",00219541,"Journal of Cellular Physiology",210, 3,0,2,3,5,0,5
2006,"Prostanoid receptors in human uterine myocytes: The effect of reproductive state and stretch","Sooranna S.R., Grigsby P., Myatt L., Bennett P.R., Johnson M.R.",13609947,"Molecular Human Reproduction",11, 12,0,0,5,5,0,5
2006,"The role of CCAAT/enhancer-binding protein ? in the transcriptional regulation of COX-2 in human amnion","Lee Y.S., Terzidou V., Lindstrom T., Johnson M., Bennett P.R.",13609947,"Molecular Human Reproduction",11, 12,0,1,1,2,2,4
