,"Authors: Bevan, Charlotte L.; Bevan, Charlotte",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 13 (Of the 19 documents considered for the h-Index, 13 have been cited at least 13 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,374,74,67,141,39,554
2009,"The role of androgen receptor mutations in prostate cancer progression","Brooke G.N., Bevan C.L.",13892029,"Current Genomics",10, 1,0,0,0,0,0,0
2008,"Notch signaling: A potential therapeutic target in prostate cancer","Villaronga M.A., Bevan C.L., Belandia B.",15680096,"Current Cancer Drug Targets",8, 7,0,0,0,0,1,1
2008,"Mechanisms of androgen receptor activation in advanced prostate cancer: Differential co-activator recruitment and gene expression","Brooke G.N., Parker M.G., Bevan C.L.",09509232,"Oncogene",27, 21,0,0,1,1,4,5
2007,"Proteomic analysis of proteins regulated by TRPS1 transcription factor in DU145 prostate cancer cells","Chang G.T.G., Gamble S.C., Jhamai M., Wait R., Bevan C.L., Brinkmann A.O.",15709639,"Biochimica et Biophysica Acta - Proteins and Proteomics",1774, 5,0,0,0,0,0,0
2007,"Prohibitin, a protein downregulated by androgens, represses androgen receptor activity","Gamble S.C., Waxman J., Bevan C.L., Chotai D., Odontiadis M., Dart D.A., Brooke G.N., Powell S.M., Reebye V., Varela-Carver A., Kawano Y.",09509232,"Oncogene",26, 12,0,1,8,9,5,14
2006,"Mechanisms of androgen receptor repression in prostate cancer","Powell S.M., Brooke G.N., Whitaker H.C., Reebye V., Gamble S.C., Chotai D., Dart D.A., Belandia B., Bevan C.L.",03005127,"Biochemical Society Transactions",34, 6,0,1,2,3,0,3
2006,"Impact of analytical bias in metabonomic studies of human blood serum and plasma","Teahan O., Gamble S., Holmes E., Waxman J., Nicholson J.K., Bevan C., Keun H.C.",00032700,"Analytical Chemistry",78, 13,0,12,5,17,5,22
2005,"Androgen receptor in prostate cancer: Cause or cure?","Bevan C.L.",10432760,"Trends in Endocrinology and Metabolism",16, 9,1,1,1,2,1,4
2005,"Hey1, a mediator of Notch signaling, is an androgen receptor corepressor","Belandia B., Powell S.M., Garcia-Pedrero J.M., Walker M.M., Bevan C.L., Parker M.G.",02707306,"Molecular and Cellular Biology",25, 4,10,5,7,12,2,24
2004,"Androgen receptor is targeted to distinct subcellular compartments in response to different therapeutic antiandrogens","Whitaker H.C., Hanrahan S., Totty N., Gamble S.C., Waxman J., Cato A.C.B., Hurst H.C., Bevan C.L.",10780432,"Clinical Cancer Research",10, 21,5,11,2,13,1,19
2004,"Androgens target prohibitin to regulate proliferation of prostate cancer cells","Gamble S.C., Odontiadis M., Waxman J., Westbrook J.A., Dunn M.J., Wait R., Lam E.W.-F., Bevan C.L.",09509232,"Oncogene",23, 17,13,11,8,19,2,34
2004,"Mechanisms of androgen receptor signalling via steroid receptor coactivator-1 in prostate","Powell S.M., Christiaens V., Voulgaraki D., Waxman J., Claessens F., Bevan C.L.",13510088,"Endocrine-Related Cancer",11, 1,4,2,5,7,2,13
2002,"Characterization of the two coactivator-interacting surfaces of the androgen receptor and their relative role in transcriptional control","Christiaens V., Bevan C.L., Callewaert L., Haelens A., Verrijdt G., Rombauts W., Claessens F.",00219258,"Journal of Biological Chemistry",277, 51,20,7,3,10,1,31
2001,"Analysis of the steroid receptor coactivator 1 (SRC1)-CREB binding protein interaction interface and its importance for the function of SRC1","Sheppard H.M., Harries J.C., Hussain S., Bevan C., Heery D.M.",02707306,"Molecular and Cellular Biology",21, 1,48,4,3,7,1,56
1999,"The role of coactivators in steroid hormone action","Bevan C., Parker M.",00144827,"Experimental Cell Research",253, 2,20,3,3,6,0,26
1999,"The AF1 and AF2 domains of the androgen receptor interact with distinct regions of SRC1","Bevan C.L., Hoare S., Claessens F., Heery D.M., Parker M.G.",02707306,"Molecular and Cellular Biology",19, 12,182,15,16,31,9,222
1997,"Phenotypic diversity in siblings with partial androgen insensitivity syndrome","Evans B.A.J., Hughes I.A., Bevan C.L., Patterson M.N., Gregory J.W.",00039888,"Archives of Disease in Childhood",76, 6,24,0,2,2,3,29
1997,"Wide variation in androgen receptor dysfunction in complete androgen insensitivity syndrome","Bevan C.L., Hughes I.A., Patterson M.N.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",61, 1-2,13,0,0,0,0,13
1996,"Functional analysis of six androgen receptor mutations identified in patients with partial androgen insensitivity syndrome","Bevan C.L., Brown B.B., Davies H.R., Evans B.A.J., Hughes I.A., Patterson M.N.",09646906,"Human Molecular Genetics",5, 2,34,1,1,2,2,38
