,"Author: Bishop, Anne E.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 23 (Of the 62 documents considered for the h-Index, 23 have been cited at least 23 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2169,283,261,544,145,2858
2008,"The benefit of human embryonic stem cell encapsulation for prolonged feeder-free maintenance","Siti-Ismail N., Bishop A.E., Polak J.M., Mantalaris A.",01429612,"Biomaterials",29, 29,0,0,0,0,2,2
2008,"A new Vibrio cholerae sRNA modulates colonization and affects release of outer membrane vesicles","Song T., Vogel J., Wai S.N., Mika F., Lindmark B., Liu Z., Schild S., Bishop A., Zhu J., Camilli A., Johansson J.",0950382X,"Molecular Microbiology",70, 1,0,0,0,0,6,6
2008,"Interaction of Salmonella enterica serovar Typhi with cultured epithelial cells: Roles of surface structures in adhesion and invasion","Bishop A., House D., Perkins T., Baker S., Kingsley R.A., Dougan G.",13500872,"Microbiology",154, 7,0,0,0,0,1,1
2008,"Chairman's summary","Bishop A.E.",15463222,"Proceedings of the American Thoracic Society",5, 6,0,0,0,0,0,0
2008,"Embryonic stem cells as a source of pulmonary epithelium in vitro and in vivo","Rippon H.J., Lane S., Qin M., Ismail N.-S., Wilson M.R., Takata M., Bishop A.E.",15463222,"Proceedings of the American Thoracic Society",5, 6,0,0,0,0,2,2
2007,"Enhanced in vitro chondrogenic differentiation of murine embryonic stem cells","Hwang Y.-S., Bishop A.E., Polak J.M., Mantalaris A.",12268372,"Biotechnology and Bioprocess Engineering",12, 6,0,0,0,0,1,1
2007,"Recovery rate of embryonic stem cells after defrosting: Role of the feeder layer","Samadikuchaksaraei A., Bishop A.E.",14653249,"Cytotherapy",9, 7,0,0,0,0,0,0
2007,"Effects of growth factors on the differentiation of murine ESC into type II pneumocytes","Samadikuchaksaraei A., Bishop A.E.",15362302,"Cloning and Stem Cells",9, 3,0,0,1,1,1,2
2007,"Stem cells in lung repair and regeneration","Lane S., Rippon H.J., Bishop A.E.",17460751,"Regenerative Medicine",2, 4,0,0,0,0,0,0
2007,"The differentiation of distal lung epithelium from embryonic stem cells.","Van Vranken B.E., Rippon H.J., Samadikuchaksaraei A., Trounson A.O., Bishop A.E.",19388969,"Current protocols in stem cell biology",1, ,0,0,0,0,1,1
2006,"Pulmonary Epithelium","Bishop A.E., Polak J.M.",00766879,"Methods in Enzymology",418, ,0,0,1,1,0,1
2006,"Biocompatibility of poly-DL-lactic acid (PDLLA) for lung tissue engineering","Lin Y.M., Boccaccini A.R., Polak J.M., Bishop A.E., Maquet V.",08853282,"Journal of Biomaterials Applications",21, 2,0,1,2,3,2,5
2006,"Derivation and characterization of alveolar epithelial cells from murine embryonic stem cells in vitro.","Samadikuchaksaraei A., Bishop A.E.",10643745,"Methods in molecular biology (Clifton, N.J.)",330, ,0,1,1,2,1,3
2006,"Stem cells - Potential for repairing damaged lungs and growing human lungs for transplant","Bishop A.E., Rippon H.J.",14712598,"Expert Opinion on Biological Therapy",6, 8,0,2,0,2,0,2
2006,"Antibiotics reduce the growth rate and differentiation of embryonic stem cell cultures","Cohen S., Samadikuchaksaraei A., Polak J.M., Bishop A.E.",10763279,"Tissue Engineering",12, 7,0,1,1,2,1,3
2006,"Chondrogenic differentiation of human embryonic stem cells: The effect of the micro-environment","Vats A., Bielby R.C., Tolley N., Dickinson S.C., Boccaccini A.R., Hollander A.P., Bishop A.E., Polak J.M.",10763279,"Tissue Engineering",12, 6,1,6,11,17,9,27
2006,"Derivation of distal lung epithelial progenitors from murine embryonic stem cells using a novel three-step differentiation protocol","Rippon H.J., Polak J.M., Qin M., Bishop A.E.",10665099,"Stem Cells",24, 5,5,7,13,20,2,27
2006,"Stem cells and tissue engineering: Past, present, and future","Polak J.M., Bishop A.E.",00778923,"Annals of the New York Academy of Sciences",1068, 1,3,11,8,19,3,25
2006,"Derivation of distal airway epithelium from human embryonic stem cells","Samadikuchaksaraei A., Cohen S., Isaac K., Rippon H.J., Polak J.M., Bielby R.C., Bishop A.E.",10763279,"Tissue Engineering",12, 4,2,7,12,19,2,23
2006,"Upregulated genes in sporadic, idiopathic pulmonary arterial hypertension","Edgar A.J., Chacon M.R., Bishop A.E., Yacoub M.H., Polak J.M.",1465993X,"Respiratory Research",7, ,0,1,4,5,1,6
2005,"Use of green fluorescent fusion protein to track activation of the transcription factor osterix during early osteoblast differentiation","Tai G., Christodoulou I., Bishop A.E., Polak J.M.",0006291X,"Biochemical and Biophysical Research Communications",333, 4,5,4,3,7,1,13
2005,"Embryonic stem cells and tissue engineering: Delivering stem cells to the clinic","Vats A., Tolley N.S., Bishop A.E., Polak J.M.",01410768,"Journal of the Royal Society of Medicine",98, 8,5,3,3,6,5,16
2005,"Repopulation of human pulmonary epithelium by bone marrow cells: A potential means to promote repair","Albera C., Fisher C., Burke M., Bishop A.E., Polak J.M., Janes S., Griffiths M.J.D., Alison M.R., Wright N.A., Navaratnarasah S., Poulsom R., Jeffery R.",10763279,"Tissue Engineering",11, 7-8,8,7,9,16,5,29
2005,"Coculture of embryonic stem cells with pulmonary mesenchyme: A microenvironment that promotes differentiation of pulmonary epithelium","Van Vranken B.E., Romanska H.M., Polak J.M., Rippon H.J., Shannon J.M., Bishop A.E.",10763279,"Tissue Engineering",11, 7-8,13,10,10,20,3,36
2005,"Cell extract-derived differentiation of embryonic stem cells","Qin M., Tai G., Collas P., Polak J.M., Bishop A.E.",10665099,"Stem Cells",23, 6,11,7,6,13,2,26
