,"Author: Blagden, Sarah P.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 7 (Of the 17 documents considered for the h-Index, 7 have been cited at least 7 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,95,47,44,91,31,217
2009,"Drosophila Larp associates with poly(A)-binding protein and is required for male fertility and syncytial embryo development","Blagden S.P., Gatt M.K., Archambault V., Lada K., Ichihara K., Lilley K.S., Inoue Y.H., Glover D.M.",00121606,"Developmental Biology",334, 1,0,0,0,0,0,0
2009,"Promising molecular targets in ovarian cancer","Blagden S., Gabra H.",10408746,"Current Opinion in Oncology",21, 5,0,0,0,0,0,0
2009,"A phase i dose escalation study of the pharmacokinetics and tolerability of ZK 304709, an oral multi-targeted growth inhibitor (MTGI?), in patients with advanced solid tumours","Scott E.N., Steward W., De Bono J., Thomas A.L., Molife L.R., Ahmed S., Blagden S., Fong P.C., Kowal K., McCoy C., Wiesinger H.",03445704,"Cancer Chemotherapy and Pharmacology",64, 2,0,0,0,0,1,1
2009,"Extended weekly dose-dense paclitaxel/carboplatin is feasible and active in heavily pre-treated platinum-resistant recurrent ovarian cancer","Sharma R., Graham J., Mitchell H., Brooks A., Blagden S., Gabra H.",00070920,"British Journal of Cancer",100, 5,0,0,0,0,0,0
2008,"Future directions in the management of epithelial ovarian cancer","Blagden S., Gabra H.",14796694,"Future Oncology",4, 3,0,0,0,0,1,1
2008,"A phase I trial of ispinesib, a kinesin spindle protein inhibitor, with docetaxel in patients with advanced solid tumours","Blagden S.P., Kathman S.J., Hodge J.P., Dar M.M., De Bono J.S., Middleton M.R., Molife L.R., Seebaran A., Payne M., Reid A.H.M., Protheroe A.S., Vasist L.S., Williams D.D., Bowen C.",00070920,"British Journal of Cancer",98, 5,0,0,4,4,3,7
2007,"A phase Ib study of pertuzumab, a recombinant humanised antibody to HER2, and docetaxel in patients with advanced solid tumours","Attard G., De Jonge M., Kitzen J., Blagden S.P., Fong P.C., Pronk L.C., Zhi J., Zugmaier G., Verweij J., De Bono J.S.",00070920,"British Journal of Cancer",97, 10,0,0,4,4,4,8
2007,"Targeting cell cycle kinases and kinesins in anticancer drug development","Yap T.A., Molife L.R., Blagden S.P., de Bono J.S.",17460441,"Expert Opinion on Drug Discovery",2, 4,0,0,0,0,0,0
2006,"A phase I study of intravenous TZT-1027 administered on day 1 and day 8 of a three-weekly cycle in combination with carboplatin given on day 1 alone in patients with advanced solid tumours","Greystoke A., Jenner A., De-Bono J.S., Steward W., Blagden S., Thomas A.L., Scott E., Attard G., Molife R., Vidal L., Pacey S., Sarkar D.",09237534,"Annals of Oncology",17, 8,1,6,4,10,0,11
2005,"Making sense of antisense","Vidal L., Blagden S., Attard G., De Bono J.",09598049,"European Journal of Cancer",41, 18,3,8,7,15,3,21
2005,"Drugging cell cycle kinases in cancer therapy","Blagden S., de Bono J.",13894501,"Current Drug Targets",6, 3,12,16,7,23,5,40
2005,"Docetaxel in the management of ovarian cancer","Blagden S.P., Kaye S.B.",14737140,"Expert Review of Anticancer Therapy",5, 2,0,1,0,1,1,2
2003,"Performance status score: Do patients and their oncologists agree?","Blagden S.P., Charman S.C., Sharples L.D., Magee L.R.A., Gilligan D.",00070920,"British Journal of Cancer",89, 6,14,4,4,8,6,28
2003,"Polar expeditions - Provisioning the centrosome for mitosis","Blagden S.P., Glover D.M.",14657392,"Nature Cell Biology",5, 6,53,8,13,21,6,80
2002,"Phase II study to evaluate combining gemcitabine with flutamide in advanced pancreatic cancer patients","Corrie P., Mayer A., Shaw J., D'Ath S., Blagden S., Blesing C., Price P., Warner N.",00070920,"British Journal of Cancer",87, 7,5,2,0,2,0,7
2002,"The effect of early pregnancy following chemotherapy on disease relapse and foetal outcome in women treated for gestational trophoblastic tumours","Blagden S.P., Foskett M.A., Fisher R.A., Short D., Fuller S., Newlands E.S., Seckl M.J.",00070920,"British Journal of Cancer",86, 1,3,1,1,2,1,6
1999,"Reducing incidence of headache after lumbar puncture and intrathecal cytotoxics","Lo S.K., Montgomery J.N., Blagden S., McNeish I.A., Agarwal R., Suntharalingam J., Seckl M.J., Newlands E.S.",01406736,"Lancet",353, 9169,4,1,0,1,0,5
