,"This is a citation overview for a set of 51 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 20 (Of the 51 documents considered for the h-Index, 20 have been cited at least 20 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2030,185,222,407,183,2620
2009,"A deletion of the HBII-85 class of small nucleolar RNAs (snoRNAs) is associated with hyperphagia, obesity and hypogonadism","de Smith A.J., Keogh J.M., Henning E., Yeo G.S.H., O'Rahilly S., Froguel P., Sadaf Farooqi I., Blakemore A.I.F., Purmann C., Walters R.G., Ellis R.J., Holder S.E., Van Haelst M.M., Brady A.F., Fairbrother U.L., Dattani M.",09646906,"Human Molecular Genetics",18, 17,0,0,0,0,0,0
2009,"A rare variant in the visfatin gene (nampt/pbef1) is associated with protection from obesity","Blakemore A.I.F., Walley A.J., Meyre D., Delplanque J., Vatin V., Lecoeur C., Marre M., Tichet J., Balkau B., Froguel P.",19307381,"Obesity",17, 8,0,0,0,0,0,0
2009,"Apolipoprotein-E gene variants associated with cardiovascular risk factors in antipsychotic recipients","Clark D., Skrobot O.A., Adebiyi I., Susce M.T., de Leon J., Blakemore AI.F., Arranz M.J.",09249338,"European Psychiatry",, ,0,0,0,0,0,0
2009,"Copy number variation at 1q21.1 associated with neuroblastoma","Diskin S.J., Lynch J.E., Pecor K., Diamond M., Winter C., Wang K., Kim C., Geiger E.A., McGrady P.W., Blakemore A.I.F., London W.B., Hou C., Shaikh T.H., Bradfield J., Grant S.F.A., Li H., Devoto M., Rappaport E.R., Hakonarson H., Maris J.M., Glessner J.T., Attiyeh E.F., Laudenslager M., Bosse K., Cole K., Mosse Y.P., Wood A.",00280836,"Nature",459, 7249,0,0,0,0,0,0
2009,"Combined effects of MC4R and FTO common genetic variants on obesity in European general populations","Cauchi S., Laitinen J., Gonzalez-Izquierdo A., Blakemore A.I., Elliott P., Meyre D., Balkau B., Jarvelin M.-R., Froguel P., Stutzmann F., Cavalcanti-Proenca C., Durand E., Pouta A., Hartikainen A.-L., Marre M., Vol S., Tammelin T.",09462716,"Journal of Molecular Medicine",87, 5,0,0,0,0,2,2
2009,"Human genes involved in copy number variation: Mechanisms of origin, functional effects and implications for disease","De Smith A.J., Walters R.G., Froguel P., Blakemore A.I.",14248581,"Cytogenetic and Genome Research",123, 1-4,0,0,0,0,1,1
2009,"Genome-wide association study for early-onset and morbid adult obesity identifies three new risk loci in European populations","Meyre D., Proenca C., Gaget S., Korner A., Kovacs P., Kiess W., Tichet J., Marre M., Hartikainen A.-L., Horber F., Potoczna N., Delplanque J., Hercberg S., Levy-Marchal C., Pattou F., Heude B., Tauber M., McCarthy M.I., Blakemore A.I.F., Montpetit A., Polychronakos C., Weill J., Chevre J.-C., Coin L.J.M., Asher J., Elliott P., Jarvelin M.-R., Visvikis-Siest S., Balkau B., Sladek R., Balding D., Walley A., Dina C., Lecoeur C., Froguel P., Lobbens S., Gallina S., Durand E., Vatin V., Degraeve F.",10614036,"Nature Genetics",41, 2,0,0,0,0,15,15
