,"Author: Blane, David B.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 22 (Of the 76 documents considered for the h-Index, 22 have been cited at least 22 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1791,289,240,529,155,2475
2009,"Sociodemographic variations in the contribution of secondary drug prevention to stroke survival at middle and older ages: cohort study.","Raine R., Wong W., Ambler G., Hardoon S., Petersen I., Morris R., Bartley M., Blane D.",14685833,"BMJ (Clinical research ed.)",338, ,0,0,0,0,0,0
2009,"Sociodemographic variations in the contribution of secondary drug prevention to stroke survival at middle and older ages: Cohort study","Raine R., Wong W., Ambler G., Hardoon S., Petersen I., Morris R., Bartley M., Blane D.",09598146,"BMJ",338, 7703,0,0,0,0,0,0
2009,"Dietary assessment in early old age: Experience from the Boyd Orr cohort","Maynard M.J., Blane D.",09543007,"European Journal of Clinical Nutrition",63, 1,0,0,0,0,1,1
2008,"Mental health and resilience at older ages: Bouncing back after adversity in the British Household Panel Survey","Netuveli G., Wiggins R.D., Montgomery S.M., Hildon Z., Blane D.",0143005X,"Journal of Epidemiology and Community Health",62, 11,0,0,0,0,0,0
2008,"Understanding adversity and resilience at older ages","Hildon Z., Smith G., Netuveli G., Blane D.",01419889,"Sociology of Health and Illness",30, 5,0,0,0,0,0,0
2008,"Quality of life, health and physiological status and change at older ages","Blane D., Netuveli G., Montgomery S.M.",02779536,"Social Science and Medicine",66, 7,0,0,1,1,0,1
2008,"Quality of life in older ages","Netuveli G., Blane D.",00071420,"British Medical Bulletin",85, 1,0,0,0,0,0,0
2008,"The evaluation of a self-enumerated scale of quality of life (CASP-19) in the context of research on ageing: A combination of exploratory and confirmatory approaches","Wiggins R.D., Netuveli G., Hyde M., Higgs P., Blane D.",03038300,"Social Indicators Research",89, 1,0,0,0,0,0,0
2007,"Optimal matching analysis using ideal types to describe the lifecourse: An illustration of how histories of work, partnerships and housing relate to quality of life in early old age","Wiggins R.D., Erzberger C., Hyde M., Higgs P., Blane D.",13645579,"International Journal of Social Research Methodology",10, 4,0,0,2,2,0,2
2007,"Does financial disadvantage at older ages eliminate the potential for better health?","Montgomery S.M., Netuveli G., Hildon Z., Blane D.",0143005X,"Journal of Epidemiology and Community Health",61, 10,0,0,2,2,1,3
2007,"Does quality of life at older ages vary with socio-economic position?","Blane D., Netuveli G., Bartley M.",00380385,"Sociology",41, 4,0,0,0,0,3,3
2007,"The development of life course epidemiology","Blane D., Netuveli G., Stone J.",03987620,"Revue d'Epidemiologie et de Sante Publique",55, 1,0,0,1,1,2,3
2006,"Childhood IQ in relation to obesity and weight gain in adult life: The National Child Development (1958) Study","Chandola T., Deary I.J., Blane D., Batty G.D.",03070565,"International Journal of Obesity",30, 9,1,8,7,15,6,22
2006,"What influences diet in early old age? Prospective and cross-sectional analyses of the Boyd Orr cohort","Maynard M., Gunnell D., Ness A.R., Abraham L., Bates C.J., Blane D.",11011262,"European Journal of Public Health",16, 3,1,2,3,5,3,9
2006,"What influences diet in early old age? Prospective and cross-sectional analyses of the Boyd Orr cohort.","Maynard M., Gunnell D., Ness A.R., Abraham L., Bates C.J., Blane D.",11011262,"European journal of public health.",16, 3,0,1,2,3,0,3
2006,"Quality of life at older ages: Evidence from the English longitudinal study of aging (wave 1)","Netuveli G., Wiggins R.D., Hildon Z., Montgomery S.M., Blane D.",0143005X,"Journal of Epidemiology and Community Health",60, 4,1,3,11,14,7,22
2006,"Pathways between education and health: A causal modelling approach","Chandola T., Clarke P., Morris J.N., Blane D.",09641998,"Journal of the Royal Statistical Society. Series A: Statistics in Society",169, 2,0,0,3,3,0,3
2006,"Commentary: The place in life course research of validated measures of socioeconomic position","Blane D.",03005771,"International Journal of Epidemiology",35, 1,0,2,0,2,0,2
2006,"Life-course influences on mortality at older ages: Evidence from the Oslo Mortality Study","Naess O., Hernes F.H., Blane D.",02779536,"Social Science and Medicine",62, 2,0,3,4,7,2,9
2005,"Functional limitation in long standing illness and quality of life: Evidence from a national survey","Netuveli G., Wiggins R.D., Hildon Z., Montgomery S.M., Blane D.",09598146,"British Medical Journal",331, 7529,0,2,4,6,2,8
