,"This is a citation overview for a set of 31 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 12 (Of the 31 documents considered for the h-Index, 12 have been cited at least 12 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,254,117,169,286,113,653
2008,"Specific relations between neurodevelopmental abilities and white matter microstructure in children born preterm","Counsell S.J., Rutherford M.A., Cowan F.M., Edwards A.D., Chew A.T.M., Anjari M., Dyet L.E., Srinivasan L., Boardman J.P., Allsop J.M., Hajnal J.V.",00068950,"Brain",131, 12,0,0,0,0,2,2
2008,"High b-value diffusion tensor imaging of the neonatal brain at 3T","Dudink J., Counsell S.J., Larkman D.J., Kapellou O., Boardman J.P., Allsop J.M., Cowan F.M., Hajnal J.V., Edwards A.D., Rutherford M.A.",01956108,"American Journal of Neuroradiology",29, 10,0,0,0,0,2,2
2008,"Patterns of cerebral injury and neurodevelopmental outcomes after symptomatic neonatal hypoglycemia","Burns C.M., Rutherford M.A., Boardman J.P., Cowan F.M.",00314005,"Pediatrics",122, 1,0,0,5,5,8,13
2008,"Automatic segmentation of brain MRIs of 2-year-olds into 83 regions of interest","Gousias I.S., Rueckert D., Heckemann R.A., Dyet L.E., Boardman J.P., Edwards A.D., Hammers A.",10538119,"NeuroImage",40, 2,0,0,1,1,1,2
2008,"Assessment of brain growth in early childhood using deformation-based morphometry","Aljabar P., Rueckert D., Bhatia K.K., Murgasova M., Hajnal J.V., Boardman J.P., Srinivasan L., Rutherford M.A., Dyet L.E., Edwards A.D.",10538119,"NeuroImage",39, 1,0,0,4,4,0,4
2007,"Groupwise combined segmentation and registration for atlas construction","Bhatia K.K., Rueckert D., Aljabar P., Boardman J.P., Srinivasan L., Murgasova M., Counsell S.J., Rutherford M.A., Hajnal J., Edwards A.D.",03029743,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",4791, 1,0,0,0,0,0,0
2007,"Groupwise combined segmentation and registration for atlas construction.","Bhatia K.K., Rueckert D., Aljabar P., Boardman J.P., Srinivasan L., Murgasova M., Counsell S.J., Rutherford M.A., Hajnal J., Edwards A.D.",,"Medical image computing and computer-assisted intervention : MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention",10, 1,0,0,0,0,0,0
2007,"Quantifying brain development in early childhood using segmentation and registration","Aljabar P., Rueckert D., Bhatia K.K., Murgasova M., Hajnal J.V., Boardman J.P., Srinivasan L., Rutherford M.A., Dyet L.E., Edwards A.D.",16057422,"Progress in Biomedical Optics and Imaging - Proceedings of SPIE",6512, 1,0,0,0,0,0,0
2007,"Relationship between white matter apparent diffusion coefficients in preterm infants at term-equivalent age and developmental outcome at 2 years","Krishnan M.L., Dyet L.E., Boardman J.P., Kapellou O., Allsop J.M., Cowan F., Edwards A.D., Rutherford M.A., Counsell S.J.",00314005,"Pediatrics",120, 3,0,0,6,6,5,11
2007,"Recent advances in imaging preterm brain injury","Boardman J.P., Dyet L.E.",00264946,"Minerva Pediatrica",59, 4,0,0,1,1,1,2
