,"Author: Booton, Paul",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 1 (Of the 4 documents considered for the h-Index, 1 has been cited at least 1 time.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2,0,0,0,0,2
2008,"Adapting and implementing PACES as a tool for undergraduate assessment","Low-Beer N., Lupton M., Warner J., Booton P., Blair M., Serrano A.A., Higham J.",17434971,"Clinical Teacher",5, 4,0,0,0,0,0,0
2008,"Involvement of general practice (family medicine) in undergraduate medical education in the United Kingdom","Major S.C., Booton P.",01489917,"Journal of Ambulatory Care Management",31, 3,0,0,0,0,0,0
2002,"Commentary","Booton P.",13555146,"Advances in Psychiatric Treatment",8, 5,0,0,0,0,0,0
1997,"The undergraduate medical course","Eddleston A., Booton P.",13523929,"Medical Education, Supplement",31, 1,2,0,0,0,0,2
1994,"Teaching students in the community [34]","Seabrook M., Evans T., Booton P.",09598146,"British Medical Journal",309, 6954,0,0,0,0,0,0
1993,"Managing impotence in diabetes: Psychological factors remain important [24]","Booton P.",09598146,"British Medical Journal",307, 6906,0,0,0,0,0,0
