,"Author: Botto, Marina B.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 35 (Of the 107 documents considered for the h-Index, 35 have been cited at least 35 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,3452,742,700,1442,421,5315
2009,"Roles for phagocytic cells and complement in controlling relapsing fever infection","Woodman M.E., Cooley A.E., Avdiushko R., Bowman A., Botto M., Wooten R.M., Van Rooijen N., Cohen D.A., Stevenson B.",07415400,"Journal of Leukocyte Biology",86, 3,0,0,0,0,0,0
2009,"Complement C3 plays an essential role in the control of opportunistic fungal infections","Tsoni S.V., Kerrigan A.M., Marakalala M.J., Srinivasan N., Duffield M., Taylor P.R., Botto M., Steele C., Brown G.D.",00199567,"Infection and Immunity",77, 9,0,0,0,0,0,0
2009,"Complement in human diseases: Lessons from complement deficiencies","Botto M., Kirschfink M., Macor P., Pickering M.C., Wurzner R., Tedesco F.",01615890,"Molecular Immunology",46, 14,0,0,0,0,0,0
2009,"Immunoglobulin M is required for protection against atherosclerosis in low-density lipoprotein receptor-deficient mice","Lewis M.J., Malik T.H., Ehrenstein M.R., Boyle J.J., Botto M., Haskard D.O.",00097322,"Circulation",120, 5,0,0,0,0,0,0
2009,"Factor H facilitates the clearance of GBM bound iC3b by controlling C3 activation in fluid phase","Paixao-Cavalcante D., Hanson S., Botto M., Cook H.T., Pickering M.C.",01615890,"Molecular Immunology",46, 10,0,0,0,0,0,0
2009,"C1q enhances IFN-7 production by antigen-specific T cells via the CD40 costimulatory pathway on dendritic cells","Baruah P., Dumitriu I.E., Malik T.H., Cook H.T., Dyson J., Scott D., Simpson E., Botto M.",00064971,"Blood",113, 15,0,0,0,0,0,0
2009,"CD93 is required for maintenance of antibody secretion and persistence of plasma cells in the bone marrow niche","Chevrier S., Nutt S.L., Acha-Orbea H., Genton C., Kallies A., Karnowski A., Otten L.A., Malissen B., Malissen M., Botto M., Corcoran L.M.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",106, 10,0,0,0,0,0,0
2009,"Shiga toxin-2 results in renal tubular injury but not thrombotic microangiopathy in heterozygous factor H-deficient mice","Paixao-Cavalcante D., Botto M., Cook H.T., Pickering M.C.",00099104,"Clinical and Experimental Immunology",155, 2,0,0,0,0,0,0
2009,"A lupus-susceptibility C57BL/6 locus on chromosome 3 (Sle18) contributes to autoantibody production in 129 mice","Heidari Y., Fossati-Jimack L., Carlucci F., Walport M.J., Cook H.T., Botto M.",14664879,"Genes and Immunity",10, 1,0,0,0,0,0,0
2008,"Complement C1q and C8? deficiency in an individual with recurrent bacterial meningitis and adult-onset systemic lupus erythematosus-like illness","Pickering M.C., Macor P., Fish J., Durigutto P., Bossi F., Petry F., Botto M., Tedesco F.",14620324,"Rheumatology",47, 10,0,0,0,0,2,2
2008,"Brief report: Accelerated atherosclerosis in low-density lipoprotein receptor-deficient mice lacking the membrane-bound complement regulator CD59","Yun S., Leung V.W.Y., Botto M., Boyle J.J., Haskard D.O.",10795642,"Arteriosclerosis, Thrombosis, and Vascular Biology",28, 10,0,0,0,0,2,2
2008,"Impaired opsonization with C3b and phagocytosis of Streptococcus pneumoniae in sera from subjects with defects in the classical complement pathway","Yuste J., Brown J.S., Sen A., Truedsson L., Jonsson G., Tay L.-S., Hyams C., Baxendale H.E., Goldblatt F., Botto M.",00199567,"Infection and Immunity",76, 8,0,0,0,0,2,2
2008,"Regulation of B cell tolerance by 129-derived chromosome 1 loci in C57BL/6 mice","Fossati-Jimack L., Cortes-Hernandez J., Norsworthy P.J., Cook H.T., Walport M.J., Botto M.",00043591,"Arthritis and Rheumatism",58, 7,0,0,0,0,0,0
