,"This is a citation overview for a set of 43 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 18 (Of the 43 documents considered for the h-Index, 18 have been cited at least 18 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1317,189,170,359,103,1779
2009,"RhoE is required for keratinocyte differentiation and stratification","Liebig T., Erasmus J., Kalaji R., Davies D., Loirand G., Ridley A., Braga V.M.M.",10591524,"Molecular Biology of the Cell",20, 1,0,0,0,0,0,0
2008,"Installation of reeled rigid pipelines connected to large and heavy subsea structures in ultra deepwater","Xavier M., Sampaio R., Johnson K., Moen K., Hilier D., Tanscheit P., Neto B., Braga V.",10986189,"Proceedings of the International Offshore and Polar Engineering Conference",, ,0,0,0,0,0,0
2008,"PAK is required for the disruption of E-cadherin adhesion by the small GTPase Rac","Lozano E., Frasa M.A.M., Smolarczyk K., Knaus U.G., Braga V.M.M.",00219533,"Journal of Cell Science",121, 7,0,0,0,0,2,2
2006,"Rho GTPase activation by cell-cell adhesion","Erasmus J.C., Braga V.M.M.",00766879,"Methods in Enzymology",406, ,2,3,2,5,1,8
2005,"Epithelial cell shape and Rho small GTPases","Fujita Y., Braga V.",15282511,"Novartis Foundation Symposium",269, ,1,2,0,2,2,5
2005,"Regulation of Cell-Cell Adhesion by Rap1","Fujita Y., Hogan C., Braga V.M.M.",00766879,"Methods in Enzymology",407, ,0,0,0,0,2,2
2005,"Discussion","Borisy G., Titus M.A., Yap A., Braga V., Chang F., Harden N., Humphries M., Kaibuchi K., Lim L., Nelson W.J., Sheetz M.",15282511,"Novartis Foundation Symposium",269, ,0,0,0,0,0,0
2005,"Actin at cell-cell junctions is composed of two dynamic and functional populations","Zhang J., Betson M., Erasmus J., Zeikos K., Bailly M., Cramer L.P., Braga V.M.M.",00219533,"Journal of Cell Science",118, 23,5,11,11,22,2,29
2005,"Discussion","Alberts A., Schejter E., Sheetz M., Vallee R., Balasubramanian M., Borisy G., Braga V., Chang F., Drubin D., Gundersen G., Harden N., Nelson W.J.",15282511,"Novartis Foundation Symposium",269, ,0,0,0,0,0,0
2005,"Discussion","Lane D., Titus M.A., Chang F., Lane B., Humphries M., Vallee R., Peter M., Gu F., Nelson W.J., Sheetz M., Drubin D., Firtel R., Hong W., Borisy W.G., Braga V., Kaibuchi K.",15282511,"Novartis Foundation Symposium",269, ,0,0,0,0,0,0
2005,"Discussion","Kaibuchi K., Lane B., Titus M.A., Nelson W.J., Borisy G., Manser E., Firtel R., Alberts A., Braga V., Gundersen G., Humphries M., Sheetz M., Drubin D., Peter M., Cai M., Vallee R., Chang F.",15282511,"Novartis Foundation Symposium",269, ,0,0,0,0,0,0
2005,"Discussion","Nelson W.J., Gundersen G., Kaibuchi K., Braga V., Lane D., Borisy G., Sheetz M., Firtel R., Vallee R., Chang F.",15282511,"Novartis Foundation Symposium",269, ,0,0,0,0,0,0
2005,"The challenges of abundance: Epithelial junctions and small GTPase signalling","Braga V.M.M., Yap A.S.",09550674,"Current Opinion in Cell Biology",17, 5,10,10,15,25,7,42
2005,"The LIM protein Ajuba influences p130Cas localization and Rac1 activity during cell migration","Pratt S.J., Epple H., Ward M., Feng Y., Braga V.M., Longmore G.D.",00219525,"Journal of Cell Biology",168, 5,14,6,6,12,3,29
2004,"Regulation of cell-cell adhesion","Braga V.M.M., Balda M.S.",10849521,"Seminars in Cell and Developmental Biology",15, 6,0,1,0,1,0,1
2004,"Rap1 regulates the formation of E-cadherin-based cell-cell contacts","Hogan C., Serpente N., Cogram P., Hosking C.R., Bialucha C.U., Feller S.M., Braga V.M.M., Birchmeier W., Fujita Y.",02707306,"Molecular and Cellular Biology",24, 15,37,21,13,34,12,83
2003,"Tumor progression: Small GTpases and loss of cell-cell adhesion","Lozano E., Betson M., Braga V.M.M.",02659247,"BioEssays",25, 5,50,7,8,15,5,70
2003,"Cdc42 & GSK-3: Signals at the crossroads","Harwood A., Braga V.M.M.",14657392,"Nature Cell Biology",5, 4,12,4,1,5,1,18
2003,"The LIM protein ajuba is recruited to cadherin-dependent cell junctions through an association with ?-catenin","Marie H., Longmore G.D., Braga V.M.M., Pratt S.J., Betson M., Epple H., Kittler J.T., Meek L., Moss S.J., Troyanovsky S., Attwell D.",00219258,"Journal of Biological Chemistry",278, 2,21,5,4,9,4,34
2002,"Rac activation upon cell-cell contact formation is dependent on signaling from the epidermal growth factor receptor","Betson M., Lozano E., Zhang J., Braga V.M.M.",00219258,"Journal of Biological Chemistry",277, 40,42,12,9,21,2,65
2002,"Cell-cell adhesion and signalling","Braga V.M.M.",09550674,"Current Opinion in Cell Biology",14, 5,112,21,15,36,9,157
2002,"GEF without a Dbl domain?","Braga V.M.M.",14657392,"Nature Cell Biology",4, 8,3,0,1,1,0,4
2002,"VE-cadherin regulates endothelial actin activating Rac and increasing membrane association of Tiam","Lampugnani M.G., Dejana E., Zanetti A., Breviario F., Balconi G., Orsenigo F., Corada M., Spagnuolo R., Betson M., Braga V.",10591524,"Molecular Biology of the Cell",13, 4,53,9,15,24,10,87
2001,"'Super glue'","Braga V., Harwood A.J.",14657392,"Nature Cell Biology",3, 7,4,1,0,1,0,5
2000,"Activation of the small GTPase Rac is sufficient to disrupt cadherin-dependent cell-cell adhesion in normal human keratinocytes","Braga V.M.M., Betson M., Li X., Lamarche-Vane N.",10591524,"Molecular Biology of the Cell",11, 11,56,13,2,15,3,74
2000,"The crossroads between cell-cell adhesion and motility","Braga V.",14657392,"Nature Cell Biology",2, 10,13,0,1,1,0,14
1999,"H-Ras activation promotes cytoplasmic accumulation and phosphoinositide 3-OH kinase association of ?-catenin in epidermal keratinocytes","Espada J., Perez-Moreno M., Braga V.M.M., Rodriguez-Viciana P., Cano A.",00219525,"Journal of Cell Biology",146, 5,52,4,3,7,4,63
1999,"Small GTPases and regulation of cadherin dependent cell-cell adhesion","Braga V.M.M.",13668714,"Journal of Clinical Pathology - Molecular Pathology",52, 4,21,2,2,4,0,25
1999,"Caspase activation in the terminal differentiation of human epidermal keratinocytes","Weil M., Raff M.C., Braga V.M.M.",09609822,"Current Biology",9, 7,98,8,9,17,9,124
1999,"Regulation of cadherin function by Rho and Rac: Modulation by junction maturation and cellular context","Braga V.M.M., Del Maschio A., Machesky L., Dejana E.",10591524,"Molecular Biology of the Cell",10, 1,131,16,12,28,5,164
1998,"Calcium-Induced Intercellular Adhesion of Keratinocytes Does not Involve Accumulation of ?1 Integrins at Cell-Cell Contacts and Does not Involve Changes in the Levels or Phosphorylation of Catenins","Braga V.M.M., Hajibagheri N., Watt F.M.",10615385,"Cell Communication and Adhesion",5, 2,14,0,0,0,0,14
1997,"The small GTPases Rho and Rac are required for the establishment of cadherin-dependent cell-cell contacts","Braga V.M.M., Machesky L.M., Hall A., Hotchin N.A.",00219525,"Journal of Cell Biology",137, 6,376,24,33,57,11,444
1995,"Molecular aspects of Schistosoma mansoni female maturation.","Giannini A.L., Linhares S.V., Caride E.C., Braga V.M., Rumjanek F.D.",00740276,"Memórias do Instituto Oswaldo Cruz",90, 2,1,0,0,0,1,2
1995,"F-10 nuclear binding proteins of Schistosoma mansoni: Structural and functional features","Giannini A.L.M., Caride E.C., Braga V.M.M., Rumjanek F.D.",00311820,"Parasitology",110, 2,7,0,0,0,0,7
1995,"Calcium-induced changes in distribution and solubility of cadherins, integrins and their associated cytoplasmic proteins in human keratinocytes","Braga V.M.M., Hodivala K.J., Watt F.M.",10615385,"Cell Adhesion and Communication",3, 3,40,1,1,2,3,45
1994,"Co-amplification of two cDNAs in RT-PCR can alter the yield of both products","Braga V.M.M., Gendler S.J.",07366205,"BioTechniques",17, 2,8,0,0,0,0,8
1993,"Modulation of Muc-1 mucin expression in the mouse uterus during the estrus cycle, early pregnancy and placentation","Braga V.M.M., Gendler S.J.",00219533,"Journal of Cell Science",105, 2,67,2,3,5,2,74
1992,"Spatial and temporal expression of an epithelial mucin, Muc-1, during mouse development","Braga V.M.M., Pemberton L.F., Duhig T., Gendler S.J.",09501991,"Development",115, 2,59,6,4,10,3,72
1990,"F10, the gene for the glycine-rich major eggshell protein of Schistosoma mansoni recognizes a family of hypervariable minisatellites in the human genome","Pena S.D.J., Macedo A.M., Braga V.M.M., Rumjanek F.D., Simpson A.J.G.",03051048,"Nucleic Acids Research",18, 24,4,0,0,0,0,4
1989,"DNA binding proteins of Schistosoma mansoni recognizing a hexanucleotide motif occurring in genes regulated by steroids","Rumjanek F.D., Braga V.M.M., Kelly C.",03050491,"Comparative Biochemistry and Physiology -- Part B: Biochemistry and",94, 4,3,0,0,0,0,3
1987,"Genomic regulation in immature females of Schistosoma mansoni.","Rumjanek F.D., Braga V.M., Silveira A.M., Rabelo E.M., Campos E.G., Rodriguez V.",00740276,"Memorias do Instituto Oswaldo Cruz",82, ,1,0,0,0,0,1
1974,"Prevention of pyodermitis in coal mines | Profilaktika piodermitov na ugol'nykh shakhtakh","Braga V.M.",00149772,"Fel""dsher i akusherka",39, 8,0,0,0,0,0,0
1972,"Use of Pyrogenal in combination with Oletetrin in chronic pyodermitis | Primenenie Pirogenala v sochetanii s Oletetrinom pri khronicheskikh piodermitakh.","Braga V.M.",00496804,"Vrachebnoe delo",4, ,0,0,0,0,0,0
