,"Author: Brand, Nigel J.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 15 (Of the 30 documents considered for the h-Index, 15 have been cited at least 15 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,708,80,78,158,62,928
2007,"Correlation between vascular responsivensss and expression of novel transcripts of the ETA-receptor in human vascular tissue","Chester A.H., Azam R., Felkin L.E., George R., Brand N.",15371891,"Vascular Pharmacology",46, 3,0,0,1,1,0,1
2006,"Evaluation of frequency, type, and function of gap junctions between skeletal myoblasts overexpressing connexin43 and cardiomyocytes: Relevance to cell transplantation","Stagg M.A., Coppen S.R., Suzuki K., Varela-Carver A., Lee J., Brand N.J., Fukushima S., Yacoub M.H., Terracciano C.M.N.",08926638,"FASEB Journal",20, 6,1,2,4,6,2,9
2006,"Cultured interstitial cells from human heart valves express both specific skeletal muscle and non-muscle markers","Brand N.J., Roy A., Hoare G., Chester A., Yacoub M.H.",13572725,"International Journal of Biochemistry and Cell Biology",38, 1,0,1,0,1,2,3
2005,"Phenylephrine requires the TATA box to activate transcription of GLUT1 in neonatal rat cardiac myocytes","Santalucia T., Sanchez-Feutrie M., Felkin L.E., Bhavsar P.K., Barton P.J.R., Zorzano A., Yacoub M.H., Brand N.J.",00222828,"Journal of Molecular and Cellular Cardiology",38, 4,0,1,0,1,0,1
2004,"Role of interleukin-1? in acute inflammation and graft death after cell transplantation to the heart","Suzuki K., Yacoub M.H., Murtuza B., Beauchamp J.R., Brand N.J., Barton P.J.R., Varela-Carver A., Fukushima S., Coppen S.R., Partridge T.A.",00097322,"Circulation",110, 11,5,4,7,11,4,20
2004,"The slow skeletal muscle troponin T gene is expressed in developing and diseased human heart","Barton P.J.R., Felkin L.E., Koban M.U., Cullen M.E., Brand N.J., Dhoot G.K.",03008177,"Molecular and Cellular Biochemistry",263, 1,4,1,1,2,1,7
2004,"Enhanced effect of myocardial gene transfection by VP22-mediated intercellular protein transport","Suzuki K., Murtuza B., Brand N.J., Varela-Carver A., Fukushima S., Yacoub M.H.",00222828,"Journal of Molecular and Cellular Cardiology",36, 4,7,1,0,1,1,9
2004,"A novel muscle DNA-binding activity in the GLUT1 promoter","Sanchez-Feutrie M., Santalucia T., Fandos C., Noe V., Vinals F., Brand N.J., Ciudad C.J., Palacin M., Zorzano A.",1420682X,"Cellular and Molecular Life Sciences",61, 6,2,1,0,1,1,4
2003,"Differential Regulation of the Muscle-specific GLUT4 Enhancer in Regenerating and Adult Skeletal Muscle","Moreno H., Serrano A.L., Santalucia T., Guma A., Canto C., Brand N.J., Palacin M., Schiaffino S., Zorzano A.",00219258,"Journal of Biological Chemistry",278, 42,5,5,2,7,3,15
2003,"Hypertrophic agonists induce the binding of c-Fos to an AP-1 site in cardiac myocytes: Implications for the expression of GLUT1","Santalucia T., Christmann M., Yacoub M.H., Brand N.J.",00086363,"Cardiovascular Research",59, 3,3,0,1,1,3,7
2003,"The cardiac valve interstitial cell","Taylor P.M., Batten P., Brand N.J., Thomas P.S., Yacoub M.H.",13572725,"International Journal of Biochemistry and Cell Biology",35, 2,29,9,10,19,12,60
2002,"Dial molecular biology: An introduction","Brand N.J., Barton P.J.R.",13556037,"Heart",87, 3,3,0,1,1,0,4
2001,"A novel functional co-operation between MyoD, MEF2 and TR?1 is sufficient for the induction of GLUT4 gene transcription","Santalucia T., Moreno H., Palacin M., Yacoub M.H., Brand N.J., Zorzano A.",00222836,"Journal of Molecular Biology",314, 2,23,9,6,15,2,40
2001,"Overexpression of connexin 43 in skeletal myoblasts: Relevance to cell transplantation to the heart","Suzuki K., Brand N.J., Allen S., Khan M.A., Farrell A.O., Murtuza B., El Oakley R., Yacoub M.H.",00225223,"Journal of Thoracic and Cardiovascular Surgery",122, 4,27,6,0,6,2,35
2001,"Identification of novel, cardiac-restricted transcription factors binding to a CACC-box within the human cardiac troponin I promoter","Dellow K.A., Bhavsar P.K., Brand N.J., Barton P.J.R.",00086363,"Cardiovascular Research",50, 1,13,0,0,0,1,14
2000,"Development of a novel method for cell transplantation through the coronary artery","Suzuki K., Brand N.J., Smolenski R.T., Jayakumar J., Murtuza B., Yacoub M.H.",00097322,"Circulation",102, 19,42,5,3,8,0,50
2000,"Heat shock treatment enhances graft cell survival in skeletal myoblast transplantation to the heart","Suzuki K., Smolenski R.T., Jayakumar J., Murtuza B., Brand N.J., Yacoub M.H.",00097322,"Circulation",102, 19,43,10,9,19,5,67
2000,"A strategy for inducing immune tolerance to valve endothelial cells through gene transfer","Li Y., McCormack A.M., Brand N.J., Yacoub M.H.",09668519,"Journal of Heart Valve Disease",9, 3,0,1,0,1,0,1
2000,"Molecular characterization of interstitial cells isolated from human heart valves","Roy A., Brand N.J., Yacoub M.H.",09668519,"Journal of Heart Valve Disease",9, 3,25,4,1,5,4,34
2000,"Expression of 5-hydroxytryptamine receptor subtype messenger RNA in interstitial cells from human heart valves","Roy A., Brand N.J., Yacoub M.H.",09668519,"Journal of Heart Valve Disease",9, 2,21,1,1,2,2,25
2000,"Identification of cis-acting DNA elements required for expression of the human cardiac traponin I gene promoter","Bhavsar P.K., Dellow K.A., Yacoub M.H., Brand N.J., Barton P.J.R.",00222828,"Journal of Molecular and Cellular Cardiology",32, 1,26,0,2,2,3,31
1999,"Factors involved in GLUT-1 glucose transporter gene transcription in cardiac muscle","Santalucia T., Zorzano A., Boheler K.R., Brand N.J., Sahye U., Fandos C., Vinals F., Ferre J., Testar X., Palacin M.",00219258,"Journal of Biological Chemistry",274, 25,24,2,3,5,1,30
1999,"Close physical linkage of human troponin genes: Organization, sequence, and expression of the locus encoding cardiac troponin I and slow skeletal troponin T","Barton P.J.R., Cullen M.E., Townsend P.J., Brand N.J., Mullen A.J., Norman D.A.M., Bhavsar P.K., Yacoub M.H.",08887543,"Genomics",57, 1,17,2,1,3,1,21
1998,"Efficiency of a high-titer retroviral vector for gene transfer into skeletal myoblasts","El Oakley R.M., Kwong K.F., Pennington D.G., Brand N.J., Burton P.B.J., McMullen M.C., Adams G.B., Poznansky M.C., Barton P.J.R., Yacoub M.H., Chiu R.C.J.",00225223,"Journal of Thoracic and Cardiovascular Surgery",115, 1,7,0,1,1,0,8
1998,"A versatile method for unidirectional cloning of oligonucleotide cassettes: application to creating concatamerized transcription factor binding sites.","Christer J.F., Yacoub M.H., Brand N.J.",00032697,"Analytical biochemistry",256, 1,0,0,0,0,0,0
1997,"Myocyte enhancer factor 2 (MEF2)","Brand N.J.",13572725,"International Journal of Biochemistry and Cell Biology",29, 12,7,2,1,3,2,12
1997,"Localization of the fast skeletal muscle troponin I gene (TNN12) to 11p15.5: Genes for troponin I and T are organized in pairs","Barton P.J.R., Townsend P.J., Brand N.J., Yacoub M.H.",00034800,"Annals of Human Genetics",61, 6,10,0,0,0,1,11
1997,"Identification of the protein kinase C isoenzymes in human lung and airways smooth muscle at the protein and mRNA level","Webb B.L.J., Lindsay M.A., Seybold J., Brand N.J., Yacoub M.H., Haddad E.-B., Barnes P.J., Adcock I.M., Giembycz M.A.",00062952,"Biochemical Pharmacology",54, 1,25,4,3,7,2,34
1996,"Isolation and characterization of the human cardiac troponin I gene (TNNI3)","Bhavsar P.K., Brand N.J., Yacoub M.H., Barton P.J.R.",08887543,"Genomics",35, 1,35,2,4,6,1,42
1996,"The ability of heat stress and metabolic preconditioning to protect primary rat cardiac myocytes","Cumming D.V.E., Heads R.J., Brand N.J., Yellon D.M., Latchman D.S.",03008428,"Basic Research in Cardiology",91, 1,32,0,1,1,0,33
1995,"Expression of the zinc-finger gene PLZF at rhombomere boundaries in the vertebrate hindbrain","Cook M., Gluecksohn-Waelsch S., Krumlauf R., Zelent A., Gould A., Brand N., Davies J., Strutt P., Shaknovich R., Licht J., Waxman S., Chen Z.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",92, 6,75,3,5,8,4,87
1993,"Troponin I gene expression during human cardiac development and in end- stage heart failure","Sasse S., Brand N.J., Kyprianou P., Dhoot G.K., Wade R., Arai M., Periasamy M., Yacoub M.H., Barton P.J.R.",00097330,"Circulation Research",72, 5,78,2,8,10,1,89
1992,"Gene expression during cardiac development.","Barton P.J., Bhavsar P.K., Brand N.J., Chan-Thomas P.S., Dabhade N., Farza H., Townsend P.J., Yacoub M.H.",00811386,"Symposia of the Society for Experimental Biology",46, ,2,0,0,0,0,2
1991,"Determination of the 5' exon structure of the human cardiac ?-myosin heavy chain gene","Brand N.J., Dabhade N., Yacoub M., Barton P.J.R.",0006291X,"Biochemical and Biophysical Research Communications",179, 3,2,0,0,0,0,2
1990,"Characterization of a functional promoter for the human retinoic acid receptor-alpha (hRAR-?)","Brand N.J., Petkovich M., Chambon P.",03051048,"Nucleic Acids Research",18, 23,25,0,0,0,0,25
1990,"Molecular cloning of human cardiac troponin I using polymerase chain reaction","Vallins W.J., Brand N.J., Dabhade N., Butler-Browne G., Yacoub M.H., Barton P.J.R.",00145793,"FEBS Letters",270, 1-2,83,2,1,3,1,87
1987,"The valyl-tRNA synthetase from bacillus stearothermophilus has considerable sequence homology with the isoleucyl-tRNA synthetase from Escherichia coli","Borgford T.J., Brand N.J., Gray T.E., Fersht A.R.",00062960,"Biochemistry",26, 9,5,0,0,0,0,5
1987,"Site-directed mutagenesis reveals transition-state stabilization as a general catalytic mechanism for aminoacyl-tRNA synthetases","Borgford T.J., Gray T.E., Brand N.J., Fersht A.R.",00062960,"Biochemistry",26, 23,2,0,1,1,0,3
