,"Author: Briggs, David J.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 18 (Of the 59 documents considered for the h-Index, 18 have been cited at least 18 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,627,178,220,398,200,1225
2009,"Rises and falls in donor-specific and third-party HLA antibody levels after antibody incompatible transplantation","Higgins R., Krishnan N., Hamer R., Zehnder D., Briggs D., Lowe D., Hathaway M., Lam F., Kashi H., Tan L.C., Imray C., Fletcher S., Chen K.",00411337,"Transplantation",87, 6,0,0,0,0,0,0
2009,"Mapping of background air pollution at a fine spatial scale across the European Union","Beelen R., Hoek G., Pebesma E., Vienneau D., de Hoogh K., Briggs D.J.",00489697,"Science of the Total Environment",407, 6,0,0,0,0,1,1
2009,"Uncertainty in epidemiology and health risk and impact assessment","Briggs D.J., Sabel C.E., Lee K.",02694042,"Environmental Geochemistry and Health",31, 2,0,0,0,0,1,1
2009,"Home outdoor NO2 and new onset of self-reported asthma in adults","Jacquemin B., Jarvis D., Vienneau D., Kunzli N., Sunyer J., Forsberg B., Aguilera I., Briggs D., Garcia-Esteban R., Gotschi T., Heinrich J., Jarvholm B.",10443983,"Epidemiology",20, 1,0,0,0,0,3,3
2008,"A framework for integrated environmental health impact assessment of systemic risks","Briggs D.J.",1476069X,"Environmental Health: A Global Access Science Source",7, ,0,0,0,0,2,2
2008,"Embedding human scheduling in a steel plant simulation","Briggs D.",08917736,"Proceedings - Winter Simulation Conference",, ,0,0,0,0,0,0
2008,"Environmental inequity in England: Small area associations between socio-economic status and environmental pollution","Briggs D., Abellan J.J., Fecht D.",02779536,"Social Science and Medicine",67, 10,0,0,0,0,1,1
2008,"A review of land-use regression models to assess spatial variation of outdoor air pollution","Hoek G., Beelen R., de Hoogh K., Vienneau D., Gulliver J., Fischer P., Briggs D.",13522310,"Atmospheric Environment",42, 33,0,0,1,1,9,10
2008,"Application of flow cytometry to monitor antibody levels in ABO incompatible kidney transplantation","Krishnan N.S., Kashi H., Tan L.C., Imray C., Briggs D., Fleetwood P., Higgins R.M., Hathaway M., Zehnder D., Mitchell D., Hamer R., Fletcher S., Lam F.T.",00411337,"Transplantation",86, 3,0,0,0,0,1,1
