,"Authors: Brooks, David J.; Brooks, D. J.;Brooks David",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 65 (Of the 328 documents considered for the h-Index, 65 have been cited at least 65 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,17518,2342,2193,4535,1655,23708
2009,Strategies for the generation of parametric images of [11C]PIB with plasma input functions considering discriminations and reproducibility,"Edison P., Brooks D.J., Turkheimer F.E., Archer H.A., Hinz R.",10538119,NeuroImage,48,2,0,0,0,0,0,0
2009,Brain opioid receptor binding in early abstinence from alcohol dependence and relationship to craving: An [11C]diprenorphine PET study,"Williams T.M., Davies S.J.C., Taylor L.G., Daglish M.R.C., Hammers A., Brooks D.J., Nutt D.J., Lingford-Hughes A.",0924977X,European Neuropsychopharmacology,19,10,0,0,0,0,0,0
2009,Phase 1 study of the Pittsburgh compound B derivative18F- flutemetamol in healthy volunteers and patients with probable Alzheimer disease,"Nelissen N., Van Laere K., Thurfjell L., Owenius R., Vandenbulcke M., Koole M., Bormans G., Brooks D.J., Vandenberghe R.",1615505,Journal of Nuclear Medicine,50,8,0,0,0,0,0,0
2009,The risk of exaggerated risk aversion-a life and death struggle for molecular imaging,"Langstrom B., Hoilund-Carlsen P.F., Schwaiger M., Larson S.M., Goldenberg D.M., Melzer A., Engler H., Hicks R., Sundin A., Seppanen M., Hedenstierna G., Grahnen A., Nordberg A., Brooks D., Honore P.H., Borlak J., Bergstrom M., Nielsen B., Vanderheyden J., Watanabe Y., Josephsson R.",16197070,European Journal of Nuclear Medicine and Molecular Imaging,, ,0,0,0,0,0,0
2009,Imaging neurodegeneration in Parkinson's disease,"Pavese N., Brooks D.J.",9254439,Biochimica et Biophysica Acta - Molecular Basis of Disease,1792,7,0,0,0,0,0,0
2009,Proposed neuroimaging criteria for the diagnosis of multiple system atrophy,"Brooks D.J., Seppi K.",8853185,Movement Disorders,24,7,0,0,0,0,0,0
2009,Whole-body biodistribution and radiation dosimetry of 18F-GE067: A radioligand for in vivo brain amyloid imaging,"Koole M., Lewis D.M., Buckley C., Nelissen N., Vandenbulcke M., Brooks D.J., Vandenberghe R., Van Laere K.",1615505,Journal of Nuclear Medicine,50,5,0,0,0,0,1,1
2009,Validation of the Freezing of Gait Questionnaire in patients with Parkinson's disease,"Giladi N., Tolosa E., Tal J., Azulay T., Rascol O., Brooks D.J., Melamed E., Oertel W., Poewe W.H., Stocchi F.",8853185,Movement Disorders,24,5,0,0,0,0,0,0
2009,Microglial activation and amyloid deposition in mild cognitive impairment: A PET study,"Okello A., Rossor M., Brooks D.J., Edison P., Archer H.A., Turkheimer F.E., Kennedy J., Bullock R., Walker Z., Kennedy A., Fox N.",283878,Neurology,72,1,0,0,0,0,2,2
2008,Amyloid load in Parkinson's disease dementia and Lewy body dementia measured with [11C]PIB positron emission tomography,"Edison P., Chaudhury K.R., Masters C.L., Brooks D.J., Rowe C.C., Rinne J.O., Ng S., Ahmed I., Kemppainen N., Villemagne V.L., O'Keefe G., Nagren K.",223050,"Journal of Neurology, Neurosurgery and Psychiatry",79,12,0,0,0,0,9,9
