,"This is a citation overview for a set of 80 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 22 (Of the 80 documents considered for the h-Index, 22 have been cited at least 22 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,696,239,275,514,201,1411
2009,"Antiphospholipid antibodies induce a pro-inflammatory response in first trimester trophoblast via the TLR4/MyD88 pathway","Mulla M.J., Abrahams V.M., Brosens J.J., Chamley L.W., Giles I., Pericleous C., Rahman A., Joyce S.K., Panda B., Paidas M.J.",10467408,"American Journal of Reproductive Immunology",62, 2,0,0,0,0,0,0
2009,"Endometriosis is a risk factor for spontaneous hemoperitoneum during pregnancy","Brosens I.A., Fusi L., Brosens J.J.",00150282,"Fertility and Sterility",, ,0,0,0,0,0,0
2009,"A role for menstruation in preconditioning the uterus for successful pregnancy","Brosens J.J., Parker M.G., McIndoe A., Pijnenborg R., Brosens I.A.",00029378,"American Journal of Obstetrics and Gynecology",200, 6,0,0,0,0,1,1
2009,"Self-assessment of the cervical pupil sign as a new fertility-awareness method","Brosens I., Hernalsteen P., Devos A., Cloke B., Brosens J.J.",00150282,"Fertility and Sterility",91, 3,0,0,0,0,0,0
2009,"Non-genomic progesterone actions in female reproduction","Gellersen B., Fernandes M.S., Brosens J.J.",13554786,"Human Reproduction Update",15, 1,0,0,0,0,1,1
2009,"The influence of the menstrual cycli on deep placentation: New concepts on endometriosis and pre-eclampsia | De invloed van de menstruele cyclus op de diepe placentatie: Visie op endometriose en pre-eclampsie","Brosens I., Pijnenborg R., Brosens J.J.",0371683X,"Tijdschrift voor Geneeskunde",65, 9,0,0,0,0,0,0
2008,"Inhibition of steroid sulfatase activity in endometriotic implants by STX64 (667Coumate): A potential new therapy","Fusi L., Purohit A., Brosens J., Woo L.W.L., Potter B.V.L., Reed M.J.",1537744X,"TheScientificWorldJournal",8, ,0,0,0,0,0,0
2008,"Resist or die: FOXO transcription factors determine the cellular response to chemotherapy","Gomes A.R., Brosens J.J., Lam E.W.-F.",15384101,"Cell Cycle",7, 20,0,0,1,1,1,2
2008,"Honey, we need to talk about the membrane progestin receptors","Fernandes M.S., Brosens J.J., Gellersen B.",0039128X,"Steroids",73, 9-10,0,0,3,3,5,8
