,"Author: Brown, Susan C.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 27 (Of the 74 documents considered for the h-Index, 27 have been cited at least 27 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1547,334,321,655,249,2451
2009,"A comparative study of ?-dystroglycan glycosylation in dystroglycanopathies suggests that the hypoglycosylation of ?-dystroglycan does not consistently correlate with clinical severity","Jimenez-Mallebrera C., Campbell K.P., Kroger S., Talim B., Topaloglu H., Quinlivan R., Roper H., Childs A.M., Kinali M., Sewry C.A., Muntoni F., Torelli S., Feng L., Kim J., Godfrey C., Clement E., Mein R., Abbs S., Brown S.C.",10156305,"Brain Pathology",19, 4,0,0,0,0,0,0
2008,"Identifi cation of FHL1 as a regulator of skeletal muscle mass: Implications for human myopathy","Cowling B.S., Bonnemann C.G., Hardeman E.C., Mitchell C.A., McGrath M.J., Nguyen M.-A., Cottle D.L., Kee A.J., Brown S., Schessl J., Zou Y., Joya J.",00219525,"Journal of Cell Biology",183, 6,0,0,0,0,3,3
2008,"International workshop: Glycosylation defects in muscular dystrophies - Enhancing glycosylation to fight muscle diseases, 15-16 May, 2008, Charlotte, USA","Chan Y.M., Brown S., Lu Q.",09608966,"Neuromuscular Disorders",18, 12,0,0,0,0,0,0
2008,"Investigating the pathology of Emery-Dreifuss muscular dystrophy","Brown S.C., Piercy R.J., Muntoni F., Sewry C.A.",03005127,"Biochemical Society Transactions",36, 6,0,0,0,0,1,1
2008,"Assessment of the transformation of equine skin-derived fibroblasts to multinucleated skeletal myotubes following lentiviral-induced expression of equine myogenic differentiation 1","Fernandez-Fuente M., Piercy R.J., Ames E.G., Wagner M.L., Zhou H., Strom M., Zammit P.S., Mickelson J.R., Muntoni F., Brown S.C.",00029645,"American Journal of Veterinary Research",69, 12,0,0,0,0,0,0
2008,"Mild POMGnT1 mutations underlie a novel limb-girdle muscular dystrophy variant","Clement E.M., Longman C., Mein R., Abbs S., Vajsar J., Schachter H., Muntoni F., Godfrey C., Tan J., Brockington M., Torelli S., Feng L., Brown S.C., Jimenez-Mallebrera C., Sewry C.A.",00039942,"Archives of Neurology",65, 1,0,0,5,5,9,14
2007,"Muscular dystrophies due to defective glycosylation of dystroglycan","Muntoni F., Feng L., Jimenez-Mallebrera C., Clement E., Torelli S., Sewry C.A., Brown S.C., Brockington M., Godfrey C., Ackroyd M., Robb S., Manzur A., Kinali M., Mercuri E., Kaluarachchi M.",11282460,"Acta Myologica",26, 3,0,0,0,0,6,6
2007,"Refining genotype-phenotype correlations in muscular dystrophies with defective glycosylation of dystroglycan","Godfrey C., Feng L., Jimenez-Mallebrera C., Mercuri E., Manzur A.Y., Kinali M., Torelli S., Brown S.C., Sewry C.A., Bushby K., Topaloglu H., Clement E., North K., Abbs S., Muntoni F., Mein R., Brockington M., Smith J., Talim B., Straub V., Robb S., Quinlivan R.",00068950,"Brain",130, 10,0,1,18,19,20,39
2007,"Molecular mechanisms and phenotypic variation in RYR1-related congenital myopathies","Zhou H., Brockington M., Kinali M., Manzur A., Robb S., Appleton R., Messina S., D'Amico A., Quinlivan R., Swash M., Muller C.R., Jungbluth H., Brown S., Treves S., Muntoni F., Sewry C.A., Feng L., Bertini E., Bushby K., Straub V., Roper H., Rose M.R.",00068950,"Brain",130, 8,0,1,14,15,6,21
2007,"FHL3 binds MyoD and negatively regulates myotube formation","Cottle D.L., McGrath M.J., Cowling B.S., Coghill I.D., Brown S., Mitchell C.A.",00219533,"Journal of Cell Science",120, 8,0,1,2,3,0,3
