,"Author: Bubici, Concetta",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 10 (Of the 17 documents considered for the h-Index, 10 have been cited at least 10 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,258,163,204,367,123,748
2009,"The NF-kappaB transcription factor pathway as a therapeutic target in cancer: methods for detection of NF-kappaB activity.","Mauro C., Zazzeroni F., Papa S., Bubici C., Franzoso G.",10643745,"Methods in molecular biology (Clifton, N.J.)",512, ,0,0,0,0,0,0
2008,"Gadd45? promotes hepatocyte survival during liver regeneration in mice by modulating JNK signaling","Papa S., Zazzeroni F., Fu Y.-X., Bubici C., Alvarez K., Dean K., Christiansen P.A., Anders R.A., Franzoso G.",00219738,"Journal of Clinical Investigation",118, 5,0,0,2,2,4,6
2007,"A method for isolating prosurvival targets of NF-kappaB/Rel transcription factors.","Kuntzen C., Zazzeroni F., Pham C.G., Papa S., Bubici C., Knabb J.R., Franzoso G.",10643745,"Methods in molecular biology (Clifton, N.J.)",399, ,0,0,2,2,0,2
2007,"Insights into the structural basis of the GADD45?-mediated inactivation of the JNK kinase, MKK7/JNKK2","Papa S., Ruvo M., Franzoso G., Monti S.M., Vitale R.M., Bubici C., Jayawardena S., Alvarez K., De Smaele E., Dathan N., Pedone C.",00219258,"Journal of Biological Chemistry",282, 26,0,0,4,4,5,9
2007,"Upregulation of twist-1 by NF-?B blocks cytotoxicity induced by chemotherapeutic drugs","Pham C.G., Bubici C., Zazzeroni F., Knabb J.R., Papa S., Kuntzen C., Franzoso G.",02707306,"Molecular and Cellular Biology",27, 11,0,1,7,8,4,12
2006,"Mutual cross-talk between reactive oxygen species and nuclear factor-kappa B: Molecular basis and biological significance","Bubici C., Papa S., Dean K., Franzoso G.",09509232,"Oncogene",25, 51,4,16,30,46,23,73
2006,"The NF-?B-mediated control of the JNK cascade in the antagonism of programmed cell death in health and disease","Papa S., Bubici C., Zazzeroni F., Pham C.G., Kuntzen C., Knabb J.R., Dean K., Franzoso G.",13509047,"Cell Death and Differentiation",13, 5,8,15,24,39,13,60
2006,"The NF-?B-mediated control of ROS and JNK signaling","Bubici C., Papa S., Pham C.G., Zazzeroni F., Franzoso G.",02133911,"Histology and Histopathology",21, 1-3,4,17,17,34,14,52
2005,"In the crosshairs: NF-?B targets the JNK signaling cascade","Pham C.G., Papa S., Bubici C., Zazzeroni F., Franzoso G.",15680142,"Current Medicinal Chemistry: Anti-Inflammatory and Anti-Allergy Agents",4, 6,0,0,0,0,0,0
2005,"NF-?B meets ROS: An 'iron-ic' encounter","Papa S., Bubici C., Pham C.G., Zazzeroni F., Franzoso G.",13509047,"Cell Death and Differentiation",12, 10,4,0,2,2,2,8
2005,"Oxygen JNKies: Phosphatases overdose on ROS","Pham C.G., Papa S., Bubici C., Zazzeroni F., Franzoso G.",15345807,"Developmental Cell",8, 4,2,0,3,3,1,6
2004,"NF-?B and JNK: An intricate affair","Bubici C., Papa S., Pham C.G., Zazzeroni F., Franzoso G.",15384101,"Cell Cycle",3, 12,15,11,5,16,3,34
2004,"Ferritin heavy chain upregulation by NF-?B inhibits TNF?-induced apoptosis by suppressing reactive oxygen species","Pham C.G., Beaumont C., Torti F.M., Torti S.V., Franzoso G., Bubici C., Zazzeroni F., Papa S., Jones J., Alvarez K., Jayawardena S., De Smaele E., Cong R.",00928674,"Cell",119, 4,71,30,39,69,24,164
2004,"Linking JNK signaling to NF-?B: A key to survival","Papa S., Zazzeroni F., Pham C.G., Bubici C., Franzoso G.",00219533,"Journal of Cell Science",117, 22,42,28,17,45,8,95
2004,"CD95 ligand induces motility and invasiveness of apoptosis-resistant tumor cells","Barnhart B.C., Legembre P., Pietras E., Bubici C., Franzoso G., Peter M.E.",02614189,"EMBO Journal",23, 15,27,14,17,31,7,65
2004,"Gadd45? mediates the NF-?B suppression of JNK signalling by targeting MKK7/JNKK2","Papa S., Melis T., De Smaele E., Tang W.-J., D'Adamio L., Franzoso G., Zazzeroni F., Bubici C., Jayawardena S., Alvarez K., Matsuda S., Nguyen D.U., Pham C.G., Nelsbach A.H.",14657392,"Nature Cell Biology",6, 2,60,24,28,52,11,123
2003,"Gadd45? mediates the protective effects of CD40 costimulation against Fas-induced apoptosis","Zazzeroni F., Peter M.E., Franzoso G., Papa S., Algeciras-Schimnich A., Alvarez K., Melis T., Bubici C., Majewski N., Hay N., De Smaele E.",00064971,"Blood",102, 9,21,7,7,14,4,39
