,"Author: Bundy, Jacob G.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 14 (Of the 32 documents considered for the h-Index, 14 have been cited at least 14 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,153,81,115,196,134,483
2009,"The cellular geometry of growth drives the amino acid economy of Caenorhabditis elegans","Swire J., Fuchs S., Bundy J.G., Leroi A.M.",09628452,"Proceedings of the Royal Society B: Biological Sciences",276, 1668,0,0,0,0,0,0
2009,"The metabolomic responses of Caenorhabditis elegans to cadmium are largely independent of metallothionein status, but dominated by changes in cystathionine and phytochelatins","Hughes S.L., Bundy J.G., Want E.J., Kille P., Sturzenbaum S.R.",15353893,"Journal of Proteome Research",8, 7,0,0,0,0,0,0
2009,"Time-resolved metabolic footprinting for nonlinear modeling of Bacterial substrate utilization","Behrends V., Ebbels T.M.D., Williams H.D., Bundy J.G.",00992240,"Applied and Environmental Microbiology",75, 8,0,0,0,0,0,0
2009,"Validation of metabolomics for toxic mechanism of action screening with the earthworm Lumbricus rubellus","Guo Q., Bundy J.G., Sidhu J.K., Ebbels T.M.D., Rana F., Spurgeon D.J., Svendsen C., Sturzenbaum S.R., Kille P., Morgan A.J.",15733882,"Metabolomics",5, 1,0,0,0,0,1,1
2009,"International NMR-based environmental metabolomics intercomparison exercise","Viant M.R., Rochfort S., De Ropp J.S., Teng Q., Tjeerdema R.S., Walter J.A., Huifeng W.D., Bearden D.W., Bundy J.G., Burton I.W., Collette T.W., Ekman D.R., Ezernieks V., Karakach T.K.",0013936X,"Environmental Science and Technology",43, 1,0,0,0,0,1,1
2009,"Environmental metabolomics: A critical review and future perspectives","Bundy J.G., Davey M.P., Viant M.R.",15733882,"Metabolomics",5, 1,0,0,0,0,1,1
2008,"'Systems toxicology' approach identifies coordinated metabolic responses to copper in a terrestrial non-model invertebrate, the earthworm Lumbricus rubellus","Bundy J.G., Sidhu J.K., Rana F., Spurgeon D.J., Svendsen C., Wren J.F., Sturzenbaum S.R., Morgan A.J., Kille P.",17417007,"BMC Biology",6, ,0,0,6,6,11,17
2007,"Metabolic profiling, metabolomic and metabonomic procedures for NMR spectroscopy of urine, plasma, serum and tissue extracts.","Beckonert O., Keun H.C., Ebbels T.M., Bundy J., Holmes E., Lindon J.C., Nicholson J.K.",17502799,"Nature protocols",2, 11,0,0,21,21,23,44
2007,"Metabolomic profiling of rapid cold hardening and cold shock in Drosophila melanogaster","Overgaard J., Malmendal A., Sorensen J.G., Bundy J.G., Loeschcke V., Nielsen N.Chr., Holmstrup M.",00221910,"Journal of Insect Physiology",53, 12,0,0,9,9,6,15
2007,"Standard reporting requirements for biological samples in metabolomics experiments: Environmental context","Morrison N., Rochfort S., Sansone S.-A., Stys D., Teng Q., Field D., Viant M.R.Mark R., Bearden D., Bundy J.G., Collette T., Currie F., Davey M.P., Haigh N.S., Hancock D., Jones O.A.H.",15733882,"Metabolomics",3, 3,0,2,2,4,2,6
2007,"Metabolic profile biomarkers of metal contamination in a sentinel terrestrial species are applicable across multiple sites","Bundy J.G., Keun H.C., Sidhu J.K., Spurgeon D.J., Svendsen C., Kille P., Morgan A.J.",0013936X,"Environmental Science and Technology",41, 12,0,0,4,4,5,9
2007,"Evaluation of predicted network modules in yeast metabolism using NMR-based metabolite profiling","Bundy J.G., Papp B., Harmston R., Browne R.A., Clayson E.M., Burton N., Reece R.J., Oliver S.G., Brindle K.M.",10889051,"Genome Research",17, 4,0,1,3,4,5,9
2006,"Metabolic consequences of p300 gene deletion in human colon cancer cells","Bundy J.G., Brindle K.M., Iyer N.G., Gentile M.S., Hu D.-E., Kettunen M., Maia A.-T., Thorne N.P., Brenton J.D., Caldas C.",00085472,"Cancer Research",66, 15,0,1,0,1,1,2
2006,"Metabolomic profiling of heat stress: Hardening and recovery of homeostasis in Drosophila","Malmendal A., Overgaard J., Bundy J.G., Sorensen J.G., Nielsen N.C., Loeschcke V., Holmstrup M.",03636119,"American Journal of Physiology - Regulatory Integrative and Comparative Physiology",291, 1,0,11,8,19,8,27
2006,"Investigation of the physiological relationship between the cyanide-insensitive oxidase and cyanide production in Pseudomonas aeruginosa","Zlosnik J.E.A., Tavankar G.R., Bundy J.G., Mossialos D., O'Toole R., Williams H.D.",13500872,"Microbiology",152, 5,0,3,5,8,2,10
2005,"NMR-derived developmental metabolic trajectories: An approach for visualizing the toxic actions of trichloroethylene during embryogenesis","Viant M.R., Bundy J.G., Pincetich C.A., de Ropp J.S., Tjeerdema R.S.",15733882,"Metabolomics",1, 2,6,9,4,13,9,28
2005,"Establishing principal soil quality parameters influencing earthworms in urban soils using bioassays","Hankard P.K., Bundy J.G., Spurgeon D.J., Weeks J.M., Wright J., Weinberg C., Svendsen C.",02697491,"Environmental Pollution",133, 2,0,3,2,5,1,6
2005,"Discrimination of pathogenic clinical isolates and laboratory strains of Bacillus cereus by NMR-based metabolomic profiling","Bundy J.G., Willey T.L., Castell R.S., Ellar D.J., Brindle K.M.",03781097,"FEMS Microbiology Letters",242, 1,4,9,2,11,4,19
