,"Authors: Chayen, N.; Chayen, Naomi E.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 20 (Of the 59 documents considered for the h-Index, 20 have been cited at least 20 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,857,104,149,253,90,1200
2009,"Rigorous filtration for protein crystallization","Chayen N.E.",00218898,"Journal of Applied Crystallography",42, 4,0,0,0,0,0,0
2009,"Attenuated total reflection-FT-IR spectroscopic imaging of protein crystallization","Chan K.L.A., Govada L., Bill R.M., Chayen N.E., Kazarian S.G.",00032700,"Analytical Chemistry",81, 10,0,0,0,0,0,0
2009,"Towards a 'universal' nucleant for protein crystallization","Saridakis E., Chayen N.E.",01677799,"Trends in Biotechnology",27, 2,0,0,0,0,0,0
2008,"Site-directed mutagenesis of the chemokine receptor CXCR6 suggests a novel paradigm for interactions with the ligand CXCL16","Petit S.J., Chayen N.E., Pease J.E.",00142980,"European Journal of Immunology",38, 8,0,0,0,0,2,2
2008,"An investigation into the protonation states of the C1 domain of cardiac myosin-binding protein C","Fisher S.J., Helliwell J.R., Khurshid S., Govada L., Redwood C., Squire J.M., Chayen N.E.",09074449,"Acta Crystallographica Section D: Biological Crystallography",64, 6,0,0,1,1,2,3
2008,"Crystal Structure of the C1 domain of Cardiac Myosin Binding Protein-C: Implications for Hypertrophic Cardiomyopathy","Govada L., Carpenter L., da Fonseca P.C.A., Helliwell J.R., Rizkallah P., Flashman E., Chayen N.E., Redwood C., Squire J.M.",00222836,"Journal of Molecular Biology",378, 2,0,0,1,1,3,4
2008,"Protein crystallization: From purified protein to diffraction-quality crystal","Chayen N.E., Saridakis E.",15487091,"Nature Methods",5, 2,0,0,5,5,9,14
2007,"Dynamic screening experiments to maximize hits for crystallization","Khurshid S., Govada L., Chayen N.E.",15287483,"Crystal Growth and Design",7, 11,0,0,1,1,1,2
2007,"Crystallography: A down-to-Earth approach","Helliwell J.R., Chayen N.E.",00280836,"Nature",448, 7154,0,0,1,1,1,2
2007,"Optimization techniques for automation and high throughput","Chayen N.E.",10643745,"Methods in Molecular Biology",363, ,0,2,2,4,0,4
2006,"A model for enhanced nucleation of protein crystals on a fractal porous substrate","Stolyarova S., Saridakis E., Chayen N.E., Nemirovsky Y.",00063495,"Biophysical Journal",91, 10,0,2,6,8,2,10
2006,"Upside-down protein crystallization: Designing microbatch experiments for microgravity","Khurshid S., Chayen N.E.",00778923,"Annals of the New York Academy of Sciences",1077, ,0,0,0,0,0,0
2006,"Interdisciplinary transport phenomena in the space sciences","Sadhal S.S., Chayen N., Dhir V.K., Ohta H., Smith R.W.",00778923,"Annals of the New York Academy of Sciences",1077, ,0,0,0,0,0,0
2006,"Experiment and theory for heterogeneous nucleation of protein crystals in a porous medium","Chayen N.E., Saridakis E., Sear R.P.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",103, 3,6,4,13,17,7,30
2005,"Erratum: Unravelling the structural chemistry of the colouration mechanism in lobster shell (Acta Crystallographica Section D: Biological Crystallography (2003) D59, (2072-2082))","Chayen N.E., Cianci M., Grossmann J.G., Habash J., Helliwell J.R., Nneji G.A., Raftery J., Rizkallah P.J., Zagalsky P.F.",09074449,"Acta Crystallographica Section D: Biological Crystallography",61, 9,0,0,0,0,0,0
2005,"Methods for separating nucleation and growth in protein crystallisation","Chayen N.E.",00796107,"Progress in Biophysics and Molecular Biology",88, 3,4,6,1,7,1,12
2005,"Possible model of protein nucleation and crystallization on porous silicon","Stolyarova S., Baskin E., Chayen N.E., Nemirovsky Y.",18626300,"Physica Status Solidi (A) Applications and Materials",202, 8,1,1,3,4,0,5
2004,"Transport phenomena in microgravity: Preface","Sadhal S.S., Chayen N., Dhir V.K., Ohta H., Smith R.W.",00778923,"Annals of the New York Academy of Sciences",1027, ,0,0,0,0,0,0
2004,"Effects of buoyancy-driven convection on nucleation and growth of protein crystals","Nanev C.N., Penkova A., Chayen N.",00778923,"Annals of the New York Academy of Sciences",1027, ,0,0,0,0,1,1
2004,"Size and shape determination of proteins in solution by a noninvasive depolarized dynamic light scattering instrument","Chayen N., Dieckmann M., Dierks K., Fromme P.",00778923,"Annals of the New York Academy of Sciences",1027, ,1,1,1,2,1,4
2004,"Turning protein crystallisation from an art into a science","Chayen N.E.",0959440X,"Current Opinion in Structural Biology",14, 5,19,7,11,18,6,43
2004,"A crystallization plate for controlling evaporation in hanging drops","Nneji G.A., Chayen N.E.",00218898,"Journal of Applied Crystallography",37, 3,2,1,0,1,1,4
2004,"The structure and refinement of apocrustacyanin C2 to 1.3 Å resolution and the search for differences between this protein and the homologous apoproteins A1 and C1","Habash J., Helliwell J.R., Raftery J., Cianci M., Rizkallah P.J., Chayen N.E., Nneji G.A., Zagalsky P.F.",09074449,"Acta Crystallographica Section D: Biological Crystallography",60, 3,1,0,0,0,1,2
2003,"Unravelling the structural chemistry of the colouration mechanism in lobster shell","Chayen N.E., Cianci M., Gunter Grossmann J., Habash J., Helliwell J.R., Nneji G.A., Raftery J., Rizkallah P.J., Zagalsky P.F.",09074449,"Acta Crystallographica - Section D Biological Crystallography",59, 12,11,3,3,6,4,21
2003,"Protein crystallization for genomics: Throughput versus output","Chayen N.E.",1345711X,"Journal of Structural and Functional Genomics",4, 2-3,8,1,2,3,2,13
2003,"Apocrustacyanin C1 crystals grown in space and on earth using vapour-diffusion geometry: Protein structure refinements and electron-density map comparisons","Habash J., Boggon T.J., Raftery J., Chayen N.E., Zagalsky P.F., Helliwell J.R.",09074449,"Acta Crystallographica - Section D Biological Crystallography",59, 7,6,0,0,0,1,7
2003,"The 1.45 Å three-dimensional structure of C-phycocyanin from the thermophilic cyanobacterium Synechococcus elongatus","Nield J., Rizkallah P.J., Barber J., Chayen N.E.",10478477,"Journal of Structural Biology",141, 2,12,5,7,12,3,27
2003,"Systematic improvement of protein crystals by determining the supersolubility curves of phase diagrams","Saridakis E., Chayen N.E.",00063495,"Biophysical Journal",84, 2 I,16,1,5,6,2,24
2002,"Nucleation of protein crystals in a wide continuous supersaturation gradient","Penkova A., Chayen N., Saridakis E., Nanev C.N.",09074449,"Acta Crystallographica Section D: Biological Crystallography",58, 10,8,2,2,4,1,13
2002,"Separating nucleation and growth in protein crystallization using dynamic light scattering","Saridakis E., Dierks K., Moreno A., Dieckmann M.W.M., Chayen N.E.",09074449,"Acta Crystallographica Section D: Biological Crystallography",58, 10,7,0,1,1,0,8
2002,"Well connected: Protein-protein interactions and crystallization","Pusey M.L., Chayen N.E.",01677799,"Trends in Biotechnology",20, 8,0,0,0,0,0,0
2002,"Crystallization comes of age","Chayen N.E., Hilgenfeld R.",01677799,"Trends in Biotechnology",20, 8,1,0,0,0,0,1
2002,"The molecular basis of the coloration mechanism in lobster shell: ?-crustacyanin at 3.2-Å resolution","Cianci M., Rizkallah P.J., Olczak A., Raftery J., Chayen N.E., Zagalsky P.F., Helliwell J.R.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",99, 15,38,3,4,7,6,51
2002,"Microgravity protein crystallization: Are we reaping the full benefit of outer space?","Chayen N.E., Helliwell J.R.",00778923,"Annals of the New York Academy of Sciences",974, ,3,0,2,2,0,5
2002,"Tackling the bottleneck of protein crystallization in the post-genomic era [2]","Chayen N.E.",01677799,"Trends in Biotechnology",20, 3,25,2,2,4,3,32
2002,"Protein crystallization for genomics: Towards high-throughput optimization techniques","Chayen N.E., Saridakis E.",09074449,"Acta Crystallographica Section D: Biological Crystallography",58, 6,30,7,3,10,1,41
2002,"Combination of oils and gels for enhancing the growth of protein crystals","Moreno A., Saridakis E., Chayen N.E.",00218898,"Journal of Applied Crystallography",35, 1,7,1,4,5,1,13
2001,"Is lysozyme really the ideal model protein?","Chayen N.E., Saridakis E.",00220248,"Journal of Crystal Growth",232, 1-4,12,1,3,4,0,16
2001,"Structure of lobster apocrustacyanin A1 using softer X-rays","Cianci M., Rizkallah P.J., Olczak A., Raftery J., Chayen N.E., Zagalsky P.F., Helliwell J.R.",09074449,"Acta Crystallographica Section D: Biological Crystallography",57, 9,29,5,2,7,1,37
2001,"Porous silicon: An effective nucleation-inducing material for protein crystallization","Chayen N.E., Saridakis E., El-Bahar R., Nemirovsky Y.",00222836,"Journal of Molecular Biology",312, 4,34,7,13,20,3,57
2000,"Apocrustacyanin A1 from the lobster carotenoprotein ?-crustacyanin: Crystallization and initial X-ray analysis involving softer X-rays","Chayen N.E., Cianci M., Olczak A., Raftery J., Rizkallah P.J., Zagalsky P.F., Helliwell J.R.",09074449,"Acta Crystallographica Section D: Biological Crystallography",56, 8,12,0,2,2,1,15
2000,"Improving protein crystal quality by decoupling nucleation and growth in vapor diffusion","Saridakis E., Chayen N.E.",09618368,"Protein Science",9, 4,17,2,1,3,0,20
1999,"Recent advances in methodology for the crystallization of biological macromolecules","Chayen N.E.",00220248,"Journal of Crystal Growth",198-199, I,11,2,4,6,2,19
1999,"Bound-solvent structures for microgravity-, ground control-, gel- and microbatch-grown hen egg-white lysozyme crystals at 1.8 Å resolution","Dong J., Boggon T.J., Chayen N.E., Raftery J., Bi R.-C., Helliwell J.R.",09074449,"Acta Crystallographica Section D: Biological Crystallography",55, 4,30,3,0,3,0,33
1999,"Space-grown crystals may prove their worth [7]","Chayen N.E., Helliwell J.R.",00280836,"Nature",398, 6722,11,1,0,1,1,13
1999,"Crystallization with oils: A new dimension in macromolecular crystal growth","Chayen N.E.",00220248,"Journal of Crystal Growth",196, 2-4,16,0,1,1,1,18
1999,"Purification, crystallization and initial x-ray analysis of the C1 subunit of the astaxanthin protein, V600, of the chondrophore Velella velella","Chayen N.E., Boggon T.J., Raftery J., Helliwell J.R., Zagalsky P.F.",09074449,"Acta Crystallographica Section D: Biological Crystallography",55, 1,3,0,0,0,0,3
1998,"Protein crystal movements and fluid flows during microgravity growth","Boggon T.J., Thompson A.W., Zagalsky P.F., Bi R.-C., Helliwell J.R., Chayen N.E., Snell E.H., Dong J., Lautenschlager P., Potthast L., Siddons D.P., Stojanoff V., Gordon E.",1364503X,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",356, 1739,3,2,0,2,0,5
1998,"Comparative studies of protein crystallization by vapour-diffusion and microbatch techniques","Chayen N.E.",09074449,"Acta Crystallographica Section D: Biological Crystallography",54, 1,41,8,3,11,1,53
1997,"The role of oil in macromolecular crystallization","Chayen N.E.",09692126,"Structure",5, 10,37,7,5,12,1,50
1997,"Crystallogenesis studies in microgravity with the advanced protein crystallization facility on spaceHab-01","Ries-Kautt M., Lorber B., Theobald-Dietrich A., Giege R., Broutin I., Ducruix A., Shepard W., Kahn R., Chayen N., Blow D., Paal K., Littke W.",00220248,"Journal of Crystal Growth",181, 1-2,23,0,2,2,0,25
1997,"A novel technique to control the rate of vapour diffusion, giving larger protein crystals","Chayen N.E.",00218898,"Journal of Applied Crystallography",30, 2,31,4,4,8,1,40
1997,"Crystallization and initial X-ray analysis of xylose isomerase from Thermotoga neapolitana","Chayen N.E., Conti E., Vieille C., Zeikus J.G.",09074449,"Acta Crystallographica Section D: Biological Crystallography",53, 2,7,0,0,0,0,7
1997,"CCD video observation of microgravity crystallization: Apocrustacyanin C1","Chayen N.E., Snell E.H., Helliwell J.R., Zagalsky P.F.",00220248,"Journal of Crystal Growth",171, 1-2,36,3,0,3,0,39
1997,"Partial improvement of crystal quality for microgravity-grown apocrustacyanin C1","Snell E.H., Zagalsky P.F., Cassetta A., Helliwell J.R., Boggon T.J., Chayen N.E., Weckert E., Holzer K., Schroer K., Gordon E.J.",09074449,"Acta Crystallographica Section D: Biological Crystallography",53, 3,24,0,0,0,0,24
1996,"A novel technique for containerless protein crystallization","Chayen N.E.",02692139,"Protein Engineering",9, 10,23,1,5,6,1,30
1996,"Trends and challenges in experimental macromolecular crystallography","Chayen N.E., Peterson M.R., Raftery J., Snell E.H., Hadener A., Niemann A.C., Siddons D.P., Stojanoff V., Thompson A.W., Ursby T., Wulff M., Boggon T.J., Cassetta A., Deacon A., Gleichmann T., Habash J., Harrop S.J., Helliwell J.R., Nieh Y.P.",00335835,"Quarterly Reviews of Biophysics",29, 3,53,1,3,4,1,58
1996,"Crystallization and initial X-ray analysis of ?-crustacyanin, the dimer of apoproteins A2 and C1, each with a bound astaxanthin molecule","Chayen N.E., Gordon E.J., Phillips S.E.V., Saridakis E.E.G., Zagalsky P.F.",09074449,"Acta Crystallographica Section D: Biological Crystallography",52, 2,11,0,0,0,1,12
1996,"Crystallization of apocrustacyanin C1 on the international microgravity laboratory (IML-2) mission","Chayen N.E., Gordon E.J., Zagalsky P.F.",09074449,"Acta Crystallographica Section D: Biological Crystallography",52, 1,17,0,0,0,1,18
1995,"Microgravity protein crystallisation aboard the photon satellite","Chayen N.E.",00220248,"Journal of Crystal Growth",153, 3-4,6,0,0,0,0,6
1994,"Control of nucleation of protein crystals","Blow D.M., Chayen N.E., Lloyd L.F., Saridakis E.",09618368,"Protein Science",3, 10,41,2,5,7,1,49
1993,"Fish muscle structure: Fibre types in flatfish and mullet fin muscles using histochemistry and antimyosin antibody labelling","Chayen N.E., Rowlerson A.M., Squire J.M.",01424319,"Journal of Muscle Research and Cell Motility",14, 5,4,0,2,2,1,7
1993,"Control of nucleation in the crystallization of lysozyme","Chayen N.E., Radcliffe J.W., Blow D.M.",09618368,"Protein Science",2, 1,28,0,1,1,1,30
1992,"Microbatch crystallization under oil - a new technique allowing many small-volume crystallization trials","Chayen N.E., Shaw Stewart P.D., Blow D.M.",00220248,"Journal of Crystal Growth",122, 1-4,63,6,10,16,6,85
1991,"Crystallization of and preliminary X-ray data for the negative regulator (AmiC) of the amidase operon of Pseudomonas aeruginosa","Wilson S.A., Chayen N.E., Hemmings A.M., Drew R.E., Pearl L.H.",00222836,"Journal of Molecular Biology",222, 4,5,0,0,0,0,5
1991,"Many crystal forms of human immunodeficiency virus reverse transcriptase","Lloyd L.F., Brick P., Mei-Zhen L., Chayen N.E., Blow D.M.",00222836,"Journal of Molecular Biology",217, 1,4,0,0,0,0,4
1989,"Trigonal crystals of glucose isomerase require thymol for their growth and stability","Chayen N.E., Lloyd L.F., Collyer C.A., Blow D.M.",00220248,"Journal of Crystal Growth",97, 2,4,0,0,0,0,4
1988,"Solubility of glucose isomerase in ammonium sulphate solutions","Chayen N., Akins J., Campbell-Smith S., Blow D.M.",00220248,"Journal of Crystal Growth",90, 1-3,11,0,2,2,2,15
1987,"Comparative histochemistry of a flatfish fin muscle and of other vertebrate muscles used for ultrastructural studies","Chayen N., Freundlich A., Squire J.M.",01424319,"Journal of Muscle Research and Cell Motility",8, 4,4,0,0,0,1,5
