,"Authors: Cherepanov, Peter P.; Cherepanov, Peter A.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 22 (Of the 40 documents considered for the h-Index, 22 have been cited at least 22 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,894,290,307,597,267,1758
2009,"Structural basis for functional tetramerization of lentiviral integrase","Hare S., Di Nunzio F., Labeja A., Wang J., Engelman A., Cherepanov P.",15537366,"PLoS Pathogens",5, 7,0,0,0,0,0,0
2009,"The SET complex acts as a barrier to autointegration of HIV-1","Yan N., Cherepanov P., Daigle J.E., Engelman A., Lieberman J.",15537366,"PLoS Pathogens",5, 3,0,0,0,0,0,0
2009,"HIV-1 exploits importin 7 to maximize nuclear import of its DNA genome","Zaitseva L., Cherepanov P., Leyens L., Wilson S.J., Rasaiyaah J., Fassati A.",17424690,"Retrovirology",6, ,0,0,0,0,0,0
2009,"Functional and structural characterization of the integrase from the prototype foamy virus","Valkov E., Gupta S.S., Hare S., Helander A., Roversi P., Mcclure M., Cherepanov P.",03051048,"Nucleic Acids Research",37, 1,0,0,0,0,3,3
2009,"A novel co-crystal structure affords the design of gain-of-function lentiviral integrase mutants in the presence of modified PSIP1/LEDGF/p75","Hare S., Shun M.-C., Gupta S.S., Valkov E., Engelman A., Cherepanov P.",15537366,"PLoS Pathogens",5, 1,0,0,0,0,3,3
2008,"The lentiviral integrase binding protein LEDGF/p75 and HIV-1 replication","Engelman A., Cherepanov P.",15537366,"PLoS Pathogens",4, 3,0,0,4,4,8,12
2007,"LEDGF/p75 functions downstream from preintegration complex formation to effect gene-specific HIV-1 integration","Shun M.-C., Raghavendra N.K., Vandegraaff N., Daigle J.E., Hughes S., Kellam P., Cherepanov P., Engelman A.",08909369,"Genes and Development",21, 14,0,3,30,33,27,60
2007,"Structure-based mutagenesis of the integrase-LEDGF/p75 interface uncouples a strict correlation between in vitro protein binding and HIV-1 fitness","Rahman S., Lu R., Vandegraaff N., Cherepanov P., Engelman A.",00426822,"Virology",357, 1,0,4,7,11,5,16
2007,"LEDGF/p75 interacts with divergent lentiviral integrases and modulates their enzymatic activity in vitro","Cherepanov P.",03051048,"Nucleic Acids Research",35, 1,0,6,10,16,12,28
2006,"Transcriptional co-activator p75 binds and tethers the Myc-interacting protein JPO2 to chromatin","Maertens G.N., Cherepanov P., Engelman A.",00219533,"Journal of Cell Science",119, 12,2,6,7,13,5,20
2006,"A tripartite DNA-binding element, comprised of the nuclear localization signal and two AT-hook motifs, mediates the association of LEDGF/p75 with chromatin in vivo","Turlure F., Maertens G., Rahman S., Cherepanov P., Engelman A.",03051048,"Nucleic Acids Research",34, 5,4,9,7,16,6,26
2006,"A tripartite DNA-binding element, comprised of the nuclear localization signal and two AT-hook motifs, mediates the association of LEDGF/p75 with chromatin in vivo.","Turlure F., Maertens G., Rahman S., Cherepanov P., Engelman A.",13624962,"Nucleic acids research.",34, 5,2,7,4,11,3,16
