,"Authors: Chung, Kian Fan; Chung, Fan; Fan Chung, K.",,,,,,,,,,,
,,,,,,,,,,,,
,This is a citation overview for a set of 497 documents.,,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 62 (Of the 497 documents considered for the h-Index, 62 have been cited at least 62 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,11268,1407,1545,2952,912,15132
2009,MUC5AC expression is increased in bronchial submucosal glands of stable COPD patients,"Caramori G., Adcock I.M., Cavallesco G., Chung K.F., Papi A., Casolari P., Di Gregorio C., Saetta M., Baraldo S., Boschetto P., Ito K., Fabbri L.M., Barnes P.J.",3090167,Histopathology,55,3,0,0,0,0,0,0
2009,Inhaled corticosteroids as combination therapy with ?-adrenergic agonists in airways disease: Present and future,"Chung K.F., Caramori G., Adcock I.M.",316970,European Journal of Clinical Pharmacology,65,9,0,0,0,0,0,0
2009,Road ahead to respiratory health: Experts chart future research directions,"Heffner J.E., Tapson V.F., Hansell D.M., Provonost P.J., Lee Y.C.G., Holgate S.T., Chung K.F., Niederman M.S., Daley C.L., Jett J.R., Stradling J.R., Wells A.U., Light R.W.",13237799,Respirology,14,5,0,0,0,0,1,1
2009,MicroRNA expression profiling in mild asthmatic human airways and effect of corticosteroid therapy,"Williams A.E., Larner-Svensson H., Perry M.M., Campbell G.A., Herrick S.E., Adcock I.M., Erjefalt J.S., Chung K.F., Lindsay M.A.",19326203,PLoS ONE,4,6,0,0,0,0,0,0
2009,Postnasal drip and chronic cough: An open interventional study,"Macedo P., Saleh H., Torrego A., Arbery J., MacKay I., Durham S.R., Chung K.F.",9546111,Respiratory Medicine,, ,0,0,0,0,0,0
2009,Capsaicin cough sensitivity in smokers with and without airflow obstruction,"Blanc F.-X., Macedo P., Hew M., Chung K.F.",9546111,Respiratory Medicine,103,5,0,0,0,0,1,1
2009,"Corrigendum to ""Role of p38 mitogen-activated protein kinase in ozone-induced airway hyperresponsiveness and inflammation"" [European Journal of Pharmacology 600 (2008) 117-122] (DOI:10.1016/j.ejphar.2008.09.031)","Williams A.S., Issa R., Durham A., Leung S.-Y., Kapoun A., Medicherla S., Higgins L.S., Adcock I.M., Chung K.F.",142999,European Journal of Pharmacology,609, 1-3,0,0,0,0,0,0
2009,Semantics and types of cough,"Chung K.F., Bolser D., Davenport P., Fontana G., Morice A., Widdicombe J.",10945539,Pulmonary Pharmacology and Therapeutics,22,2,0,0,0,0,0,0
2009,The 2008 Fifth International Cough Symposium: Mechanisms and treatment,"Chung K.F., Widdicombe J.",10945539,Pulmonary Pharmacology and Therapeutics,22,2,0,0,0,0,0,0
2009,Activation of NF-?B transcription factor in asthma death,"Caramori G., Oates T., Nicholson A.G., Casolari P., Ito K., Barnes P.J., Papi A., Adcock I.M., Chung K.F.",3090167,Histopathology,54,4,0,0,0,0,0,0
2009,Health effects of real-world exposure to diesel exhaust in persons with asthma.,"Zhang J.J., McCreanor J.E., Cullinan P., Chung K.F., Ohman-Strickland P., Jarup L., Nieuwenhuijsen M.J.",10415505,Research report (Health Effects Institute),,138,0,0,0,0,0,0
2009,Role of cathepsin S in ozone-induced airway hyperresponsiveness and inflammation,"Williams A.S., Eynott P.R., Leung S.-Y., Nath P., Jupp R., De Sanctis G.T., Resnick R., Adcock I.M., Chung K.F.",10945539,Pulmonary Pharmacology and Therapeutics,22,1,0,0,0,0,0,0
2009,Clinical cough VI: the need for new therapies for cough: disease-specific and symptom-related antitussives.,Chung K.F.,1712004,Handbook of experimental pharmacology,,187,0,0,0,0,1,1
2009,Pharmacology and therapeutics of cough. Preface.,"Chung K.F., Widdicombe J.G.",1712004,Handbook of experimental pharmacology,,187,0,0,0,0,0,0
2009,Cough: setting the scene.,"Chung K.F., Widdicombe J.G.",1712004,Handbook of experimental pharmacology,,187,0,0,0,0,0,0
2008,Role of p38 mitogen-activated protein kinase in ozone-induced airway hyperresponsiveness and inflammation,"Williams A.S., Issa R., Durham A., Leung S.-Y., Kapoun A., Medicherla S., Higgins L.S., Adcock I.M., Chung K.F.",142999,European Journal of Pharmacology,600, 1-3,0,0,0,0,0,0
2008,Effect of ?2-adrenoceptor agonists and other cAMP-elevating agents on inflammatory gene expression in human ASM cells: A role for protein kinase A,"Kaur M., Holden N.S., Wilson S.M., Sukkar M.B., Chung K.F., Barnes P.J., Newton R., Giembycz M.A.",10400605,American Journal of Physiology - Lung Cellular and Molecular Physiology,295,3,0,0,0,0,1,1
