,"Author: Clark, Andrew R.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 23 (Of the 39 documents considered for the h-Index, 23 have been cited at least 23 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2265,405,394,799,197,3261
2009,"The p38 MAPK pathway inhibits tristetraprolin-directed decay of interleukin-10 and pro-inflammatory mediator mRNAs in murine macrophages","Tudor C., Dean J.L.E., Marchese F.P., Hitti E., Aubareda A., Rawlinson L., Gaestel M., Blackshear P.J., Clark A.R., Saklatvala J.",00145793,"FEBS Letters",583, 12,0,0,0,0,0,0
2009,"Post-transcriptional gene regulation by MAP kinases via AU-rich elements.","Clark A., Dean J., Tudor C., Saklatvala J.",10934715,"Frontiers in bioscience : a journal and virtual library",14, ,0,0,0,0,1,1
2008,"Increased endothelial mitogen-activated protein kinase phosphatase-1 expression suppresses proinflammatory activation at sites that are resistant to atherosclerosis.","Zakkar M., Haskard D.O., Evans P.C., Chaudhury H., Sandvik G., Enesa K., Luong A., Cuhlmann S., Mason J.C., Krams R., Clark A.R.",15244571,"Circulation research",103, 7,0,0,0,0,4,4
2008,"Role of dual specificity phosphatases in biological responses to glucocorticoids","Clark A.R., Martins J.R.S., Tchen C.R.",00219258,"Journal of Biological Chemistry",283, 38,0,0,0,0,1,1
2008,"A comparison of the pulmonary bioavailability of powder and liquid aerosol formulations of salmon calcitonin","Clark A., Kuo M.-C., Newman S., Hirst P., Pitcairn G., Pickford M.",07248741,"Pharmaceutical Research",25, 7,0,0,0,0,0,0
2007,"Anti-inflammatory functions of glucocorticoid-induced genes","Clark A.R.",03037207,"Molecular and Cellular Endocrinology",275, 1-2,0,1,15,16,11,27
2007,"Design of fine particles for pulmonary drug delivery","Weers J.G., Tarara T.E., Clark A.R.",17425247,"Expert Opinion on Drug Delivery",4, 3,0,1,4,5,0,5
2007,"The effect of biphasic inhalation profiles on the deposition and clearance of coarse (6.5 ?m) bolus aerosols","Clark A.R., Chambers C.B., Muir D., Newhouse M.T., Paboojian S., Schuler C.",08942684,"Journal of Aerosol Medicine: Deposition, Clearance, and Effects in the Lung",20, 1,0,0,4,4,1,5
2006,"The RNA binding protein Zfp36l1 is required for normal vascularisation and post-transcriptionally regulates VEGF expression","Bell S.E., Turner M., Sanchez M.J., Spasic-Boskovic O., Santalucia T., Gambardella L., Burton G.J., Murphy J.J., Norton J.D., Clark A.R.",10588388,"Developmental Dynamics",235, 11,0,1,4,5,2,7
2006,"Antiinflammatory effects of dexamethasone are partly dependent on induction of dual specificity phosphatase 1","Abraham S.M., Lawrence T., Kleiman A., Warden P., Medghalchi M., Tuckermann J., Saklatvala J., Clark A.R.",00221007,"Journal of Experimental Medicine",203, 8,2,20,25,45,12,59
2006,"Mitogen-activated protein kinase-activated protein kinase 2 regulates tumor necrosis factor mRNA stability and translation mainly by altering tristetraprolin expression, stability, and binding to adenine/uridine-rich element","Hitti E., Gaestel M., Iakovleva T., Brook M., Deppenmeier S., Gruber A.D., Radzioch D., Clark A.R., Blackshear P.J., Kotlyarov A.",02707306,"Molecular and Cellular Biology",26, 6,5,30,28,58,20,83
2006,"Posttranslational regulation of tristetraprolin subcellular localization and protein stability by p38 mitogen-activated protein kinase and extracellular signal-regulated kinase pathways","Brook M., Tchen C.R., Santalucia T., McIlrath J., Arthur J.S.C., Saklatvala J., Clark A.R.",02707306,"Molecular and Cellular Biology",26, 6,3,17,19,36,13,52
2005,"Erratum: The 3? untranslated region of tumor necrosis factor alpha mRNA is a target of the mRNA-stabilizing factor HuR (Molecular and Cellular Biology (2001) 21:3 (721-730))","Dean J.L.E., Wait R., Mahtani K.R., Sully G., Clark A.R., Saklatvala J.",02707306,"Molecular and Cellular Biology",25, 8,0,0,0,0,0,0
2005,"Stabilization of IFN-? mRNA by MAPK p38 in IL-12- and IL-18-stimulated human NK cells","Mavropoulos A., Sully G., Cope A.P., Clark A.R.",00064971,"Blood",105, 1,10,6,4,10,3,23
2004,"The involvement of AU-rich element-binding proteins in p38 mitogen-activated protein kinase pathway-mediated mRNA stabilisation","Dean J.L.E., Sully G., Clark A.R., Saklatvala J.",08986568,"Cellular Signalling",16, 10,48,41,33,74,12,134
2004,"The stability of tristetraprolin mRNA is regulated by mitogen-activated protein kinase p38 and by tristetraprolin itself","Tchen C.R., Brook M., Saklatvala J., Clark A.R.",00219258,"Journal of Biological Chemistry",279, 31,19,9,8,17,6,42
