,"Authors: Clark, Peter C.; Clark, P.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 4 (Of the 6 documents considered for the h-Index, 4 have been cited at least 4 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,604,109,106,215,72,891
2008,"The chemokine receptor CXCR3 is degraded following internalization and is replenished at the cell surface by de novo synthesis of receptor","Meiser A., Mueller A., Wise E.L., McDonagh E.M., Petit S.J., Saran N., Clark P.C., Williams T.J., Pease J.E.",00221767,"Journal of Immunology",180, 10,0,0,2,2,2,4
2008,"Rho Kinase-Mediated Reduction in Cardiac Capillary Endothelial Cell Dimensions, In Situ, Against Flow.","Glyn M.C., Lawrenson J.G., Ward B.J., Clark P.",10739688,"Microcirculation (New York, N.Y. : 1994)",15, 3,0,0,0,0,0,0
2008,"The intercellular adhesion molecule, cadherin-10, is a marker for human prostate luminal epithelial cells that is not expressed in prostate cancer","Walker M.M., Ellis S.M., Auza M.J., Patel A., Clark P.",08933952,"Modern Pathology",21, 2,0,0,0,0,0,0
2006,"Lymphocyte transcellular migration occurs through recruitment of endothelial ICAM-1 to caveola- and F-actin-rich domains","Millan J., Hewlett L., Glyn M., Toomre D., Clark P., Ridley A.J.",14657392,"Nature Cell Biology",8, 2,13,28,33,61,19,93
2005,"Leukotriene B4, an activation product of mast cells, is a chemoattractant for their progenitors","Weller C.L., Collington S.J., Brown J.K., Miller H.R.P., Al-Kashi A., Clark P., Jose P.J., Hartnell A., Williams T.J.",00221007,"Journal of Experimental Medicine",201, 12,9,12,13,25,4,38
2001,"Cyclic AMP and acidic fibroblast growth factor have opposing effects on tight and adherens junctions in microvascular endothelial cells in vitro","Dye J.F., Leach L., Clark P., Firth J.A.",00262862,"Microvascular Research",62, 2,20,3,4,7,2,29
1995,"Guidance of oligodendrocytes and their progenitors by substratum topography","Webb A., Clark P., Skepper J., Compston A., Wood A.",00219533,"Journal of Cell Science",108, 8,35,4,0,4,3,42
1992,"Microelectronic and nanoelectronic interfacing techniques for biological systems","Connolly P., Moores G.R., Monaghan W., Shen J., Britland S., Clark P.",09254005,"Sensors and Actuators: B. Chemical",6, 1-3,14,0,1,1,1,16
1991,"Cell guidance by ultrafine topography in vitro","Clark P., Connolly P., Curtis A.S.G., Dow J.A.T., Wilkinson C.D.W.",00219533,"Journal of Cell Science",99, 1,148,22,23,45,14,207
1990,"The effects of topographic and mechanical properties of materials on cell behavior","Curtis A.S.G., Clark P.",07485204,"Critical Reviews in Biocompatibility",5, 4,109,10,4,14,1,124
1990,"Topographical control of cell behaviour: II. multiple grooved substrata","Clark P., Connolly P., Curtis A.S.G., Dow J.A.T., Wilkinson C.D.W.",09501991,"Development",108, 4,202,25,24,49,24,275
1990,"An extracellular microelectrode array for monitoring electrogenic cells in culture","Connolly P., Clark P., Curtis A.S.G., Dow J.A.T., Wilkinson C.D.W.",09565663,"Biosensors and Bioelectronics",5, 3,54,5,2,7,2,63
