,"Author: Clerk, Angela",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 29 (Of the 66 documents considered for the h-Index, 29 have been cited at least 29 times.)",,,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,2009,subtotal,>2009,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,3396,258,309,174,741,0,4137
2009,"Endothelin-1 regulation of immediate early gene expression in cardiac myocytes: negative feedback regulation of interleukin 6 by Atf3 and Klf2","Clerk A., Cullingford T.E., Fuller S.J., Giraldo A., Sugden P.H.",00652571,"Advances in Enzyme Regulation",49, 1,0,0,0,0,0,0,0
2009,"Are transgenic mice the 'alkahest' to understanding myocardial hypertrophy and failure?","Cook S.A., Clerk A., Sugden P.H.",00222828,"Journal of Molecular and Cellular Cardiology",46, 2,0,0,0,2,2,0,2
2008,"Gene expression profiling of human hibernating myocardium: Increased expression of B-type natriuretic peptide and proenkephalin in hypocontractile vs normally-contracting regions of the heart","Prasad S.K., Clerk A., Cullingford T.E., Chen A.W.Y., Kemp T.J., Cannell T.M., Cowie M.R., Petrou M.",13889842,"European Journal of Heart Failure",10, 12,0,0,0,1,1,0,1
2008,"Nuclear Dbf2-related protein kinases (NDRs) in isolated cardiac myocytes and the myocardium: Activation by cellular stresses and by phosphoprotein serine-/threonine-phosphatase inhibitors","Fuller S.J., Sugden P.H., Pikkarainen S., Tham E.L., Cullingford T.E., Molkentin J.D., Cornils H., Hergovich A., Hemmings B.A., Clerk A.",08986568,"Cellular Signalling",20, 8,0,0,0,0,0,0,0
2008,"Differential regulation of Krüppel-like factor family transcription factor expression in neonatal rat cardiac myocytes: Effects of endothelin-1, oxidative stress and cytokines","Cullingford T.E., Butler M.J., Marshall A.K., Tham E.L., Sugden P.H., Clerk A.",01674889,"Biochimica et Biophysica Acta - Molecular Cell Research",1783, 6,0,0,2,2,4,0,4
2008,"Glycogen synthase kinase 3 (GSK3) in the heart: A point of integration in hypertrophic signalling and a therapeutic target? A critical analysis","Sugden P.H., Fuller S.J., Weiss S.C., Clerk A.",00071188,"British Journal of Pharmacology",153, 1,0,0,2,9,11,0,11
2008,"Temporal regulation of expression of immediate early and second phase transcripts by endothelin-1 in cardiomyocytes","Cullingford T.E., Dennis J.L., Game L., Sugden P.H., Clerk A., Markou T., Fuller S.J., Giraldo A., Pikkarainen S., Zoumpoulidou G., Alsafi A., Ekere C., Kemp T.J.",14747596,"Genome Biology",9, 2,0,0,4,3,7,0,7
2008,"Glycogen synthase kinases 3? and 3? in cardiac myocytes: Regulation and consequences of their inhibition","Markou T., Cullingford T.E., Giraldo A., Weiss S.C., Alsafi A., Fuller S.J., Clerk A., Sugden P.H.",08986568,"Cellular Signalling",20, 1,0,0,4,4,8,0,8
2007,"Chemotherapeutic agents and gene expression in cardiac myocytes","Clerk A., Giraldo A., Sugden P.H.",00652571,"Advances in Enzyme Regulation",47, ,0,0,0,1,1,0,1
2007,"Signaling pathways mediating cardiac myocyte gene expression in physiological and stress responses","Clerk A., Cullingford T.E., Fuller S.J., Giraldo A., Markou T., Pikkarainen S., Sugden P.H.",00219541,"Journal of Cellular Physiology",212, 2,0,0,21,13,34,0,34
2007,"Cardiac myocyte gene expression profiling during H2O 2-induced apoptosis","Clerk A., Kemp T.J., Zoumpoulidou G., Sugden P.H.",10948341,"Physiological Genomics",29, 2,0,2,2,3,7,0,7
2006,"Oxidative stress and growth-regulating intracellular signaling pathways in cardiac myocytes","Sugden P.H., Clerk A.",15230864,"Antioxidants and Redox Signaling",8, 11-12,0,9,11,4,24,0,24
2006,"Ras: The stress and the strain","Clerk A., Sugden P.H.",00222828,"Journal of Molecular and Cellular Cardiology",41, 4,0,0,0,0,0,0,0
2006,"Inflame my heart (by p38-MAPK)","Clerk A., Sugden P.H.",00097330,"Circulation Research",99, 5,0,6,5,2,13,0,13
2006,"Using U0126 to dissect the role of the extracellular signal-regulated kinase 1/2 (ERK1/2) cascade in the regulation of gene expression by endothelin-1 in cardiac myocytes","Kennedy R.A., Kemp T.J., Sugden P.H., Clerk A.",00222828,"Journal of Molecular and Cellular Cardiology",41, 2,1,4,7,1,12,0,13
2006,"Regulation of protein kinase C ? by phorbol ester, endothelin-1, and platelet-derived growth factor in cardiac myocytes","Markou T., Chee S.Y., Sugden P.H., Clerk A.",00219258,"Journal of Biological Chemistry",281, 13,0,4,4,2,10,0,10
