,"Author: Collins, Peter D.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 32 (Of the 92 documents considered for the h-Index, 32 have been cited at least 32 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,4826,556,511,1067,331,6224
2008,"Reduced incidence of invasive breast cancer with raloxifene among women at increased coronary risk","Grady D., Barrett-Connor E., Cauley J.A., Geiger M.J., Kornitzer M., Mosca L., Collins P., Wenger N.K., Song J., Mershon J.",00278874,"Journal of the National Cancer Institute",100, 12,0,0,2,2,3,5
2008,"Radial artery versus saphenous vein patency randomized trial: Five-year angiographic follow-up","Collins P., Webb C.M., Chong C.F., Moat N.E.",00097322,"Circulation",117, 22,0,0,0,0,10,10
2008,"Cardiac rehabilitation for the treatment of women with chest pain and normal coronary arteries","Asbury E.A., Slattery C., Grant A., Evans L., Barbir M., Collins P.",10723714,"Menopause",15, 3,0,0,0,0,3,3
2008,"HDL-C in post-menopausal women: An important therapeutic target","Collins P.",01675273,"International Journal of Cardiology",124, 3,0,0,0,0,1,1
2008,"Effects of Oral Testosterone Treatment on Myocardial Perfusion and Vascular Function in Men With Low Plasma Testosterone and Coronary Heart Disease","Webb C.M., Elkington A.G., Kraidly M.M., Keenan N., Pennell D.J., Collins P.",00029149,"American Journal of Cardiology",101, 5,0,0,1,1,8,9
2008,"Time since menopause influences the acute and chronic effect of estrogens on endothelial function","Vitale C., Rosano G.M.C., Mercuro G., Cerquetani E., Marazzi G., Patrizi R., Pelliccia F., Volterrani M., Fini M., Collins P.",10795642,"Arteriosclerosis, Thrombosis, and Vascular Biology",28, 2,0,0,3,3,5,8
2008,"Effects of estradiol and the angiotensin II receptor blocker irbesartan on vascular function in postmenopausal women","Mirza F.S., Ong P., Collins P., Okamura K., Gerhard-Herman M., Williams G.H., Seely E.W.",10723714,"Menopause",15, 1,0,0,1,1,1,2
2007,"Management of cardiovascular risk in the perimenopausal women: A consensus statement of European cardiologists and gynecologists","Collins P., Preston R., Simon T., Stevenson J., Stramba-Badiale M., Rosano G., Casey C., Daly C., Gambacciani M., Hadji P., Kaaja R., Mikkola T., Palacios S.",13697137,"Climacteric",10, 6,0,0,2,2,4,6
2007,"Management of cardiovascular risk in the peri-menopausal woman--a consensus statement of European cardiologists and gynaecologists | Zwalczanie czynników ryzyka chorób uk?adu sercowo-naczyniowego u kobiet w okresie oko?omenopauzalnym--wspólne stanowisko kardiologów i ginekologów europejskich.","Collins P., Preston R., Simon T., Stevenson J., Stramba-Badiale M., Rosano G., Casey C., Daly C., Gambacciani M., Hadji P., Kaaja R., Mikkola T., Palacios S.",00229032,"Kardiologia polska",65, 11,0,0,0,0,1,1
2007,"Management of cardiovascular risk in the peri-menopausal woman: A consensus statement of European cardiologists and gynaecologists","Collins P., Preston R., Simon T., Stevenson J., Stramba-Badiale M., Rosano G., Casey C., Daly C., Gambacciani M., Hadji P., Kaaja R., Mikkola T., Palacios S.",0195668X,"European Heart Journal",28, 16,0,2,7,9,11,20
2007,"Safety and efficacy concerns regarding elective coronary artery surgery in patients with prior coronary stents [1]","Chikwe J., Athanasiou T., Collins P., Pepper J.R.",0195668X,"European Heart Journal",28, 10,0,0,1,1,0,1
2007,"Angina, ""normal"" coronary angiography, and vascular dysfunction: Risk assessment strategies","Bugiardini R., Wallentin L., Van De Werf F., Badimon L., Collins P., Erbel R., Fox K., Hamm C., Pinto F., Rosengren A., Stefanadis C.",15491277,"PLoS Medicine",4, 2,0,1,2,3,1,4
2006,"Severe endothelial dysfunction in young women with polycystic ovary syndrome is only partially explained by known cardiovascular risk factors","Sorensen M.B., Franks S., Robertson C., Pennell D.J., Collins P.",03000664,"Clinical Endocrinology",65, 5,0,4,5,9,3,12
2006,"Randomized trial of effects of continuous combined HRT on markers of lipids and coagulation in women with acute coronary syndromes: WHISP Pilot Study","Collins P., Flather M., Lees B., Mister R., Proudler A.J., Stevenson J.C.",0195668X,"European Heart Journal",27, 17,1,2,5,7,4,12
2006,"Surgical revascularisation in patients with severe limb ischaemia induces a pro-thrombotic state","Collins P., Ford I., Greaves M., Macaulay E., Brittenden J.",09537104,"Platelets",17, 5,0,2,0,2,0,2
2006,"Effects of raloxifene on cardiovascular events and breast cancer in postmenopausal women","Barrett-Connor E., Mosca L., Collins P., Geiger M.J., Grady D., Kornitzer M., McNabb M.A., Wenger N.K.",00284793,"New England Journal of Medicine",355, 2,25,91,91,182,47,254
2006,"The importance of continued exercise participation in quality of life and psychological well-being in previously inactive postmenopausal women: A pilot study","Asbury E.A., Chandrruangphen P., Collins P.",10723714,"Menopause",13, 4,1,1,6,7,0,8
2006,"Risk factors for cardiovascular disease and hormone therapy in women","Collins P.",13556037,"Heart",92, 3,0,0,2,2,2,4
2006,"Cardiovascular diseases in women: A statement from the policy conference of the European Society of Cardiology","Stramba-Badiale M., Fox K.M., Priori S.G., Collins P., Daly C., Graham I., Jonsson B., Schenck-Gustafsson K., Tendera M.",0195668X,"European Heart Journal",27, 8,3,19,17,36,14,53
