,"Author: Cook, Stuart A.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 14 (Of the 25 documents considered for the h-Index, 14 have been cited at least 14 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,564,148,158,306,113,983
2009,"Genomic analysis of left ventricular remodeling","Sarwar R., Cook S.A.",00097322,"Circulation",120, 5,0,0,0,0,0,0
2009,"Cardiac MRI of myocardial salvage at the peri-infarct border zones after primary coronary intervention","O'Regan D.P., Ahmed R., Neuwirth C., Tan Y., Durighel G., Hajnal J.V., Nadra I., Corbett S.J., Cook S.A.",03636135,"American Journal of Physiology - Heart and Circulatory Physiology",297, 1,0,0,0,0,0,0
2009,"Reperfusion hemorrhage following acute myocardial infarction: Assessment with T2*mapping and effect on measuring the area at risk","O'Regan D.P., Cook S.A., Ahmed R., Karunanithy N., Neuwirth C., Tan Y., Durighel G., Hajnal J.V., Nadra I., Corbett S.J.",00338419,"Radiology",250, 3,0,0,0,0,2,2
2009,"Are transgenic mice the 'alkahest' to understanding myocardial hypertrophy and failure?","Cook S.A., Clerk A., Sugden P.H.",00222828,"Journal of Molecular and Cellular Cardiology",46, 2,0,0,0,0,2,2
2008,"Genome-wide co-expression analysis in multiple tissues","Grieve I.C., Dickens N.J., Pravenec M., Kren V., Hubner N., Cook S.A., Aitman T.J., Petretto E., Mangion J.",19326203,"PLoS ONE",3, 12,0,0,0,0,0,0
2008,"Integrated genomic approaches implicate osteoglycin (Ogn) in the regulation of left ventricular mass","Petretto E., Punjabi P.P., Prasad S.K., Pennell D.J., Kiesewetter C., Tasheva E.S., Corpuz L.M., Webb M.D., Conrad G.W., Kurtz T.W., Kren V., Sarwar R., Fischer J., Hubner N., Pinto Y.M., Pravenec M., Aitman T.J., Cook S.A., Grieve I., Lu H., Kumaran M.K., Muckett P.J., Mangion J., Schroen B., Benson M.",10614036,"Nature Genetics",40, 5,0,0,5,5,5,10
2008,"Soluble epoxide hydrolase is a susceptibility factor for heart failure in a rat model of human disease","Monti J., Schirdewan A., Gross V., Hummel O., Maatz H., Patone G., Saar K., Vingron M., Weldon S.M., Lindpaintner K., Hammock B.D., Fischer J., Rohde K., Dietz R., Cook S.A., Schunck W.-H., Luft F.C., Hubner N., Paskas S., Heinig M., Schulz H., Gosele C., Heuser A., Fischer R., Schmidt C.",10614036,"Nature Genetics",40, 5,0,0,3,3,9,12
2008,"Distribution and functional impact of DNA copy number variation in the rat","Guryev V., Shull J.D., Hubner N., Cuppen E., Saar K., Adamovic T., Verheul M., Van Heesch S.A.A.C., Cook S., Pravenec M., Aitman T., Jacob H.",10614036,"Nature Genetics",40, 5,0,0,2,2,13,15
2006,"Heritability and tissue specificity of expression quantitative trait loci.","Petretto E., Pravenec M., Hubner N., Aitman T.J., Mangion J., Dickens N.J., Cook S.A., Kumaran M.K., Lu H., Fischer J., Maatz H., Kren V.",15537404,"PLoS genetics",2, 10,0,2,6,8,8,16
2006,"Heritability and tissue specificity of expression quantitative trait loci","Petretto E., Pravenec M., Hubner N., Aitman T.J., Mangion J., Dickens N.J., Cook S.A., Kumaran M.K., Lu H., Fischer J., Maatz H., Kren V.",15537390,"PLoS Genetics",2, 10,0,6,7,13,3,16
2006,"Reply: Normalization procedures and detection of linkage signal in genetical-genomics experiments [6]","Petretto E., Mangion J., Cook S.A., Aitman T.J., Pravenec M., Schulz H., Fischer J., Hubner N.",10614036,"Nature Genetics",38, 8,0,0,1,1,0,1
2006,"Myostatin regulates cardiomyocyte growth through modulation of Akt signaling","Morissette M.R., Brooks G., Rosenzweig A., Cook S.A., Foo S., McKoy G., Ashida N., Novikov M., Scherrer-Crosbie M., Li L., Matsui T.",00097330,"Circulation Research",99, 1,0,12,14,26,9,35
2005,"Integrated transcriptional profiling and linkage analysis for identification of genes underlying disease","Hubner N., Zidek V., Musilova A., Kren V., Causton H., Game L., Born G., Schmidt S., Muller A., Cook S.A., Kurtz T.W., Wallace C.A., Whittaker J., Pravenec M., Aitman T.J., Zimdahl H., Petretto E., Schulz H., Maciver F., Mueller M., Hummel O., Monti J.",10614036,"Nature Genetics",37, 3,90,50,52,102,20,212
2005,"Fas-associated death-domain protein inhibits TNF-? mediated NF-?B activation in cardiomyocytes","Chao W., Shen Y., Li L., Zhao H., Meiler S.E., Cook S.A., Rosenzweig A.",03636135,"American Journal of Physiology - Heart and Circulatory Physiology",289, 5,1,1,0,1,0,2
2005,"Therapy insight: Heart disease and the insulin-resistant patient","Cook S.A., Aitman T., Naoumova R.P.",17434297,"Nature Clinical Practice Cardiovascular Medicine",2, 5,1,1,1,2,0,3
2004,"Integrin-linked kinase regulates endothelial cell survival and vascular development","Friedrich E.B., Rosenzweig A., St-Arnaud R., Dedhar S., Gerszten R.E., Liu E., Sinha S., Cook S., Milstone D.S., MacRae C.A., Mariotti M., Kuhlencordt P.J., Force T.",02707306,"Molecular and Cellular Biology",24, 18,25,9,7,16,3,44
2003,"A20 is dynamically regulated in the heart and inhibits the hypertrophic response","Cook S.A., Novikov M.S., Ahn Y., Matsui T., Rosenzweig A.",00097322,"Circulation",108, 6,22,5,6,11,2,35
2002,"Research in the United States.","Hemsley C., Cook S., Hettiaratchy S.",14685833,"BMJ (Clinical research ed.)",325, 7374,0,0,0,0,0,0
2002,"DNA microarrays: Implications for cardiovascular medicine","Cook S.A., Rosenzweig A., Tomaselli G.F.",00097330,"Circulation Research",91, 7,26,5,4,9,3,38
2002,"Phenylephrine promotes phosphorylation of bad in cardiac myocytes through the extracellular signal-regulated kinases 1/2 and protein kinase A","Valks D.M., Cook S.A., Pham F.H., Morrison P.R., Clerk A., Sugden P.H.",00222828,"Journal of Molecular and Cellular Cardiology",34, 7,13,5,2,7,1,21
2002,"Phenotypic spectrum caused by transgenic overexpression of activated Akt in the heart","Matsui T., Li N., Wu J.C., Cook S.A., Nagoshi T., Picard M.H., Liao R., Rosenzweig A.",00219258,"Journal of Biological Chemistry",277, 25,100,22,16,38,14,152
2002,"Transcriptional effects of chronic Akt activation in the heart","Cook S.A., Matsui T., Li N., Rosenzweig A.",00219258,"Journal of Biological Chemistry",277, 25,66,11,10,21,9,96
1999,"Regulation of Bcl-2 family proteins during development and in response to oxidative stress in cardiac myocytes association with changes in mitochondrial membrane potential","Cook S.A., Sugden P.H., Clerk A.",00097330,"Circulation Research",85, 10,113,7,12,19,5,137
1999,"Cardiac myocyte apoptosis","Cook S.A., Poole-Wilson P.A.",0195668X,"European Heart Journal",20, 22,13,1,1,2,1,16
1999,"Activation of c-Jun N-terminal kinases and p38-mitogen-activated protein kinases in human heart failure secondary to ischaemic heart disease","Cook S.A., Sugden P.H., Clerk A.",00222828,"Journal of Molecular and Cellular Cardiology",31, 8,94,11,9,20,4,118
