,"This is a citation overview for a set of 184 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 49 (Of the 184 documents considered for the h-Index, 49 have been cited at least 49 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,7166,1114,1226,2340,860,10366
2009,"Genome-wide Association Analysis Identifies PDE4D as an Asthma-Susceptibility Gene","Himes B.E., Lasky-Su J., Lazarus R., Murphy A.J., Soto-Quiros M.E., Avila L., Beaty T., Mathias R.A., Ruczinski I., Barnes K.C., Celedon J.C., Hunninghake G.M., Cookson W.O.C., Gauderman W.J., Gilliland F.D., Hakonarson H., Lange C., Moffatt M.F., O'Connor G.T., Raby B.A., Silverman E.K., Weiss S.T., Baurley J.W., Rafaels N.M., Sleiman P., Strachan D.P., Wilk J.B., Willis-Owen S.A.G., Klanderman B.",00029297,"American Journal of Human Genetics",84, 5,0,0,0,0,5,5
2009,"Mapping complex disease traits with global gene expression","Cookson W., Liang L., Abecasis G., Moffatt M., Lathrop M.",14710056,"Nature Reviews Genetics",10, 3,0,0,0,0,12,12
2009,"Genome-wide association studies in the genetics of asthma.","Willis-Owen S.A., Cookson W.O., Moffatt M.F.",15346315,"Current allergy and asthma reports",9, 1,0,0,0,0,0,0
2008,"International variation in prevalence of rhinitis and its relationship with sensitisation to perennial and seasonal allergens","Weinmayr G., Cookson W.O.C., Von Mutius E., Pistelli R., Strachan D.P., Forastiere F., Weiland S.K., Rzehak P., Abramidze T., Annesi-Maesano I., Bjorksten B., Brunekreef B., Buchele G.",09031936,"European Respiratory Journal",32, 5,0,0,0,0,5,5
2008,"The genetic origins of bronchial asthma","Cookson W.O.C.",00063347,"Biologist",55, 4,0,0,0,0,0,0
2008,"Genome-wide scan on total serum IgE levels identifies FCER1A as novel susceptibility locus","Weidinger S., Ring J., Behrendt H., Heinrich J., Novak N., Bieber T., Kramer U., Berdel D., Von Berg A., Bauer C.P., Herbarth O., Gieger C., Koletzko S., Prokisch H., Mehta D., Meitinger T., Depner M., Von Mutius E., Liang L., Moffatt M., Cookson W., Kabesch M., Rodriguez E., Wichmann H.-E., Illig T., Baurecht H., Mempel M., Klopp N., Gohlke H., Wagenpfeil S., Ollert M.",15537390,"PLoS Genetics",4, 8,0,0,0,0,4,4
2008,"Asthma and chitinases","Moffatt M.F., Cookson W.O.C.M.",00284793,"New England Journal of Medicine",358, 16,0,0,0,0,1,1
2008,"Is eczema really on the increase worldwide?","Williams H., Stewart A., von Mutius E., Cookson W., Anderson H.R.",00916749,"Journal of Allergy and Clinical Immunology",121, 4,0,0,1,1,5,6
2008,"Worldwide time trends for symptoms of rhinitis and conjunctivitis: Phase III of the International Study of Asthma and Allergies in Childhood","Bjorksten B., Brunekreef B., Cookson W., Crane J., Ellwood P., Foliaki S., Keil U., Lai C.K.W., Mallol J., Robertson C., Clayton T., Mitchell E.A., Montefort S., Odhiambo J., Pearce N., Shah J., Stewart A.W., Strachan D.P., Von Mutius E., Weiland S.K., Williams H., Ait-Khaled N., Anderson H.R., Asher M.I., Beasley R.",09056157,"Pediatric Allergy and Immunology",19, 2,0,0,3,3,9,12
2008,"International variation in prevalence of flexural eczema and atopic sensitization. Results from phase two of the International Study of Asthma and Allergies in Childhood (ISAAC Phase Two) | Internationale variabilität in der prävalenz von neurodermitis und einfluss der atopischen sensibilisierung - Ergebnisse der Phase zwei der International Study of Asthma and Allergies in Childhood (ISAAC II)","Kleiner A., Clausen M., Cookson W., Von Mutius E., Strachan D., Williams H., Flohr C., Weiland S., Weinmayr G., Buchele G., Rzehak P., Bjorksten B., Braback L., Brunekreef B.",09418849,"Allergo Journal",17, 1,0,0,0,0,0,0
2008,"The role of atopic sensitization in flexural eczema: Findings from the International Study of Asthma and Allergies in Childhood Phase Two","Flohr C., von Mutius E., Strachan D.P., Williams H.C., Weiland S.K., Weinmayr G., Bjorksten B., Braback L., Brunekreef B., Buchele G., Clausen M., Cookson W.O.C.",00916749,"Journal of Allergy and Clinical Immunology",121, 1,0,0,6,6,5,11
2007,"A genome-wide association study of global gene expression","Dixon A.L., Farrall M., Lathrop G.M., Abecasis G.R., Cookson W.O.C., Liang L., Moffatt M.F., Chen W., Heath S., Wong K.C.C., Taylor J., Burnett E., Gut I.",10614036,"Nature Genetics",39, 10,0,1,63,64,55,119
2007,"Atopic sensitization and the international variation of asthma symptom prevalence in children","Weinmayr G., Van Hage M., Von Mutius E., Riikjarv M.-A., Rzehak P., Stein R.T., Strachan D.P., Tsanakas J., Wickens K., Wong G.W., Ait-Khaled N., Weiland S.K., Anderson H.R., Asher I., Beasley R., Crane J., Ellwood P., Foliaki S., Keil U., Bjorksten B., Lai C., Mallol J., Mitchell E., Montefort S., Odhiambo J., Pearce N., Robertson C., Shah J., Stewart A., Brunekreef B., Williams H., Buchele G., Cookson W.O.C., Garcia-Marcos L., Gotua M., Gratziou C.",1073449X,"American Journal of Respiratory and Critical Care Medicine",176, 6,0,0,24,24,16,40
2007,"Worldwide trends in the prevalence of asthma symptoms: Phase III of the International Study of Asthma and Allergies in Childhood (ISAAC)","Pearce N., Asher M.I., Bjorksten B., Brunekreef B., Cookson W., Crane J., Ellwood P., Foliaki S., Lai C.K.W., Ait-Khaled N., Montefort S., Odhiambo J., Pearce N., Shah J., Stewart A.W., Strachan D., Von Mutius E., Beasley R., Weiland S.K., Williams H., Mallol J., Keil U., Mitchell E., Robertson C., Anderson H.R.",00406376,"Thorax",62, 9,0,1,29,30,26,56
2007,"Genetic variants regulating ORMDL3 expression contribute to the risk of childhood asthma","Moffatt M.F., Rietschel E., Heinzmann A., Simma B., Frischer T., Willis-Owen S.A.G., Wong K.C.C., Illig T., Vogelberg C., Weiland S.K., Von Mutius E., Kabesch M., Abecasis G.R., Farrall M., Gut I.G., Lathrop G.M., Cookson W.O.C., Liang L., Dixon A.L., Strachan D., Heath S., Depner M., Von Berg A., Bufe A.",00280836,"Nature",448, 7152,0,10,69,79,72,151
2007,"Filaggrin mutations in children with severe atopic dermatitis","Morar N., Cookson W.O.C.M., Harper J.I., Moffatt M.F.",0022202X,"Journal of Investigative Dermatology",127, 7,0,10,27,37,13,50
2006,"Genetic and environmental effects on complex traits in mice","Valdar W., Solberg L.C., Gauguier D., Cookson W.O., Rawlins J.N.P., Mott R., Flint J.",00166731,"Genetics",174, 2,1,5,17,22,14,37
2006,"Genetics and genomics of chronic obstructive pulmonary disease","Cookson W.O.C.",15463222,"Proceedings of the American Thoracic Society",3, 6,0,5,4,9,1,10
2006,"Genome-wide genetic association of complex traits in heterogeneous stock mice","Valdar W., Flint J., Solberg L.C., Gauguier D., Burnett S., Klenerman P., Cookson W.O., Taylor M.S., Rawlins J.N.P., Mott R.",10614036,"Nature Genetics",38, 8,5,32,40,72,23,100
2006,"Genetic variation in the beta subunit of the high affinity IgE receptor and atopy and asthma","Hopkin J., Cookson W.",09547894,"Clinical and Experimental Allergy",36, 7,0,1,0,1,0,1
2006,"The genetics of atopic dermatitis","Morar N., Willis-Owen S.A.G., Moffatt M.F., Cookson W.O.C.M.",00916749,"Journal of Allergy and Clinical Immunology",118, 1,8,23,31,54,21,83
