,"Authors: Coombes, RC Charles; Coombes, R. Charles; Coombes, Charles R.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 41 (Of the 150 documents considered for the h-Index, 41 have been cited at least 41 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,7398,1218,1356,2574,837,10809
2009,"[11C]choline positron emission tomography in estrogen receptor-positive breast cancer","Contractor K.B., Shousha S., Lowdell C., Coombes R.C., Aboagye E.O., Kenny L.M., Stebbing J., Al-Nahhas A., Palmieri C., Sinnett D., Lewis J.S., Hogben K., Osman S.",10780432,"Clinical Cancer Research",15, 17,0,0,0,0,0,0
2009,"Peritoneal disease in breast cancer: A specific entity with an extremely poor prognosis","Tuthill M., Pell R., Guiliani R., Lim A., Gudi M., Contractor K.B., Lewis J.S., Coombes R.C., Stebbing J.",09598049,"European Journal of Cancer",45, 12,0,0,0,0,0,0
2009,"The development of a selective cyclin-dependent kinase inhibitor that shows antitumor activity","Ali S., Periyasamy M., Tolhurst R.S., Kanneganti S.K., Snyder J.P., Liotta D.C., Aboagye E.O., Barrett A.G.M., Coombes R.C., Heathcote D.A., Kroll S.H.B., Jogalekar A.S., Scheiper B., Patel H., Brackow J., Siwicka A., Fuchter M.J.",00085472,"Cancer Research",69, 15,0,0,0,0,0,0
2009,"Inhibition of ?-secretase induces G2M arrest and triggers apoptosis in breast cancer cells","Rasul S., Balasubramanian R., Filipovi A., Slade M.J., Yague E., Coombes R.C.",00070920,"British Journal of Cancer",100, 12,0,0,0,0,0,0
2009,"Measurements of EGFR expression on circulating tumor cells are reproducible over time in metastatic breast cancer patients","Payne R.I., Yague E., Slade M.J., Apostolopoulos C., Jiao L.R., Ward B., Coombes R.C., Stebbing J.",14622416,"Pharmacogenomics",10, 1,0,0,1,1,2,3
2009,"CK1? modulates the transcriptional activity of ER? via AIB1 in an estrogen-dependent manner and regulates ER?-AIB1 interactions","Giamas G., Stebbing J., Castellano L., Feng Q., Knippschild U., Jacob J., Thomas R.S., Coombes R.C., Smith C.L., Jiao L.R.",03051048,"Nucleic Acids Research",37, 9,0,0,0,0,1,1
2009,"The efficacy of percutaneous vertebroplasty for vertebral metastases associated with solid malignancies","Lee B., Franklin I., Lewis J.S., Coombes R.C., Leonard R., Gishen P., Stebbing J.",09598049,"European Journal of Cancer",45, 9,0,0,0,0,1,1
2009,"A 2009 update on the treatment of patients with hormone receptor-positive breast cancer.","Cleator S.J., Ahamed E., Coombes R.C., Palmieri C.",15268209,"Clinical breast cancer",9, ,0,0,0,0,0,0
2009,"Fulvestrant in advanced breast cancer following tamoxifen and aromatase inhibition: A single center experience","Wang J., Jain S., Coombes C.R., Palmieri C.",1075122X,"Breast Journal",15, 3,0,0,0,0,0,0
2009,"The effects of trastuzumab on the CD4CD25FoxP3 and CD4IL17A T-cell axis in patients with breast cancer","Horlock C., Stott B., Dyson P.J., Morishita M., Coombes R.C., Savage P., Stebbing J.",00070920,"British Journal of Cancer",100, 7,0,0,0,0,1,1
2009,"Gefitinib (Iressa) represses FOXM1 expression via FOXO3a in breast cancer","McGovern U.B., Coombes R.C., Lam E.W.-F., Francis R.E., Peck B., Guest S.K., Myatt S.S., Krol J., Kwok J.M.-M., Polychronis A.",15357163,"Molecular Cancer Therapeutics",8, 3,0,0,0,0,1,1
2009,"Comparison of bone marrow, disseminated tumour cells and blood-circulating tumour cells in breast cancer patients after primary treatment","Slade M.J., Pitfield T., McCormack R.T., Pantel K., Coombes R.C., Payne R., Riethdorf S., Ward B., Zaidi S.A.A., Stebbing J., Palmieri C., Sinnett H.D., Kulinskaya E.",00070920,"British Journal of Cancer",100, 1,0,0,0,0,2,2
2008,"The clinical significance of radiologically detected silent pulmonary nodules in early breast cancer","Lee B., Lim A., Lalvani A., Descamps M.J.L., Leonard R., Nallamala S., Lewis J.S., Coombes R.C., Stebbing J.",09237534,"Annals of Oncology",19, 12,0,0,0,0,3,3
2008,"Thiostrepton selectively targets breast cancer cells through inhibition of forkhead box M1 expression","Kwok J.M.-M., Myatt S.S., Marson C.M., Coombes R.C., Constantinidou D., Lam E.W.-F.",15357163,"Molecular Cancer Therapeutics",7, 7,0,0,0,0,4,4
