,"This is a citation overview for a set of 204 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 38 (Of the 204 documents considered for the h-Index, 38 have been cited at least 38 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2898,531,694,1225,549,4672
2009,"Neonatal arterial ischaemic stroke: obstetric issues","Cheong J.L.Y., Cowan F.M.",1744165X,"Seminars in Fetal and Neonatal Medicine",14, 5,0,0,0,0,0,0
2009,"HIV prevention while the bulldozers roll: Exploring the effect of the demolition of Goa's red-light area","Shahmanesh M., Wayal S., Andrew G., Patel V., Cowan F.M., Hart G.",02779536,"Social Science and Medicine",69, 4,0,0,0,0,0,0
2009,"Suicidal behavior among female sex workers in Goa, India: The silent epidemic","Shahmanesh M., Wayal S., Cowan F., Mabey D., Copas A., Patel V.",00900036,"American Journal of Public Health",99, 7,0,0,0,0,0,0
2009,"Perinatal dyskinesia as a presenting feature in Prader Willi Syndrome","McSweeney N., Cowan F., Manzur A., Robb S., Muntoni F.",10903798,"European Journal of Paediatric Neurology",13, 4,0,0,0,0,0,0
2009,"Frequently encountered cranial ultrasound features in the white matter of preterm infants: Correlation with MRI","Leijser L.M., Srinivasan L., Rutherford M.A., van Wezel-Meijler G., Counsell S.J., Allsop J.M., Cowan F.M.",10903798,"European Journal of Paediatric Neurology",13, 4,0,0,0,0,0,0
2009,"HIV in adolescents in sub-Saharan Africa","Cowan F., Pettifor A.",1746630X,"Current Opinion in HIV and AIDS",4, 4,0,0,0,0,0,0
2009,"Field evaluation of diagnostic accuracy of an oral fluid rapid test for HIV, tested at point-of-service sites in rural Zimbabwe","Pascoe S.J.S., Langhaug L.F., Mudzori J., Burke E., Hayes R., Cowan F.M.",10872914,"AIDS Patient Care and STDs",23, 7,0,0,0,0,0,0
2009,"The female sex work typology in India in the context of HIV/AIDS","Buzdugan R., Halli S.S., Cowan F.M.",13602276,"Tropical Medicine and International Health",14, 6,0,0,0,0,0,0
2009,"Contraception for adolescents","French R.S., Cowan F.M.",15216934,"Best Practice and Research: Clinical Obstetrics and Gynaecology",23, 2,0,0,0,0,0,0
2009,"Difference in prevalence of common mental disorder as measured using four questionnaire delivery methods among young people in rural Zimbabwe","Langhaug L.F., Cheung Y.B., Pascoe S., Hayes R., Cowan F.M.",01650327,"Journal of Affective Disorders",, ,0,0,0,0,0,0
2009,"Neonatal hypoglycemia: Role in infantile epilepsy","Cowan F.",00196061,"Indian Pediatrics",46, 2,0,0,0,0,0,0
2009,"The burden and determinants of HIV and sexually transmitted infections in a population-based sample of female sex workers in Goa, India","Shahmanesh M., Cowan F., Wayal S., Copas A., Patel V., Mabey D.",13684973,"Sexually Transmitted Infections",85, 1,0,0,0,0,1,1
2009,"Contraception for adolescents","French R.S., Cowan F.M.",15216934,"Bailliere's Best Practice and Research in Clinical Obstetrics and Gynaecology",, ,0,0,0,0,0,0
2008,"Serial brain MRI and ultrasound findings: Relation to gestational age, bilirubin level, neonatal neurologic status and neurodevelopmental outcome in infants at risk of kernicterus","Gkoltsiou K., Tzoufi M., Counsell S., Rutherford M., Cowan F.",03783782,"Early Human Development",84, 12,0,0,0,0,1,1
2008,"Specific relations between neurodevelopmental abilities and white matter microstructure in children born preterm","Counsell S.J., Rutherford M.A., Cowan F.M., Edwards A.D., Chew A.T.M., Anjari M., Dyet L.E., Srinivasan L., Boardman J.P., Allsop J.M., Hajnal J.V.",00068950,"Brain",131, 12,0,0,0,0,2,2
2008,"A randomised placebo-controlled trial to explore the effect of suppressive therapy with acyclovir on genital shedding of HIV-1 and herpes simplex virus type 2 among Zimbabwean sex workers","Cowan F.M., Brown D.W.G., Hayes R.J., Pascoe S.J., Barlow K.L., Langhaug L.F., Jaffar S., Hargrove J.W., Robinson N.J., Bassett M.T., Wilson D.",13684973,"Sexually Transmitted Infections",84, 7,0,0,0,0,7,7
2008,"Visual Function at 35 and 40 weeks' postmenstrual age in low-risk preterm infants","Ricci D., Molle F., Ratiglia R., De Carolis M.P., Mosca F., Romagnoli C., Guzzetta F., Cowan F., Ramenghi L.A., Mercuri E., Cesarini L., Romeo D.M.M., Gallini F., Serrao F., Groppo M., De Carli A., Cota F., Lepore D.",00314005,"Pediatrics",122, 6,0,0,0,0,1,1
2008,"Brain involvement in muscular dystrophies with defective dystroglycan glycosylation","Clement E., Talim B., Cowan F., Quinlivan R., Klein A., Longman C., McWilliam R., Topaloglu H., Mein R., Abbs S., North K., Mercuri E., Barkovich A.J., Rutherford M., Muntoni F., Godfrey C., Smith J., Robb S., Kinali M., Straub V., Bushby K., Manzur A.",03645134,"Annals of Neurology",64, 5,0,0,1,1,1,2
2008,"Neurological examination of preterm infants at term equivalent age","Ricci D., Romagnoli C., de Vries L.S., Cowan F.M., Mercuri E., Romeo D.M.M., Haataja L., van Haastert I.C., Cesarini L., Maunu J., Pane M., Gallini F., Luciano R.",03783782,"Early Human Development",84, 11,0,0,0,0,1,1
2008,"The Regai Dzive Shiri Project: A cluster randomised controlled trial to determine the effectiveness of a multi-component community-based HIV prevention intervention for rural youth in Zimbabwe - Study design and baseline results","Cowan F.M., Power R.M., Woelk G., Hayes R.J., Pascoe S.J.S., Langhaug L.F., Dirawo J., Chidiya S., Jaffar S., Mbizvo M., Stephenson J.M., Johnson A.M.",13602276,"Tropical Medicine and International Health",13, 10,0,0,0,0,4,4
2008,"Therapeutic hypothermia for birth asphyxia in low-resource settings: a pilot randomised controlled trial","Robertson N.J., Jacobs I., Nakakeeto M., Hagmann C., Cowan F.M., Acolet D., Iwata O., Allen E., Elbourne D., Costello A.",01406736,"The Lancet",372, 9641,0,0,0,0,3,3
2008,"What is 'sex' exactly? Using cognitive interviewing to improve the validity of sexual behaviour reporting among young people in rural Zimbabwe","Mavhu W., Langhaug L., Manyonga B., Power R., Cowan F.",13691058,"Culture, Health and Sexuality",10, 6,0,0,0,0,0,0
2008,"Effect of aciclovir on HIV-1 acquisition in herpes simplex virus 2 seropositive women and men who have sex with men: a randomised, double-blind, placebo-controlled trial","Celum C., Fuchs J., Buchbinder S., Koblin B., Zwerski S., Rose S., Wang J., Corey L., Wald A., Hughes J., Sanchez J., Reid S., Delany-Moretlwe S., Cowan F., Casapia M., Ortiz A.",01406736,"The Lancet",371, 9630,0,0,21,21,37,58
2008,"Cortical vision, MRI and developmental outcome in preterm infants","Atkinson J., Cowan F.M., Braddick O., Anker S., Nardini M., Birtles D., Rutherford M.A., Mercuri E., Dyet L.E., Edwards A.D.",00039888,"Archives of Disease in Childhood: Fetal and Neonatal Edition",93, 4,0,0,1,1,2,3
2008,"Patterns of cerebral injury and neurodevelopmental outcomes after symptomatic neonatal hypoglycemia","Burns C.M., Rutherford M.A., Boardman J.P., Cowan F.M.",00314005,"Pediatrics",122, 1,0,0,5,5,8,13
2008,"Patterns of brain injury in neonates exposed to perinatal sentinel events","Okereafor A., Allsop J., Counsell S.J., Fitzpatrick J., Azzopardi D., Rutherford M.A., Cowan F.M.",00314005,"Pediatrics",121, 5,0,0,1,1,5,6
2008,"Effectiveness of interventions for the prevention of HIV and other sexually transmitted infections in female sex workers in resource poor setting: A systematic review","Shahmanesh M., Patel V., Mabey D., Cowan F.",13602276,"Tropical Medicine and International Health",13, 5,0,0,2,2,6,8
2008,"Effect of herpes simplex suppression on incidence of HIV among women in Tanzania","Watson-Jones D., Clayton T., Balira R., Knight L., Hambleton I., Le Goff J., Belec L., Hayes R., Nunn A., Cowan F., Kapiga S., Weiss H.A., Mshinda H., Dunn D., Grosskurth H., Kilama W., Rusizoka M., Changalucha J., Baisley K., Mugeye K., Tanton C., Ross D., Everett D.",00284793,"New England Journal of Medicine",358, 15,0,0,24,24,37,61
2008,"Cerebellar cleft: A form of prenatal cerebellar disruption","Poretti A., Leventer R.J., Cowan F.M., Rutherford M.A., Steinlin M., Klein A., Scheer I., Huisman T.A.G.M., Boltshauser E.",0174304X,"Neuropediatrics",39, 2,0,0,0,0,4,4
2008,"Application of a neonatal assessment of visual function in a population of low risk full-term newborn","Ricci D., Cowan F., Mercuri E., Romeo D.M.M., Serrao F., Cesarini L., Gallini F., Cota F., Leone D., Zuppa A.A., Romagnoli C.",03783782,"Early Human Development",84, 4,0,0,1,1,0,1
2008,"Cognitive outcome at early school age in term-born children with perinatally acquired middle cerebral artery territory infarction","Ricci D., Mercuri E., Barnett A., Rathbone R., Cota F., Haataja L., Rutherford M., Dubowitz L., Cowan F.",00392499,"Stroke",39, 2,0,0,0,0,5,5
2008,"Early assessment of visual function in full term newborns","Ricci D., Anker S., Mercuri E., Mosca F., Cesarini L., Groppo M., De Carli A., Gallini F., Serrao F., Fumagalli M., Cowan F., Ramenghi L.A.",03783782,"Early Human Development",84, 2,0,0,1,1,0,1
2008,"Probabilistic diffusion tractography of the optic radiations and visual function in preterm infants at term equivalent age","Bassi L., Mosca F., Edwards A.D., Cowan F.M., Rutherford M.A., Counsell S.J., Ricci D., Volzone A., Allsop J.M., Srinivasan L., Pai A., Ribes C., Ramenghi L.A., Mercuri E.",00068950,"Brain",131, 2,0,0,3,3,4,7
2008,"Maternal Herpes simplex virus type 2 infection, syphilis and risk of intra-partum transmission of HIV-1: Results of a case control study","Cowan F.M., Humphrey J.H., Ntozini R., Mutasa K., Morrow R., Iliff P.",02699370,"AIDS",22, 2,0,0,4,4,3,7
2007,"Clinical and molecular phenotype of Aicardi-Goutières syndrome","Rice G., Barroso B., Tolmie J.L., Tomlin P., Vagnarelli F., Valente E.M., Van Coster R.N.A., Van Der Aa N., Vanderver A., Vles J.S.H., Voit T., Wassmer E., Baxter P., Weschke B., Whiteford M.L., Willemsen M.A.A., Zankl A., Zuberi S.M., Orcesi S., Fazzi E., Lebon P., Crow Y.J., Benko W.S., Bergmann C., Bertini E., Biancheri R., Blair E.M., Blau N., Bonthron D.T., Briggs T., Patrick T., Brueton L.A., Brunner H.G., Burke C.J., Carr I.M., Carvalho D.R., Chandler K.E., Christen H.-J., Corry P.C., Cowan F.M., Cox H., Parmar R., D'Arrigo S., Dean J., De Laet C., De Praeter C., Dery C., Ferrie C.D., Flintoff K., Frints S.G.M., Garcia-Cazorla A., Gener B., Taylor C.F., Goizet C., Goutieres F., Green A.J., Guet A., Hamel B.C.J., Hayward B.E., Heiberg A., Hennekam R.C., Husson M., Jackson A.P., Aeby A., Jayatunga R., Jiang Y.-H., Kant S.G., Kao A., King M.D., Kingston H.M., Klepper J., Van Der Knaap M.S., Kornberg A.J., Kotzot D., Aicardi J., Kratzer W., Lacombe D., Lagae L., Landrieu P.G., Lanzi G., Leitch A., Lim M.J., Livingston J.H., Lourenco C.M., Lyall E.G.H., Artuch R., Lynch S.A., Lyons M.J., Marom D., McClure J.P., McWilliam R., Melancon S.B., Mewasingh L.D., Moutard M.-L., Nischal K.K., Ostergaard J.R., Montalto S.A., Prendiville J., Rasmussen M., Rogers R.C., Roland D., Rosser E.M., Rostasy K., Roubertie A., Sanchis A., Schiffmann R., Scholl-Burgi S., Bacino C.A., Seal S., Shalev S.A., Corcoles C.S., Sinha G.P., Soler D., Spiegel R., Stephenson J.B.P., Tacke U., Tiong Y.T., Till M.",00029297,"American Journal of Human Genetics",81, 4,0,2,15,17,11,28
2007,"Subdermal implantable contraceptives versus other forms of reversible contraceptives or other implants as effective methods of preventing pregnancy.","Power J., French R., Cowan F.",1469493X,"Cochrane database of systematic reviews (Online)",, 3,0,0,0,0,1,1
2007,"Should cranial MRI screening of preterm infants become routine?","de Vries L.S., Cowan F.M.",1745834X,"Nature Clinical Practice Neurology",3, 10,0,0,1,1,0,1
2007,"Relationship between white matter apparent diffusion coefficients in preterm infants at term-equivalent age and developmental outcome at 2 years","Krishnan M.L., Dyet L.E., Boardman J.P., Kapellou O., Allsop J.M., Cowan F., Edwards A.D., Rutherford M.A., Counsell S.J.",00314005,"Pediatrics",120, 3,0,0,6,6,5,11
2007,"Cranial ultrasound in metabolic disorders presenting in the neonatal period: Characteristic features and comparison with MR imaging","Leijser L.M., De Vries L.S., Rutherford M.A., Manzur A.Y., Groenendaal F., De Koning T.J., Van Der Heide-Jalving M., Cowan F.M.",01956108,"American Journal of Neuroradiology",28, 7,0,0,3,3,4,7
2007,"Structural linear measurements in the newborn brain: Accuracy of cranial ultrasound compared to MRI","Leijser L.M., Srinivasan L., Rutherford M.A., Counsell S.J., Allsop J.M., Cowan F.M.",03010449,"Pediatric Radiology",37, 7,0,1,1,2,4,6
2007,"""But there are no snakes in the wood"": Risk mapping as an outcome measure in evaluating complex interventions","Power R., Langhaug L., Cowan F.",13684973,"Sexually Transmitted Infections",83, 3,0,0,1,1,0,1
2007,"Hypoxic-ischaemic encephalopathy","Cowan F., Azzopardi D.",17517222,"Paediatrics and Child Health",17, 2,0,0,0,0,0,0
2007,"Thalamo-cortical connectivity in children born preterm mapped using probabilistic magnetic resonance tractography","Counsell S.J., Hajnal J.V., Rutherford M.A., Edwards A.D., Dyet L.E., Larkman D.J., Nunes R.G., Boardman J.P., Allsop J.M., Fitzpatrick J., Srinivasan L., Cowan F.M.",10538119,"NeuroImage",34, 3,0,2,7,9,4,13
2007,"Maturation of cerebral electrical activity and development of cortical folding in young very preterm infants","Biagioni E., Cowan F., Rutherford M., Azzopardi D., Mercuri E., Frisone M.F., Laroche S., Kapetanakis B.A., Ricci D., Adeyi-Obe M., Lewis H., Kennea N., Cioni G.",13882457,"Clinical Neurophysiology",118, 1,0,1,1,2,5,7
2006,"Reduced fractional anisotropy on diffusion tensor magnetic resonance imaging after hypoxic-ischemic encephalopathy","Ward P., Counsell S., Allsop J., Cowan F., Shen Y., Edwards D., Rutherford M.",00314005,"Pediatrics",117, 4,2,3,8,11,5,18
2006,"Using cerebral ultrasound effectively in the newborn infant","Leijser L.M., de Vries L.S., Cowan F.M.",03783782,"Early Human Development",82, 12,0,2,5,7,3,10
2006,"The role of cranial ultrasound and magnetic resonance imaging in the diagnosis of infections of the central nervous system","de Vries L.S., Verboon-Maciolek M.A., Cowan F.M., Groenendaal F.",03783782,"Early Human Development",82, 12,1,0,3,3,3,7
2006,"Abnormal cortical development after premature birth shown by altered allometric scaling of brain growth","Kapellou O., Hajnal J., Allsop J.M., Boardman J., Rutherford M.A., Cowan F., Edwards A.D., Counsell S.J., Kennea N., Dyet L., Saeed N., Stark J., Maalouf E., Duggan P., Ajayi-Obe M.",15491277,"PLoS Medicine",3, 8,1,15,6,21,2,24
2006,"Thalamic atrophy in infants with PVL and cerebral visual impairment","Ricci D., Bianco F., Rutherford M., Romagnoli C., Atkinson J., Braddick O., Guzzetta F., Mercuri E., Anker S., Cowan F., Pane M., Gallini F., Luciano R., Donvito V., Baranello G., Cesarini L.",03783782,"Early Human Development",82, 9,0,3,3,6,2,8
