,"Author: Cowie, Martin R.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 24 (Of the 136 documents considered for the h-Index, 24 have been cited at least 24 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,3552,583,597,1180,418,5150
2009,"Carbene-anchored/pendent-imidazolium species as precursors to di-N-heterocyclic carbene-bridged mixed-metal complexes","Zamora M.T., Ferguson M.J., McDonald R., Cowie M.",14779226,"Dalton Transactions",, 35,0,0,0,0,0,0
2009,"Unsymmetrically Bridged Methyl Groups as Intermediates in the Transformation of Bridging Methylene to Bridging Acetyl Groups: Ligand Migrations and Migratory Insertions in Mixed Iridium/Ruthenium Complexes","Samant R.G., Trepanier S.J., Wigginton J.R., Bierenstiel M., McDonald R., Ferguson M.J., Cowie M.",02767333,"Organometallics",28, 12,0,0,0,0,0,0
2009,"Mono- and binuclear complexes of rhodium involving a new series of hemilabile o-phosphinoaniline ligands","Hounjet L.J., Bierenstiel M., Ferguson M.J., Mcdonald R., Cowie M.",14779226,"Dalton Transactions",, 21,0,0,0,0,0,0
2009,"Rationale and Design of a Prospective Trial to Assess the Sensitivity and Positive Predictive Value of Implantable Intrathoracic Impedance Monitoring in the Prediction of Heart Failure Hospitalizations: The SENSE-HF Study","Cowie M.R., Conraads V., Tavazzi L., Yu C.M.",10719164,"Journal of Cardiac Failure",15, 5,0,0,0,0,0,0
2009,"Lifetime cost-effectiveness of prophylactic implantation of a cardioverter defibrillator in patients with reduced left ventricular systolic function: Results of markov modelling in a european population","Cowie M.R., Braunschweig F., Linde C., Boriani G., Marshall D., Drummond M., Ferko N., Maschio M., Ekman M., De Roy L., Heidbuchel H., Verboven Y.",10995129,"Europace",11, 6,0,0,0,0,1,1
2009,"A randomized trial of home telemonitoring in a typical elderly heart failure population in North West London: Results of the Home-HF study","Dar O., Riley J., Chapman C., Dubrey S.W., Morris S., Rosen S.D., Roughton M., Cowie M.R.",13889842,"European Journal of Heart Failure",11, 3,0,0,0,0,2,2
2009,"Patient and staff perspective of a nurse-led support programme for patients waiting for cardiac surgery:. Participant perspective of a cardiac support programme","Davison J., Shuldham C., Cowie M.R.",14745151,"European Journal of Cardiovascular Nursing",8, 1,0,0,0,0,0,0
2009,"Author reply to the letter by Girerd and colleagues titled: ""Sleep apnea in patients with heart failure: could cardiac resynchronisation therapy be first line treatment?"" IJC-D-08-02655","Vazir A., Morrell M., Simonds A.K., Cowie M.R.",01675273,"International Journal of Cardiology",, ,0,0,0,0,0,0
2009,"Coronary heart disease patients' perception of their symptoms and sense of control are associated with their quality of life three years following hospital discharge","Lau-Walker M.O., Cowie M.R., Roughton M.",09621067,"Journal of Clinical Nursing",18, 1,0,0,0,0,1,1
2009,"The authors' reply","Cowie M.R., Nicol E.D., Fittall B., Roughton M., Cleland J.G.F., Dargie H.",13556037,"Heart",95, 2,0,0,0,0,0,0
2008,"Gene expression profiling of human hibernating myocardium: Increased expression of B-type natriuretic peptide and proenkephalin in hypocontractile vs normally-contracting regions of the heart","Prasad S.K., Clerk A., Cullingford T.E., Chen A.W.Y., Kemp T.J., Cannell T.M., Cowie M.R., Petrou M.",13889842,"European Journal of Heart Failure",10, 12,0,0,0,0,1,1
2008,"Successful treatment of heart failure with devices requires collaboration","Swedberg K., Dickstein K., Drexler H., Filippatos G., Linde C., Lopez-Sendon J., Santini M., Zannad F., Cleland J., Cowie M.R., Nieminen M., Priori S.G., Tavazzi L., van Veldhuisen D.J., Alonso-Pulpon L., Camm J.",13889842,"European Journal of Heart Failure",10, 12,0,0,0,0,2,2
2008,"Mode of death in patients with newly diagnosed heart failure in the general population","Mehta P.A., Dubrey S.W., McIntyre H.F., Walker D.M., Hardman S.M.C., Sutton G.C., McDonagh T.A., Cowie M.R.",13889842,"European Journal of Heart Failure",10, 11,0,0,0,0,1,1
2008,"Adaptive servo-ventilation in heart failure patients with sleep apnea: A real world study","Hastings P.C., Vazir A., Meadows G.E., Dayer M., Poole-Wilson P.A., McIntyre H.F., Morrell M.J., Cowie M.R., Simonds A.K.",01675273,"International Journal of Cardiology",, ,0,0,0,0,0,0
2008,"Comorbidity, healthcare utilisation and process of care measures in patients with congenital heart disease in the UK: Cross-sectional, population-based study with case-control analysis","Billett J., Cowie M.R., Gatzoulis M.A., Vonder Muhll I.F., Majeed A.",13556037,"Heart",94, 9,0,0,1,1,3,4
2008,"Can monitoring of intrathoracic impedance reduce morbidity and mortality in patients with chronic heart failure? Rationale and design of the Diagnostic Outcome Trial in Heart Failure (DOT-HF)","Braunschweig F., Marijianowski M., Borggrefe M., van Veldhuisen D.J., Ford I., Conraads V., Cowie M.R., Jondeau G., Kautzner J., Lunati M., Munoz Aguilera R., Man Yu C.",13889842,"European Journal of Heart Failure",10, 9,0,0,0,0,6,6
2008,"A randomised controlled trial to evaluate a nurse-led programme of support and lifestyle management for patients awaiting cardiac surgery. 'Fit for surgery: Fit for life' study","Goodman H., Parsons A., Davison J., Preedy M., Peters E., Shuldham C., Pepper J., Cowie M.R.",14745151,"European Journal of Cardiovascular Nursing",7, 3,0,0,0,0,2,2
2008,"Resolution of central sleep apnoea following implantation of a left ventricular assist device","Vazir A., Hastings P.C., Morrell M.J., Pepper J., Henein M.Y., Westaby S., Poole-Wilson P.A., Cowie M.R., Simonds A.K.",01675273,"International Journal of Cardiology",, ,0,0,0,0,0,0
2008,"Coordination and activation of diazoalkanes in the presence of Rh/Ru and Rh/Os metal combinations","Samant R.G., Graham T.W., Rowsell B.D., McDonald R., Cowie M.",02767333,"Organometallics",27, 13,0,0,0,0,2,2
2008,"Variation in severity and type of sleep-disordered breathing throughout 4 nights in patients with heart failure","Vazir A., Hastings P.C., Papaioannou I., Poole-Wilson P.A., Cowie M.R., Morrell M.J., Simonds A.K.",09546111,"Respiratory Medicine",102, 6,0,0,1,1,4,5
2008,"HRS/EHRA expert consensus on the monitoring of Cardiovascular Implantable Electronic Devices (CIEDs): Description of techniques, indications, personnel, frequency and ethical considerations - Developed in partnership with the Heart Rhythm Society (HRS) and the European Heart Rhythm Association (EHRA); and in collaboration with the American College of Cardiology (ACC)","Wilkoff B.L., Love C.J., Morgan J.M., Priori S.G., Reynolds D.W., Schoenfeld M.H., Vardas P.E., Goldberg D.M., Auricchio A., Brugada J., Cowie M., Ellenbogen K.A., Gillis A.M., Hayes D.L., Howlett J.G., Kautzner J.",10995129,"Europace",10, 6,0,0,1,1,2,3
2008,"Identification and guided treatment of ventricular dysfunction in general practice using blood B-type natriuretic peptide","Mant D., Hobbs R., Glasziou P., Wright L., Hare R., Perera R., Price C., Cowie M.",09601643,"British Journal of General Practice",58, 551,0,0,3,3,0,3
2008,"HRS/EHRA Expert Consensus on the Monitoring of Cardiovascular Implantable Electronic Devices (CIEDs)","Wilkoff B.L., Love C.J., Morgan J.M., Priori S.G., Reynolds D.W., Schoenfeld M.H., Vardas P.E., Auricchio A., Brugada J., Cowie M., Ellenbogen K.A., Gillis A.M., Hayes D.L., Howlett J.G., Kautzner J.",15475271,"Heart Rhythm",5, 6,0,0,0,0,8,8
2008,"Taboo: Crossing the specialty barrier","Simonds A.K., Cowie M.R.",09031936,"European Respiratory Journal",31, 6,0,0,1,1,0,1
2008,"Bridging the divide in heart failure","Cowie M.R.",1745509X,"Aging Health",4, 2,0,0,0,0,0,0
2008,"Trends in hospital admissions, in-hospital case fatality and population mortality from congenital heart disease in England, 1994 to 2004","Billett J., Majeed A., Gatzoulis M., Cowie M.",13556037,"Heart",94, 3,0,0,1,1,7,8
2008,"A-frame complexes of dirhodium bridged by dicarbene and diphosphine ligands","Wells K.D., Ferguson M.J., McDonald R., Cowie M.",02767333,"Organometallics",27, 4,0,0,0,0,5,5
2008,"NHS heart failure survey: A survey of acute heart failure admissions in England, Wales and Northern Ireland","Nicol E.D., Fittall B., Roughton M., Cleland J.G.F., Dargie H., Cowie M.R.",13556037,"Heart",94, 2,0,0,2,2,7,9
2008,"Acute heart failure in the intensive care unit: Epidemiology","Dar O., Cowie M.R.",00903493,"Critical Care Medicine",36, 1,0,0,2,2,4,6
2007,"Evaluation of the European heart failure self-care behaviour scale in a United Kingdom population","Shuldham C., Theaker C., Jaarsma T., Cowie M.R.",03092402,"Journal of Advanced Nursing",60, 1,0,0,1,1,4,5
2007,"Carbon-fluorine bond activation in fluoroolefins: Clear documentation of cooperative C-F bond activation by adjacent metal centers","Anderson D.J., McDonald R., Cowie M.",14337851,"Angewandte Chemie - International Edition",46, 20,0,1,3,4,5,9
