,"Authors: Crawford, Michael J.; Crawford, Mike J.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 12 (Of the 64 documents considered for the h-Index, 12 have been cited at least 12 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,277,87,152,239,100,616
2009,"Screening and brief interventions for hazardous alcohol use in accident and emergency departments: A randomised controlled trial protocol","Coulton S., Heather N., Kaner E., Myles J., Newbury-Birch D., Oyefeso A., Parrott S., Phillips T., Shenker D., Shepherd J., Perryman K., Bland M., Cassidy P., Crawford M., Deluca P., Drummond C., Gilvarry E., Godfrey C.",14726963,"BMC Health Services Research",9, ,0,0,0,0,0,0
2009,"Critique of the assessment phase of the DSPD programme","Tyrer P., Byford S., Joyce E., Maden T., Cooper S., Crawford M., Cicchetti D., Rutter D., Seivewright H., Duggan C., Barrett B.",14789949,"Journal of Forensic Psychiatry and Psychology",20, 1,0,0,0,0,0,0
2009,"The assessment of dangerous and severe personality disorder: Lessons from a randomised controlled trial linked to qualitative analysis","Tyrer P., Nur U., Cicchetti D., Crawford M., Byford S., Cooper S., Rutter D., Seivewright H., Duggan C., Maden T., Barrett B., Joyce E., Rao B.",14789949,"Journal of Forensic Psychiatry and Psychology",20, 1,0,0,0,0,2,2
2009,"'They can't solve the problem without us': A qualitative study of stakeholder perspectives on user involvement in drug treatment services in England","Patterson S., Weaver T., Agath K., Albert E., Rhodes T., Rutter D., Crawford M.",09660410,"Health and Social Care in the Community",17, 1,0,0,0,0,0,0
2008,"Dedicated community-based services for adults with personality disorder: Delphi study","Crawford M.J., Price K., Rutter D., Moran P., Tyrer P., Bateman A., Fonagy P., Gibson S., Weaver T.",00071250,"British Journal of Psychiatry",193, 4,0,0,0,0,0,0
2008,"Antipsychotics in individuals with intellectual disability - Authors' reply","Tyrer P., Oliver-Africano P., Murphy D., Crawford M., Harley D.",01406736,"The Lancet",371, 9623,0,0,0,0,0,0
2008,"Services for people with personality disorder","Crawford M.J.",14761793,"Psychiatry",7, 3,0,0,0,0,0,0
2008,"Learning the lessons together.","Faulkner A., Gillespie S., Imlack S., Dhillon K., Crawford M.",14745186,"Mental health today (Brighton, England)",, ,0,0,0,0,0,0
2008,"Risperidone, haloperidol, and placebo in the treatment of aggressive challenging behaviour in patients with intellectual disability: a randomised controlled trial","Tyrer P., Reece B., Kramo K., Bhaumik S., Harley D., Regan A., Thomas D., Rao B., North B., Eliahoo J., Karatela S., Oliver-Africano P.C., Soni A., Crawford M., Ahmed Z., Bouras N., Cooray S., Deb S., Murphy D., Hare M., Meade M.",01406736,"The Lancet",371, 9606,0,0,24,24,15,39
2007,"Role of qualitative research to inform design of epidemiological studies: A cohort study of mental health of migrants from the former Yugoslavia","Djuretic T., Crawford M.J., Weaver T.D.",09638237,"Journal of Mental Health",16, 6,0,1,0,1,0,1
2007,"The quantification of violence scale: A simple method of recording significant violence","Tyrer P., Rao B., Cicchetti D., Maden T., Cooper S., Herbert E., Duggan C., Crawford M., Joyce E., Rutter D., Seivewright H., O'Sullivan S.",00207640,"International Journal of Social Psychiatry",53, 6,0,0,0,0,1,1
2007,"Author's reply [6]","Crawford M.J., Thomas O., Khan N., Kulinskaya E.",00071250,"British Journal of Psychiatry",191, ,0,0,0,0,0,0
2007,"Use of blood alcohol concentration in resuscitation room patients","Csipke E., Touquet R., Patel T., Franklin J., Brown A., Holloway P., Batrick N., Crawford M.J.",14720205,"Emergency Medicine Journal",24, 8,0,0,1,1,2,3
2007,"Alcohol: A missed opportunity. A survey of all accident and emergency departments in England","Patton R., Strang J., Birtles C., Crawford M.J.",14720205,"Emergency Medicine Journal",24, 8,0,0,1,1,2,3
2007,"Arts therapies for people with schizophrenia: an emerging evidence base.","Crawford M.J., Patterson S.",13620347,"Evidence-based mental health",10, 3,0,0,0,0,3,3
2007,"Modified Overt Aggression Scale (MOAS) for people with intellectual disability and aggressive challenging behaviour: A reliability study","Oliver P.C., Crawford M.J., Rao B., Reece B., Tyrer P.",13602322,"Journal of Applied Research in Intellectual Disabilities",20, 4,0,0,2,2,3,5
2007,"Intervention following deliberate self-harm: enough evidence to act?","Crawford M.J., Kumar P.",13620347,"Evidence-based mental health",10, 2,0,1,1,2,0,2
2007,"Can deficits in social problem-solving in people with personality disorder be reversed?","Crawford M.J.",00071250,"British Journal of Psychiatry",190, ,0,0,0,0,0,0
2007,"Psychosocial interventions following self-harm: Systematic review of their efficacy in preventing suicide","Crawford M.J., Thomas O., Khan N., Kulinskaya E.",00071250,"British Journal of Psychiatry",190, ,0,4,4,8,2,10
2006,"Music therapy for in-patients with schizophrenia: Exploratory randomised controlled trial","Talwar N., Crawford M.J., Maratos A., Nur U., McDermott O., Procter S.",00071250,"British Journal of Psychiatry",189, ,0,3,4,7,3,10
2006,"Cost-effectiveness of screening and referral to an alcohol health worker in alcohol misusing patients attending an accident and emergency department: A decision-making approach","Barrett B., Byford S., Crawford M.J., Patton R., Drummond C., Henry J.A., Touquet R.",03768716,"Drug and Alcohol Dependence",81, 1,4,3,2,5,3,12
2005,"Zero tolerance of violence [1] (multiple letters)","Wilson S., Behr G.M., Ruddock J.P., Crawford M.J.",00071250,"British Journal of Psychiatry",187, ,0,0,0,0,0,0
2005,"Hazardous drinkers in the accident and emergency department - Who attends an appointment with the alcohol health worker?","Patton R., Crawford M., Touquet R.",14720205,"Emergency Medicine Journal",22, 10,2,0,1,1,0,3
2005,"The social functioning questionnaire: A rapid and robust measure of perceived functioning","Tyrer P., Nur U., Crawford M., Karlsen S., McLean C., Rao B., Johnson T.",00207640,"International Journal of Social Psychiatry",51, 3,2,6,6,12,10,24
2005,"Suicidal ideation and suicide attempts among ethnic minority groups in England: Results of a national household survey","Crawford M.J., Nur U., McKenzie K., Tyrer P.",00332917,"Psychological Medicine",35, 9,2,2,3,5,3,10
