,"Author: Culley, Fiona J.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 13 (Of the 33 documents considered for the h-Index, 13 have been cited at least 13 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,403,76,97,173,40,616
2009,"Natural killer cells in infection and inflammation of the lung","Culley F.J.",00192805,"Immunology",128, 2,0,0,0,0,0,0
2009,"Natural killer cell signal integration balances synapse symmetry and migration","Culley F.J., Ushakov D.S., Braud V., Roth G., Brock R., Kohler K., Davis D.M., Evans J.H., Kumar S., Crilly R., Casasbuenas J., Schnyder T., Mehrabi M., Deonarain M.P.",15449173,"PLoS Biology",7, 7,0,0,0,0,0,0
2009,"Live cell linear dichroism imaging reveals extensive membrane ruffling within the docking structure of natural killer cell immune synapses","Benninger R.K.P., Davis D.M., Onfelt B., Vanherberghen B., Young S., Taner S.B., Culley F.J., Schnyder T., Neil M.A.A., Wustner D., French P.M.W.",00063495,"Biophysical Journal",96, 2,0,0,0,0,1,1
2006,"Differential roles of the co-stimulatory molecules GITR and CTLA-4 in the immune response to Trichinella spiralis","Furze R.C., Culley F.J., Selkirk M.E.",12864579,"Microbes and Infection",8, 12-13,0,0,1,1,2,3
2006,"Role of CCL5 (RANTES) in viral lung disease","Culley F.J., Pennycook A.M.J., Tregoning J.S., Dodd J.S., Walzl G., Wells T.N., Hussell T., Openshaw P.J.M.",0022538X,"Journal of Virology",80, 16,0,1,9,10,3,13
2006,"Microclusters of inhibitory killer immunoglobulin-like receptor signaling at natural killer cell immunological synapses","Treanor B., Neil M.A.A., Burshtyn D.N., French P.M.W., Davis D.M., Lanigan P.M.P., Kumar S., Dunsby C., Munro I., Auksorius E., Culley F.J., Purbhoo M.A., Phillips D.",00221007,"Journal of Experimental Medicine",203, 7,0,0,0,0,0,0
2006,"Microclusters of inhibitory killer immunoglobulin-like receptor signaling at natural killer cell immunological synapses","Treanor B., Neil M.A.A., Burshtyn D.N., French P.M.W., Davis D.M., Lanigan P.M.P., Kumar S., Dunsby C., Munro I., Auksorius E., Culley F.J., Purbhoo M.A., Phillips D.",00219525,"Journal of Cell Biology",174, 1,1,8,14,22,2,25
2006,"Differential chemokine expression following respiratory virus infection reflects Th1- or Th2-biased immunopathology","Culley F.J., Pennycook A.M.J., Tregoning J.S., Hussell T., Openshaw P.J.M.",0022538X,"Journal of Virology",80, 9,3,12,12,24,6,33
2005,"Understanding developments in non-medical prescribing.","Culley F.",09547762,"Nursing times",101, 34,0,0,0,0,0,0
2004,"Safety and efficacy of immune-stimulating complex-based antigen delivery systems for neonatal immunisation against respiratory syncytial virus infection","Regner M., Culley F., Fontannaz P., Hu K., Morein B., Lambert P.-H., Openshaw P., Siegrist C.-A.",12864579,"Microbes and Infection",6, 7,3,3,0,3,1,7
2003,"Physical trauma of vaccination acts as a wake-up call to dangers in the skin","Culley F.J., Olszewska W.",00192805,"Immunology",110, 3,0,0,1,1,0,1
2003,"Proteoglycans are potent modulators of the biological responses of eosinophils to chemokines","Culley F.J., Fadlon E.J., Kirchem A., Williams T.J., Jose P.J., Pease J.E.",00142980,"European Journal of Immunology",33, 5,16,2,2,4,1,21
2003,"Links between respiratory syncytial virus bronchiolitis and childhood asthma: Clinical and research approaches","Openshaw P.J.M., Dean G.S., Culley F.J.",08913668,"Pediatric Infectious Disease Journal",22, 2,41,6,13,19,4,64
2003,"P-selectin mediates IL-13-induced eosinophil transmigration but not eotaxin generation in vivo: A comparative study with IL-4-elicited responses","Larbi K.Y., Dangerfield J.P., Culley F.J., Marshall D., Haskard D.O., Jose P.J., Williams T.J., Nourshargh S.",07415400,"Journal of Leukocyte Biology",73, 1,3,1,2,3,0,6
2002,"Age at first viral infection determines the pattern of T cell-mediated disease during reinfection in adulthood","Culley F.J., Pollott J., Openshaw P.J.M.",00221007,"Journal of Experimental Medicine",196, 10,50,10,13,23,4,77
2002,"C-reactive protein-mediated phagocytosis of Leishmania donovani promastigotes does not alter parasite survival or macrophage responses","Bodman-Smith K.B., Mbuchi M., Culley F.J., Bates P.A., Raynes J.G.",01419838,"Parasite Immunology",24, 9-10,5,1,2,3,0,8
2002,"Innate and cognate mechanisms of pulmonary eosinophilia in helminth infection","Culley F.J., Brown A., Girod N., Pritchard D.I., Williams T.J.",00142980,"European Journal of Immunology",32, 5,5,2,4,6,2,13
2001,"Patient group directions: the legal and professional considerations.","Culley F.",02668130,"Professional nurse (London, England)",17, 3,0,0,0,0,0,0
2001,"Immunopathogenesis of vaccine-enhanced RSV disease","Openshaw P.J.M., Culley F.J., Olszewska W.",0264410X,"Vaccine",20, 1,52,8,7,15,2,69
2001,"The tissue viability nurse and effective documentation.","Culley F.",09660461,"British journal of nursing (Mark Allen Publishing)",10, 15,0,1,0,1,0,1
2001,"Transformation of Leishmania mexicana metacyclic promastigotes to amastigote-like forms mediated by binding of human C-reactive protein","Bee A., Culley F.J., Alkhalife I.S., Bodman-Smith K.B., Raynes J.G., Bates P.A.",00311820,"Parasitology",122, 5,7,2,0,2,1,10
2001,"Are nurses ready to prescribe without a doctor's endorsement?","Culley F., Courtenay M.",09547762,"Nursing times",97, 24,1,0,0,0,0,1
2000,"Eotaxin is specifically cleaved by hookworm metalloproteases preventing its action in vitro and in vivo","Culley F.J., Brown A., Conroy D.M., Sabroe I., Pritchard D.I., Williams T.J.",00221767,"Journal of Immunology",165, 11,52,6,4,10,2,64
