,"Author: Curtin, Nancy A.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 11 (Of the 33 documents considered for the h-Index, 11 have been cited at least 11 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,513,52,54,106,37,656
2009,"Temperature change as a probe of muscle crossbridge kinetics: A review and discussion","Woledge R.C., Barclay C.J., Curtin N.A.",09628452,"Proceedings of the Royal Society B: Biological Sciences",276, 1668,0,0,0,0,0,0
2009,"Adeno-associated virus-8-mediated intravenous transfer of myostatin propeptide leads to systemic functional improvements of slow but not fast muscle","Foster K., Kawar S.L., Patel K., Dickson G., Graham I.R., Otto A., Foster H., Trollet C., Yaworsky P.J., Walsh F.S., Bickham D., Curtin N.A.",15491684,"Rejuvenation Research",12, 2,0,0,0,0,2,2
2009,"Effects of UCP3 genotype, temperature and muscle type on energy turnover of resting mouse skeletal muscle","Barclay C.J., Woledge R.C., Curtin N.A.",00316768,"Pflugers Archiv European Journal of Physiology",457, 4,0,0,0,0,0,0
2008,"The energetic cost of activation in mouse fast-twitch muscle is the same whether measured using reduced filament overlap or N-benzyl-p- toluenesulphonamide","Barclay C.J., Lichtwark G.A., Curtin N.A.",17481708,"Acta Physiologica",193, 4,0,0,0,0,3,3
2007,"Energy turnover for Ca2+ cycling in skeletal muscle","Barclay C.J., Woledge R.C., Curtin N.A.",01424319,"Journal of Muscle Research and Cell Motility",28, 4-5,0,0,2,2,3,5
2005,"Influence of ionic strength on the time course of force development and phosphate release by dogfish muscle fibres","West T.G., Ferenczi M.A., Woledge R.C., Curtin N.A.",00223751,"Journal of Physiology",567, 3,1,2,0,2,2,5
2005,"Muscle directly meets the vast power demands in agile lizards","Curtin N.A., Woledge R.C., Aerts P.",09628436,"Proceedings of the Royal Society B: Biological Sciences",272, 1563,4,3,1,4,1,9
2005,"Predicting red muscle performance","Curtin N.A., Lou F., Woledge R.C.",15707555,"Animal Biology",55, 1,0,0,0,0,0,0
2004,"General discussion part III","Woledge R.C., Curtin N.A., Rall J.A.",00652598,"Advances in Experimental Medicine and Biology",538, ,0,0,0,0,0,0
2004,"Rate of actomyosin ATP hydrolysis diminishes during isometric contraction","Curtin N.A., West T.G., Ferenczi M.A., He Z.-H., Sun Y.-B., Irving M., Woledge R.C.",00652598,"Advances in Experimental Medicine and Biology",538, ,1,0,0,0,0,1
2004,"Energy storage during stretch of active single fibres","Woledge R.C., Curtin N.A., Linari M.",00652598,"Advances in Experimental Medicine and Biology",538, ,0,0,0,0,0,0
2004,"Actomyosin energy turnover declines while force remains constant during isometric muscle contraction","West T.G., Curtin N.A., Ferenczi M.A., He Z.-H., Sun Y.-B., Irving M., Woledge R.C.",00223751,"Journal of Physiology",555, 1,8,1,1,2,1,11
2003,"Molecular and cellular aspects of muscle contraction. General discussion part III.","Woledge R.C., Curtin N.A., Rall J.A.",00652598,"Advances in experimental medicine and biology",538, ,0,0,0,0,0,0
2003,"Energy storage during stretch of active single fibres from frog skeletal muscle","Linari M., Woledge R.C., Curtin N.A.",00223751,"Journal of Physiology",548, 2,9,3,3,6,1,16
2002,"Excess recovery heat production by isolated muscles from mice overexpressing uncoupling protein-3","Curtin N.A., Clapham J.C., Barclay C.J.",00223751,"Journal of Physiology",542, 1,13,3,0,3,1,17
2002,"Fast muscle in squid (Loligo pealei): Contractile properties of a specialized muscle fibre type","Kier W.M., Curtin N.A.",00220949,"Journal of Experimental Biology",205, 13,7,1,3,4,2,13
2002,"Isometric and isovelocity contractile performance of red musle fibres from the dogfish Scyliorhinus canicula","Lou F., Curtin N.A., Woledge R.C.",00220949,"Journal of Experimental Biology",205, 11,9,0,4,4,1,14
2001,"The XXX European muscle conference","Curtin N.",01424319,"Journal of Muscle Research and Cell Motility",22, 7,0,0,0,0,0,0
2001,"Mechanical properties of red and white swimming muscles as a function of the position along the body of the eel Anguilla anguilla","D'Aout K., Curtin N.A., Williams T.L., Aerts P.",00220949,"Journal of Experimental Biology",204, 13,8,0,2,2,0,10
2001,"Synchronous oscillations of length and stiffness during loaded shortening of frog muscle fibres","Edman K.A.P., Curtin N.A.",00223751,"Journal of Physiology",534, 2,8,2,1,3,0,11
2000,"Heat production and oxygen consumption during metabolic recovery of white muscle fibres from the dogfish Scyliorhinus canicula","Lou F., Van Der Laarse W.J., Curtin N.A., Woledge R.C.",00220949,"Journal of Experimental Biology",203, 7,6,0,0,0,0,6
2000,"Energy storage by passive elastic structures in the mantle of Sepia officinalis","Curtin N.A., Woledge R.C., Bone Q.",00220949,"Journal of Experimental Biology",203, 5,4,0,1,1,0,5
1999,"Elastic energy storage and release in white muscle from dogfish Scyliorhinus canicula","Lou F., Curtin N.A., Woledge R.C.",00220949,"Journal of Experimental Biology",202, 2,9,2,1,3,0,12
1998,"Shortening during stimulation vs. during relaxation: How do the costs compare?","Lou F., Curtin N.A., Woledge R.C.",00652598,"Advances in Experimental Medicine and Biology",453, ,2,0,0,0,0,2
1998,"Contraction with shortening during stimulation or during relaxation: How do the energetic costs compare?","Lou F., Curtin N.A., Woledge R.C.",01424319,"Journal of Muscle Research and Cell Motility",19, 7,1,1,1,2,1,4
1998,"Distinguishing metabolic heat from condensation heat during muscle recovery","Lou F., Curtin N.A., Woledge R.C.",00220949,"Journal of Experimental Biology",201, 17,1,0,0,0,1,2
1998,"Predicting force generation by lamprey muscle during applied sinusoidal movement using a simple dynamic model","Williams T.L., Bowtell G., Curtin N.A.",00220949,"Journal of Experimental Biology",201, 6,8,1,1,2,0,10
1998,"Predictions of the time course of force and power output by dogfish white muscle fibres during brief tetani","Curtin N.A., Gardner-Medwin A.R., Woledge R.C.",00220949,"Journal of Experimental Biology",201, 1,18,4,3,7,1,26
1997,"First catch the fish: efficiency during stretchshortening cycles that mimic natural locomotion","Curtin N.A.",10658483,"Journal of Applied Biomechanics",13, 4,1,1,0,1,0,2
1997,"Contractile properties of obliquely striated muscle from the mantle of squid (Alloteuthis subulata) and cuttlefish (Sepia officinalis)","Milligan B.J., Curtin N.A., Bone Q.",00220949,"Journal of Experimental Biology",200, 18,13,1,3,4,1,18
1997,"Recovery after contraction of white muscle fibres from the dogfish Scyliorhinus canicula","Curtin N.A., Kushmerick M.J., Wiseman R.W., Woledge R.C.",00220949,"Journal of Experimental Biology",200, 7,10,2,3,5,2,17
1997,"The energetic cost of activation of white muscle fibres from the dogfish Scyliorhinus canicula","Lou F., Curtin N.A., Woledge R.C.",00220949,"Journal of Experimental Biology",200, 3,17,1,1,2,0,19
1996,"Power at the expense of efficiency in contraction of white muscle fibres from dogfish Scyliorhinus canicula","Curtin N.A., Woledge R.C.",00220949,"Journal of Experimental Biology",199, 3,21,2,2,4,1,26
1995,"Interactions between muscle activation, body curvature and the water in the swimming lamprey.","Williams T.L., Bowtell G., Carling J.C., Sigvardt K.A., Curtin N.A.",00811386,"Symposia of the Society for Experimental Biology",49, ,11,0,1,1,0,12
