,This is a citation overview for a set of 20 documents.,,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 13 (Of the 20 documents considered for the h-Index, 13 have been cited at least 13 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,406,134,117,251,80,737
2009,TCF7L2 regulates late events in insulin secretion from pancreatic islet ?-cells,"Da Silva Xavier G., Loder M.K., McDonald A., Carzaniga R., Kronenberger K., Barg S., Rutter G.A.",121797,Diabetes,58,4,0,0,0,0,4,4
2008,"ATP depletion inhibits Ca2+ release, influx and extrusion in pancreatic acinar cells but not pathological Ca2+ responses induced by bile","Barrow S.L., Voronina S.G., Da Silva Xavier G., Chvanov M.A., Longbottom R.E., Gerasimenko O.V., Petersen O.H., Rutter G.A., Tepikin A.V.",316768,Pflugers Archiv European Journal of Physiology,455,6,0,0,4,4,3,7
2008,"Sodium-potassium ATPase ?1 subunit is a molecular partner of Wolframin, an endoplasmic reticulum protein involved in ER stress","Zatyka M., Ricketts C., da Silva Xavier G., Minton J., Fenton S., Hofmann-Thiel S., Rutter G.A., Barrett T.G.",9646906,Human Molecular Genetics,17,2,0,0,7,7,8,15
2006,Regulation by Per-Arnt-Sim (PAS) kinase of pancreatic duodenal homeobox-1 nuclear import in pancreatic ?-cells,"An R., Da Silva Xavier G., Hao M.-X., Semplici F., Rutter J., Rutter G.A.",3005127,Biochemical Society Transactions,34,5,0,2,2,4,1,5
2006,ChREBP binding to fatty acid synthase and L-type pyruvate kinase genes is stimulated by glucose in pancreatic ?-cells,"Da Silva Xavier G., Rutter G.A., Diraison F., Andreolas C., Leclerc I.",222275,Journal of Lipid Research,47,11,0,2,8,10,2,12
2004,Erratum: Distinct roles for insulin and insulin-like growth factor-1 receptors in pancreatic ?-cell glucose sensing revealed by RNA silencing (Biochemical Journal (2004)377 (149-158)),"Da Silva Xavier G., Qian Q., Cullen P.J., Rutter G.A.",2646021,Biochemical Journal,383,3,0,0,0,0,0,0
