,"Author: Dalakas, Marinos C.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 43 (Of the 193 documents considered for the h-Index, 43 have been cited at least 43 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,10304,1246,1060,2306,708,13318
2009,Toxic and drug-induced myopathies,Dalakas M.C.,223050,"Journal of Neurology, Neurosurgery and Psychiatry",80,8,0,0,0,0,0,0
2009,Effect of Alemtuzumab (CAMPATH 1-H) in patients with inclusion-body myositis,"Dalakas M.C., Kampen R.L., Bruno D.A., Kirk A.D., Rakocevic G., Schmidt J., Salajegheh M., McElroy B., Harris-Love M.O., Shrader J.A., Levy E.W., Dambrosia J.",68950,Brain,132,6,0,0,0,0,0,0
2009,Health-related quality-of-life improvements in CIDP with immune globulin IV 10%: The ICE Study,"Merkies I.S.J., Van Doorn P.A., Bril V., Dalakas M.C., Deng C., Donofrio P., Hanna K., Hartung H.-P., Hughes R.A.C., Latov N.",283878,Neurology,72,15,0,0,0,0,1,1
2009,Electrophysiology in chronic inflammatory demyellnatlng polyneuropathy with IGIV,"Bril V., Latov N., Merkies I.S.J., Van Doorn P.A., Katzberg H., Donofrio P., Banach M., Dalakas M.C., Deng C., Hanna K., Hartung H.-P., Hughes R.A.C.",0148639X,Muscle and Nerve,39,4,0,0,0,0,1,1
2009,Inflammation interrelates to APP in sIBM: IL-1? induces accumulation of ?-amyloid,"Schmidt J., Dalakas M.C.",68950,Brain,132,4,0,0,0,0,0,0
2009,Placebo-controlled trial of rituximab in IgM anti-myelin-associated glycoprotein antibody demyelinating neuropathy,"Dalakas M.C., Rakocevic G., Salajegheh M., Dambrosia J.M., Hahn A.F., Raju R., McElroy B.",3645134,Annals of Neurology,65,3,0,0,0,0,3,3
2009,Stiff person syndrome: Advances in pathogenesis and therapeutic interventions,Dalakas M.C.,10928480,Current Treatment Options in Neurology,11,2,0,0,0,0,0,0
2009,Targeting B cells in multiple sclerosis. Current concepts and strategies | B-zell-gerichtete multiple-sklerose-therapie. Aktueller stand,"Menge T., Budingen H.-C., Dalakas M.C., Kieseier B.C., Hartung H.-P.",282804,Nervenarzt,80,2,0,0,0,0,0,0
2009,In-frame deletion in the seventh immunoglobulin-like repeat of filamin C in a family with myofibrillar myopathy,"Shatunov A., Chinnery P.F., Straub V., Hilton-Jones D., Damian M.S., Kaminska A., Vicart P., Bushby K., Dalakas M.C., Sambuughin N., Ferrer I., Olive M., Goebel H.H., Goldfarb L.G., Odgerel Z., Stadelmann-Nessler C., Irlbacher K., van Landeghem F., Bayarsaikhan M., Lee H.-S., Goudeau B.",10184813,European Journal of Human Genetics,17,5,0,0,0,0,0,0
2008,B cells as therapeutic targets in autoimmune neurological disorders,Dalakas M.C.,1745834X,Nature Clinical Practice Neurology,4,10,0,0,0,0,9,9
2008,"A ""nema"" of hope in the treatment of late-onset nemaline myopathy","Dalakas M.C., Smith S.A.",283878,Neurology,71,7,0,0,0,0,1,1
2008,"Interplay between inflammation and degeneration: Using inclusion body myositis to study ""neuroinflammation""",Dalakas M.C.,3645134,Annals of Neurology,64,1,0,0,1,1,1,2
2008,IVIg in other autoimmune neurological disorders: Current status and future prospects,Dalakas M.,3405354,Journal of Neurology,255,3,0,0,0,0,2,2
2008,Invited article: Inhibition of B cell functions: Implications for neurology,Dalakas M.C.,283878,Neurology,70,23,0,0,3,3,11,14
2008,Interrelation of inflammation and APP in sIBM: IL-1? induces accumulation of ?-amyloid in skeletal muscle,"Schmidt J., Barthel K., Wrede A., Salajegheh M., Bahr M., Dalakas M.C.",68950,Brain,131,5,0,0,4,4,11,15
2008,A focused microarray to study human mitochondrial and nuclear gene expression,"Voss J.G., Raju R., Logun C., Danner R.L., Munson P.J., Rangel Z., Dalakas M.C.",10998004,Biological Research for Nursing,9,4,0,0,0,0,0,0
2008,Intravenous immune globulin (10% caprylate-chromatography purified) for the treatment of chronic inflammatory demyelinating polyradiculoneuropathy (ICE study): a randomised placebo-controlled trial,"Hughes R.A., van Doorn P.A., Donofrio P., Bril V., Dalakas M.C., Deng C., Hanna K., Hartung H.-P., Latov N., Merkies I.S.",14744422,The Lancet Neurology,7,2,0,0,14,14,20,34
2008,"Role of IVIg in autoimmune, neuroinflammatory and neurodegenerative disorders of the central nervous system: Present and future prospects (Journal of Neurology (2006) 253, (SUPPL. 5) (25-32) DOI: 10.1007/s00415-006-5004-0)",Dalakas M.C.,3405354,Journal of Neurology,255,2,0,0,0,0,0,0
2008,High definition profiling of autoantibodies to glutamic acid decarboxylases GAD65/GAD67 in stiff-person syndrome,"Burbelo P.D., Groot S., Dalakas M.C., Iadarola M.J.",0006291X,Biochemical and Biophysical Research Communications,366,1,0,0,5,5,6,11
2008,Advances in the pathogenesis and treatment of patients with stiff person syndrome,Dalakas M.C.,15284042,Current Neurology and Neuroscience Reports,8,1,0,0,2,2,2,4
2008,Induction of experimental ataxic sensory neuronopathy in cats by immunization with purified SGPG,"Ilyas A.A., Gu Y., Dalakas M.C., Quarles R.H., Bhatt S.",1655728,Journal of Neuroimmunology,193, 1-2,0,0,1,1,2,3
2007,Autoimmune inflammatory myopathies,Dalakas M.C.,729752,Handbook of Clinical Neurology,86, ,0,0,0,0,0,0
2007,T cell receptor profiling in muscle and blood lymphocytes in sporadic inclusion body myositis,"Salajegheh M., Rakocevic G., Raju R., Shatunov A., Goldfarb L.G., Dalakas M.C.",283878,Neurology,69,17,0,0,3,3,2,5
2007,Advances in the immunobiology and treatment of inflammatory myopathies,Dalakas M.C.,15233774,Current Rheumatology Reports,9,4,0,1,1,2,1,3
2007,"Upregulation of thrombospondin-1(TSP-1) and its binding partners, CD36 and CD47, in sporadic inclusion body myositis","Salajegheh M., Raju R., Schmidt J., Dalakas M.C.",1655728,Journal of Neuroimmunology,187, 1-2,0,0,0,0,1,1
2007,Macroautophagy as a pathomechanism in sporadic inclusion body myositis,"Lunemann J.D., Schmidt J., Dalakas M.C., Munz C.",15548627,Autophagy,3,4,0,3,2,5,2,7
2007,?-amyloid is a substrate of autophagy in sporadic inclusion body myositis,"Lunemann J.D., Schmidt J., Schmid D., Barthel K., Wrede A., Dalakas M.C., Munz C.",3645134,Annals of Neurology,61,5,0,5,7,12,12,24
2007,Modafinil for treatment of fatigue in post-polio syndrome: A randomized controlled trial,"Vasconcelos O.M., Jabbari B., Campbell W.W., Prokhorenko O.A., Salajegheh M.K., Kelley K.F., Livornese K., Olsen C.H., Vo A.H., Dalakas M.C., Halstead L.S.",283878,Neurology,68,20,0,0,1,1,1,2
2007,Inclusion body myositis with human immunodeficiency virus infection: Four cases with clonal expansion of viral-specific T cells,"Dalakas M.C., Rakocevic G., Shatunov A., Goldfarb L., Raju R., Salajegheh M.",3645134,Annals of Neurology,61,5,0,1,7,8,4,12
2007,Reply from the author [2],Dalakas M.C.,283878,Neurology,68,14,0,0,0,0,0,0
2007,Absence of upregulated genes associated with protein accumulations in desmin myopathy,"Raju R., Dalakas M.C.",0148639X,Muscle and Nerve,35,3,0,1,0,1,2,3
2007,Intravenous immune globulin in hereditary inclusion body myopathy: A pilot study,"Sparks S., Krasnewich D., Huizing M., Dalakas M.C., Gahl W.A., Rakocevic G., Joe G., Manoli I., Shrader J., Harris-Love M., Sonies B., Ciccone C., Dorward H.",14712377,BMC Neurology,7, ,0,1,2,3,2,5
2007,Terminal latency index in neuropathy with antibodies against myelin-associated glycoproteins,"Lupu V.D., Mora C.A., Dambrosia J., Meer J., Dalakas M., Floeter M.K.",0148639X,Muscle and Nerve,35,2,0,0,2,2,1,3
2007,Ill-defined neurological syndromes with autoimmune background: A diagnostic challenge,"Mavragani C.P., Patronas N., Dalakas M., Moutsopoulos H.M.",0315162X,Journal of Rheumatology,34,2,0,0,0,0,0,0
2007,Drug Insight: The use of intravenous immunoglobulin in neurology - Therapeutic considerations and practical issues,"Gold R., Stangel M., Dalakas M.C.",1745834X,Nature Clinical Practice Neurology,3,1,0,11,25,36,8,44
2006,Dermatomyositis,Dalakas M.C.,15715078,Handbook of Systemic Autoimmune Diseases,5, ,0,0,0,0,0,0
2006,Autoimmunity to GABAA-receptor-associated protein in stiff-person syndrome,"Raju R., Rakocevic G., Chen Z., Hoehn G., Semino-Mora C., Shi W., Olsen R., Dalakas M.C.",68950,Brain,129,12,0,5,12,17,4,21
2006,B cells in the pathophysiology of autoimmune neurological disorders: A credible therapeutic target,Dalakas M.C.,1637258,Pharmacology and Therapeutics,112,1,0,3,6,9,1,10
2006,"Role of IVIg in autoimmune, neuroinflammatory and neurodegenerative disorders of the central nervous system: Present and future prospects",Dalakas M.C.,3405354,Journal of Neurology,253,5,0,2,0,2,2,4
2006,A Comparison of Fatigue Scales in Postpoliomyelitis Syndrome,"Vasconcelos Jr. O.M., Prokhorenko O.A., Kelley K.F., Vo A.H., Olsen C.H., Dalakas M.C., Halstead L.S., Jabbari B., Campbell W.W.",39993,Archives of Physical Medicine and Rehabilitation,87,9,0,2,1,3,2,5
2006,The challenge of diagnosing ALS in patients with prior poliomyelitis,"Salajegheh M., Bryan W.W., Dalakas M.C.",283878,Neurology,67,6,0,0,0,0,0,0
2006,Variable pathogenic potentials of mutations located in the desmin alpha-helical domain,"Goudeau B., Sjoberg G., Kostareva A., Sejersen T., Dalakas M.C., Goldfarb L.G., Vicart P., Rodrigues-Lima F., Fischer D., Casteras-Simon M., Sambuughin N., De Visser M., Laforet P., Ferrer X., Chapon F.",10597794,Human Mutation,27,9,0,4,3,7,2,9
2006,Stiff person syndrome with cerebellar disease and high-titer anti-GAD antibodies,"Rakocevic G., Raju R., Semino-Mora C., Dalakas M.C.",283878,Neurology,67,6,1,4,7,11,1,13
2006,"Sporadic inclusion body myositis - Diagnosis, pathogenesis and therapeutic strategies",Dalakas M.C.,1745834X,Nature Clinical Practice Neurology,2,8,0,12,18,30,14,44
2006,Erratum: Mechanisms of disease: Signaling pathways and immunobiology of inflammatory myopathies (Nature Clinical Practice Rheumatology (2006) vol. 2 (219-227) 10.1038/ncprheum0140),Dalakas M.C.,17458382,Nature Clinical Practice Rheumatology,2,7,0,0,0,0,0,0
2006,Update on idiopathic inflammatory myopathies,"Briani C., Doria A., Sarzi-Puttini P., Dalakas M.C.",8916934,Autoimmunity,39,3,0,7,8,15,5,20
2006,Therapeutic targets in patients with inflammatory myopathies: Present approaches and a look to the future,Dalakas M.C.,9608966,Neuromuscular Disorders,16,4,1,3,6,9,3,13
2006,Mechanisms of disease: Signaling pathways and immunobiology of inflammatory myopathies,Dalakas M.C.,17458382,Nature Clinical Practice Rheumatology,2,4,3,7,4,11,2,16
2006,The role of high-dose immune globulin intravenous in the treatment of dermatomyositis,Dalakas M.C.,15675769,International Immunopharmacology,6,4,3,8,5,13,3,19
2006,Diagnosis and treatment of chronic immune-mediated neuropathies,"Latov N., Busis N.A., Cros D.P., Dalakas M.C., Donofrio P.D., England J.D., Fisher M.A., Herrmann D.N., Menkes D.L., Sahenk Z., Gorson K.C., Sander H.W., Triggs W.J., Vallat J.M., Brannagan III T.H., Freeman R.L., Apostolski S., Berger A.R., Bradley W.G., Briani C., Bril V.",15220443,Journal of Clinical Neuromuscular Disease,7,3,0,2,1,3,0,3
2006,"Inflammatory, immune, and viral aspects of inclusion-body myositis",Dalakas M.C.,283878,Neurology,66,2,6,12,7,19,8,33
2006,Skin involvement and outcome measures in systemic autoimmune diseases,"Albrecht J., Sarzi-Puttini P., Atzeni F., Baldini C., Bombardieri S., Dalakas M.C., Demirkesen C., Yazici H., Mat C., Werth V.P.",0392856X,Clinical and Experimental Rheumatology,24,40,2,1,1,2,0,4
2006,"Expression of toll-like receptors by human muscle cells in vitro and in vivo: TLR3 is highly expressed in inflammatory and HIV myopathies, mediates IL-8 release and up-regulation of NKG2D-ligands","Schreiner B., Voss J., Wischhusen J., Dombrowski Y., Steinle A., Lochmuller H., Dalakas M., Melms A., Wiendl H.",8926638,FASEB Journal,20,1,5,5,4,9,2,16
2006,"Inclusion-body myositis: Clinical and pathologic aspects, and basic research potentially relevant to treatment","Askanas V., Dalakas M.C., Engel W.K.",283878,Neurology,66,2,1,0,1,1,0,2
2005,Intravenous immunoglobulin in patients with anti-GAD antibody-associated neurological diseases and patients with inflammatory myopathies: Effects on clinicopathological features and immunoregulatory genes,Dalakas M.C.,10800549,Clinical Reviews in Allergy and Immunology,29,3,0,0,1,1,1,2
2005,Analysis of GAD65 autoantibodies in Stiff-Person syndrome patients,"Raju R., Foote J., Banga J.P., Hall T.R., Padoa C.J., Dalakas M.C., Ortqvist E., Hampe C.S.",221767,Journal of Immunology,175,11,8,9,13,22,4,34
