,This is a citation overview for a set of 558 documents.,,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 38 (Of the 558 documents considered for the h-Index, 38 have been cited at least 38 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,3101,994,1311,2305,850,6256
2009,Development of a virtual reality training curriculum for laparoscopic cholecystectomy,"Aggarwal R., Crochet P., Dias A., Ziprin P., Darzi A.",71323,British Journal of Surgery,96,9,0,0,0,0,0,0
2009,Patient-reported outcome measures: The importance of patient satisfaction in surgery,"Chow A., Mayer E.K., Darzi A.W., Athanasiou T.",396060,Surgery,146,3,0,0,0,0,0,0
2009,Assessment of specialists in cardiovascular practice,"Ahmed K., Ashrafian H., Hanna G.B., Darzi A., Athanasiou T.",17595002,Nature Reviews Cardiology,, ,0,0,0,0,0,0
2009,"Development, initial reliability and validity testing of an observational tool for assessing technical skills of operating room nurses","Sevdalis N., Undre S., Henry J., Sydney E., Koutantji M., Darzi A., Vincent C.A.",207489,International Journal of Nursing Studies,46,9,0,0,0,0,0,0
2009,A model to characterise re-orientation strategies in natural orifice translumenal endoscopic surgery,"Sodergren M.H., Orihuela-Espina F., Clark J., Darzi A., Yang G.-Z.",16124782,Cognitive Processing,10,2,0,0,0,0,0,0
2009,The gut microbiota as a target for improved surgical outcome and improved patient care,"Kinross J., von Roon A.C., Penney N., Holmes E., Silk D., Nicholson J.K., Darzi A.",13816128,Current Pharmaceutical Design,15,13,0,0,0,0,1,1
2009,A time for revolutions - The role of clinicians in health care reform,Darzi A.,284793,New England Journal of Medicine,361,6,0,0,0,0,0,0
2009,Intestinal ischemia/reperfusion injury: Defining the role of the gut microbiome,"Kinross J., Warren O., Basson S., Holmes E., Silk D., Darzi A., Nicholson J.K.",17520363,Biomarkers in Medicine,3,2,0,0,0,0,0,0
2009,Development and validation of mental practice as a training strategy for laparoscopic surgery,"Arora S., Aggarwal R., Sevdalis N., Moran A., Sirimanna P., Kneebone R., Darzi A.",9302794,Surgical Endoscopy,, ,0,0,0,0,0,0
2009,Laparoscopic fundoplication compared with medical management for gastro-oesophageal reflux disease: Cost effectiveness study,"Epstein D., Lilford R., Martin I., Mowat A., Russell I., Thursz M., Bojke L., Sculpher M.J., Atkin W., Bancewicz J., Darzi A., Heading R., Jankowski J., Krukowski Z.",9598146,BMJ,339,7713,0,0,0,0,0,0
2009,Diagnostic accuracy meta-analysis: A review of the basic principles of interpretation and application,"Jones C.M., Ashrafian H., Skapinakis P., Arora S., Darzi A., Dimopoulos K., Athanasiou T.",1675273,International Journal of Cardiology,, ,0,0,0,0,0,0
2009,Validation of Video-based Skill Assessment in Carotid Artery Stenting,"Van Herzeele I., Aggarwal R., Malik I., Gaines P., Hamady M., Darzi A., Cheshire N., Vermassen F.",10785884,European Journal of Vascular and Endovascular Surgery,38,1,0,0,0,0,0,0
2009,Could the UK lead the world in medical education and training?,"Darzi A., Kibasi T.",1406736,The Lancet,373,9681,0,0,0,0,0,0
2009,Navigation systems and platforms in natural orifice translumenal endoscopic surgery (NOTES),"Karimyan V., Sodergren M., Clark J., Yang G.-Z., Darzi A.",17439191,International Journal of Surgery,7,4,0,0,0,0,0,0
2009,Meta-analysis: A practical decision making tool for surgeons,"Panesar S.S., Bhandari M., Darzi A., Athanasiou T.",17439191,International Journal of Surgery,7,4,0,0,0,0,0,0
2009,"Re: Sleep deprivation, fatigue, medical error and patient safety","Sugden C., Aggarwal R., Darzi A.",29610,American Journal of Surgery,, ,0,0,0,0,0,0
2009,Economic analysis of esophageal stenting for management of malignant dysphagia,"Rao C., Haycock A., Zacharakis E., Krasopoulos G., Yakoub D., Protopapas A., Darzi A., Hanna G.B., Athanasiou T.",11208694,Diseases of the Esophagus,22,4,0,0,0,0,0,0
2009,The Inflammatory Response to Cardiopulmonary Bypass: Part 2-Anti-Inflammatory Therapeutic Strategies,"Warren O.J., Watret A.L., de Wit K.L., Alexiou C., Vincent C., Darzi A.W., Athanasiou T.",10530770,Journal of Cardiothoracic and Vascular Anesthesia,23,3,0,0,0,0,0,0
2009,Physical-based statistical shape modeling of the levator ani,"Lee S.-L., Tan E., Khullar V., Gedroyc W., Darzi A., Yang G.-Z.",2780062,IEEE Transactions on Medical Imaging,28,6,0,0,0,0,0,0
2009,Observational teamwork assessment for surgery: Construct validation with expert versus novice raters,"Sevdalis N., Lyons M., Healey A.N., Undre S., Darzi A., Vincent C.A.",34932,Annals of Surgery,249,6,0,0,0,0,0,0
2009,Concurrent Colorectal Malignancy and Abdominal Aortic Aneurysm: A Multicentre Experience and Review of the Literature,"Naughton P., Lau N., Kelly C.J., Leahy A.L., Cheshire N.J.W., Darzi A.W.",10785884,European Journal of Vascular and Endovascular Surgery,37,5,0,0,0,0,0,0
2009,Natural orifice translumenal thoracoscopic surgery: Does the slow progress and the associated risks affect feasibility and potential clinical applications?,"Clark J., Sodergren M., Correia-Pinto J., Zacharakis E., Teare J., Yang G.-Z., Darzi A., Athanasiou T.",15533506,Surgical Innovation,16,1,0,0,0,0,1,1
2009,The Natural Orifice Simulated Surgical Environment (NOSsE?): Exploring the challenges of NOTES without the animal model,"Clark J., Sodergren M., Noonan D., Darzi A., Yang G.-Z.",10926429,Journal of Laparoendoscopic and Advanced Surgical Techniques,19,2,0,0,0,0,0,0
2009,Natural orifice translumenal endoscopic surgery: Critical appraisal of applications in clinical practice,"Sodergren M.H., Clark J., Athanasiou T., Teare J., Yang G.-Z., Darzi A.",9302794,Surgical Endoscopy and Other Interventional Techniques,23,4,0,0,0,0,3,3
2009,A meta-analysis of mini-open versus standard open and laparoscopic living donor nephrectomy,"Antcliffe D., Nanidis T.G., Darzi A.W., Tekkis P.P., Papalois V.E.",9340874,Transplant International,22,4,0,0,0,0,0,0
2009,The Inflammatory Response to Cardiopulmonary Bypass: Part 1-Mechanisms of Pathogenesis,"Warren O.J., Smith A.J., Alexiou C., Rogers P.L.B., Jawad N., Vincent C., Darzi A.W., Athanasiou T.",10530770,Journal of Cardiothoracic and Vascular Anesthesia,23,2,0,0,0,0,0,0
2009,Evaluating training for a simulated team in complex whole procedure simulations in the endovascular suite,"Nestel D., Ahluwalia G., Darzi A., Van Herzeele I., Aggarwal R., Odonoghue K., Choong A., Clough R., Eades C., Lau J., Neequaye S.",0142159X,Medical Teacher,31,1,0,0,0,0,0,0
2009,Funnel plots and their emerging application in surgery,"Mayer E.K., Bottle A., Rao C., Darzi A.W., Athanasiou T.",34932,Annals of Surgery,249,3,0,0,0,0,0,0
2009,Surgeons produce innovative ideas which are frequently lost in the labyrinth of patents,"Vecht J.A., Athanasiou T., Ashrafian H., Mayer E., Darzi A., von Segesser L.K.",10107940,European Journal of Cardio-thoracic Surgery,35,3,0,0,0,0,0,0
2009,The Neurocognitive Enhancement of Surgeons: An Ethical Perspective,"Warren O.J., Leff D.R., Athanasiou T., Kennard C., Darzi A.",224804,Journal of Surgical Research,152,1,0,0,0,0,0,0
2009,Laser-Induced fluorescence and reflected white light imaging for robot-assisted MIS,"Noonan D.P., Elson D.S., Mylonas G.P., Darzi A., Yang G.-Z.",189294,IEEE Transactions on Biomedical Engineering,56,3,0,0,0,0,0,0
2009,Improving informed consent of surgical patients using a multimedia-based program?: Results of a prospective randomized multicenter study of patients before cholecystectomy,"Patel V., Aggarwal R., Kinross J., Taylor D., Davies R., Darzi A.",34932,Annals of Surgery,249,3,0,0,0,0,0,0
2009,Skills Acquisition and Assessment after a Microsurgical Skills Course for Ophthalmology Residents,"Ezra D.G., Aggarwal R., Michaelides M., Okhravi N., Verma S., Benjamin L., Bloom P., Darzi A., Sullivan P.",1616420,Ophthalmology,116,2,0,0,0,0,1,1
2009,Assessing the quality of the volume-outcome relationship in uro-oncology,"Mayer E.K., Purkayastha S., Athanasiou T., Darzi A., Vale J.A.",14644096,BJU International,103,3,0,0,0,0,0,0
2009,Surgeons produce innovative ideas which are frequently lost in the labyrinth of patents,"Vecht J.A., Athanasiou T., Ashrafian H., Mayer E., Darzi A., von Segesser L.K.",10107940,European Journal of Cardio-thoracic Surgery,, ,0,0,0,0,0,0
2009,Pulsatile anorectal varices and pulsatile hepatosplenomegaly secondary to traumatic tricuspid regurgitation,"Ashrafian H., Salih C., Darzi A., Athanasiou T.",223859,Journal of Postgraduate Medicine,55,1,0,0,0,0,0,0
2009,Efficacy of cognitive feedback in improving operative risk estimation,"Jacklin R., Sevdalis N., Darzi A., Vincent C.A.",29610,American Journal of Surgery,197,1,0,0,0,0,0,0
2009,From scalpel to simulator: A surgical journey,"Aggarwal R., Darzi A.",396060,Surgery,145,1,0,0,0,0,0,0
2008,Anatomy teaching in the 21st century - Dead cool or cold dead?,"Gogalniceanu P., Madani H., Paraskeva P.A., Darzi A.",19359772,Anatomical Sciences Education,1,3,0,0,0,0,1,1
2008,Learner-centred feedback using remote assessment of clinical procedures,"Kneebone R., Bello F., Nestel D., Mooney N., Codling A., Yadollahi F., Tierney T., Wilcockson D., Darzi A.",0142159X,Medical Teacher,30,8,0,0,0,0,0,0
2008,Does minimal-access aortic valve replacement reduce the incidence of postoperative atrial fibrillation?,"Murtuza B., Pepper J.R., Stanbridge R.D., Darzi A., Athanasiou T.",7302347,Texas Heart Institute Journal,35,4,0,0,0,0,0,0
2008,Modelling dynamic fronto-parietal behaviour during minimally invasive surgery--a Markovian trip distribution approach.,"Leff D.R., Orihuela-Espina F., Leong J., Darzi A., Yang G.Z.",,Medical image computing and computer-assisted intervention : MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention,11,2,0,0,0,0,0,0
2008,Reply,"Tilney H.S., Purkayastha S., Darzi A.W., Tekkis P.P.",34932,Annals of Surgery,248,6,0,0,0,0,0,0
2008,Modelling dynamic fronto-parietal behaviour during minimally invasive surgery - A Markovian trip distribution approach,"Leff D.R., Orihuela-Espina F., Leong J., Darzi A., Yang G.-Z.",3029743,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),5242,2,0,0,0,0,0,0
2008,Sample sufficiency and PCA dimension for statistical shape models,"Mei L., Figl M., Darzi A., Rueckert D., Edwards P.",3029743,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),5305,4,0,0,0,0,0,0
2008,Gaze-contingent motor channelling and haptic constraints for minimally invasive robotic surgery,"Mylonas G.P., Kwok K.-W., Darzi A., Yang G.-Z.",3029743,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),5242,2,0,0,0,0,0,0
2008,Gaze-contingent motor channelling and haptic constraints for minimally invasive robotic surgery.,"Mylonas G.P., Kwok K.W., Darzi A., Yang G.Z.",,Medical image computing and computer-assisted intervention : MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention,11,2,0,0,0,0,0,0
2008,The human gut microbiome: Implications for future health care,"Kinross J.M., Roon A.C., Holmes E., Darzi A., Nicholson J.K.",15228037,Current Gastroenterology Reports,10,4,0,0,0,0,5,5
2008,Sample sufficiency and number of modes to retain in statistical shape modelling,"Mei L., Figl M., Rueckert D., Darzi A., Edwards P.",3029743,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),5241,1,0,0,0,0,0,0
2008,Sample sufficiency and number of modes to retain in statistical shape modelling.,"Mei L., Figl M., Rueckert D., Darzi A., Edwards P.",,Medical image computing and computer-assisted intervention : MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention,11,1,0,0,0,0,0,0
2008,Gaze contingent articulated robot control for robot assisted minimally invasive surgery,"Noonan D.P., Mylonas G.P., Darzi A., Yang G.-Z.",,"2008 IEEE/RSJ International Conference on Intelligent Robots and Systems, IROS",, ,0,0,0,0,0,0
2008,Effects of bariatric surgery on cardiovascular function,"Ashrafian H., Le Roux C.W., Darzi A., Athanasiou T.",97322,Circulation,118,20,0,0,0,0,4,4
2008,Real-time optical monitoring of radio-frequency tissue fusion by continuous wave transmission spectroscopy.,"Floume T., Syms R.R., Darzi A.W., Hanna G.B.",10833668,Journal of biomedical optics,13,6,0,0,0,0,0,0
2008,Use of rapid sampling microdialysis for intraoperative monitoring of bowel ischemia (Diseases of the Colon and Rectum DOI: 10.1007/s10350-008-9375-4),"Deeba S., Corcoles E.P., Hanna G.B., Pareskevas P., Aziz O., Boutelle M.G., Darzi A.",123706,Diseases of the Colon and Rectum,51,11,0,0,0,0,0,0
2008,Traditional and laparoscopic appendectomy in adults: Outcomes in English NHS hospitals between 1996 and 2006,"Faiz O., Clark J., Brown T., Bottle A., Antoniou A., Farrands P., Darzi A., Aylin P.",34932,Annals of Surgery,248,5,0,0,0,0,1,1
2008,Treatment of primary rectal squamous cell carcinoma by primary chemoradiotherapy: Should surgery still be considered a standard of care?,"Clark J., Cleator S., Goldin R., Lowdell C., Darzi A., Ziprin P.",9598049,European Journal of Cancer,44,16,0,0,0,0,0,0
2008,Cognitive training improves clinically relevant outcomes during simulated endovascular procedures,"Van Herzeele I., Aggarwal R., Neequaye S., Darzi A., Vermassen F., Cheshire N.J.",7415214,Journal of Vascular Surgery,48,5,0,0,1,1,2,3
2008,Functional prefrontal reorganization accompanies learning-associated refinements in surgery: A manifold embedding approach,"Leff D.R., Orihuela-Espina F., Atallah L., Athanasiou T., Leong J.J.H., Darzi A.W., Yang G.-Z.",10929088,Computer Aided Surgery,13,6,0,0,0,0,0,0
2008,Does the presence of circulating tumor cells in the venous drainage of curative colorectal cancer resections determine prognosis? A meta-analysis,"Katsuno H., Zacharakis E., Aziz O., Rao C., Deeba S., Paraskeva P., Ziprin P., Athanasiou T., Darzi A.",10689265,Annals of Surgical Oncology,15,11,0,0,0,0,0,0
2008,From computers to ubiquitous computing by 2010: Health care,"Aziz O., Lo B., Pansiot J., Atallah L., Yang G.-Z., Darzi A.",1364503X,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",366,1881,0,0,1,1,0,1
2008,Assessment of Laparoscopic Suturing Skills of Urology Residents: A Pan-European Study,"Kroeze S.G.C., Mayer E.K., Chopra S., Aggarwal R., Darzi A., Patel A.",3022838,European Urology,, ,0,0,0,0,0,0
2008,Is team training in briefings for surgical teams feasible in simulation?,"Koutantji M., Darzi A., McCulloch P., Undre S., Gautama S., Cunniffe S., Sevdalis N., Davis R., Thomas P., Vincent C.",14355558,"Cognition, Technology and Work",10,4,0,0,0,0,0,0
2008,A systematic review of skills transfer after surgical simulation training,"Aggarwal R., Darzi A., Grantcharov T.P.",34932,Annals of Surgery,248,4,0,0,0,0,1,1
2008,Revisional laparoscopic parastomal hernia repair.,"Zacharakis E., Shalhoub J., Selvapatt N., Darzi A., Ziprin P.",10868089,JSLS : Journal of the Society of Laparoendoscopic Surgeons / Society of Laparoendoscopic Surgeons,12,4,0,0,0,0,0,0
2008,Meta-analysis: The use of adhesion prevention membranes in abdominal surgery (Alimentary Pharmacology and Therapeutics (2008) DOI: 10.1111/j.1365-2036.2008.03740.x)),"Tilney H.S., Purkayastha S., Constantinides V.A., Morris R., Darzi A.W., Tekkis P.P.",2692813,Alimentary Pharmacology and Therapeutics,28,7,0,0,0,0,0,0
2008,Statistical shape modelling: How many modes should be retained?,"Mei L., Figl M., Rueckert D., Darzi A., Edwards P.",,"2008 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops",, ,0,0,0,0,0,0
2008,Evidence-based choice of esophageal stent for the palliative management of malignant dysphagia,"Yakoub D., Fahmy R., Athanasiou T., Alijani A., Rao C., Darzi A., Hanna G.B.",3642313,World Journal of Surgery,32,9,0,0,0,0,1,1
2008,Investigation of partial directed coherence for hand-eye coordination in laparoscopic training,"Leong J.J.H., Atallah L., Mylonas G.P., Leff D.R., Emery R.J., Darzi A.W., Yang G.-Z.",3029743,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),5128, ,0,0,0,0,0,0
2008,Use of rapid sampling microdialysis for intraoperative monitoring of bowel ischemia,"Deeba S., Corcoles E.P., Hanna B.G., Pareskevas P., Aziz O., Boutelle M.G., Darzi A.",123706,Diseases of the Colon and Rectum,51,9,0,0,0,0,1,1
2008,Volume-outcome relationship in surgical urology: Myth or reality?,"Mayer E.K., Bottle A., Athanasiou T., Darzi A.W., Vale J.A.",18759742,British Journal of Medical and Surgical Urology,1,2,0,0,0,0,0,0
2008,A minimally invasive approach to undergraduate anatomy teaching,"Gogalniceanu P., Madani H., Paraskeva P.A., Darzi A.",19359772,Anatomical Sciences Education,1,1,0,0,3,3,1,4
2008,Behavioural interventions for smoking cessation in patients hospitalised for a major cardiovascular event,"Aziz O., Skapinakis P., Rahman S., Rao C., Ashrafian H., Panesar S.S., Darzi A., Foale R., Athanasiou T.",1675273,International Journal of Cardiology,, ,0,0,0,0,0,0
2008,Off-pump coronary artery bypass surgery may reduce the incidence of stroke in patients with significant left main stem disease,"Panesar S.S., Athanasiou T., Chikwe J., Mirza S.B., Rahman M.S., Warren O., Rao C., Negus J., Zacharakis E., Darzi A.",1716425,Thoracic and Cardiovascular Surgeon,56,5,0,0,0,0,1,1
2008,Endovascular simulation-based training,"Aggarwal R., Cheshire N., Darzi A.",1479666X,Surgeon,6,4,0,0,0,0,0,0
2008,Meta-analysis of randomized studies evaluating chewing gum to enhance postoperative recovery following colectomy,"Purkayastha S., Tilney H.S., Darzi A.W., Tekkis P.P.",40010,Archives of Surgery,143,8,0,0,0,0,5,5
2008,Reliability of a revised NOTECHS scale for use in surgical teams,"Sevdalis N., Davis R., Koutantji M., Undre S., Darzi A., Vincent C.A.",29610,American Journal of Surgery,196,2,0,0,1,1,5,6
2008,"Annoyances, disruptions, and interruptions in surgery: The Disruptions in Surgery Index (DiSI)","Sevdalis N., Forrest D., Undre S., Darzi A., Vincent C.",3642313,World Journal of Surgery,32,8,0,0,0,0,4,4
2008,Characterization of materials eliciting foreign body reaction in stapled human gastrointestinal anastomoses,"Lim C.B.B., Goldin R.D., Darzi A., Hanna G.B.",71323,British Journal of Surgery,95,8,0,0,0,0,0,0
2008,Simulated anaesthetists in high fidelity simulations for surgical training: Feasibility of a training programme for actors,"Nestel D.F., Black S.A., Kneebone R.L., Wetzel C.M., Thomas P., Wolfe J.H.N., Darzi A.W.",0142159X,Medical Teacher,30,4,0,0,0,0,1,1
2008,Laparoscopic Resection for Colorectal Cancer: Evidence to Date,"Aziz O., Darzi A.W.",10553207,Surgical Oncology Clinics of North America,17,3,0,0,0,0,0,0
2008,Safety and diagnostic yield of laparoscopically assisted full-thickness bowel biospy,"Knowles C.H., Veress B., Tornblom H., Wallace S., Paraskeva P., Darzi A., Martin J.E., Nyberg B., Lindberg G.",13501925,Neurogastroenterology and Motility,20,7,0,0,0,0,7,7
2008,Validation of orthopaedic bench models for trauma surgery,"Leong J.J.H., Leff D.R., Das A., Aggarwal R., Reilly P., Atkinson H.D.E., Emery R.J., Darzi A.W.",0301620X,Journal of Bone and Joint Surgery - Series B,90,7,0,0,0,0,0,0
2008,Fistula-in-ano: advances in treatment,"Deeba S., Aziz O., Sains P.S., Darzi A.",29610,American Journal of Surgery,196,1,0,0,0,0,1,1
2008,Natural orifices translumenal endoscopic surgery (NOTES)- Who should perform it?,"Zacharakis E., Purkayastha S., Teare J., Yang G.-Z., Darzi A.",396060,Surgery,144,1,0,0,0,0,4,4
2008,"Surgical strategies for faecal incontinence - A decision analysis between dynamic graciloplasty, artificial bowel sphincter and end stoma","Tan E.K., Vaizey C., Cornish J., Darzi A., Tekkis P.P.",14628910,Colorectal Disease,10,6,0,0,0,0,1,1
2008,Coronary Stent Assessment with 64-Slice Multislice Computed Tomography: A Literature Review,"Jones C.M., Chin K.Y., Hamady M., Yang G.-Z., Darzi A., Athanasiou T.",8872171,"Seminars in Ultrasound, CT and MRI",29,3,0,0,0,0,0,0
2008,Laparoscopic parastomal hernia repair: A description of the technique and initial results,"Zacharakis E., Hettige R., Purkayastha S., Aggarwal R., Athanasiou T., Darzi A., Ziprin P.",15533506,Surgical Innovation,15,2,0,0,0,0,0,0
2008,Standardized algorithms for management of anastomotic leaks and related abdominal and pelvic abscesses after colorectal surgery,"Phitayakorn R., Billingham R.P., Braga M., Buie W.D., Darzi A.W., Douglas P.R., Dozois E.J., Fearnhead N.S., Frizelle F.A., Gearhart S.L., Gonzalez Q.H., Delaney C.P., Haaga J.R., Harris G.J., Horgan A.F., Horgan P.G., Kehlet H., Kim S.H., Lacy A.M., Leroy J., Lopez-Kostner F., Ludwig K.A., Reynolds H.L., Marks J., Megibow A.J., Merlino J.I., Monson J.R., Motson R.W., Nakamoto D.A., Newstead G.L., O'Connell P.R., Panis Y., Penninckx F., Champagne B.J., Rajput A., Seow Choen F., Stamos M.J., Vignali A., Wexner S.D., Wong K.S., Heriot A.G., Neary P., Senagore A.J., Ambrosetti P., Bailey C.",3642313,World Journal of Surgery,32,6,0,0,0,0,3,3
2008,Coronary Artery Bypass Graft Imaging with 64-Slice Multislice Computed Tomography: Literature Review,"Jones C.M., Chin K.Y., Yang G.-Z., Hamady M., Darzi A., Athanasiou T.",8872171,"Seminars in Ultrasound, CT and MRI",29,3,0,0,0,0,1,1
2008,Remote assessment and learner-centred feedback on procedural skills,"Nestel D., Bello F., Kneebone R., Akhtar K., Darzi A.",17434971,Clinical Teacher,5,2,0,0,0,0,0,0
2008,Short-phase training on a virtual reality simulator improves technical performance in tele-robotic surgery,"Balasundaram I., Aggarwal R., Darzi A.",14785951,International Journal of Medical Robotics and Computer Assisted Surgery,4,2,0,0,0,0,1,1
2008,Quality and the NHS Next Stage Review,Darzi A.,1406736,The Lancet,371,9624,0,0,1,1,0,1
2008,Mapping surgical practice decision making: an interview study to evaluate decisions in surgical care,"Jacklin R., Sevdalis N., Darzi A., Vincent C.",29610,American Journal of Surgery,195,5,0,0,0,0,2,2
2008,General surgical manifestations of Marfan's syndrome,"Thomas G.P., Purkayastha S., Athanasiou T., Darzi A.",17508460,British Journal of Hospital Medicine,69,5,0,0,0,0,0,0
2008,Experienced Endovascular Interventionalists Objectively Improve their Skills by Attending Carotid Artery Stent Training Courses,"Van Herzeele I., Aggarwal R., Neequaye S., Hamady M., Cleveland T., Darzi A., Cheshire N., Gaines P.",10785884,European Journal of Vascular and Endovascular Surgery,35,5,0,0,1,1,4,5
2008,Does preservation of the sub-valvular apparatus during mitral valve replacement affect long-term survival and quality of life? A microsimulation study,"Rao C., Hart J., Chow A., Siannis F., Tsalafouta P., Murtuza B., Darzi A., Wells F.C., Athanasiou T.",17498090,Journal of Cardiothoracic Surgery,3,1,0,0,0,0,0,0
2008,Near-Infrared Spectroscopy: Potential Clinical Benefits in Surgery,"Leff D.R., Leong J.J.H., Warren O., Athanasiou T., Yang G.-Z., Darzi A.",10727515,Journal of the American College of Surgeons,206,4,0,0,0,0,0,0
2008,Is minimally invasive harvesting of the great saphenous vein for coronary artery bypass surgery a cost-effective technique?,"Rao C., Athanasiou T., Aziz O., Deeba S., Chow A., Jones C., Ni Z., Papastavrou L., Rahman S., Darzi A.",225223,Journal of Thoracic and Cardiovascular Surgery,135,4,0,0,0,0,1,1
2008,Could variations in technical skills acquisition in surgery be explained by differences in cortical plasticity?,"Leff D.R., Leong J.J., Aggarwal R., Yang G.Z., Darzi A.",34932,Annals of surgery,247,3,0,0,2,2,0,2
2008,Recovery from gut flora sepsis in the ancient world,"Ashrafian H., Darzi A.",29270,American Journal of Gastroenterology,103,3,0,0,0,0,0,0
2008,Diffuse optical imaging of the healthy and diseased breast: A systematic review,"Leff D.R., Warren O.J., Enfield L.C., Gibson A., Athanasiou T., Patten D.K., Hebden J., Yang G.Z., Darzi A.",1676806,Breast Cancer Research and Treatment,108,1,0,0,6,6,6,12
2008,An integrated procedural performance instrument (IPPI) for learning and assessing procedural skills,"Kneebone R., Nestel D., Bello F., Darzi A.",17434971,Clinical Teacher,5,1,0,0,0,0,1,1
2008,Preservation of the mitral valve apparatus: evidence synthesis and critical reappraisal of surgical techniques,"Athanasiou T., Chow A., Rao C., Aziz O., Siannis F., Ali A., Darzi A., Wells F.",10107940,European Journal of Cardio-thoracic Surgery,33,3,0,0,3,3,0,3
2008,Laparoscopic skills suffer on the first shift of sequential night shifts: program directors beware and residents prepare.,"Leff D.R., Aggarwal R., Rana M., Nakhjavani B., Purkayastha S., Khullar V., Darzi A.W.",34932,Annals of surgery,247,3,0,0,1,1,4,5
2008,Minimal Access Aortic Valve Replacement: Is It Worth It?,"Murtuza B., Pepper J.R., DeL Stanbridge R., Jones C., Rao C., Darzi A., Athanasiou T.",34975,Annals of Thoracic Surgery,85,3,0,0,2,2,3,5
2008,Training Opportunities and the Role of Virtual Reality Simulation in Acquisition of Basic Laparoscopic Skills,"Aggarwal R., Balasundaram I., Darzi A.",224804,Journal of Surgical Research,145,1,0,0,1,1,3,4
2008,Axillary artery to left anterior descending coronary artery bypass with an externally stented graft: A technical report,"Athanasiou T., Kapetanakis E.I., Rao C., Salvador L., Darzi A.",17498090,Journal of Cardiothoracic Surgery,3,1,0,0,0,0,0,0
2008,Does Previous Percutaneous Coronary Stenting Compromise the Long-Term Efficacy of Subsequent Coronary Artery Bypass Surgery? A Microsimulation Study,"Rao C., Stanbridge R.D.L., Chikwe J., Pepper J., Skapinakis P., Aziz O., Darzi A., Athanasiou T.",34975,Annals of Thoracic Surgery,85,2,0,0,3,3,2,5
2008,Recombinant Activated Factor VII: A Solution to Refractory Haemorrhage in Vascular Surgery?,"Warren O.J., Alcock E.M.H., Choong A.M.T.L., Leff D.R., Van Herzeele I., Darzi A.W., Athanasiou T., Cheshire N.J.W.",10785884,European Journal of Vascular and Endovascular Surgery,35,2,0,0,1,1,1,2
2008,"Toward feasible, valid, and reliable video-based assessments of technical surgical skills in the operating room","Aggarwal R., Grantcharov T., Moorthy K., Milland T., Darzi A.",34932,Annals of Surgery,247,2,0,0,0,0,5,5
2008,New technologies for the surgical curriculum,"Aggarwal R., Leong J., Leff D., Warren O., Yang G.-Z., Darzi A.",3642313,World Journal of Surgery,32,2,0,0,0,0,0,0
2008,Symposium on surgical simulation for training and certification,"Aggarwal R., Darzi A.",3642313,World Journal of Surgery,32,2,0,0,0,0,0,0
2008,Surgical management of morbid obesity,"Aggarwal R., Hodgson L., Rao C., Ashrafian H., Chow A., Zacharakis E., Athanasiou T., Darzi A., Johnston D.",17508460,British Journal of Hospital Medicine,69,2,0,0,0,0,0,0
