,"This is a citation overview for a set of 194 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 24 (Of the 194 documents considered for the h-Index, 24 have been cited at least 24 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1607,242,201,443,121,2171
2009,"Pharmacological agents in the treatment of venous disease: an update of the available evidence.","Gohel M.S., Davies A.H.",15701611,"Current vascular pharmacology",7, 3,0,0,0,0,0,0
2009,"Phlebology: Exciting changes","Davies A.H.",02683555,"Phlebology",24, 3,0,0,0,0,0,0
2009,"Supervised exercise in intermittent claudication: a sedentary notion?","Shalhoub J., Qureshi M., Davies A.",17085381,"Vascular",17, 2,0,0,0,0,0,0
2009,"Imaging of painful scoliosis","Davies A., Saifuddin A.",03642348,"Skeletal Radiology",38, 3,0,0,0,0,0,0
2008,"Peripheral arterial disease in patients with diabetes mellitus","Hamish M., Gohel M.S., Davies A.H.",17508460,"British Journal of Hospital Medicine",69, 10,0,0,0,0,0,0
2008,"The Role of Superficial Venous Surgery in the Management of Venous Ulcers: A Systematic Review","Howard D.P.J., Howard A., Kothari A., Wales L., Guest M., Davies A.H.",10785884,"European Journal of Vascular and Endovascular Surgery",36, 4,0,0,0,0,5,5
2008,"Symptomatic late recanalization of an occluded internal carotid artery: A case report and review of the literature","Gohel M.S., Hamish M., Harri Jenkins I., Davies A.H.",15385744,"Vascular and Endovascular Surgery",42, 5,0,0,0,0,0,0
2007,"Immediate Hemodynamic Effect of the Additional Use of the SCD EXPRESS? Compression System in Patients with Venous Ulcers Treated with the Four-layer Compression Bandaging System","Kalodiki E., Ellis M., Kakkos S.K., Williams A., Davies A.H., Geroulakos G.",10785884,"European Journal of Vascular and Endovascular Surgery",33, 4,0,1,3,4,0,4
2007,"Varicose vein surgery and deep vein thrombosis prophylaxis","Abbott D., Dharmarajah B., Davies A.H.",02683555,"Phlebology",22, 1,0,0,0,0,0,0
