,"Author: Davies, D. Ceri",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 16 (Of the 45 documents considered for the h-Index, 16 have been cited at least 16 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,987,156,163,319,105,1411
2009,AQP4 gene deletion in mice does not alter blood-brain barrier integrity or brain morphology,"Saadoun S., Tait M.J., Reza A., Davies D.C., Bell B.A., Verkman A.S., Papadopoulos M.C.",3064522,Neuroscience,161,3,0,0,0,0,0,0
2009,L-ornithine and phenylacetate synergistically produce sustained reduction in ammonia and brain water in cirrhotic rats.,"Davies N.A., Jalan R., Wright G., Ytrebo L.M., Stadlbauer V., Fuskevag O.M., Zwingmann C., Davies D.C., Habtesion A., Hodges S.J.",15273350,"Hepatology (Baltimore, Md.)",50,1,0,0,0,0,0,0
2009,Subdivisions of the arcopallium/posterior pallial amygdala complex are differentially involved in the control of fear behaviour in the Japanese quail,"Saint-Dizier H., Constantin P., Davies D.C., Leterrier C., Levy F., Richard S.",3619230,Brain Research Bulletin,79,5,0,0,0,0,0,0
2009,"The anti-dopaminergic agent, haloperidol, antagonises the feminising effect of neonatal serotonin on sexually dimorphic hypothalamic nuclei and tyrosine hydroxylase immunoreactive neurones","Wilson C.A., Dakin C.L., Rico J.A., Golmohamad A., Ahmad-jauhari Y., Davies D.C.",9538194,Journal of Neuroendocrinology,21,7,0,0,0,0,0,0
2009,Dissection of soft-preserved cadavers in the training of gynaecological oncologists: Report of the first UK workshop,"Barton D.P.J., Davies D.C., Mahadevan V., Dennis L., Adib T., Mudan S., Ellis H.",908258,Gynecologic Oncology,113,3,0,0,0,0,0,0
2008,Neonatal stimulation of 5-HT2 receptors reduces androgen receptor expression in the rat anteroventral periventricular nucleus and sexually dimorphic preoptic area,"Dakin C.L., Wilson C.A., Kallo I., Coen C.W., Davies D.C.",0953816X,European Journal of Neuroscience,27,9,0,0,0,0,1,1
2008,"Re: Spackman R, Wrigley B, Roberts A, Quinn M. 2007. The inferior hypogastric plexus: A different view. Journal of Obstetrics and Gynaecology 27:130-133","Barton D.P.J., Davies D.C., Dennis L.",1443615,Journal of Obstetrics and Gynaecology,28,1,0,0,0,0,0,0
2008,The transverse acetabular ligament may be used to align the acetabular cup in total hip arthroplasty,"Pearce C.J., Sexton S.A., Davies D.C., Khaleel A.",11207000,HIP International,18,1,0,0,0,0,0,0
2007,Caecal ligation and puncture in the rat mimics the pathophysiological changes in human sepsis and causes multi-organ dysfunction,"Brooks H.F., Osabutey C.K., Moss R.F., Andrews P.L.R., Davies D.C.",8857490,Metabolic Brain Disease,22, 3-4,0,0,2,2,2,4
2007,A core syllabus in anatomy for medical students - Adding common sense to need to know,"McHanwell S., Wilton J., Davies D.C., Morris J., Parkin I., Whiten S., Atkinson M., Dyball R., Ockleford C., Standring S.",11364890,European Journal of Anatomy,11,1,0,0,4,4,4,8
2007,Symposium: 'A celebration of neuroanatomy in the centennial of Cajal's Nobel Prize',"Davies D.C., Cavada C.",218782,Journal of Anatomy,211,2,0,0,0,0,0,0
2007,The control of sexual differentiation of the reproductive system and brain,"Wilson C.A., Davies D.C.",14701626,Reproduction,133,2,0,4,10,14,7,21
2004,"Deficits of neuronal density in CA1 and synaptic density in the dentate gyrus, CA3 and CA1, in a mouse model of Down syndrome","Ayberk Kurt M., Ilker Kafa M., Dierssen M., Davies D.C.",68993,Brain Research,1022, 1-2,5,7,4,11,3,19
