,"Authors: Dazzi, F.; Dazzi, F.; Dazzi, F.; Dazzi, Francesco",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 34 (Of the 133 documents considered for the h-Index, 34 have been cited at least 34 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1716,493,777,1270,599,3585
2009,"Outcome of patients developing GVHD after DLI given to treat CML relapse: a study by the chronic leukemia working party of the EBMT","Chalandon Y., Lenhoff S., Jacobs P., Volin L., Iacobelli S., Finke J., Niederwieser D., Guglielmi C., Passweg J.R., Schmid C., Olavarria E., Dazzi F., Simula M.P., Ljungman P., Schattenberg A., Witte T.d.",02683369,"Bone Marrow Transplantation",, ,0,0,0,0,0,0
2009,"Radio imaging of the very-high-energy ?-ray emission region in the central engine of a radio galaxy","Acciari V.A., Butt Y., Busching I., Boutelier T., Chadwick P.M., Charbonnier A., Chaves R.C.G., Cheesebrough A., Chounet L.-M., Clapson A.C., Coignet G., Dalton M., Byrum K., Daniel M.K., Davids I.D., Degrange B., Deil C., Dickinson H.J., Djannati-Atai A., Domainko W., Drury L.O., Dubois F., Dubus G., Cannon A., Dyks J., Dyrda M., Egberts K., Emmanoutopoulos D., Espigat P., Famier C., Feinstein F., Fiasson A., Forster A., Fontaine G., Celik O., Fussling M., Gabici S., Gallant Y.A., Gerard L., Gerbig D., Giebels B., Glicenstein J.F., Gluck B., Goret P., Gohring D., Cesarini A., Hauser D., Hauser M., Heinz S., Heinzelmann G., Henri G., Hermann G., Hinton J.A., Hoffmann A., Hofmann W., Holleran M., Chow Y.C., Hoppe S., Horns D., Jacholkowska A., De Jager O.C., Jahn C., Jung I., Katarzyriski K., Katz U., Kaufmann S., Kendziorra E., Ciupik L., Kerschhaggl M., Khangulyan D., Khelifi B., Keogh D., Kluzniak W., Kneiske T., Kbmin Nu., Kosack K., Lamanna G., Lenain J.-P., Cogan P., Lohse T., Marandon V., Martin J.M., Martineau-Huynh O., Marcowith A., Maurin D., McComb T.J.L., Medina M.C., Moderski R., Moulin E., Cui W., Naumann-Godo M., De Naurois M., Nedbal D., Nekrassov D., Nicholas B., Niemiec J., Nolan S.J., Ohm S., Olive J.-F., De Ona Wilhelmi E., Dickherber R., Orford K.J., Ostrowski M., Panter M., Paz Arribas M., Pedaletti G., Pelletier G., Petrucci P.-O., Pita S., Puhlhofer G., Punch M., Aliu E., Fegan S.J., Quirrenbach A., Raubenheimer B.C., Raue M., Rayner S.M., Renaud M., Rieger F., Ripken J., Rob L., Rosier-Lees S., Rowell G., Finley J.P., Rudak B., Rulten C.B., Ruppel J., Sahakian V., Santangelo A., Schlickeiser R., Schock F.M., Schroder R., Schwanke U., Schwarzburg S., Fortin P., Schwemmer S., Shalchi A., Sikora M., Skilton J.L., Sol H., Spangler D., Stawarz L., Steenkamp R., Stegmann C., Stinzing F., Fortson L., Superina G., Szostek A., Tam P.H., Tavemet J.-P., Terrier R., Tibolla O., Tluczykont M., Van Eldik C., Vasileiadis G., Venter C., Fumiss A., Venter L., Vialle J.P., Vincent P., Vivier M., Volk H.J., Volpe F., Wagner S.J., Ward M., Zdziarski A.A., Zech A., Gall D., Anderhub H., Antonelli L.A., Antoranz P., Backes M., Baixeras C., Balestra S., Barrio J.A., Bastieri D., Becerra Gonzalez J., Becker J.K., Gillanders G.H., Bednarek W., Berger K., Bernardini E., Biland A., Bock R.K., Bonnoli G., Bordas P., Tridon D.B., Bosch-Ramon V., Bose D., Grube J., Braun I., Bretz T., Britvitch I., Camara M., Carmona E., Commichau S., Contreras J.L., Cortina J., Costado M.T., Covino S., Guenette R., Curtef V., Dazzi F., De Angelis A., De Cea Del Pozo E., Mendez C.D., De Los Reyes R., De Lotto B., De Maria M., De Sabata F., Dominguez A., Gyuk G., Dorner D., Dora M., Elsaesser D., Errando M., Ferenc D., Fernandez E., Firpo R., Fonseca M.V., Font L., Galante N., Arlen T., Hanna D., Lopez R.J.G., Garczarczyk M., Gaug M., Goebel F., Hadasch D., Hayashida M., Herrero A., Hildebrand D., Hohne-Monch D., Hose J., Holder J., Hsu C.C., Jogler T., Kranich D., La Barbera A., Laille A., Leonardo E., Lindfors E., Lombardi S., Longo F., Lopez M., Horan D., Lorenz E., Majumdar P., Maneva G., Mankuzhiyil N., Mannheim K., Maraschi L., Mariotti M., Martinez M., Mazin D., Meucci M., Hui C.M., Miranda J.M., Mirzoyan R., Miyamoto H., Moldon J., Moles M., Moraleja A., Nieto D., Nilsson K., Ninkovic J., Oya I., Humensky T.B., Paoletti R., Paredes J.M., Pasanen M., Pascoli D., Pauss F., Pegna R.G., Perez-Torres M.A., Persic M., Peruzzo L., Prada F., Imran A., Prandini E., Puchades N., Reichardt I., Rhode W., Ribo M., Rico J., Rissi M., Robert A., Rugamer S., Saggion A., Kaaret P., Salto T.Y., Salvati M., Sanchez-Conde M., Satalecka K., Scalzotto V., Scapin V., Schweizer T., Shayduk M., Shore S.N., Sidro N., Karlsson N., Sierpowska-Bartosik A., Sillanpaa A., Sitarek J., Sobczynska D., Spanier F., Stamerra A., Stark L.S., Takalo L., Tavecchio F., Temnikov P., Kieda D., Tescaro D., Teshima M., Torres D.F., Turini N., Vankov H., Wagner R.M., Zabalza V., Zandanel F., Zanin R., Zapatera J., Kildea J., Bautista M., Konopelko A., Krawczynski H., Krennrich F., Lang M.J., LeBohec S., Maier G., McCann A., McCutcheon M., Millis J., Moriarty P., Beilicke M., Ong R.A., Otte A.N., Pandel D., Perkins J.S., Petry D., Pohl M., Quinn J., Ragan K., Reyes L.C., Reynolds P.T., Benbow W., Roache E., Roache E., Rose H.J., Schroedter M., Sembroski G.H., Smith A.W., Swordy S.P., Theiling M., Toner J.A., Varlotta A., Bradbury S.M., Vincent S., Wakely S.P., Ward J.E., Weekes T.C., Weinstein A., Williams D.A., Wissel S., Wood M., Waiker R.C., Davies F., Buckley J.H., Hardee P.E., Junor W., Ly C., Aharonian F., Akhperjanian A.G., Anton G., De Almeida U.B., Bazer-Bachi A.R., Becherini Y., Behera B., Bugaev V., Bemlohr K., Bochow A., Boisson C., Bolmont J., Borrel V., Brucker J., Brun F., Brun P., Buhler R., Bulik T.",00368075,"Science",325, 5939,0,0,0,0,0,0
2009,"Dasatinib may not suppress the GVL effect of donor lymphocyte infusions for CML","Garland P., Dazzi F., Marin D.",02683369,"Bone Marrow Transplantation",, ,0,0,0,0,0,0
