,"Author: De Paola, Vincenzo",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 9 (Of the 28 documents considered for the h-Index, 9 have been cited at least 9 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,182,99,111,210,93,485
2009,"Long-term, high-resolution imaging in the mouse neocortex through a chronic cranial window","Holtmaat A., Lee W.-C.A., Mostany R., Mrsic-Flogel T.D., Nedivi E., Portera-Cailliau C., Svoboda K., Trachtenberg J.T., Wilbrecht L., Bonhoeffer T., Chow D.K., Chuckowree J., De Paola V., Hofer S.B., Hubener M., Keck T., Knott G.",17542189,"Nature Protocols",4, 8,0,0,0,0,3,3
2009,"Update on the pharmacogenetics of the vitamin D receptor and osteoporosis","Gennari L., Merlotti D., De Paola V., Martini G., Nuti R.",14622416,"Pharmacogenomics",10, 3,0,0,0,0,0,0
2009,"Dendritic spine morphology determines membrane-associated protein exchange between dendritic shafts and spine heads","Hugel S., Abegg M., De Paola V., Caroni P., Gahwiler B.H., McKinney R.A.",10473211,"Cerebral Cortex",19, 3,0,0,0,0,0,0
2008,"Bazedoxifene for the prevention of postmenopausal osteoporosis","Gennari L., Merlotti D., De Paola V., Martini G., Nuti R.",11766336,"Therapeutics and Clinical Risk Management",4, 6,0,0,0,0,1,1
2008,"Vitamin D receptor gene polymorphisms predict acquired resistance to clodronate treatment in patients with paget's disease of bone","Mossetti G., Martini G., Nuti R., Strazzullo P., Gennari L., Rendina D., De Filippo G., Merlotti D., De Paola V., Fusco P., Esposito T., Gianfrancesco F.",0171967X,"Calcified Tissue International",83, 6,0,0,0,0,0,0
2008,"Imaging of experience-dependent structural plasticity in the mouse neocortex in vivo","Holtmaat A., De Paola V., Wilbrecht L., Knott G.W.",01664328,"Behavioural Brain Research",192, 1,0,0,0,0,2,2
2008,"Raloxifene in breast cancer prevention","Gennari L., Merlotti D., De Paola V., Nuti R.",14740338,"Expert Opinion on Drug Safety",7, 3,0,0,2,2,4,6
2008,"The effects of recombinant TSH on bone turnover markers and serum osteoprotegerin and RANKL levels","Martini G., Avanzati A., Nuti R., Pacini F., Gennari L., De Paola V., Pilli T., Salvadori S., Merlotti D., Valleggi F., Campagna S., Franci B.",10507256,"Thyroid",18, 4,0,0,1,1,1,2
2008,"The effects of zoledronic acid on serum lipids in multiple myeloma patients","Gozzetti A., Campagna M.S., Nuti R., Lauria F., Martini G., Gennari L., Merlotti D., Salvadori S., De Paola V., Avanzati A., Franci B., Marchini E., Tozzi M.",0171967X,"Calcified Tissue International",82, 4,0,0,0,0,1,1
2007,"Bone metabolism in men: role of aromatase activity.","Nuti R., Martini G., Merlotti D., De Paola V., Valleggi F., Gennari L.",17208386,"Journal of endocrinological investigation",30, 6,0,0,0,0,0,0
2007,"Comparison of different intravenous bisphosphonate regimens for Paget's disease of bone","Merlotti D., Gennari L., Martini G., Valleggi F., De Paola V., Avanzati A., Nuti R.",08840431,"Journal of Bone and Mineral Research",22, 10,0,0,3,3,3,6
2007,"Steroid hormone receptor gene polymorphisms and osteoporosis: A pharmacogenomic review","Gennari L., De Paola V., Merlotti D., Martini G., Nuti R.",14656566,"Expert Opinion on Pharmacotherapy",8, 5,0,2,2,4,4,8
2007,"Serum OPG and RANKL levels before and after intravenous bisphosphonate treatment in Paget's disease of bone","Martini G., Nuti R., Gennari L., Merlotti D., Salvadori S., Franci M.B., Campagna S., Avanzati A., De Paola V., Valleggi F.",87563282,"Bone",40, 2,0,4,11,15,7,22
2006,"Cell type-specific structural plasticity of axonal branches and boutons in the adult neocortex","De Paola V., Holtmaat A., Knott G., Song S., Wilbrecht L., Caroni P., Svoboda K.",08966273,"Neuron",49, 6,12,12,18,30,17,59
2006,"Vitamin D and its metabolites in the pathogenesis and treatment of osteoporosis","Gennari L., Merlotti D., Martini G., Valleggi F., De Paola V., Nuti R.",17248914,"Clinical Cases in Mineral and Bone Metabolism",3, 1,0,0,0,0,1,1
2006,"Oncogenic osteomalacia","Martini G., Valleggi F., Gennari L., Merlotti D., De Paola V., Valenti R., Nuti R.",17248914,"Clinical Cases in Mineral and Bone Metabolism",3, 1,0,0,0,0,0,0
2005,"Relation of plasma brain natriuretic peptide levels in non-ST-elevation coronary disease and preserved systolic function to number of narrowed coronary arteries","Palazzuoli A., Gennari L., Calabria P., Quatrini I., Vecchiato L., De Paola V., Campagna M.S., Palazzuoli V., Nuti R.",00029149,"American Journal of Cardiology",96, 12,2,2,0,2,1,5
2005,"Professional sport activity and micronutrients: effects on bone mass.","Nuti R., Martini G., Merlotti D., Valleggi F., De Paola V., Gennari L.",03914097,"Journal of endocrinological investigation.",28, 10,0,5,1,6,0,6
