,"Authors: De Silva, Dr Pettahandige Esalakumar Ranil; De Silva, R.",,,,,,,,,,,,
,,,,,,,,,,,,,
,This is a citation overview for a set of 36 documents.,,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 16 (Of the 36 documents considered for the h-Index, 16 have been cited at least 16 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1269,98,99,28,225,0,1494
2009,Optical coherence tomography assessment of a new dedicated bifurcation stent,"Tyczynski P., Ferrante G., Kukreja N., Moreno-Ambroj C., Barlis P., Ramasami N., De Silva R., Beatt K., Di Mario C.",1774024X,EuroIntervention,5,5,1,2,5,1,8,0,9
2009,The changing horizon of acute coronary syndrome,"de Silva R., Fox K.M.",1406736,The Lancet,374,9696,0,0,0,0,0,0,0
2009,Young strokes in Sri Lanka: An unsolved problem,"De Silva R., Gamage R., Wewelwala C., Gunarathna D., Kittner S., Sirisena D., Weerasinghe A., Amarasinghe P.",10523057,Journal of Stroke and Cerebrovascular Diseases,18,4,1,1,1,0,2,0,3
2009,Norms for the mini-mental state examination from a sample of Sri Lankan older people,"De Silva R., Disanayaka S., De Zoysa N., Sanjeewanie N., Somaratne S., Foster J., Srikanth S., Kathriarachchi S.T., Martins R.M.",8856230,International Journal of Geriatric Psychiatry,24,7,1,2,0,2,4,0,5
2009,Angina: Ivabradine for treatment of stable angina pectoris.,"de Silva R., Fox K.M.",17595010,Nature reviews. Cardiology,6,5,0,3,2,0,5,0,5
2008,"Intracoronary infusion of autologous mononuclear cells from bone marrow or granulocyte colony-stimulating factor-mobilized apheresis product may not improve remodelling, contractile function, perfusion, or infarct size in a swine model of large myocardial infarction","De Silva R., Donahue R.E., Read E.J., Lederman R.J., Raval A.N., Hadi M., Gildea K.M., Bonifacino A.C., Yu Z.-X., Yau Y.Y., Leitman S.F., Bacharach S.L.",0195668X,European Heart Journal,29,14,2,3,5,1,9,0,11
2008,Early intervention in acute coronary syndrome: Is bivalirudin monotherapy an effective antithrombotic strategy? Commentary,"de Silva R., Fox K.",17434297,Nature Clinical Practice Cardiovascular Medicine,5,6,0,0,0,0,0,0,0
2007,Technology preview: X-ray fused with magnetic resonance during invasive cardiovascular procedures,"Gutierrez L.F., Waclawiw M.A., McVeigh E.R., Lederman R.J., De Silva R., Ozturk C., Sonmez M., Stine A.M., Raval A.N., Raman V.K., Sachdev V., Aviles R.J.",15221946,Catheterization and Cardiovascular Interventions,70,6,6,5,4,1,10,0,16
2006,X-ray fused with magnetic resonance imaging (XFM) to target endomyocardial injections: Validation in a swine model of myocardial infarction,"De Silva R., Gutierrez L.F., Raval A.N., McVeigh E.R., Ozturk C., Lederman R.J.",97322,Circulation,114,22,14,10,3,4,17,0,31
2006,Oxidative stress: Apoptosis in neuronal injury,"Kok P.L., Shan H.H., De Silva R., Tan B.K.H., Yi Z.Z.",15672050,Current Alzheimer Research,3,4,36,18,16,4,38,0,74
2006,Targeted endoniyocardial injections of therapeutic cells using X-ray fused with MRI guidance,"Gutierrez L.F., De Silva R., McVeigh E.R., Ozturk C., Lederman R.J.",16057422,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,6141, ,0,0,0,0,0,0,0
2006,A comparison study of cerebral protection using Ginkgo biloba extract and Losartan on stroked rats,"Loh K.P., Low L.S., Wong W.H., Zhou S., Huang S.H., De Silva R., Duan W., Chou W.H., Zhu Y.Z.",3043940,Neuroscience Letters,398, 1-2,2,0,2,0,2,0,4
2005,Comparison of three methods of partial volume correction in dynamic PET cardiac imaging A phantom and a pig study,"Le Meunier L., Hadi M., De Silva R., Carson J.M., Dieckmann W., Bacharach S.L.",10957863,IEEE Nuclear Science Symposium Conference Record,4, ,0,0,0,0,0,0,0
2004,Delivery and tracking of therapeutic cell preparations for clinical cardiovascular applications,"de Silva R., Lederman R.J.",14653249,Cytotherapy,6,6,3,0,0,0,0,0,3
2002,Management of acute ST elevation myocardial infarction,"De Silva R., Beatt K.J.",14630486,Continuing Medical Education - Cardiology,2,1,0,0,0,0,0,0,0
1998,F-18 FDG uptake in transplanted heart [2] (multiple letters),"Taegtmeyer H., Doenst T., Rhodes C.G., Rechavia E., De Silva R.",7351097,Journal of the American College of Cardiology,31,6,0,0,0,0,0,0,0
1997,Pathophysiological mechanisms of chronic reversible left ventricular dysfunction due to coronary artery disease (hibernating myocardium),"Camici P.G., Wijns W., Borgers M., De Silva R., Ferrari R., Knuuti J., Lammertsma A.A., Liedtke A.J., Paternostro G., Vatner S.F.",97322,Circulation,96,9,110,2,5,1,8,0,118
1997,Enhanced myocardial 18F-2-fluoro-2-deoxyglucose uptake after orthotopic heart transplantation assessed by positron emission tomography,"Rechavia E., De Silva R., Kushwaha S.S., Rhodes C.G., Araujo L.I., Jones T., Maseri A., Yacoub M.H.",7351097,Journal of the American College of Cardiology,30,2,14,0,0,0,0,0,14
1996,Noninvasive quantification of regional myocardial metabolic rate of oxygen by 15O 2 inhalation and positron emission tomography: Experimental validation,"Yamamoto Y., De Silva R., Rhodes C.G., Iida H., Lammertsma A.A., Jones T., Maseri A.",97322,Circulation,94,4,17,3,2,3,8,0,25
1995,Hyperdynamic performance of remote myocardium in acute infarction. Correlation between regional contractile function and myocardial perfusion,"Rechavia E., De Silva R., Nihoyannopoulos P., Lammertsma A.A., Jones T., Maseri A.",0195668X,European Heart Journal,16,12,7,0,1,0,1,0,8
1994,Reduced coronary vasodilator function in infarcted and normal myocardium after myocardial infarction,"Uren N.G., Crake T., Lefroy D.C., De Silva R., Davies G.J., Maseri A.",284793,New England Journal of Medicine,331,4,198,10,10,3,23,0,221
1994,Role of positron emission tomography in the investigation of human coronary circulatory function,"De Silva R., Camici P.G.",86363,Cardiovascular Research,28,11,52,4,2,0,6,0,58
1993,Quantitative analysis of reperfusion therapy for acute myocardial infarction using positron emission tomography,"Yamamoto Y., Nonogi H., Iida H., de Silva R., Maseri A., Jones T.",471828,Japanese Circulation Journal,57, ,0,0,0,0,0,0,0
1993,Diffuse reduction of myocardial beta-adrenoceptors in hypertrophic cardiomyopathy: A study with positron emission tomography,"Lefroy D.C., Nihoyannopoulos P., Oakley C.M., Jones T., Camici P.G., De Silva R., Choudhury L., Uren N.G., Crake T., Rhodes C.G., Lammertsma A.A., Boyd H., Patsalos P.N.",7351097,Journal of the American College of Cardiology,22,6,53,2,2,0,4,0,57
1993,Delayed recovery of coronary resistive vessel function after coronary angioplasty,"Uren N.G., Crake T., Lefroy D.C., De Silva R., Davies G.J., Maseri A.",7351097,Journal of the American College of Cardiology,21,3,88,1,4,1,6,0,94
1993,Altered coronary vasodilator reserve and metabolism in myocardium subtended by normal arteries in patients with coronary artery disease,"Uren N.G., Marraccini P., Gistri R., De Silva R., Camici P.G.",7351097,Journal of the American College of Cardiology,22,3,103,5,3,1,9,0,112
1993,In vivo quantification of pulmonary ?-adrenoceptor density in humans with (S)-[11C]CGP-12177 and PET,"Ueki J., Steel C.J., Waters S.L., Lammertsma A.A., Camici P.G., Jones T., Rhodes C.G., Hughes J.M.B., De Silva R., Lefroy D.C., Ind P.W., Qing F., Brady F., Luthra S.K.",87507587,Journal of Applied Physiology,75,2,27,1,0,0,1,0,28
1992,"Assessment of myocardial perfusion, metabolism and pharmacology using positron emission tomography","De Silva R., Camici P.G.",10155007,Cardioscience,3,4,3,0,0,0,0,0,3
1992,Measurement of regional myocardial blood flow using C 15O 2 and positron emission tomography: Comparison of tracer models,"Lammertsma A.A., De Silva R., Araujo L.I., Jones T.",1430815,Clinical Physics and Physiological Measurement,13,1,21,1,1,0,2,0,23
1992,Dipyridamole vasodilator response after human orthotopic heart transplantation: Quantification by oxygen-15-labeled water and positron emission tomography,"Rechavia E., Araujo L.I., De Silva R., Kushwaha S.S., Lammertsma A.A., Jones T., Mitchell A., Maseri A., Yacoub M.H.",7351097,Journal of the American College of Cardiology,19,1,15,0,0,0,0,0,15
1992,Non-invasive quantification of regional myocardial oxygen consumption in anaesthetized greyhounds,"De Silva R., Yamamoto Y., Rhodes C.G., Iida H., Maseri A., Jones T.",223751,Journal of Physiology,446, ,0,0,0,0,0,0,0
1992,Use of the left ventricular time-activity curve as a noninvasive input function in dynamic oxygen-15-water positron emission tomography,"Iida H., Rhodes C.G., De Silva R., Araujo L.I., Bloomfield P.M., Lammertsma A.A., Jones T.",1615505,Journal of Nuclear Medicine,33,9,129,7,7,3,17,0,146
1992,A new strategy for the assessment of viable myocardium and regional myocardial blood flow using 15O-water and dynamic positron emission tomography,"Yamamoto Y., De Silva R., Rhodes C.G., Araujo L.I., Iida H., Rechavia E., Nihoyannopoulos P., Hackett D., Galassi A.R., Taylor C.J.V., Lammertsma A.A., Jones T., Maseri A.",97322,Circulation,86,1,58,4,6,1,11,0,69
1992,Preoperative prediction of the outcome of coronary revascularization using positron emission tomography,"De Silva R., Yamamoto Y., Rhodes C.G., Iida H., Nihoyannopoulos P., Davies G.J., Lammertsma A.A., Jones T., Maseri A.",97322,Circulation,86,6,71,2,4,0,6,0,77
1991,Noninvasive quantification of regional myocardial blood flow in coronary artery disease with oxygen-15-labeled carbon dioxide inhalation and positron emission tomography,"Araujo L.I., Maseri A., Lammertsma A.A., Rhodes C.G., McFalls E.O., Iida H., Rechavia E., Galassi A., De Silva R., Jones T.",97322,Circulation,83,3,142,5,5,2,12,0,154
1991,Myocardial tissue fraction - Correction for partial volume effects and measure of tissue viability,"Iida H., Rhodes C.G., De Silva R., Yamamoto Y., Araujo L.I., Maseri A., Jones T.",1615505,Journal of Nuclear Medicine,32,11,95,7,9,0,16,0,111
